pXC50,AMW,C.,H.,Me
5.4,8.117,44.6,39.3,1.012
5.3,6.979,43.1,47.7,0.99
5.3,7.764,44.9,42.9,1.011
5.3,8.598,40.0,40.0,1.024
5.3,8.065,50.0,38.9,1.004
5.3,7.85,42.0,42.0,1.01
5.3,8.368,47.1,38.6,1.004
6.4,8.187,40.5,42.9,1.008
5.3,8.009,41.5,41.5,1.017
5.3,7.379,44.6,44.6,0.996
5.3,8.967,43.8,35.4,1.042
5.3,8.06,39.0,43.9,1.008
5.3,8.295,45.2,38.1,1.016
5.3,9.701,45.2,31.0,1.034
5.3,10.926,52.0,36.0,0.999
5.3,8.836,45.0,37.5,1.017
5.3,8.625,43.2,38.6,1.012
5.5,8.05,41.7,44.4,1.004
5.3,7.581,46.9,42.9,0.998
5.7,8.889,37.0,40.7,1.028
5.3,7.23,44.0,46.0,0.996
5.3,8.39,44.8,39.7,1.008
5.3,7.904,42.1,42.1,1.014
5.3,10.926,52.0,36.0,0.999
5.3,9.803,44.1,29.4,1.056
5.3,8.611,46.7,37.8,1.005
5.3,10.775,46.9,28.1,1.035
5.3,7.928,45.9,40.5,1.007
5.3,9.649,44.0,40.0,1.004
5.3,11.755,50.0,35.0,1.004
5.3,7.301,41.7,45.8,1.0
5.3,8.776,46.5,34.9,1.029
6.7,7.173,39.5,46.5,0.995
5.3,8.157,40.7,40.7,1.023
5.3,9.335,50.0,32.4,1.007
5.3,7.873,43.2,40.9,1.005
5.3,7.358,34.9,46.5,1.01
5.3,7.664,47.3,41.8,0.996
5.3,8.209,42.0,40.0,1.021
5.3,8.209,42.0,40.0,1.021
5.3,11.225,34.4,43.8,1.01
5.3,7.226,43.2,45.9,0.995
5.3,7.352,47.4,44.7,0.995
5.3,8.153,46.7,42.2,1.003
5.3,8.958,51.3,33.3,1.025
5.3,8.009,41.0,41.0,1.018
5.3,9.924,50.0,31.3,1.023
5.3,8.035,41.8,43.6,1.012
5.3,7.799,44.2,44.2,0.998
5.3,8.327,39.5,42.1,1.012
5.3,7.986,48.8,39.5,1.003
6.0,7.996,41.5,43.9,1.0
5.3,7.684,45.0,42.5,1.004
5.3,8.114,43.8,39.6,1.014
6.3,9.082,42.5,40.0,1.014
6.6,8.382,43.1,39.2,1.026
5.3,7.13,36.0,48.0,1.004
5.3,9.138,42.9,40.0,1.01
5.3,7.387,46.7,44.4,0.996
5.3,10.169,45.5,29.5,1.051
5.3,14.552,42.9,28.6,1.039
5.3,8.918,51.3,35.9,1.007
5.3,9.306,45.5,34.1,1.03
5.3,8.03,47.9,39.6,1.007
5.3,7.376,48.8,43.9,0.99
5.3,7.135,47.9,45.8,0.987
5.3,8.2,45.2,38.1,1.008
5.3,7.734,48.3,41.4,0.998
5.3,9.926,47.2,27.8,1.053
5.3,9.687,41.2,32.4,1.036
5.8,8.218,47.9,37.5,1.005
5.3,7.454,41.7,44.4,1.001
5.3,7.945,33.3,46.7,1.008
5.3,8.288,44.7,40.4,1.002
5.3,8.822,45.9,37.8,1.015
5.3,9.342,46.7,31.1,1.038
5.3,7.831,41.1,42.9,1.014
5.3,7.809,40.0,43.3,1.017
5.6,8.584,42.6,38.9,1.018
5.3,9.528,51.6,32.3,1.014
5.3,7.876,50.0,40.0,0.998
5.3,10.033,48.8,30.2,1.045
5.4,8.337,48.3,37.9,1.017
5.3,8.222,46.8,38.3,1.012
5.3,8.451,40.9,40.9,1.015
5.3,7.558,43.8,45.3,0.992
5.3,12.287,31.3,37.5,1.044
5.3,7.937,42.6,42.6,1.002
5.3,8.009,41.5,41.5,1.017
5.3,14.836,47.8,21.7,1.044
5.3,8.605,40.4,38.6,1.038
5.4,8.519,44.1,39.0,1.014
5.3,7.352,44.7,44.7,0.995
5.4,8.471,45.3,39.6,1.013
5.3,8.32,44.8,37.9,1.017
5.3,7.41,43.2,46.9,0.998
5.4,7.316,44.9,44.9,0.994
5.4,6.661,37.2,51.2,0.993
5.3,12.112,48.5,27.3,1.04
5.3,9.665,42.3,34.6,1.039
5.3,9.221,47.6,38.1,1.014
5.3,6.867,35.7,50.0,1.0
5.3,8.45,48.0,36.0,1.011
5.3,8.356,42.4,42.4,1.008
5.3,8.593,47.9,35.4,1.016
5.3,8.01,42.4,42.4,1.006
5.3,7.413,46.2,44.2,0.996
5.3,9.779,42.6,36.2,1.022
5.3,8.643,44.9,38.8,1.014
5.3,7.809,42.5,42.5,1.011
5.3,9.108,43.9,36.6,1.032
5.3,8.905,35.7,39.3,1.02
5.7,7.435,41.1,46.6,0.996
5.3,8.327,51.2,36.6,1.006
5.3,7.825,44.7,42.1,1.009
5.3,7.578,45.5,43.2,1.001
5.3,8.64,40.0,40.0,1.016
5.3,7.787,46.7,42.2,1.007
5.3,10.132,50.0,33.3,1.014
5.3,7.803,44.8,41.4,1.004
5.3,6.756,37.3,50.7,0.996
5.3,7.544,42.2,46.7,0.992
5.3,7.827,42.4,42.4,1.015
5.3,8.169,45.5,38.6,1.011
5.3,8.0,41.7,43.3,1.009
5.3,7.659,45.6,42.1,0.998
5.3,11.463,45.7,25.7,1.067
5.3,6.975,41.4,48.3,0.994
5.3,8.421,41.0,41.0,1.011
5.3,8.107,46.3,39.0,1.009
5.3,7.996,41.5,43.9,1.0
5.3,9.732,48.3,31.0,1.063
5.3,10.683,46.2,30.8,1.026
5.3,9.07,47.8,34.3,1.021
5.3,10.947,51.5,30.3,1.02
5.3,8.852,49.0,33.3,1.022
5.3,8.168,47.7,38.6,1.011
5.3,7.068,45.1,47.1,0.992
5.3,7.664,40.0,43.6,1.009
5.3,8.302,41.5,39.0,1.025
5.3,8.705,35.3,43.1,1.03
5.3,8.356,36.5,42.3,1.027
5.3,9.637,44.2,30.2,1.052
5.0,7.577,38.8,44.8,1.012
6.0,7.911,43.1,41.2,1.011
5.3,7.771,45.7,41.3,1.0
7.5,7.926,40.3,41.7,1.016
5.0,7.266,37.2,46.5,1.003
5.15,8.162,45.7,39.1,1.012
5.4,7.899,44.4,40.7,1.006
5.3,8.105,50.0,38.1,1.001
5.0,8.659,45.0,35.0,1.02
5.745,8.139,48.1,38.9,1.011
5.0,7.818,47.9,41.1,1.003
5.3,9.011,47.6,35.7,1.015
5.0,8.436,42.6,40.7,1.019
5.3,7.266,37.2,46.5,1.003
5.3,8.483,44.7,36.8,1.021
5.3,8.659,45.0,35.0,1.02
5.3,7.641,35.8,47.2,1.008
5.0,8.804,40.7,44.4,1.01
5.0,7.093,38.9,47.2,0.995
5.3,9.508,35.7,42.9,1.028
5.0,8.681,45.9,36.1,1.025
5.3,7.676,41.7,43.8,1.011
5.0,9.732,51.0,30.6,1.033
4.398,8.572,45.8,35.4,1.016
5.0,7.479,40.8,44.9,1.007
5.3,9.174,44.2,34.9,1.022
4.0,7.382,44.2,44.2,0.993
5.3,9.855,45.7,37.0,1.017
5.3,8.888,45.7,37.0,1.02
5.0,8.162,40.0,44.6,1.01
5.0,7.767,34.7,49.0,1.001
5.0,7.583,47.1,42.6,0.997
5.3,8.773,52.6,34.2,1.017
5.0,8.237,40.7,42.4,1.018
5.6,9.329,50.0,33.3,1.022
5.3,8.254,48.9,37.8,1.011
5.3,8.136,44.4,39.7,1.015
5.3,7.991,48.0,42.0,0.993
5.3,8.071,44.0,42.0,1.0
5.0,8.053,41.3,41.3,1.021
5.3,8.928,37.2,41.9,1.025
5.3,8.155,36.4,43.6,1.023
5.0,7.316,44.9,44.9,0.994
5.0,8.657,35.3,41.2,1.037
5.0,9.853,46.7,35.6,1.014
5.3,7.688,41.9,45.2,1.001
5.3,7.309,35.1,49.1,1.001
5.3,8.322,46.7,40.0,1.0
5.3,9.403,47.6,35.7,1.01
5.3,8.659,45.0,35.0,1.02
5.3,8.135,43.8,39.6,1.013
5.3,7.76,43.8,41.7,1.003
5.3,9.189,42.0,34.0,1.046
5.3,8.191,38.6,40.9,1.026
5.3,8.372,43.8,41.7,1.019
5.0,8.372,43.8,41.7,1.019
5.0,9.102,38.1,40.5,1.024
5.0,8.333,41.6,44.2,1.008
5.3,8.086,39.7,43.1,1.013
5.0,7.833,39.7,42.6,1.015
5.3,10.469,44.4,29.6,1.058
5.15,8.255,38.6,40.4,1.03
5.0,8.103,38.9,42.6,1.009
5.3,9.708,46.5,32.6,1.041
5.3,10.023,41.9,34.9,1.019
5.3,8.011,39.1,43.5,1.004
5.3,9.105,47.4,35.1,1.026
5.3,7.04,41.5,47.7,0.995
5.15,7.509,41.7,45.0,1.008
5.3,8.245,47.1,38.2,1.01
6.602,7.337,36.2,46.6,1.009
5.3,14.104,48.4,25.8,1.035
5.3,7.973,43.6,40.0,1.006
5.15,7.491,36.6,48.8,1.001
5.3,8.714,45.9,37.8,1.006
5.0,6.776,36.4,50.6,0.998
5.3,7.42,42.9,44.6,1.0
5.0,8.286,37.1,43.5,1.011
5.0,7.85,42.0,42.0,1.01
5.079,10.024,42.9,32.1,1.049
5.3,6.817,36.5,50.0,0.996
5.0,7.777,44.2,41.9,1.006
5.3,8.48,50.0,35.3,1.008
5.0,7.117,39.3,48.2,1.003
5.3,8.098,47.1,38.2,1.001
5.3,7.815,44.4,41.7,1.007
5.15,7.567,42.3,44.2,1.009
5.15,8.805,43.9,39.4,1.019
5.0,9.782,45.3,30.2,1.058
5.3,9.259,47.2,30.6,1.032
6.4,7.973,45.5,40.0,1.006
5.0,7.617,37.7,45.9,1.001
5.0,7.324,43.1,45.1,0.996
5.0,8.295,45.2,38.1,1.016
5.0,7.789,38.2,44.1,1.02
5.0,7.788,40.3,44.4,1.007
8.5,8.294,45.3,39.6,1.0
5.0,8.661,40.4,42.3,1.016
5.0,8.947,46.3,36.6,1.017
5.3,8.81,56.0,32.0,1.007
5.461,7.501,45.5,43.6,0.998
5.854,7.438,44.4,44.4,1.0
5.3,8.126,40.0,43.6,1.017
5.15,7.26,42.6,45.6,0.995
5.3,7.683,41.3,43.5,1.009
