pXC50,Mv,nO,RBF,N.,AMW,C.,H.,Me,Mi,Mp,MW,nAB,nAT
6.921,0.662,7,0.065,3.3,9.643,33.3,36.7,1.063,1.132,0.655,289.29,0,30
6.638,0.603,5,0.091,3.1,7.54,34.4,46.9,1.029,1.139,0.613,241.27,0,32
5.77,0.664,7,0.105,8.3,9.538,33.3,36.1,1.058,1.138,0.657,343.35,5,36
4.699,0.642,4,0.093,4.9,8.157,39.0,43.9,1.016,1.124,0.672,334.43,6,41
6.511,0.648,7,0.088,3.0,9.192,33.3,39.4,1.054,1.133,0.649,303.32,0,33
6.398,0.685,9,0.143,2.9,10.156,35.3,32.4,1.075,1.129,0.663,345.31,0,34
3.252,0.679,4,0.122,6.5,9.055,41.3,39.1,1.019,1.115,0.714,416.54,11,46
8.301,0.683,3,0.056,12.1,9.223,39.4,36.4,1.03,1.127,0.699,304.36,5,33
4.699,0.659,3,0.034,3.7,8.046,44.4,40.7,1.019,1.119,0.673,217.24,6,27
7.31,0.652,7,0.122,7.7,9.164,33.3,38.5,1.051,1.138,0.652,357.38,5,39
4.081,0.676,3,0.074,3.8,9.277,42.3,34.6,1.059,1.149,0.656,241.21,6,26
4.398,0.686,3,0.074,3.8,10.928,42.3,38.5,1.028,1.117,0.713,284.12,6,26
4.699,0.613,5,0.098,2.5,7.835,35.0,47.5,1.019,1.13,0.644,313.41,0,40
7.268,0.641,7,0.136,7.1,8.843,33.3,40.5,1.044,1.138,0.647,371.41,5,42
7.569,0.658,2,0.05,0.0,9.37,42.1,36.8,1.008,1.08,0.786,178.03,10,19
4.699,0.668,7,0.167,2.9,9.353,37.1,37.1,1.051,1.125,0.669,327.34,0,35
6.469,0.641,7,0.136,7.1,8.843,33.3,40.5,1.044,1.138,0.647,371.41,5,42
6.155,0.642,5,0.081,11.4,8.982,31.4,40.0,1.044,1.144,0.65,314.36,5,35
8.523,0.641,4,0.065,3.3,8.511,36.7,43.3,1.026,1.125,0.668,255.32,0,30
4.699,0.643,5,0.094,3.2,8.752,35.5,41.9,1.036,1.128,0.661,271.32,0,31
7.432,0.67,9,0.158,2.7,9.712,35.1,35.1,1.066,1.13,0.657,359.34,0,37
7.041,0.593,7,0.145,3.3,7.376,33.3,50.0,1.016,1.137,0.625,442.59,0,60
4.699,0.683,7,0.121,3.1,9.791,37.5,34.4,1.059,1.124,0.676,313.31,0,32
4.409,0.62,3,0.029,3.1,7.29,40.6,46.9,1.008,1.126,0.647,233.29,0,32
4.699,0.683,7,0.152,3.1,9.791,37.5,34.4,1.059,1.124,0.676,313.31,0,32
7.745,0.741,4,0.073,8.1,10.418,45.9,29.7,1.035,1.104,0.762,385.45,14,37
8.222,0.694,4,0.057,9.4,9.542,40.6,34.4,1.038,1.122,0.704,305.34,5,32
8.398,0.694,4,0.057,9.4,9.542,40.6,34.4,1.038,1.122,0.704,305.34,5,32
6.097,0.672,7,0.125,3.2,9.719,35.5,35.5,1.061,1.128,0.666,301.3,0,31
8.699,0.68,4,0.093,4.0,8.812,44.0,40.0,1.012,1.108,0.72,440.58,11,50
9.0,0.709,5,0.054,8.8,10.394,38.2,32.4,1.048,1.119,0.724,353.41,5,34
8.301,0.683,3,0.056,12.1,9.223,39.4,36.4,1.03,1.127,0.699,304.36,5,33
9.0,0.683,3,0.056,12.1,9.223,39.4,36.4,1.03,1.127,0.699,304.36,5,33
9.0,0.702,4,0.057,4.2,9.555,43.8,37.5,1.017,1.102,0.747,458.62,10,48
8.699,0.677,3,0.054,8.8,8.923,41.2,38.2,1.023,1.121,0.701,303.37,5,34
8.222,0.788,3,0.054,9.1,11.814,48.5,24.2,1.043,1.096,0.813,389.86,14,33
6.097,0.658,3,0.1,4.3,7.836,40.4,44.7,1.0,1.111,0.702,368.3,16,47
7.678,0.616,4,0.073,2.6,7.573,38.5,46.2,1.022,1.139,0.631,295.34,0,39
7.086,0.658,2,0.097,6.9,8.901,41.4,37.9,1.008,1.101,0.749,258.13,15,29
7.367,0.658,3,0.048,0.0,9.702,40.0,35.0,1.024,1.087,0.77,194.03,10,20
6.585,0.658,2,0.045,4.8,9.193,38.1,38.1,1.012,1.097,0.759,193.05,10,21
4.699,0.658,5,0.069,3.6,9.189,35.7,39.3,1.044,1.126,0.669,257.29,0,28
7.26,0.614,4,0.053,2.8,7.314,38.9,47.2,1.013,1.129,0.637,263.32,0,36
7.409,0.599,4,0.068,2.4,6.938,38.1,50.0,1.006,1.131,0.629,291.38,0,42
6.602,0.658,3,0.114,0.0,8.611,45.5,39.4,1.004,1.09,0.748,284.16,16,33
8.0,0.658,2,0.111,2.9,10.355,44.1,35.3,1.016,1.093,0.793,352.06,16,34
6.602,0.658,4,0.136,2.4,8.172,40.5,42.9,1.008,1.108,0.706,343.24,16,42
7.921,0.593,4,0.106,2.2,6.787,37.8,51.1,1.003,1.131,0.627,305.41,0,45
7.745,0.628,4,0.095,5.0,7.559,40.0,45.0,1.015,1.129,0.648,302.36,0,40
7.523,0.658,2,0.05,0.0,13.522,42.1,31.6,1.02,1.072,0.858,256.92,10,19
5.699,0.658,2,0.079,5.6,7.672,36.1,47.2,0.997,1.116,0.694,276.2,10,36
5.137,0.631,5,0.037,3.8,8.972,30.8,42.3,1.047,1.136,0.644,233.27,0,26
7.222,0.655,5,0.088,12.5,9.385,31.3,37.5,1.052,1.144,0.656,300.33,5,32
4.699,0.635,7,0.111,2.3,8.396,36.4,43.2,1.032,1.128,0.652,369.43,0,44
6.187,0.622,6,0.065,3.3,8.777,30.0,43.3,1.048,1.139,0.632,263.3,0,30
4.046,0.611,5,0.081,2.8,7.982,33.3,47.2,1.025,1.133,0.639,287.37,0,36
8.523,0.709,3,0.057,9.4,10.044,40.6,34.4,1.03,1.113,0.741,321.41,5,32
3.699,0.666,7,0.143,10.0,9.127,36.7,38.3,1.034,1.13,0.683,547.65,11,60
5.268,0.608,6,0.132,7.8,8.246,29.4,47.1,1.027,1.142,0.64,420.57,0,51
3.523,0.664,6,0.097,13.8,9.218,34.5,37.9,1.036,1.138,0.679,534.64,5,58
4.097,0.661,10,0.192,7.1,8.767,38.6,38.6,1.037,1.13,0.666,613.66,12,70
3.58,0.676,6,0.159,4.8,9.44,38.1,38.1,1.036,1.119,0.699,396.48,5,42
6.0,0.656,5,0.083,8.9,8.677,37.8,40.0,1.029,1.13,0.673,390.46,11,45
5.553,0.626,7,0.125,2.6,8.497,33.3,43.6,1.039,1.133,0.639,331.38,0,39
5.102,0.612,5,0.094,10.0,7.95,32.0,46.0,1.023,1.144,0.636,397.51,5,50
6.155,0.658,6,0.082,8.7,8.836,37.0,39.1,1.035,1.132,0.668,406.46,11,46
4.921,0.634,6,0.111,2.9,8.61,34.3,42.9,1.038,1.131,0.649,301.35,0,35
5.796,0.665,5,0.083,8.9,9.077,37.8,37.8,1.04,1.138,0.671,408.45,11,45
5.076,0.624,6,0.103,2.6,8.299,34.2,44.7,1.032,1.131,0.644,315.38,0,38
5.066,0.626,7,0.125,2.6,8.497,33.3,43.6,1.039,1.133,0.639,331.38,0,39
5.187,0.624,6,0.103,2.6,8.299,34.2,44.7,1.032,1.131,0.644,315.38,0,38
6.448,0.675,5,0.069,7.1,9.653,35.7,35.7,1.052,1.129,0.678,270.29,0,28
7.721,0.661,6,0.091,6.3,9.385,34.4,37.5,1.052,1.133,0.662,300.32,0,32
8.222,0.644,6,0.105,11.1,9.177,30.6,38.9,1.052,1.146,0.645,330.36,5,36
7.194,0.629,7,0.114,5.9,9.01,29.4,41.2,1.055,1.143,0.63,306.33,0,34
5.0,0.614,6,0.079,2.7,8.199,32.4,45.9,1.033,1.135,0.634,303.37,0,37
4.301,0.608,4,0.083,2.9,7.753,34.3,48.6,1.016,1.131,0.645,271.37,0,35
4.699,0.74,5,0.133,3.4,14.727,37.9,31.0,1.058,1.111,0.774,427.08,0,29
7.31,0.639,5,0.083,4.3,8.66,34.8,39.1,1.055,1.139,0.623,199.18,0,23
4.699,0.739,7,0.125,3.2,14.809,35.5,29.0,1.076,1.118,0.753,459.08,0,31
5.081,0.726,7,0.125,3.2,11.941,35.5,29.0,1.082,1.124,0.721,370.18,0,31
4.699,0.727,5,0.133,3.4,11.661,37.9,31.0,1.065,1.118,0.74,338.18,0,29
7.222,0.639,5,0.083,4.3,8.66,34.8,39.1,1.055,1.139,0.623,199.18,0,23
4.699,0.682,6,0.156,3.2,9.591,38.7,35.5,1.05,1.121,0.683,297.31,0,31
4.699,0.623,5,0.119,2.4,7.937,36.6,46.3,1.019,1.127,0.653,325.42,0,41
4.699,0.648,7,0.146,5.0,8.91,35.0,40.0,1.044,1.132,0.654,356.39,0,40
4.699,0.705,5,0.133,3.4,12.007,37.9,34.5,1.05,1.117,0.727,348.19,0,29
4.699,0.68,7,0.116,2.4,9.205,41.5,36.6,1.04,1.117,0.687,377.4,6,41
4.699,0.666,6,0.143,2.9,9.157,38.2,38.2,1.042,1.123,0.675,311.34,0,34
4.886,0.678,5,0.08,6.4,9.275,40.4,38.3,1.03,1.122,0.7,435.92,11,47
