pXC50,nCsp3,Mp,Mi,Mv,nCsp2,C.,nH,H.,nBM,nHet,Si
5.721,6,0.672,1.134,0.657,19,42.4,24,40.7,21,10,66.882
5.569,7,0.668,1.134,0.65,19,41.9,26,41.9,21,10,70.297
6.268,5,0.676,1.12,0.656,19,41.4,24,41.4,23,10,64.95
5.585,5,0.679,1.121,0.652,19,42.9,24,42.9,21,8,62.787
6.398,5,0.695,1.114,0.659,19,42.9,24,42.9,21,8,62.392
6.119,6,0.673,1.117,0.646,20,41.9,27,43.5,22,9,69.282
4.658,5,0.677,1.116,0.653,20,42.4,25,42.4,22,9,65.867
6.377,5,0.704,1.112,0.663,19,42.9,24,42.9,21,8,62.289
5.432,5,0.676,1.117,0.646,19,42.1,25,43.9,21,8,63.657
4.824,8,0.67,1.12,0.641,22,41.7,32,44.4,26,10,80.61
4.845,8,0.682,1.119,0.652,22,41.7,31,43.1,26,11,80.554
6.319,9,0.625,1.14,0.594,11,35.7,28,50.0,13,8,63.813
5.959,3,0.678,1.119,0.66,14,40.5,17,40.5,16,8,46.996
5.481,5,0.632,1.139,0.606,7,31.6,18,47.4,9,8,43.285
5.337,4,0.669,1.121,0.64,13,39.5,19,44.2,15,7,48.202
5.26,2,0.689,1.116,0.66,13,41.7,15,41.7,15,6,40.162
5.252,6,0.698,1.115,0.668,22,42.4,27,40.9,26,11,73.622
6.237,1,0.681,1.124,0.666,13,38.9,14,38.9,15,8,40.455
4.824,6,0.718,1.114,0.673,22,42.4,27,40.9,26,11,73.501
4.0,5,0.669,1.12,0.63,13,40.0,21,46.7,15,6,50.408
4.0,4,0.674,1.119,0.638,13,40.5,19,45.2,15,6,46.993
4.921,5,0.682,1.117,0.646,18,42.6,24,44.4,21,7,60.321
6.456,4,0.693,1.111,0.673,22,44.8,23,39.7,26,9,64.451
7.066,5,0.688,1.113,0.664,22,44.3,25,41.0,26,9,67.867
5.854,5,0.687,1.113,0.658,21,44.1,25,42.4,25,8,65.657
4.523,4,0.667,1.125,0.633,13,38.6,20,45.5,15,7,49.491
5.046,4,0.669,1.121,0.64,13,39.5,19,44.2,15,7,48.202
5.796,5,0.669,1.12,0.63,13,40.0,21,46.7,15,6,50.408
5.62,6,0.681,1.125,0.674,22,43.8,24,37.5,26,12,71.983
5.155,6,0.675,1.15,0.691,21,44.3,20,32.8,25,14,70.18
5.337,8,0.657,1.125,0.633,17,41.7,27,45.0,19,8,67.524
5.737,8,0.655,1.128,0.627,17,41.0,28,45.9,19,8,68.813
5.886,13,0.639,1.144,0.597,12,33.8,37,50.0,19,12,84.636
5.081,12,0.678,1.129,0.633,18,38.5,36,46.2,25,12,88.058
5.921,11,0.681,1.13,0.639,18,38.5,35,44.9,26,13,88.141
5.728,9,0.692,1.141,0.662,18,37.5,29,40.3,25,16,82.167
5.824,11,0.687,1.128,0.635,18,37.2,36,46.2,25,13,87.978
5.222,8,0.707,1.122,0.66,22,40.0,32,42.7,30,13,84.148
4.357,3,0.78,1.129,0.749,13,42.1,11,28.9,14,11,42.919
6.201,6,0.653,1.128,0.62,13,37.3,24,47.1,15,8,57.531
5.456,2,0.673,1.125,0.654,13,38.5,16,41.0,15,8,43.87
5.678,2,0.673,1.125,0.654,13,38.5,16,41.0,15,8,43.87
5.237,1,0.678,1.13,0.67,12,37.1,13,37.1,15,9,39.538
7.097,2,0.694,1.132,0.685,13,38.5,14,35.9,15,10,44.154
5.0,2,0.749,1.104,0.712,13,44.1,12,35.3,14,7,37.541
4.638,3,0.736,1.112,0.7,12,41.7,13,36.1,14,8,40.039
4.658,5,0.697,1.117,0.657,14,43.2,19,43.2,14,6,49.155
4.658,3,0.722,1.107,0.685,20,47.9,19,39.6,20,6,53.155
4.979,4,0.714,1.109,0.675,20,47.1,21,41.2,20,6,56.571
8.523,10,0.642,1.13,0.615,14,39.3,29,47.5,14,8,68.94
5.174,7,0.653,1.148,0.655,15,40.7,21,38.9,18,11,62.002
5.125,4,0.691,1.114,0.666,22,44.1,24,40.7,26,9,65.74
6.0,6,0.667,1.121,0.641,13,39.6,21,43.8,15,8,53.827
6.0,8,0.654,1.125,0.628,13,38.2,25,45.5,15,9,61.867
6.0,7,0.658,1.124,0.635,13,38.5,23,44.2,15,9,58.451
7.06,6,0.697,1.121,0.676,13,38.8,19,38.8,15,11,54.924
6.0,6,0.662,1.123,0.642,13,38.8,21,42.9,15,9,55.036
6.0,6,0.667,1.121,0.641,13,39.6,21,43.8,15,8,53.827
8.092,6,0.697,1.121,0.676,13,38.8,19,38.8,15,11,54.924
5.42,5,0.692,1.111,0.664,22,45.0,25,41.7,26,8,66.657
4.936,4,0.682,1.116,0.663,18,42.3,21,40.4,21,9,58.036
6.155,4,0.701,1.107,0.672,27,47.0,27,40.9,31,8,73.072
5.553,2,0.707,1.11,0.677,21,46.0,20,40.0,25,7,55.491
4.301,4,0.67,1.125,0.653,13,38.6,18,40.9,17,9,49.495
5.523,4,0.674,1.119,0.638,13,40.5,19,45.2,15,6,46.993
5.125,7,0.717,1.133,0.675,13,40.0,20,40.0,14,10,56.635
4.658,4,0.714,1.109,0.675,20,47.1,21,41.2,20,6,56.571
5.066,7,0.674,1.119,0.647,22,42.0,30,43.5,26,10,77.195
5.357,7,0.674,1.119,0.647,22,42.0,30,43.5,26,10,77.195
4.0,4,0.674,1.119,0.638,13,40.5,19,45.2,15,6,46.993
4.699,4,0.669,1.121,0.64,13,39.5,19,44.2,15,7,48.202
6.398,4,0.696,1.109,0.663,23,45.8,25,42.4,26,7,65.448
6.0,6,0.667,1.121,0.641,13,39.6,21,43.8,15,8,53.827
6.0,6,0.662,1.123,0.642,13,38.8,21,42.9,15,9,55.036
6.097,6,0.67,1.137,0.66,18,41.4,23,39.7,21,11,65.965
6.398,5,0.69,1.114,0.658,22,44.3,26,42.6,26,8,67.946
6.0,6,0.677,1.116,0.645,20,42.6,27,44.3,22,8,68.072
6.638,8,0.678,1.115,0.644,20,43.1,29,44.6,22,8,72.488
6.745,8,0.677,1.12,0.65,20,43.1,28,43.1,22,9,72.827
4.699,9,0.668,1.132,0.656,20,42.0,28,40.6,22,12,78.131
5.721,9,0.669,1.12,0.635,20,41.4,32,45.7,22,9,78.401
6.638,5,0.692,1.11,0.66,26,45.6,29,42.6,28,8,75.488
5.921,5,0.679,1.121,0.652,19,42.9,24,42.9,21,8,62.787
5.284,9,0.666,1.121,0.636,20,40.8,32,45.1,22,10,79.61
5.222,10,0.661,1.122,0.624,19,40.3,34,47.2,21,9,80.816
5.31,7,0.665,1.122,0.628,19,40.6,30,46.9,21,8,71.776
5.796,6,0.671,1.118,0.639,19,41.7,27,45.0,21,8,67.072
5.77,5,0.679,1.121,0.652,19,42.9,24,42.9,21,8,62.787
6.137,6,0.682,1.116,0.651,24,43.5,30,43.5,27,9,76.986
6.367,6,0.677,1.116,0.645,20,42.6,27,44.3,22,8,68.072
6.229,9,0.658,1.124,0.626,20,39.7,34,46.6,22,10,82.026
6.155,6,0.683,1.114,0.657,22,43.8,27,42.2,26,9,71.282
7.046,11,0.667,1.118,0.628,20,41.9,35,47.3,22,8,82.733
6.699,6,0.685,1.115,0.651,22,43.8,28,43.8,26,8,71.361
7.097,5,0.691,1.115,0.666,26,45.6,28,41.2,28,9,75.827
4.301,4,0.693,1.115,0.671,22,45.6,23,40.4,24,8,63.555
4.658,3,0.701,1.118,0.682,22,45.5,21,38.2,26,9,61.512
5.721,2,0.711,1.114,0.7,22,47.1,18,35.3,26,9,56.808
5.62,2,0.734,1.107,0.706,22,49.0,18,36.7,24,7,54.25
5.367,2,0.703,1.109,0.67,19,45.7,19,41.3,21,6,50.993
5.337,10,0.649,1.129,0.617,17,40.3,32,47.8,19,8,75.644
4.602,3,0.705,1.107,0.685,21,50.0,20,38.5,22,6,57.571
6.699,7,0.675,1.146,0.679,22,43.3,24,35.8,26,14,76.815
7.0,8,0.669,1.118,0.633,20,41.8,31,46.3,22,8,74.903
5.959,5,0.676,1.117,0.646,19,42.1,25,43.9,21,8,63.657
5.495,9,0.671,1.131,0.655,20,42.6,28,41.2,22,11,76.922
6.398,5,0.687,1.112,0.655,25,44.8,29,43.3,27,8,74.488
6.046,5,0.686,1.115,0.657,24,43.9,28,42.4,27,9,73.571
5.745,6,0.671,1.118,0.639,19,41.7,27,45.0,21,8,67.072
8.301,5,0.667,1.125,0.653,14,38.8,20,40.8,19,10,55.119
4.745,6,0.674,1.122,0.659,14,40.0,20,40.0,19,10,56.119
5.658,6,0.684,1.12,0.657,22,40.0,29,41.4,28,13,78.408
4.602,9,0.654,1.14,0.637,14,39.7,25,43.1,19,10,66.11
6.0,6,0.694,1.117,0.66,19,42.4,25,42.4,21,9,65.89
