pXC50,nC,nBO,SCBO,Sp,Sv,MW,nSK,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB
6.155,14,21,26.5,25.023,23.73,276.38,20,41,6.909,35.0,50.0,1.003,1.143,0.626,0.593,10.0,5
5.097,10,22,27.0,20.75,20.901,301.72,20,34,9.429,31.3,37.5,1.052,1.154,0.648,0.653,15.6,10
5.301,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
5.301,11,18,24.5,18.977,18.622,232.27,17,30,8.009,37.9,41.4,1.021,1.14,0.654,0.642,13.8,5
5.097,9,16,20.5,16.977,16.622,208.25,15,28,7.713,33.3,44.4,1.022,1.151,0.629,0.616,14.8,5
4.595,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
4.631,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
5.77,13,22,29.5,21.432,21.337,272.29,20,34,8.509,40.6,37.5,1.029,1.134,0.67,0.667,12.5,11
5.481,9,16,20.5,16.977,16.622,208.25,15,28,7.713,33.3,44.4,1.022,1.151,0.629,0.616,14.8,5
4.697,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
5.854,14,21,25.5,25.784,24.256,278.4,20,43,6.629,33.3,52.4,1.0,1.146,0.614,0.578,9.5,5
5.824,18,26,33.5,29.784,28.256,326.44,24,48,7.097,39.1,47.8,1.0,1.134,0.647,0.614,8.7,11
6.149,17,29,38.5,31.034,30.061,392.48,27,49,8.351,36.2,42.6,1.025,1.134,0.66,0.64,8.5,11
6.886,19,31,39.0,32.699,31.707,385.47,28,54,7.558,37.3,45.1,1.015,1.139,0.641,0.622,9.8,16
6.959,18,28,36.5,29.932,29.159,356.42,26,48,7.748,39.1,43.5,1.017,1.134,0.651,0.634,8.7,11
5.928,23,31,41.0,35.302,33.289,375.51,28,56,7.085,43.4,47.2,0.994,1.122,0.666,0.628,5.7,16
5.387,12,19,23.5,22.262,21.203,250.34,18,37,6.954,33.3,50.0,1.007,1.148,0.618,0.589,11.1,5
8.301,16,28,33.0,29.699,28.707,349.44,25,51,7.28,33.3,47.9,1.016,1.147,0.619,0.598,10.4,10
6.638,20,30,34.5,34.069,31.837,356.52,26,58,6.602,37.0,51.9,0.994,1.137,0.631,0.59,7.4,5
5.426,13,21,26.0,22.597,21.268,243.35,18,38,6.953,37.1,48.6,0.995,1.142,0.646,0.608,14.3,10
6.329,13,21,28.5,20.977,20.622,256.29,19,33,8.267,41.9,38.7,1.019,1.131,0.677,0.665,12.9,11
4.812,9,16,20.5,16.977,16.622,208.25,15,28,7.713,33.3,44.4,1.022,1.151,0.629,0.616,14.8,5
5.201,13,25,34.5,23.989,23.954,336.36,23,37,9.61,37.1,34.3,1.047,1.132,0.685,0.684,11.4,11
4.854,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
