pXC50,nN,X.,nX,nAB,nBM,nCL,nCsp2,nCsp,nTB,N.,nF,O.,nHet
8.276,8,5.4,3,22,23,2,17,1,1,14.3,1,0.0,11
8.658,8,5.1,3,22,23,2,17,1,1,13.6,1,0.0,11
8.398,8,5.7,3,28,29,2,22,1,1,15.1,1,0.0,11
8.699,8,5.7,3,28,29,2,22,1,1,15.1,1,0.0,11
8.119,8,6.0,3,28,29,2,22,1,1,16.0,1,0.0,11
8.0,8,5.7,3,28,29,2,22,1,1,15.1,1,0.0,11
6.387,5,3.3,1,21,21,0,14,0,0,16.7,0,3.3,8
6.268,2,3.3,1,16,17,0,14,0,0,6.7,0,10.0,7
4.824,5,0.0,0,27,27,0,20,0,0,12.5,0,2.5,7
5.796,5,3.3,1,21,21,0,14,0,0,16.7,0,3.3,8
7.745,8,4.4,3,22,23,2,17,1,1,11.8,1,0.0,11
8.0,8,4.5,3,22,23,2,17,1,1,12.1,1,0.0,11
5.398,2,2.3,1,17,20,0,20,0,0,4.7,0,9.3,7
5.796,4,5.0,4,24,28,0,28,0,0,5.0,0,10.0,16
6.854,2,0.0,0,22,23,0,20,0,0,5.1,0,5.1,5
6.149,5,3.3,1,21,21,1,14,0,0,16.7,0,3.3,8
5.319,4,7.7,6,24,28,0,28,0,0,5.1,0,10.3,18
7.097,5,0.0,0,27,27,0,20,0,0,12.8,0,0.0,6
4.301,2,0.0,0,22,23,0,20,0,0,5.1,0,5.1,5
6.921,5,2.5,1,27,27,1,20,0,0,12.5,0,2.5,8
4.398,7,5.9,3,28,29,1,23,1,1,13.7,1,0.0,10
8.041,8,4.6,3,22,23,2,17,1,1,12.3,1,0.0,11
6.027,1,3.6,1,16,17,0,14,0,0,3.6,0,10.7,6
7.658,8,4.8,3,22,23,2,17,1,1,12.9,1,0.0,11
5.678,5,2.5,1,27,27,1,20,0,0,12.5,0,2.5,8
5.658,5,0.0,0,21,21,0,14,0,0,16.7,0,3.3,7
7.699,8,5.7,3,28,29,1,22,1,1,15.1,1,0.0,11
4.301,2,3.7,1,16,16,0,13,0,0,7.4,0,3.7,5
5.125,5,0.0,0,21,21,0,14,0,0,15.2,0,3.0,7
6.854,7,5.6,3,28,29,2,23,1,1,13.0,1,0.0,10
8.796,8,4.8,3,22,23,2,17,1,1,12.9,1,0.0,11
4.495,2,0.0,0,16,18,0,17,0,0,4.3,0,8.5,6
6.215,5,0.0,0,21,21,0,14,0,0,11.9,0,2.4,7
5.0,4,6.0,3,22,24,0,20,0,0,8.0,3,6.0,10
5.398,5,5.6,3,23,24,2,21,0,0,9.3,1,3.7,10
5.0,7,0.0,0,30,30,0,21,0,0,14.0,0,0.0,8
5.0,6,0.0,0,23,25,0,23,0,0,9.7,0,4.8,9
5.0,5,0.0,0,23,25,0,23,0,0,8.3,0,5.0,8
5.0,3,13.3,6,18,20,0,20,0,0,6.7,6,8.9,13
5.625,0,0.0,0,12,14,0,14,0,0,0.0,0,28.6,8
