pXC50,nBM,nCsp2,nAT,nBT,Se,Si,nBO,nAB,SCBO,nSK,Sv,Sp,MW,nH,AMW,C.,H.,Me,Mi
5.252,19,15,43,45,43.658,48.076,27,17,37.5,25,28.304,29.568,358.45,18,8.336,41.9,41.9,1.015,1.118
5.523,19,15,42,44,42.654,46.81,27,17,37.5,25,28.416,29.972,376.89,17,8.974,42.9,40.5,1.016,1.115
5.119,19,15,43,45,43.982,48.02,28,17,38.5,26,29.131,30.426,392.89,17,9.137,41.9,39.5,1.023,1.117
5.481,19,15,42,44,42.654,46.81,27,17,37.5,25,28.416,29.972,376.89,17,8.974,42.9,40.5,1.016,1.115
5.347,19,15,42,44,42.654,46.81,27,17,37.5,25,28.416,29.972,376.89,17,8.974,42.9,40.5,1.016,1.115
5.553,19,15,46,48,46.542,51.491,28,17,38.5,26,29.83,31.33,372.48,20,8.097,41.3,43.5,1.012,1.119
5.086,19,15,47,49,47.869,52.7,29,17,39.5,27,30.545,31.784,388.48,20,8.266,40.4,42.6,1.018,1.121
5.585,19,15,46,48,46.542,51.491,28,17,38.5,26,29.83,31.33,372.48,20,8.097,41.3,43.5,1.012,1.119
5.222,19,15,47,49,47.869,52.7,29,17,39.5,27,30.545,31.784,388.48,20,8.266,40.4,42.6,1.018,1.121
5.252,19,15,46,48,46.542,51.491,28,17,38.5,26,29.83,31.33,372.48,20,8.097,41.3,43.5,1.012,1.119
4.796,19,15,47,49,47.869,52.7,29,17,39.5,27,30.545,31.784,388.48,20,8.266,40.4,42.6,1.018,1.121
5.18,19,15,45,47,45.214,50.282,27,17,37.5,25,29.116,30.875,356.48,20,7.922,42.2,44.4,1.005,1.117
4.699,19,15,46,48,46.542,51.491,28,17,38.5,26,29.83,31.33,372.48,20,8.097,41.3,43.5,1.012,1.119
5.357,19,15,48,50,48.098,53.697,28,17,38.5,26,30.642,32.637,370.51,22,7.719,41.7,45.8,1.002,1.119
5.481,19,15,51,53,50.982,57.112,29,17,39.5,27,32.169,34.398,384.54,24,7.54,41.2,47.1,1.0,1.12
4.886,13,9,42,43,42.542,47.491,23,11,30.5,22,25.83,27.33,324.44,20,7.725,35.7,47.6,1.013,1.131
5.187,13,9,42,43,42.542,47.491,23,11,30.5,22,25.83,27.33,324.44,20,7.725,35.7,47.6,1.013,1.131
5.699,13,9,44,45,44.098,49.697,23,11,30.5,22,26.642,28.637,322.47,22,7.329,36.4,50.0,1.002,1.129
5.9,23,19,44,47,44.985,49.369,31,22,43.0,28,30.28,30.648,377.4,16,8.577,47.7,36.4,1.022,1.122
5.2,22,18,45,48,45.542,50.575,30,22,41.0,27,30.092,30.955,363.42,18,8.076,46.7,40.0,1.012,1.124
5.4,23,18,52,56,52.56,58.441,35,22,47.0,31,34.466,35.483,415.49,21,7.99,44.2,40.4,1.011,1.124
5.0,18,11,42,44,42.643,47.82,26,16,36.0,24,26.906,28.159,346.46,18,8.249,35.7,42.9,1.015,1.139
5.866,17,15,42,44,42.036,46.863,25,17,33.5,23,26.907,28.222,309.39,19,7.366,45.2,45.2,1.001,1.116
5.86,17,15,49,51,49.131,54.903,28,17,36.5,26,30.675,32.199,353.45,23,7.213,42.9,46.9,1.003,1.12
5.932,17,15,46,48,46.247,51.488,27,17,35.5,25,29.149,30.438,339.42,21,7.379,43.5,45.7,1.005,1.119
6.264,18,16,37,39,37.269,41.033,24,17,33.5,22,24.853,25.699,293.34,15,7.928,48.6,40.5,1.007,1.109
6.429,17,15,39,41,39.153,43.448,24,17,32.5,22,25.38,26.46,295.36,17,7.573,46.2,43.6,1.004,1.114
5.409,17,15,45,47,45.243,50.223,27,17,35.5,25,29.261,30.841,357.86,20,7.952,44.4,44.4,1.005,1.116
5.77,17,15,45,47,45.432,50.618,27,17,35.5,25,28.817,29.921,341.41,20,7.587,44.4,44.4,1.01,1.125
5.585,17,15,45,47,45.243,50.223,27,17,35.5,25,29.261,30.841,357.86,20,7.952,44.4,44.4,1.005,1.116
5.824,17,15,45,47,45.432,50.618,27,17,35.5,25,28.817,29.921,341.41,20,7.587,44.4,44.4,1.01,1.125
6.194,17,15,45,47,44.92,50.279,26,17,34.5,24,28.434,29.983,323.42,21,7.187,44.4,46.7,0.998,1.117
6.431,18,16,44,46,44.363,49.073,27,17,36.5,25,28.622,29.676,337.4,19,7.668,45.5,43.2,1.008,1.115
6.418,17,15,39,41,39.153,43.448,24,17,32.5,22,25.38,26.46,295.36,17,7.573,46.2,43.6,1.004,1.114
6.745,22,16,41,44,41.036,45.694,28,21,40.5,25,27.961,29.046,328.4,16,8.01,48.8,39.0,1.001,1.114
4.642,14,15,37,39,36.793,41.032,23,12,31.0,21,24.632,26.443,296.42,16,8.011,45.9,43.2,0.994,1.109
6.444,18,15,57,60,56.963,63.76,34,16,44.0,31,36.83,39.568,456.05,26,8.001,42.1,45.6,0.999,1.119
4.62,8,9,19,20,19.48,20.817,14,6,19.0,13,14.331,15.25,211.68,6,11.141,47.4,31.6,1.025,1.096
4.377,8,9,21,22,21.258,23.372,14,6,19.0,13,14.525,15.398,192.26,8,9.155,42.9,38.1,1.012,1.113
4.292,8,9,21,22,21.258,23.372,14,6,19.0,13,14.525,15.398,192.26,8,9.155,42.9,38.1,1.012,1.113
4.623,8,9,22,23,22.585,24.581,15,6,20.0,14,15.24,15.852,208.26,8,9.466,40.9,36.4,1.027,1.117
4.295,8,9,23,24,23.36,25.87,15,6,20.0,14,15.547,16.404,207.28,9,9.012,39.1,39.1,1.016,1.125
5.357,16,15,38,40,38.967,42.165,26,12,36.0,24,26.437,27.693,362.46,14,9.538,42.1,36.8,1.025,1.11
5.387,16,15,37,39,37.64,40.956,25,12,35.0,23,25.722,27.239,346.46,14,9.364,43.2,37.8,1.017,1.107
5.387,15,13,31,33,31.949,34.046,23,11,32.5,21,22.856,24.364,338.46,10,10.918,41.9,32.3,1.031,1.098
5.432,16,15,34,36,35.269,37.881,25,12,35.0,23,24.579,25.415,350.42,11,10.306,44.1,32.4,1.037,1.114
5.0,16,14,33,35,33.975,36.624,24,12,34.0,22,23.69,24.722,333.42,11,10.104,42.4,33.3,1.03,1.11
5.481,15,13,32,34,33.276,35.255,24,11,33.5,22,23.571,24.818,354.46,10,11.077,40.6,31.3,1.04,1.102
5.585,15,13,33,35,34.051,36.544,24,11,33.5,22,23.877,25.369,353.48,11,10.712,39.4,33.3,1.032,1.107
5.456,22,20,48,51,49.029,52.999,34,17,47.5,31,34.172,36.108,471.62,17,9.825,43.8,35.4,1.021,1.104
5.585,22,20,51,54,51.913,56.414,35,17,48.5,32,35.699,37.869,485.65,19,9.523,43.1,37.3,1.018,1.106
5.62,16,14,44,46,45.029,48.999,29,11,39.5,27,30.172,32.108,423.58,17,9.627,38.6,38.6,1.023,1.114
5.602,16,14,48,51,48.913,53.414,32,11,42.5,29,32.699,34.869,449.62,19,9.367,39.6,39.6,1.019,1.113
6.638,21,18,42,45,43.338,46.089,32,16,45.0,29,31.306,33.233,463.62,13,11.039,42.9,31.0,1.032,1.097
5.658,16,14,57,60,57.563,63.66,35,11,45.5,32,37.279,40.154,491.71,25,8.626,38.6,43.9,1.01,1.117
6.244,22,20,51,54,51.913,56.414,35,17,48.5,32,35.699,37.869,485.65,19,9.523,43.1,37.3,1.018,1.106
6.102,16,14,44,46,45.029,48.999,29,11,39.5,27,30.172,32.108,423.58,17,9.627,38.6,38.6,1.023,1.114
5.609,18,15,35,38,35.149,39.013,25,17,34.5,22,24.547,25.688,308.79,13,8.823,48.6,37.1,1.004,1.115
