pXC50,nHM,Si,nAT,nBT,Mp,C.,nCsp2,nN,SCBO,nBM,AMW,nDB,N.,Se,Sp,Mi,nC,nAB,nBO,Mv,nO,nS,nSK,MW,nH,RBF,H.,Sv,nHet,Me
5.0,1,91.643,81,85,0.643,37.0,14,4,55.0,16,7.22,4,4.9,81.352,52.103,1.131,30,12,45,0.605,6,1,41,584.81,40,0.071,49.4,49.044,11,1.004
5.0,1,100.763,89,94,0.642,37.1,14,5,59.0,16,7.01,4,5.6,88.894,57.177,1.132,33,12,49,0.6,5,1,44,623.9,45,0.074,50.6,53.404,11,0.999
5.0,1,104.387,92,96,0.635,35.9,14,5,59.0,16,6.977,4,5.4,92.105,58.393,1.135,33,12,49,0.594,6,1,45,641.92,47,0.094,51.1,54.646,12,1.001
5.182,2,56.826,51,53,0.701,41.2,13,2,42.0,16,8.443,3,3.9,51.502,35.739,1.114,21,12,31,0.658,4,2,29,430.59,22,0.113,43.1,33.544,8,1.01
5.0,1,94.57,84,86,0.657,39.3,21,3,57.0,22,7.045,4,3.6,83.589,55.199,1.126,33,18,44,0.608,5,0,42,591.75,42,0.186,50.0,51.098,9,0.995
5.0,0,64.449,57,59,0.66,42.1,19,3,46.5,20,7.956,3,5.3,58.174,37.602,1.131,24,17,35,0.646,5,0,33,453.51,24,0.153,42.1,36.816,9,1.021
5.0,1,69.879,61,64,0.65,37.7,13,3,47.0,15,8.42,3,4.9,63.043,39.648,1.146,23,12,38,0.636,5,1,35,513.59,26,0.078,42.6,38.824,12,1.033
5.0,2,65.388,58,61,0.671,37.9,13,3,44.0,15,8.276,3,5.2,58.945,38.932,1.127,22,12,35,0.637,5,1,32,480.03,26,0.082,44.8,36.974,10,1.016
5.0,1,79.188,70,74,0.648,37.1,13,4,49.0,15,7.353,3,5.7,70.374,45.364,1.131,26,12,40,0.611,5,1,36,514.71,34,0.095,48.6,42.749,10,1.005
5.0,1,59.534,53,54,0.669,39.6,14,2,44.0,17,8.425,4,3.8,54.407,35.455,1.123,21,12,32,0.651,7,1,31,446.52,22,0.167,41.5,34.502,10,1.027
5.0,1,77.275,69,72,0.675,42.0,19,3,55.0,22,7.735,3,4.3,69.389,46.597,1.12,29,18,41,0.641,5,1,38,533.7,31,0.125,44.9,44.2,9,1.006
5.0,1,83.813,74,77,0.643,36.5,14,4,51.0,16,7.361,4,5.4,74.585,47.58,1.133,27,12,41,0.608,6,1,38,544.74,36,0.117,48.6,44.99,11,1.008
6.0,0,66.94,59,60,0.63,37.3,13,3,39.5,14,7.043,3,5.1,59.429,37.188,1.135,22,11,31,0.601,5,0,30,415.54,29,0.133,49.2,35.487,8,1.007
4.987,1,56.412,51,54,0.71,47.1,19,1,49.0,22,8.814,3,2.0,52.094,36.233,1.106,24,18,35,0.691,6,1,32,449.51,19,0.111,37.3,35.238,8,1.021
5.0,0,64.109,57,59,0.661,42.1,19,3,45.5,20,7.641,3,5.3,57.662,37.665,1.125,24,17,34,0.639,5,0,32,435.52,25,0.153,43.9,36.433,8,1.012
5.0,3,57.461,52,54,0.73,42.3,17,1,50.5,23,9.724,5,1.9,53.575,37.983,1.105,22,17,35,0.699,7,3,33,505.63,19,0.148,36.5,36.327,11,1.03
6.398,1,74.278,66,68,0.663,39.4,15,3,52.0,18,7.995,5,4.5,67.16,43.744,1.125,26,12,39,0.638,7,1,37,527.65,29,0.162,43.9,42.103,11,1.018
5.959,1,65.448,58,59,0.659,37.9,14,3,46.0,17,8.199,4,5.2,59.393,38.222,1.128,22,12,34,0.639,7,1,33,475.57,25,0.203,43.1,37.05,11,1.024
6.456,1,60.618,54,56,0.68,40.7,15,3,48.0,18,8.732,5,5.6,55.625,36.699,1.123,22,12,35,0.667,7,1,33,471.53,21,0.161,38.9,35.996,11,1.03
5.959,1,54.74,48,48,0.62,31.3,7,2,30.0,9,7.51,3,4.2,48.963,29.762,1.14,15,6,24,0.59,6,1,24,360.48,24,0.167,50.0,28.314,9,1.02
6.569,2,28.257,25,25,0.715,32.0,7,2,22.0,9,12.366,3,8.0,26.353,17.875,1.13,8,6,16,0.689,4,1,16,309.16,9,0.16,36.0,17.222,8,1.054
7.252,1,56.946,50,50,0.621,32.0,7,2,30.0,9,7.17,3,4.0,50.52,31.068,1.139,16,6,24,0.583,5,1,24,358.51,26,0.16,52.0,29.126,8,1.01
6.708,1,54.199,48,49,0.662,37.5,14,3,38.0,16,8.156,4,6.3,48.971,31.79,1.129,18,12,28,0.637,5,1,27,391.49,21,0.163,43.8,30.567,9,1.02
5.0,2,62.167,56,58,0.721,44.6,20,2,52.0,23,9.954,4,3.6,57.309,40.352,1.11,25,18,37,0.693,6,1,35,557.45,21,0.155,37.5,38.812,10,1.023
8.398,2,50.419,45,47,0.713,40.0,15,3,42.0,17,10.719,5,6.7,46.76,32.074,1.12,18,12,31,0.695,6,1,29,482.34,16,0.149,35.6,31.253,11,1.039
6.337,2,53.783,48,50,0.704,39.6,15,4,41.0,17,8.679,5,8.3,48.611,33.773,1.12,19,12,30,0.663,3,2,28,416.57,20,0.12,41.7,31.819,9,1.013
7.222,1,83.441,74,76,0.646,37.8,15,2,51.0,17,7.361,5,2.7,74.592,47.784,1.128,28,12,40,0.611,7,1,38,544.73,36,0.079,48.6,45.189,10,1.008
6.745,0,75.644,67,69,0.649,40.3,18,4,49.0,20,7.114,4,6.0,67.087,43.5,1.129,27,16,37,0.617,4,0,35,476.63,32,0.174,47.8,41.32,8,1.001
5.824,1,71.278,63,65,0.647,36.5,14,3,46.0,16,7.803,4,4.8,64.16,40.744,1.131,23,12,36,0.621,7,1,34,491.62,29,0.123,46.0,39.103,11,1.018
6.081,1,68.737,61,64,0.668,39.3,17,4,50.5,21,8.174,4,6.6,62.167,40.773,1.127,24,17,38,0.645,6,1,35,498.61,26,0.094,42.6,39.356,11,1.019
5.377,1,62.242,56,58,0.692,44.6,19,1,49.0,22,8.314,3,1.8,56.862,38.756,1.111,25,18,35,0.666,6,1,33,465.56,23,0.138,41.1,37.292,8,1.015
6.678,3,50.312,45,47,0.73,40.0,15,4,41.0,17,9.711,5,8.9,46.051,32.869,1.118,18,12,30,0.692,3,2,28,436.98,17,0.128,37.8,31.119,10,1.023
5.0,1,82.45,73,74,0.646,37.0,15,2,47.0,16,7.077,4,2.7,73.047,47.125,1.129,27,12,37,0.599,6,0,36,516.63,37,0.203,50.7,43.738,9,1.001
5.301,1,65.842,58,61,0.687,43.1,21,3,55.0,23,9.441,5,5.2,60.72,39.818,1.135,25,18,41,0.689,6,1,38,547.55,20,0.131,34.5,39.958,13,1.047
5.824,2,43.21,38,38,0.674,31.6,8,3,29.0,10,10.376,4,7.9,39.433,25.619,1.137,12,6,22,0.646,5,1,22,394.28,16,0.184,42.1,24.538,10,1.038
5.0,1,102.404,91,94,0.658,39.6,22,3,64.0,23,7.273,5,3.3,91.127,59.87,1.125,36,18,50,0.616,7,0,47,661.8,44,0.181,48.4,56.054,11,1.001
5.0,2,57.459,52,54,0.729,46.2,19,1,48.0,22,9.893,3,1.9,52.88,37.892,1.105,24,18,34,0.694,5,1,32,514.42,20,0.148,38.5,36.076,8,1.017
5.476,1,61.033,55,57,0.696,45.5,19,1,48.0,22,8.174,3,1.8,55.534,38.301,1.11,25,18,34,0.665,5,1,32,449.56,23,0.14,41.8,36.577,7,1.01
6.357,2,50.708,45,47,0.71,40.0,15,4,41.0,17,9.345,5,8.9,46.24,31.949,1.127,18,12,30,0.682,3,2,28,420.53,17,0.128,37.8,30.675,10,1.028
7.854,0,71.145,63,64,0.643,39.7,16,3,43.0,16,6.946,4,4.8,62.985,40.495,1.129,25,12,33,0.608,4,0,32,437.59,31,0.188,49.2,38.299,7,1.0
5.0,1,93.068,82,83,0.637,35.4,15,4,50.0,16,6.814,4,4.9,81.69,52.205,1.135,29,12,40,0.587,5,0,39,558.73,43,0.193,52.4,48.119,10,0.996
5.0,1,97.985,87,89,0.655,39.1,21,3,58.0,22,6.963,4,3.4,86.472,56.961,1.126,34,18,45,0.605,5,0,43,605.78,44,0.191,50.6,52.625,9,0.994
7.398,0,68.062,60,60,0.621,36.7,11,2,35.0,10,6.476,4,3.3,59.767,37.25,1.134,22,6,28,0.58,4,0,28,388.56,32,0.2,53.3,34.804,6,0.996
6.367,2,54.802,48,50,0.7,39.6,15,4,44.0,17,9.803,5,8.3,50.149,33.585,1.142,19,12,33,0.687,3,2,31,470.54,17,0.12,35.4,32.969,12,1.045
5.174,1,70.069,62,64,0.65,37.1,14,3,45.0,16,7.671,4,4.8,62.832,40.29,1.13,23,12,35,0.619,6,1,33,475.62,29,0.109,46.8,38.388,10,1.013
6.523,3,53.727,48,50,0.721,39.6,15,4,42.0,17,9.396,5,8.3,48.934,34.631,1.119,19,12,31,0.68,3,2,29,451.01,19,0.12,39.6,32.646,10,1.019
5.0,1,96.483,85,86,0.635,35.3,15,4,51.0,16,6.738,4,4.7,84.574,53.966,1.135,30,12,41,0.584,5,0,40,572.76,45,0.198,52.9,49.646,10,0.995
4.921,1,57.614,51,53,0.658,37.3,13,3,39.0,15,7.951,3,5.9,51.854,33.551,1.13,19,12,30,0.629,5,1,28,405.52,23,0.113,45.1,32.093,9,1.017
5.983,4,46.817,42,44,0.756,38.1,13,4,39.5,16,10.548,5,9.5,43.244,31.756,1.115,16,11,29,0.709,3,3,27,443.01,15,0.136,35.7,29.78,11,1.03
5.0,1,95.194,84,85,0.636,35.7,15,3,51.0,16,6.83,4,3.6,83.799,53.415,1.133,30,12,41,0.587,6,0,40,573.74,44,0.212,52.4,49.339,10,0.998
5.0,1,60.531,54,56,0.672,40.7,13,2,43.0,16,7.936,3,3.7,54.636,36.307,1.121,22,12,32,0.641,5,1,30,428.55,24,0.125,44.4,34.599,8,1.012
5.0,1,91.154,81,83,0.66,39.5,21,3,56.0,22,7.132,4,3.7,80.705,53.438,1.125,32,18,43,0.612,5,0,41,577.72,40,0.181,49.4,49.571,9,0.996
5.469,1,65.737,58,60,0.651,36.2,13,4,44.0,16,7.976,4,6.9,59.167,37.773,1.133,21,12,34,0.627,6,1,32,462.58,26,0.1,44.8,36.356,11,1.02
5.0,1,100.483,89,91,0.651,38.2,21,4,59.0,22,6.975,4,4.5,88.574,57.966,1.129,34,18,46,0.603,5,0,44,620.8,45,0.187,50.6,53.646,10,0.995
7.301,1,101.36,90,94,0.666,40.0,24,5,68.0,27,7.464,5,5.6,90.236,59.904,1.126,36,22,52,0.626,6,0,48,671.8,42,0.17,46.7,56.329,12,1.003
5.0,0,64.449,57,59,0.66,42.1,19,3,46.5,20,7.956,3,5.3,58.174,37.602,1.131,24,17,35,0.646,5,0,33,453.51,24,0.153,42.1,36.816,9,1.021
5.796,1,66.654,59,61,0.653,37.3,14,3,44.0,16,7.824,4,5.1,59.949,38.529,1.13,22,12,34,0.625,6,1,32,461.59,27,0.098,45.8,36.862,10,1.016
5.77,1,63.578,56,58,0.655,37.5,14,3,44.0,16,8.313,4,5.4,57.578,36.705,1.135,21,12,34,0.638,6,1,32,465.55,24,0.103,42.9,35.718,11,1.028
6.301,1,59.697,53,55,0.675,39.6,16,4,44.0,19,8.35,3,7.5,54.073,35.796,1.126,21,16,33,0.653,5,1,31,442.54,22,0.164,41.5,34.588,10,1.02
8.328,0,79.976,71,73,0.648,40.8,19,3,50.0,20,6.897,4,4.2,70.752,46.017,1.126,29,16,38,0.611,4,0,36,489.67,35,0.164,49.3,43.352,7,0.997
5.0,0,63.864,56,57,0.631,37.5,13,3,39.5,14,7.491,3,5.4,57.058,35.364,1.14,21,11,31,0.613,5,0,30,419.5,26,0.14,46.4,34.343,9,1.019
5.886,2,67.783,60,62,0.661,35.0,13,3,46.0,17,8.294,5,5.0,61.353,39.631,1.13,21,12,35,0.629,7,2,33,497.65,27,0.113,45.0,37.764,12,1.023
6.377,3,50.209,45,47,0.741,40.0,15,4,41.0,17,10.698,5,8.9,45.956,33.364,1.116,18,12,30,0.696,3,2,28,481.43,17,0.128,37.8,31.317,10,1.021
5.0,1,113.938,101,104,0.651,38.6,22,4,67.0,23,6.96,5,4.0,100.552,65.705,1.128,39,18,53,0.603,6,0,50,702.91,51,0.173,50.5,60.941,11,0.996
5.658,1,76.567,68,71,0.666,39.7,20,4,54.0,22,7.922,4,5.9,68.934,45.296,1.126,27,18,41,0.638,6,1,38,538.68,30,0.099,44.1,43.41,11,1.014
5.0,1,101.4,90,92,0.652,38.9,21,3,59.0,22,6.887,4,3.3,89.356,58.722,1.127,35,18,46,0.602,5,0,44,619.81,46,0.196,51.1,54.151,9,0.993
5.68,0,92.308,82,85,0.655,41.5,23,4,61.0,23,7.302,5,4.9,82.392,53.694,1.126,34,18,47,0.626,6,0,44,598.76,38,0.176,46.3,51.33,10,1.005
