pXC50,Sp,nC,nBO,nAT,nBT,nSK,SCBO,Sv,MW,X.,nF,nH,Si,nCsp3,Se,O.,RBN,nN,N.,Mv,nHet,nCsp2,nDB,Mi,H.,nAB,AMW,Mp,RBF,nBM
8.699,55.688,34,45,82.0,86.0,41,58.5,50.877,587.92,0.0,0,41,91.643,13,80.901,2.4,13,3,3.7,0.62,7,21,2,1.118,50.0,23,7.17,0.679,0.151,25
7.745,44.915,27,37,68.0,71.0,34,45.0,41.663,528.54,1.5,0,34,76.608,13,67.654,4.4,5,3,4.4,0.613,7,14,2,1.127,50.0,12,7.773,0.661,0.07,14
8.398,52.029,33,46,79.0,83.0,42,61.0,49.395,567.75,0.0,0,37,88.972,11,78.956,5.1,13,5,6.3,0.625,9,22,4,1.126,46.8,22,7.187,0.659,0.157,26
8.398,60.074,38,52,92.0,97.0,47,66.0,56.502,635.88,0.0,0,45,103.633,15,91.49,4.3,13,5,5.4,0.614,9,23,3,1.126,48.9,22,6.912,0.653,0.134,25
7.481,46.728,28,37,72.0,75.0,34,46.0,42.857,482.75,0.0,0,38,81.018,15,71.167,4.2,5,2,2.8,0.595,6,13,3,1.125,52.8,12,6.705,0.649,0.067,15
7.602,43.984,28,37,69.0,72.0,34,44.0,41.39,472.65,4.3,3,35,78.699,15,68.974,1.4,4,2,2.9,0.6,6,13,1,1.141,50.7,12,6.85,0.637,0.056,13
8.523,60.171,38,53,90.0,95.0,48,68.0,56.803,668.3,1.1,0,42,101.162,13,89.93,4.4,14,5,5.6,0.631,10,25,4,1.124,46.7,22,7.426,0.669,0.147,26
8.097,44.762,28,35,67.0,70.0,32,43.0,40.738,495.55,1.5,0,35,75.106,13,65.781,1.5,4,2,3.0,0.608,4,15,2,1.121,52.2,12,7.396,0.668,0.057,14
7.222,54.927,34,46,80.0,85.0,41,59.5,50.35,585.9,0.0,0,39,89.227,13,79.018,2.5,10,3,3.8,0.629,7,21,2,1.115,48.8,23,7.324,0.687,0.118,25
7.745,56.762,36,49,87.0,91.0,45,63.0,53.669,610.82,0.0,0,42,97.929,14,86.832,5.7,13,4,4.6,0.617,9,22,5,1.126,48.3,18,7.021,0.652,0.143,23
7.387,55.381,34,47,81.0,86.0,42,60.5,51.065,601.9,0.0,0,39,90.437,13,80.345,3.7,10,3,3.7,0.63,8,21,2,1.117,48.1,23,7.431,0.684,0.116,25
7.495,61.932,39,54,93.0,98.0,49,69.0,58.33,682.33,1.1,0,44,104.577,14,92.814,4.3,14,5,5.4,0.627,10,25,4,1.124,47.3,22,7.337,0.666,0.143,26
6.301,48.455,29,43,77.0,81.0,39,50.0,46.169,545.72,3.9,3,38,88.403,18,77.607,2.6,6,5,6.5,0.6,10,11,1,1.148,49.4,12,7.087,0.629,0.074,13
6.301,49.211,30,43,78.0,82.0,39,50.0,46.674,544.73,3.8,3,39,89.32,18,78.388,2.6,6,4,5.1,0.598,9,12,1,1.145,50.0,12,6.984,0.631,0.073,13
6.301,50.455,31,45,79.0,83.0,41,54.0,48.169,569.74,3.8,3,38,90.403,18,79.607,2.5,6,5,6.3,0.61,10,12,1,1.144,48.1,12,7.212,0.639,0.072,14
7.036,51.217,31,46,81.0,86.0,41,53.0,48.696,571.76,3.7,3,40,92.818,20,81.49,2.5,5,5,6.2,0.601,10,11,1,1.146,49.4,12,7.059,0.632,0.058,13
7.009,51.972,32,46,82.0,87.0,41,53.0,49.201,570.77,3.7,3,41,93.735,20,82.272,2.4,5,4,4.9,0.6,9,12,1,1.143,50.0,12,6.961,0.634,0.057,13
7.347,53.217,33,48,83.0,88.0,43,57.0,50.696,595.78,3.6,3,40,94.818,20,83.49,2.4,5,5,6.0,0.611,10,12,1,1.142,48.2,12,7.178,0.641,0.057,14
7.854,55.597,32,46,90.0,95.0,41,51.0,51.556,567.86,0.0,0,49,102.464,26,89.257,4.4,7,5,5.6,0.573,9,6,2,1.138,54.4,6,6.31,0.618,0.074,8
7.824,57.597,34,48,92.0,97.0,43,55.0,53.556,591.88,0.0,0,49,104.464,26,91.257,4.3,7,5,5.4,0.582,9,7,2,1.135,53.3,6,6.433,0.626,0.072,9
7.602,57.359,33,47,93.0,98.0,42,52.0,53.083,581.89,0.0,0,51,105.879,27,92.141,4.3,7,5,5.4,0.571,9,6,2,1.138,54.8,6,6.257,0.617,0.071,8
7.215,59.359,35,49,95.0,100.0,44,56.0,55.083,605.91,0.0,0,51,107.879,27,94.141,4.2,7,5,5.3,0.58,9,7,2,1.136,53.7,6,6.378,0.625,0.07,9
7.357,60.881,35,49,99.0,104.0,44,54.0,56.136,609.95,0.0,0,55,112.709,29,97.908,4.0,9,5,5.1,0.567,9,6,2,1.138,55.6,6,6.161,0.615,0.087,8
7.469,61.637,36,49,100.0,105.0,44,54.0,56.642,608.96,0.0,0,56,113.626,29,98.69,4.0,9,4,4.0,0.566,8,7,2,1.136,56.0,6,6.09,0.616,0.086,8
7.638,62.643,36,50,102.0,107.0,45,55.0,57.663,623.98,0.0,0,57,116.124,30,100.792,3.9,9,5,4.9,0.565,9,6,2,1.138,55.9,6,6.117,0.614,0.084,8
7.569,61.881,36,51,100.0,106.0,45,56.0,57.136,621.96,0.0,0,55,113.709,30,98.908,4.0,9,5,5.0,0.571,9,6,2,1.137,55.0,6,6.22,0.619,0.085,8
7.0,52.733,34,46,78.0,83.0,41,59.0,49.298,569.2,1.3,0,37,87.414,12,77.407,2.6,9,4,5.1,0.632,7,22,2,1.121,47.4,22,7.297,0.676,0.108,24
7.824,50.273,31,44,77.0,80.0,41,58.5,47.89,556.73,0.0,0,36,87.055,12,77.174,5.2,14,6,7.8,0.622,10,18,4,1.131,46.8,17,7.23,0.653,0.175,22
8.0,55.654,33,43,90.0,94.0,39,48.0,50.852,537.87,0.0,0,51,102.088,25,88.494,3.3,7,3,3.3,0.565,6,8,2,1.134,56.7,6,5.976,0.618,0.074,8
8.155,54.143,31,43,88.0,92.0,39,48.0,49.841,539.85,0.0,0,49,100.254,25,86.93,3.4,7,5,5.7,0.566,8,6,2,1.139,55.7,6,6.135,0.615,0.076,8
7.0,52.131,31,41,84.0,88.0,37,46.0,47.798,509.81,0.0,0,47,95.258,23,82.727,3.6,7,3,3.6,0.569,6,8,2,1.134,56.0,6,6.069,0.621,0.08,8
7.745,52.131,31,41,84.0,88.0,37,46.0,47.798,509.81,0.0,0,47,95.258,23,82.727,3.6,7,3,3.6,0.569,6,8,2,1.134,56.0,6,6.069,0.621,0.08,8
7.167,54.143,31,43,88.0,92.0,39,48.0,49.841,539.85,0.0,0,49,100.254,25,86.93,3.4,7,5,5.7,0.566,8,6,2,1.139,55.7,6,6.135,0.615,0.076,8
7.051,54.347,32,43,88.0,92.0,39,48.0,50.04,539.84,0.0,0,49,99.882,24,86.937,4.5,7,3,3.4,0.569,7,8,2,1.135,55.7,6,6.135,0.618,0.076,8
7.119,52.836,30,43,86.0,90.0,39,48.0,49.029,541.82,0.0,0,47,98.048,24,85.374,4.7,7,5,5.8,0.57,9,6,2,1.14,54.7,6,6.3,0.614,0.078,8
7.62,52.586,31,42,85.0,89.0,38,47.0,48.513,525.81,0.0,0,47,96.467,23,84.054,4.7,7,3,3.5,0.571,7,8,2,1.135,55.3,6,6.186,0.619,0.079,8
7.0,54.597,31,44,89.0,93.0,40,49.0,50.556,555.85,0.0,0,49,101.464,25,88.257,4.5,7,5,5.6,0.568,9,6,2,1.14,55.1,6,6.246,0.613,0.075,8
7.602,54.597,31,44,89.0,93.0,40,49.0,50.556,555.85,0.0,0,49,101.464,25,88.257,4.5,7,5,5.6,0.568,9,6,2,1.14,55.1,6,6.246,0.613,0.075,8
8.0,55.353,32,44,90.0,94.0,40,49.0,51.061,554.86,0.0,0,50,102.38,25,89.039,4.4,7,4,4.4,0.567,8,7,2,1.138,55.6,6,6.165,0.615,0.074,8
6.842,51.609,32,42,81.0,85.0,38,50.0,47.745,517.78,0.0,0,43,91.427,18,79.959,3.7,7,3,3.7,0.589,6,14,2,1.129,53.1,12,6.392,0.637,0.082,14
6.523,52.131,31,41,84.0,88.0,37,46.0,47.798,509.81,0.0,0,47,95.258,23,82.727,3.6,6,3,3.6,0.569,6,8,2,1.134,56.0,6,6.069,0.621,0.068,8
7.237,52.836,30,43,86.0,90.0,39,48.0,49.029,541.82,0.0,0,47,98.048,24,85.374,4.7,7,5,5.8,0.57,9,6,2,1.14,54.7,6,6.3,0.614,0.078,8
7.097,55.807,32,45,91.0,95.0,41,51.0,51.776,570.86,0.0,0,50,103.59,25,90.367,5.5,7,4,4.4,0.569,9,7,3,1.138,54.9,6,6.273,0.613,0.074,9
7.62,56.597,33,46,91.0,95.0,42,53.0,52.556,579.87,0.0,0,49,103.464,25,90.257,4.4,7,5,5.5,0.578,9,7,2,1.137,53.8,6,6.372,0.622,0.074,9
7.921,55.256,32,45,90.0,94.0,41,50.0,51.469,571.84,0.0,0,49,102.301,25,89.592,6.7,7,3,3.3,0.572,9,7,5,1.137,54.4,0,6.354,0.614,0.074,5
7.013,56.171,32,48,92.0,96.0,44,53.0,53.232,623.85,3.3,3,48,105.898,26,92.679,4.3,7,5,5.4,0.579,12,6,2,1.151,52.2,6,6.781,0.611,0.073,8
7.569,55.779,32,46,91.0,95.0,42,51.0,52.134,589.86,2.2,2,49,104.349,26,90.839,3.3,7,5,5.5,0.573,10,6,2,1.147,53.8,6,6.482,0.613,0.074,8
7.602,54.597,31,44,89.0,93.0,40,49.0,50.556,555.85,0.0,0,49,101.464,25,88.257,4.5,7,5,5.6,0.568,9,6,2,1.14,55.1,6,6.246,0.613,0.075,8
7.523,55.654,33,43,90.0,94.0,39,48.0,50.852,537.87,0.0,0,51,102.088,25,88.494,3.3,7,3,3.3,0.565,6,8,2,1.134,56.7,6,5.976,0.618,0.074,8
7.215,55.353,32,44,90.0,94.0,40,49.0,51.061,554.86,0.0,0,50,102.38,25,89.039,4.4,7,4,4.4,0.567,8,7,2,1.138,55.6,6,6.165,0.615,0.074,8
7.658,48.097,28,39,77.0,80.0,36,46.0,44.734,495.74,0.0,0,41,87.593,20,76.396,3.9,5,5,6.5,0.581,8,7,2,1.138,53.2,6,6.438,0.625,0.063,9
7.292,53.893,32,42,87.0,91.0,38,47.0,49.325,523.84,0.0,0,49,98.673,24,85.61,3.4,7,3,3.4,0.567,6,8,2,1.134,56.3,6,6.021,0.619,0.077,8
8.222,41.716,25,38,66.0,70.0,34,44.5,39.874,475.62,4.5,3,32,75.948,16,66.628,1.5,7,5,7.6,0.604,9,9,1,1.151,48.5,11,7.206,0.632,0.1,12
7.367,44.057,26,38,70.0,74.0,34,44.5,41.349,469.67,1.4,1,36,79.893,17,69.814,2.9,7,5,7.1,0.591,8,9,1,1.141,51.4,11,6.71,0.629,0.095,12
7.745,42.296,25,37,67.0,71.0,33,43.5,39.822,455.64,1.5,1,34,76.478,16,66.93,3.0,7,5,7.5,0.594,8,9,1,1.141,50.7,11,6.801,0.631,0.099,12
7.456,42.296,25,37,67.0,71.0,33,43.5,39.822,455.64,1.5,1,34,76.478,16,66.93,3.0,7,5,7.5,0.594,8,9,1,1.141,50.7,11,6.801,0.631,0.099,12
8.222,41.716,25,38,66.0,70.0,34,44.5,39.874,475.62,4.5,3,32,75.948,16,66.628,1.5,7,5,7.6,0.604,9,9,1,1.151,48.5,11,7.206,0.632,0.1,12
7.523,44.057,26,38,70.0,74.0,34,44.5,41.349,469.67,1.4,1,36,79.893,17,69.814,2.9,7,5,7.1,0.591,8,9,1,1.141,51.4,11,6.71,0.629,0.095,12
8.097,45.239,27,40,72.0,76.0,36,46.5,42.927,503.68,4.2,3,36,82.778,18,72.396,1.4,7,5,6.9,0.596,9,9,1,1.15,50.0,11,6.996,0.628,0.092,12
7.076,53.387,30,43,87.0,91.0,39,48.0,49.336,540.84,0.0,0,48,99.337,24,86.148,3.4,7,6,6.9,0.567,9,6,2,1.142,55.2,6,6.217,0.614,0.077,8
7.62,49.126,30,42,76.0,80.0,38,52.0,45.987,514.74,0.0,0,38,86.052,16,75.403,2.6,4,6,7.9,0.605,8,13,2,1.132,50.0,12,6.773,0.646,0.05,15
7.367,55.148,31,44,90.0,94.0,40,49.0,50.862,554.87,0.0,0,50,102.752,25,89.032,3.3,8,6,6.7,0.565,9,6,2,1.142,55.6,6,6.165,0.613,0.085,8
7.585,62.398,37,53,98.0,103.0,48,64.0,58.378,654.95,0.0,0,50,111.334,22,97.352,3.1,6,8,8.2,0.596,11,14,3,1.136,51.0,12,6.683,0.637,0.058,16
7.046,53.864,32,46,85.0,90.0,41,54.0,50.282,560.82,0.0,0,44,96.507,20,84.381,3.5,5,6,7.1,0.592,9,12,2,1.135,51.8,12,6.598,0.634,0.056,14
7.585,59.847,35,51,95.0,100.0,46,60.0,56.072,631.91,0.0,0,49,108.045,22,94.577,4.2,7,7,7.4,0.59,11,13,3,1.137,51.6,12,6.652,0.63,0.07,15
7.469,60.495,34,51,95.0,100.0,46,61.0,56.259,651.97,0.0,0,49,107.965,22,94.654,4.2,7,7,7.4,0.592,12,12,4,1.136,51.6,12,6.863,0.637,0.07,16
7.495,60.398,35,51,96.0,101.0,46,60.0,56.378,630.93,0.0,0,50,109.334,22,95.352,3.1,6,8,8.3,0.587,11,13,3,1.139,52.1,12,6.572,0.629,0.059,15
7.208,59.148,35,49,94.0,99.0,44,57.0,54.862,602.91,0.0,0,50,106.752,23,93.032,3.2,7,6,6.4,0.584,9,12,2,1.136,53.2,12,6.414,0.629,0.071,14
8.222,60.91,36,50,97.0,102.0,45,58.0,56.389,616.94,0.0,0,52,110.168,24,95.916,3.1,8,6,6.2,0.581,9,12,2,1.136,53.6,12,6.36,0.628,0.078,14
7.699,57.387,34,48,91.0,96.0,43,56.0,53.336,588.88,0.0,0,48,103.337,22,90.148,3.3,6,6,6.6,0.586,9,12,2,1.136,52.7,12,6.471,0.631,0.063,14
7.921,57.626,35,49,90.0,95.0,44,59.0,53.809,598.87,0.0,0,46,101.922,21,89.265,3.3,6,6,6.7,0.598,9,13,2,1.132,51.1,12,6.654,0.64,0.063,15
8.097,57.387,34,48,91.0,96.0,43,56.0,53.336,588.88,0.0,0,48,103.337,22,90.148,3.3,7,6,6.6,0.586,9,12,2,1.136,52.7,12,6.471,0.631,0.073,14
7.569,55.626,33,47,88.0,93.0,42,55.0,51.809,574.85,0.0,0,46,99.922,21,87.265,3.4,6,6,6.8,0.589,9,12,2,1.135,52.3,12,6.532,0.632,0.065,14
7.699,55.626,33,47,88.0,93.0,42,55.0,51.809,574.85,0.0,0,46,99.922,21,87.265,3.4,6,6,6.8,0.589,9,12,2,1.135,52.3,12,6.532,0.632,0.065,14
6.301,55.626,33,47,88.0,93.0,42,55.0,51.809,574.85,0.0,0,46,99.922,21,87.265,3.4,6,6,6.8,0.589,9,12,2,1.135,52.3,12,6.532,0.632,0.065,14
7.678,55.864,34,48,87.0,92.0,43,58.0,52.282,584.84,0.0,0,44,98.507,20,86.381,3.4,5,6,6.9,0.601,9,13,2,1.132,50.6,12,6.722,0.642,0.054,15
7.481,59.387,36,50,93.0,98.0,45,60.0,55.336,612.9,0.0,0,48,105.337,22,92.148,3.2,6,6,6.5,0.595,9,13,2,1.133,51.6,12,6.59,0.639,0.061,15
7.538,42.455,26,34,64.0,67.0,31,41.0,38.926,485.51,1.6,0,33,71.9,13,63.225,3.1,4,2,3.1,0.608,5,13,1,1.123,51.6,12,7.586,0.663,0.06,13
7.921,56.87,34,49,89.0,94.0,44,59.0,53.303,599.86,0.0,0,45,101.005,21,88.483,3.4,6,7,7.9,0.599,10,12,2,1.135,50.6,12,6.74,0.639,0.064,15
7.602,62.154,37,52,98.0,103.0,47,62.0,57.884,641.95,0.0,0,51,111.251,24,97.134,3.1,8,7,7.1,0.591,10,12,2,1.135,52.0,12,6.551,0.634,0.078,15
7.187,55.387,32,45,89.0,93.0,41,52.0,51.336,564.86,0.0,0,48,101.337,24,88.148,3.4,7,6,6.7,0.577,9,7,2,1.139,53.9,6,6.347,0.622,0.075,9
7.886,44.057,26,38,70.0,74.0,34,44.5,41.349,469.67,1.4,1,36,79.893,17,69.814,2.9,7,5,7.1,0.591,8,9,1,1.141,51.4,11,6.71,0.629,0.095,12
8.301,45.239,27,40,72.0,76.0,36,46.5,42.927,503.68,4.2,3,36,82.778,18,72.396,1.4,7,5,6.9,0.596,9,9,1,1.15,50.0,11,6.996,0.628,0.092,12
7.42,42.478,25,37,68.0,71.0,34,43.5,40.4,477.64,4.4,3,34,78.363,16,68.512,1.5,7,5,7.4,0.594,9,9,1,1.152,50.0,11,7.024,0.625,0.099,12
8.155,42.296,25,37,67.0,71.0,33,43.5,39.822,455.64,1.5,1,34,76.478,16,66.93,3.0,7,5,7.5,0.594,8,9,1,1.141,50.7,11,6.801,0.631,0.099,12
8.301,41.716,25,38,66.0,70.0,34,44.5,39.874,475.62,4.5,3,32,75.948,16,66.628,1.5,7,5,7.6,0.604,9,9,1,1.151,48.5,11,7.206,0.632,0.1,12
6.225,45.626,29,36,71.0,74.0,33,44.0,41.955,446.69,0.0,0,38,79.889,15,69.763,2.8,5,2,2.8,0.591,4,14,2,1.125,53.5,12,6.291,0.643,0.068,14
7.842,47.841,31,43,72.0,77.0,38,55.0,45.107,511.7,1.4,1,34,81.269,12,71.603,1.4,8,5,6.9,0.626,7,19,1,1.129,47.2,22,7.107,0.664,0.104,23
9.0,54.12,35,48,80.0,85.0,43,62.5,50.955,600.81,1.3,1,37,89.568,12,80.007,5.0,7,2,2.5,0.637,8,23,3,1.12,46.3,23,7.51,0.676,0.082,26
8.347,45.466,27,37,69.0,72.0,34,45.0,41.969,527.56,1.4,0,35,77.897,13,68.429,2.9,5,4,5.8,0.608,7,14,2,1.129,50.7,12,7.646,0.659,0.069,14
5.0,46.932,31,42,69.0,74.0,37,56.0,43.977,488.69,0.0,0,32,77.387,8,68.098,0.0,9,6,8.7,0.637,6,23,0,1.122,46.4,28,7.082,0.68,0.122,28
6.951,39.83,25,35,61.0,65.0,31,44.0,37.364,418.59,0.0,0,30,68.81,12,60.549,3.3,7,4,6.6,0.613,6,13,1,1.128,49.2,16,6.862,0.653,0.108,17
7.602,46.853,28,42,72.0,76.0,38,50.0,44.559,546.12,4.2,2,34,82.177,16,72.65,2.8,8,5,6.9,0.619,10,12,2,1.141,47.2,12,7.585,0.651,0.105,14
8.046,45.932,28,42,72.0,76.0,38,50.0,44.115,529.67,4.2,3,34,82.573,16,72.839,2.8,8,5,6.9,0.613,10,12,2,1.147,47.2,12,7.357,0.638,0.105,14
7.854,46.12,28,39,72.0,76.0,35,47.0,42.965,475.7,0.0,0,37,81.554,16,71.301,2.8,7,5,6.9,0.597,7,12,2,1.133,51.4,12,6.607,0.641,0.092,14
7.523,47.33,29,40,74.0,78.0,36,48.0,44.186,490.71,0.0,0,38,83.68,16,73.41,4.1,7,4,5.4,0.597,7,13,5,1.131,51.4,6,6.631,0.64,0.09,11
7.699,45.995,28,41,72.0,76.0,37,49.0,43.732,511.68,2.8,2,35,82.233,16,72.327,2.8,8,5,6.9,0.607,9,12,2,1.142,48.6,12,7.107,0.639,0.105,14
7.886,47.819,29,41,75.0,79.0,37,49.0,44.875,507.72,1.3,1,38,85.308,17,74.698,2.7,8,5,6.7,0.598,8,12,2,1.137,50.7,12,6.77,0.638,0.101,14
7.921,48.12,30,41,74.0,78.0,37,51.0,44.965,499.72,0.0,0,37,83.554,16,73.301,2.7,7,5,6.8,0.608,7,13,2,1.129,50.0,12,6.753,0.65,0.09,15
6.333,38.347,23,31,61.0,64.0,28,36.0,35.396,383.59,0.0,0,33,69.142,15,60.214,3.3,6,3,4.9,0.58,5,8,2,1.133,54.1,6,6.288,0.629,0.094,8
8.046,46.728,29,39,71.0,75.0,35,47.0,43.277,494.13,1.4,0,36,79.916,15,70.305,2.8,7,3,4.2,0.61,6,14,2,1.126,50.7,12,6.96,0.658,0.093,14
