pXC50,nCsp2,nBM,SCBO,nCL,nBO,nC,Mi,Sv,MW,nO,Sp,nAB,nSK,nBT,Se,N.,O.,nHM,Si,nAT,nDB,C.,nN,X.,nX,Mp
4.303,12,13,26.0,1,19,13,1.114,20.713,277.8,0,22.33,12,18,31,30.124,10.0,0.0,2,33.435,30,1,43.3,3,3.3,1,0.744
4.303,16,18,47.0,0,37,27,1.123,41.298,479.7,3,44.449,16,34,70,66.618,4.5,4.5,1,75.271,67,2,40.3,3,0.0,0,0.663
4.303,12,15,35.0,0,26,18,1.129,29.664,361.51,3,31.642,12,25,49,48.2,6.3,6.3,1,54.195,48,3,37.5,3,0.0,0,0.659
5.258,14,17,35.0,0,24,16,1.108,26.163,352.46,5,27.659,12,23,40,39.858,0.0,12.8,2,43.209,39,5,41.0,0,0.0,0,0.709
4.303,15,18,34.0,0,24,16,1.117,24.622,310.41,1,25.932,16,22,38,36.229,11.1,2.8,1,40.199,36,2,44.4,4,0.0,0,0.72
4.303,17,22,42.5,0,31,21,1.102,32.555,425.64,1,35.506,21,28,50,46.931,6.4,2.1,3,51.786,47,1,44.7,3,0.0,0,0.755
5.0,11,16,36.0,0,28,19,1.141,31.111,354.51,1,33.103,16,26,54,51.774,11.5,1.9,0,59.351,52,0,36.5,6,0.0,0,0.637
4.303,16,18,34.0,0,25,18,1.115,26.016,326.42,1,27.381,18,23,40,38.305,5.3,2.6,1,42.372,38,0,47.4,2,2.6,1,0.721
4.303,10,9,29.0,0,23,17,1.128,26.149,303.39,4,27.438,6,22,44,43.247,2.3,9.3,0,48.488,43,3,39.5,1,0.0,0,0.638
4.303,12,13,35.5,0,28,18,1.124,29.545,376.47,5,30.784,11,26,48,46.869,4.3,10.9,1,51.7,46,2,39.1,2,0.0,0,0.669
4.303,15,18,36.5,0,26,18,1.118,26.369,321.36,3,26.949,17,24,41,39.589,7.7,7.7,0,43.614,39,0,46.2,3,0.0,0,0.691
4.303,4,6,23.0,0,17,12,1.131,23.028,294.48,4,25.489,0,18,39,40.182,0.0,10.0,2,45.245,40,6,30.0,0,0.0,0,0.637
4.303,14,14,30.5,0,22,15,1.112,22.6,283.38,1,23.926,11,20,35,33.127,9.1,3.0,1,36.7,33,3,45.5,3,0.0,0,0.725
4.303,14,15,34.0,2,25,16,1.114,26.717,385.29,3,28.068,12,24,39,39.095,5.3,7.9,3,42.339,38,3,42.1,2,5.3,2,0.739
5.735,14,18,32.0,0,22,14,1.113,20.074,251.26,2,20.21,16,19,31,28.611,10.7,7.1,0,31.159,28,2,50.0,3,0.0,0,0.722
4.303,15,18,39.5,0,30,19,1.131,29.939,365.43,3,30.722,17,27,49,46.676,10.9,6.5,0,52.026,46,1,41.3,5,0.0,0,0.668
5.0,14,17,38.0,1,29,17,1.135,29.154,457.71,3,29.864,16,27,44,43.64,9.5,7.1,2,47.653,42,1,40.5,4,7.1,3,0.711
5.796,19,25,55.0,0,42,28,1.118,40.025,466.58,3,41.762,24,35,68,61.109,6.6,4.9,0,68.189,61,1,45.9,4,0.0,0,0.685
4.303,16,15,38.0,0,29,22,1.121,31.982,364.48,3,33.75,12,27,53,50.905,3.9,5.9,0,57.192,51,3,43.1,2,0.0,0,0.662
4.78,14,15,37.5,0,28,18,1.134,28.939,353.42,3,29.722,11,26,47,45.676,11.1,6.7,0,51.026,45,4,40.0,5,0.0,0,0.66
4.303,8,14,26.0,0,19,12,1.125,17.886,213.26,1,18.517,14,16,30,27.167,11.1,3.7,0,30.365,27,0,44.4,3,0.0,0,0.686
4.303,14,18,35.5,0,26,16,1.127,26.196,388.25,2,27.097,17,24,40,38.811,13.2,5.3,1,42.828,38,1,42.1,5,2.6,1,0.713
4.303,15,15,35.0,0,26,18,1.123,26.896,323.38,3,27.71,12,24,43,41.473,7.3,7.3,0,46.03,41,3,43.9,3,0.0,0,0.676
4.303,14,15,36.5,0,27,18,1.132,28.224,337.42,2,29.267,11,25,46,44.349,11.4,4.5,0,49.817,44,4,40.9,5,0.0,0,0.665
4.303,14,18,36.5,0,27,17,1.14,27.081,341.38,2,27.443,17,25,43,41.978,12.2,4.9,0,46.741,41,1,41.5,5,2.4,1,0.669
4.303,17,16,42.0,0,32,23,1.122,34.412,408.49,5,35.659,12,30,56,54.56,3.7,9.3,0,60.611,54,4,42.6,2,0.0,0,0.66
4.303,14,20,31.0,0,21,14,1.109,19.359,235.26,1,19.756,20,18,30,27.284,11.1,3.7,0,29.95,27,0,51.9,3,0.0,0,0.732
4.254,13,17,32.5,0,24,16,1.133,24.983,295.38,1,26.051,17,22,41,39.138,12.8,2.6,0,44.192,39,0,41.0,5,0.0,0,0.668
4.303,15,15,37.0,0,28,20,1.125,29.95,351.44,3,31.233,12,26,49,47.24,6.4,6.4,0,52.86,47,3,42.6,3,0.0,0,0.665
4.78,14,18,35.5,0,26,16,1.14,25.554,327.35,2,25.682,17,24,40,39.094,13.2,5.3,0,43.326,38,1,42.1,5,2.6,1,0.676
4.78,16,19,37.5,0,27,18,1.129,27.697,335.4,2,28.506,17,25,44,42.465,11.9,4.8,0,47.402,42,2,42.9,5,0.0,0,0.679
4.303,16,15,38.0,1,29,21,1.119,31.283,384.89,3,32.847,12,27,50,48.345,4.2,6.3,1,53.721,48,3,43.8,2,2.1,1,0.684
4.303,16,15,39.0,0,30,23,1.122,33.509,378.51,3,35.512,12,28,56,53.789,3.7,5.6,0,60.607,54,3,42.6,2,0.0,0,0.658
5.208,14,18,32.0,0,22,14,1.113,20.074,251.26,2,20.21,16,19,31,28.611,10.7,7.1,0,31.159,28,2,50.0,3,0.0,0,0.722
4.303,14,18,35.5,0,26,17,1.132,26.697,323.39,2,27.506,17,24,43,41.465,12.2,4.9,0,46.402,41,1,41.5,5,0.0,0,0.671
4.303,16,15,39.0,1,30,21,1.121,31.998,400.89,4,33.301,12,28,51,49.673,4.1,8.2,1,54.93,49,3,42.9,2,2.0,1,0.68
4.303,14,18,35.5,1,26,16,1.13,25.998,343.8,2,26.602,17,24,40,38.905,13.2,5.3,1,42.93,38,1,42.1,5,2.6,1,0.7
4.78,14,18,35.5,1,26,16,1.13,25.998,343.8,2,26.602,17,24,40,38.905,13.2,5.3,1,42.93,38,1,42.1,5,2.6,1,0.7
5.523,14,14,43.5,0,35,23,1.138,36.65,442.54,4,37.915,11,32,62,59.832,6.8,6.8,0,67.153,59,3,39.0,4,1.7,1,0.643
4.303,12,14,33.0,0,24,14,1.128,23.831,315.39,2,24.631,10,22,37,35.774,14.3,5.7,1,39.491,35,4,40.0,5,0.0,0,0.704
4.303,16,15,38.0,0,29,22,1.121,31.982,364.48,3,33.75,12,27,53,50.905,3.9,5.9,0,57.192,51,3,43.1,2,0.0,0,0.662
5.208,15,15,37.0,0,28,20,1.125,29.95,351.44,3,31.233,12,26,49,47.24,6.4,6.4,0,52.86,47,3,42.6,3,0.0,0,0.665
4.303,16,15,38.0,0,29,21,1.117,31.48,429.34,3,33.341,12,27,50,48.251,4.2,6.3,1,53.618,48,3,43.8,2,2.1,1,0.695
4.303,15,15,35.0,0,26,18,1.123,26.896,323.38,3,27.71,12,24,43,41.473,7.3,7.3,0,46.03,41,3,43.9,3,0.0,0,0.676
4.303,16,15,38.0,0,29,21,1.116,31.642,382.52,3,33.637,12,27,51,49.098,4.1,6.1,1,54.697,49,3,42.9,2,0.0,0,0.686
4.303,14,18,35.5,0,26,16,1.127,26.196,388.25,2,27.097,17,24,40,38.811,13.2,5.3,1,42.828,38,1,42.1,5,2.6,1,0.713
4.303,14,18,36.5,0,27,17,1.134,27.412,339.39,3,27.96,17,25,44,42.793,11.9,7.1,0,47.611,42,1,40.5,5,0.0,0,0.666
4.303,16,15,38.0,0,29,22,1.121,31.982,364.48,3,33.75,12,27,53,50.905,3.9,5.9,0,57.192,51,3,43.1,2,0.0,0,0.662
4.303,16,15,40.0,0,31,21,1.142,31.605,404.42,3,31.801,12,29,50,49.56,4.2,6.3,0,54.796,48,3,43.8,2,6.3,3,0.663
4.78,14,18,34.5,0,25,16,1.131,25.171,309.36,2,25.745,17,23,40,38.582,13.2,5.3,0,42.986,38,1,42.1,5,0.0,0,0.677
4.303,14,15,35.5,0,26,16,1.14,25.554,327.35,2,25.682,11,24,40,39.094,13.2,5.3,0,43.326,38,4,42.1,5,2.6,1,0.676
4.303,14,18,35.5,0,26,16,1.127,26.196,388.25,2,27.097,17,24,40,38.811,13.2,5.3,1,42.828,38,1,42.1,5,2.6,1,0.713
4.303,16,15,39.0,0,30,22,1.123,32.697,380.48,4,34.205,12,28,54,52.232,3.8,7.7,0,58.401,52,3,42.3,2,0.0,0,0.658
4.78,14,15,36.5,0,27,18,1.132,28.224,337.42,2,29.267,11,25,46,44.349,11.4,4.5,0,49.817,44,4,40.9,5,0.0,0,0.665
4.78,16,22,40.5,0,29,18,1.127,27.885,349.38,3,28.199,21,26,44,41.909,12.2,7.3,0,46.196,41,1,43.9,5,0.0,0,0.688
4.303,16,15,37.0,1,28,20,1.118,29.756,370.86,3,31.085,12,26,47,45.462,4.4,6.7,1,50.306,45,3,44.4,2,2.2,1,0.691
4.303,17,16,41.0,0,31,22,1.121,32.885,394.46,5,33.898,12,29,53,51.676,3.9,9.8,0,57.196,51,4,43.1,2,0.0,0,0.665
5.444,20,21,46.0,2,34,22,1.119,33.879,454.34,2,34.983,18,31,51,48.996,10.4,4.2,2,53.705,48,3,45.8,5,4.2,2,0.729
6.0,19,20,43.0,0,32,22,1.121,32.444,388.46,3,33.478,18,29,52,49.458,8.2,6.1,0,54.943,49,2,44.9,4,0.0,0,0.683
7.161,19,22,52.0,2,39,24,1.127,38.229,507.42,1,39.546,18,35,59,55.974,14.5,1.8,2,61.99,55,4,43.6,8,3.6,2,0.719
6.921,20,21,46.0,2,34,22,1.119,33.879,454.34,2,34.983,18,31,51,48.996,10.4,4.2,2,53.705,48,3,45.8,5,4.2,2,0.729
5.0,9,16,35.5,0,26,17,1.134,26.289,306.41,0,27.603,15,23,44,40.912,14.6,0.0,0,46.481,41,0,41.5,6,0.0,0,0.673
6.907,20,21,53.0,2,41,28,1.125,43.755,554.52,3,46.006,18,38,70,67.625,7.5,4.5,2,75.405,67,3,41.8,5,3.0,2,0.687
5.066,20,21,45.0,2,33,21,1.118,32.352,440.31,2,33.222,18,30,48,46.113,11.1,4.4,2,50.29,45,3,46.7,5,4.4,2,0.738
6.658,19,20,42.0,2,31,20,1.114,30.331,413.28,2,31.216,18,28,45,43.011,9.5,4.8,2,46.791,42,2,47.6,4,4.8,2,0.743
5.387,23,26,58.5,1,43,30,1.124,45.422,557.1,3,47.392,23,40,72,69.52,8.7,4.3,1,77.544,69,2,43.5,6,1.4,1,0.687
5.456,19,20,43.0,2,32,21,1.116,31.858,427.31,2,32.977,18,29,48,45.894,8.9,4.4,2,50.206,45,2,46.7,4,4.4,2,0.733
5.347,19,20,41.0,0,30,21,1.113,30.513,421.32,1,32.159,18,27,47,44.149,9.1,2.3,1,48.951,44,2,47.7,4,2.3,1,0.731
4.959,19,20,42.0,0,31,21,1.12,30.918,374.43,3,31.716,18,28,49,46.574,8.7,6.5,0,51.528,46,2,45.7,4,0.0,0,0.689
6.585,20,21,49.0,2,37,25,1.122,38.46,496.43,2,40.267,18,34,60,57.647,8.8,3.5,2,63.95,57,3,43.9,5,3.5,2,0.706
4.301,19,20,43.0,2,32,21,1.116,31.858,427.31,2,32.977,18,29,48,45.894,8.9,4.4,2,50.206,45,2,46.7,4,4.4,2,0.733
4.301,19,20,43.0,0,32,23,1.121,33.256,386.49,2,34.784,18,29,54,51.014,7.8,3.9,0,57.149,51,2,45.1,4,0.0,0,0.682
4.301,19,20,43.0,0,32,22,1.121,32.444,388.46,3,33.478,18,29,52,49.458,8.2,6.1,0,54.943,49,2,44.9,4,0.0,0,0.683
4.301,20,21,46.0,2,34,22,1.119,33.879,454.34,2,34.983,18,31,51,48.996,10.4,4.2,2,53.705,48,3,45.8,5,4.2,2,0.729
5.921,19,20,42.0,0,31,23,1.119,32.542,370.49,1,34.33,18,28,53,49.687,8.0,2.0,0,55.939,50,2,46.0,4,0.0,0,0.687
5.721,19,20,41.0,1,30,21,1.115,30.316,376.87,1,31.665,18,27,47,44.243,9.1,2.3,1,49.053,44,2,47.7,4,2.3,1,0.72
6.268,19,20,50.0,0,39,29,1.129,43.439,485.69,2,46.358,18,36,74,70.418,7.0,2.8,0,80.138,71,2,40.8,5,0.0,0,0.653
6.26,19,20,49.0,1,38,27,1.127,41.212,492.07,2,43.694,18,35,68,64.974,7.7,3.1,1,73.252,65,2,41.5,5,1.5,1,0.672
6.004,19,20,49.0,0,38,28,1.128,41.912,471.66,2,44.597,18,35,71,67.534,7.4,2.9,0,76.723,68,2,41.2,5,0.0,0,0.656
7.131,19,20,42.0,2,31,20,1.114,30.331,413.28,2,31.216,18,28,45,43.011,9.5,4.8,2,46.791,42,2,47.6,4,4.8,2,0.743
5.469,19,20,42.0,1,31,21,1.117,31.03,392.87,2,32.12,18,28,48,45.571,8.9,4.4,1,50.262,45,2,46.7,4,2.2,1,0.714
7.066,20,21,49.0,2,37,24,1.12,37.341,499.38,4,38.409,18,34,57,55.316,7.4,7.4,2,60.456,54,3,44.4,4,3.7,2,0.711
7.398,20,21,50.0,2,38,24,1.121,38.056,515.38,5,38.864,18,35,58,56.644,7.3,9.1,2,61.665,55,3,43.6,4,3.6,2,0.707
6.824,19,20,50.0,2,39,26,1.127,41.228,528.48,3,43.245,18,36,66,63.742,7.9,4.8,2,70.99,63,2,41.3,5,3.2,2,0.686
5.585,19,20,42.0,2,31,20,1.118,30.638,412.3,1,31.767,18,28,46,43.785,11.6,2.3,2,48.08,43,2,46.5,5,4.7,2,0.739
5.62,19,20,41.0,1,30,20,1.121,29.172,380.83,1,29.841,18,27,44,41.873,9.8,2.4,1,45.978,41,2,48.8,4,4.9,2,0.728
4.509,19,20,43.0,2,32,21,1.119,32.164,426.33,1,33.529,18,29,49,46.669,10.9,2.2,2,51.495,46,2,45.7,5,4.3,2,0.729
4.387,19,20,47.0,0,36,22,1.161,33.315,464.4,1,32.194,18,33,50,49.88,8.5,2.1,0,54.562,47,2,46.8,4,12.8,6,0.685
5.432,19,20,42.0,2,31,20,1.118,30.638,412.3,1,31.767,18,28,46,43.785,11.6,2.3,2,48.08,43,2,46.5,5,4.7,2,0.739
5.495,20,21,45.0,2,33,21,1.114,32.046,441.29,3,32.671,18,30,47,45.338,9.1,6.8,2,49.001,44,3,47.7,4,4.5,2,0.743
5.6,14,17,41.5,2,33,21,1.136,34.128,450.38,1,35.75,17,30,55,52.832,9.6,1.9,2,59.081,52,0,40.4,5,5.8,3,0.688
5.5,13,15,46.0,0,37,24,1.137,38.374,447.6,2,40.324,12,33,66,62.087,11.3,3.2,0,70.474,62,3,38.7,7,0.0,0,0.65
5.0,21,24,52.5,0,40,28,1.123,42.352,498.71,1,45.273,23,36,70,65.618,9.1,1.5,1,74.102,66,1,42.4,6,0.0,0,0.686
5.538,22,24,53.0,0,40,29,1.124,42.385,481.65,2,44.836,22,36,71,66.65,7.5,3.0,0,75.308,67,2,43.3,5,0.0,0,0.669
5.0,21,21,63.5,0,51,34,1.134,52.097,634.74,6,53.569,17,46,87,83.418,4.9,7.3,0,92.987,82,4,41.5,4,2.4,2,0.653
5.0,18,22,53.5,0,42,27,1.14,42.722,543.67,2,44.296,21,38,70,67.265,7.6,3.0,1,75.247,66,1,40.9,5,4.5,3,0.671
5.0,13,15,47.5,0,37,26,1.133,40.406,460.64,2,42.841,11,34,69,65.752,9.1,3.0,0,74.806,66,3,39.4,6,0.0,0,0.649
5.0,19,23,49.0,0,37,24,1.123,38.115,480.59,5,39.557,22,34,61,58.956,6.9,8.6,1,65.112,58,1,41.4,4,0.0,0,0.682
5.553,16,18,38.0,0,28,20,1.123,29.015,332.44,1,30.569,16,25,48,44.803,8.9,2.2,0,50.524,45,2,44.4,4,0.0,0,0.679
5.0,15,20,40.5,0,29,15,1.151,27.334,394.4,3,26.966,17,27,41,41.229,15.4,7.7,1,44.878,39,3,38.5,6,5.1,2,0.691
5.5,11,16,34.0,0,26,17,1.137,26.816,308.43,0,28.364,16,23,46,42.796,14.0,0.0,0,48.896,43,0,39.5,6,0.0,0,0.66
5.5,13,14,45.0,0,37,24,1.143,38.569,451.61,1,40.569,12,33,67,63.156,11.1,1.6,0,72.02,63,2,38.1,7,1.6,1,0.644
8.5,17,22,47.0,1,36,23,1.135,36.74,449.01,0,38.756,22,32,61,57.091,14.0,0.0,1,64.667,57,0,40.4,8,1.8,1,0.68
6.0,11,16,34.0,0,26,17,1.137,26.816,308.43,0,28.364,16,23,46,42.796,14.0,0.0,0,48.896,43,0,39.5,6,0.0,0,0.66
5.735,15,15,28.0,0,19,15,1.109,20.392,236.29,1,21.273,12,18,31,29.949,6.7,3.3,0,33.282,30,3,50.0,2,0.0,0,0.709
4.303,12,13,29.5,0,22,16,1.131,24.708,285.38,2,26.017,11,21,41,40.029,7.5,5.0,0,45.235,40,2,40.0,3,0.0,0,0.65
5.5,16,22,38.0,0,27,16,1.141,25.114,321.35,0,25.262,22,24,39,36.876,19.4,0.0,0,41.073,36,0,44.4,7,2.8,1,0.702
8.1,17,22,50.0,0,39,24,1.153,38.589,482.57,0,39.472,22,35,64,61.189,13.3,0.0,0,69.158,60,0,40.0,8,5.0,3,0.658
8.6,17,23,50.0,0,37,24,1.135,37.407,439.58,0,39.142,22,33,62,57.985,15.5,0.0,0,65.806,58,0,41.4,9,0.0,0,0.675
7.1,20,23,52.0,0,40,27,1.136,40.625,491.59,2,41.949,22,36,67,63.792,7.9,3.2,0,71.572,63,1,42.9,5,3.2,2,0.666
7.8,17,22,47.0,0,36,24,1.136,37.439,428.6,0,39.66,22,32,64,59.65,13.3,0.0,0,68.138,60,0,40.0,8,0.0,0,0.661
5.5,15,19,36.0,0,25,16,1.135,24.092,306.33,0,24.256,18,23,36,34.774,17.6,0.0,0,38.575,34,0,47.1,6,2.9,1,0.713
4.303,16,18,40.0,0,30,20,1.128,31.379,383.44,5,32.142,16,28,51,49.894,6.1,10.2,0,55.279,49,2,40.8,3,0.0,0,0.656
8.1,17,22,46.0,1,35,22,1.134,35.213,434.98,0,36.995,22,31,58,54.207,14.8,0.0,1,61.252,54,0,40.7,8,1.9,1,0.685
5.5,20,23,39.5,0,28,21,1.11,28.467,327.41,1,29.801,23,25,45,41.818,7.1,2.4,0,46.611,42,0,50.0,3,0.0,0,0.71
5.7,19,25,55.0,0,42,28,1.118,40.025,466.58,3,41.762,24,35,68,61.109,6.6,4.9,0,68.189,61,1,45.9,4,0.0,0,0.685
5.6,20,23,58.0,0,46,31,1.138,47.227,560.71,2,49.239,22,41,80,75.545,8.0,2.7,0,85.316,75,1,41.3,6,2.7,2,0.657
6.8,17,22,46.0,0,35,23,1.135,35.912,414.57,0,37.898,22,31,61,56.767,14.0,0.0,0,64.723,57,0,40.4,8,0.0,0,0.665
6.7,14,18,43.5,0,34,22,1.134,36.32,437.63,1,38.756,17,31,61,57.952,12.1,1.7,1,65.77,58,1,37.9,7,0.0,0,0.668
6.9,17,21,44.0,0,32,19,1.133,32.862,428.52,4,33.83,18,30,52,51.182,12.0,8.0,1,56.654,50,3,38.0,6,0.0,0,0.677
5.5,16,18,42.5,2,33,21,1.122,34.405,462.44,1,36.699,17,30,54,51.513,9.8,2.0,3,57.246,51,1,41.2,5,3.9,2,0.72
4.303,14,17,30.0,0,21,14,1.103,20.767,270.33,2,21.614,16,19,31,29.469,6.9,6.9,1,31.996,29,1,48.3,2,0.0,0,0.745
4.303,25,28,56.5,0,40,27,1.114,40.808,517.6,6,42.006,23,37,63,61.182,5.0,10.0,1,66.823,60,5,45.0,3,0.0,0,0.7
4.303,12,13,30.5,0,23,15,1.115,23.535,302.38,3,24.591,11,21,37,35.564,5.7,8.6,1,39.036,35,2,42.9,2,0.0,0,0.703
5.5,16,22,38.0,0,27,16,1.141,25.114,321.35,0,25.262,22,24,39,36.876,19.4,0.0,0,41.073,36,0,44.4,7,2.8,1,0.702
6.9,16,20,50.0,0,39,26,1.136,43.142,509.75,2,46.256,18,36,74,70.814,9.9,2.8,1,80.64,71,2,36.6,7,0.0,0,0.651
5.6,15,17,34.0,0,25,18,1.128,27.015,308.42,1,28.569,16,23,45,42.803,9.3,2.3,0,48.524,43,1,41.9,4,0.0,0,0.664
7.1,13,17,38.5,0,30,19,1.135,31.551,381.56,0,33.779,17,27,53,49.858,14.0,0.0,1,56.73,50,0,38.0,7,0.0,0,0.676
8.1,17,19,47.0,1,37,24,1.136,39.202,482.04,2,41.182,18,34,65,62.411,11.3,3.2,1,70.418,62,1,38.7,7,1.6,1,0.664
5.553,10,13,35.5,0,28,16,1.14,28.051,404.31,1,29.415,11,25,46,43.571,16.3,2.3,1,49.03,43,2,37.2,7,2.3,1,0.684
7.242,20,23,43.5,1,31,21,1.102,29.176,376.81,3,29.801,21,27,44,40.811,5.0,7.5,1,44.06,40,2,52.5,2,2.5,1,0.745
6.721,20,24,45.5,0,31,21,1.1,28.316,353.35,3,28.426,21,27,42,38.822,7.9,7.9,0,41.784,38,2,55.3,3,0.0,0,0.748
6.852,18,22,40.0,0,28,18,1.094,25.482,334.37,3,26.068,20,24,38,34.796,5.9,8.8,1,37.206,34,2,52.9,2,0.0,0,0.767
6.139,20,23,42.5,1,30,20,1.099,27.649,362.78,3,28.04,21,26,41,37.927,5.4,8.1,1,40.645,37,2,54.1,2,2.7,1,0.758
7.62,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
6.659,20,24,45.5,0,32,21,1.101,30.25,390.44,4,31.046,21,28,46,42.891,4.8,9.5,1,46.245,42,3,50.0,2,0.0,0,0.739
7.329,20,25,46.5,0,32,20,1.108,28.745,373.34,5,28.335,21,28,43,40.476,7.7,12.8,0,43.203,39,4,51.3,3,0.0,0,0.727
4.301,20,23,41.5,0,29,20,1.095,26.515,329.32,4,26.631,21,25,40,36.829,2.8,11.1,0,39.412,36,2,55.6,1,0.0,0,0.74
5.394,14,17,31.5,0,22,14,1.106,19.768,252.24,3,19.659,15,19,30,27.836,7.4,11.1,0,29.87,27,2,51.9,2,0.0,0,0.728
5.634,14,17,32.5,0,23,14,1.096,21.084,378.13,3,22.318,15,20,30,27.905,7.4,11.1,1,29.591,27,2,51.9,2,3.7,1,0.827
7.7,20,23,43.5,1,31,20,1.106,28.67,377.8,3,29.046,21,27,43,40.029,7.7,7.7,1,43.143,39,2,51.3,3,2.6,1,0.745
