pXC50,RBN,MW,nHet,nBO,nS,nSK,nHM,Mv,SCBO,nCL,Sv,Sp,X.,H.,Mi,nC,nBT
6.187,6,528.91,8,38,1,34,4,0.717,50.5,3,38.717,41.307,5.6,37.0,1.104,26,58
6.237,7,494.9,8,34,1,31,4,0.684,43.5,3,36.243,39.068,5.7,41.5,1.114,23,56
6.62,5,480.44,7,36,1,32,3,0.713,48.5,2,36.362,38.688,3.9,37.3,1.103,25,55
6.041,6,335.89,6,24,1,22,2,0.65,30.5,1,26.008,28.068,2.5,45.0,1.122,16,42
6.027,4,369.9,6,28,1,25,2,0.695,37.5,1,28.481,30.307,2.4,39.0,1.109,19,44
6.119,7,460.46,7,33,1,30,3,0.668,42.5,2,35.416,38.21,3.8,43.4,1.115,23,56
6.051,6,397.96,6,30,1,27,2,0.671,39.5,1,31.535,33.83,2.1,42.6,1.113,21,50
6.409,6,466.84,8,32,1,29,4,0.706,41.5,3,33.19,35.546,6.4,38.3,1.11,21,50
5.979,4,321.86,6,23,1,21,2,0.662,29.5,1,24.481,26.307,2.7,43.2,1.121,15,39
6.056,6,480.87,8,33,1,30,4,0.694,42.5,3,34.717,37.307,6.0,40.0,1.112,22,53
6.108,5,383.93,6,29,1,26,2,0.682,38.5,1,30.008,32.068,2.3,40.9,1.111,20,47
6.125,5,418.37,7,30,1,27,3,0.701,39.5,2,30.836,32.926,4.5,38.6,1.11,20,47
6.328,5,432.4,7,31,1,28,3,0.689,40.5,2,32.362,34.688,4.3,40.4,1.112,21,50
6.071,7,446.43,7,32,1,29,3,0.678,41.5,2,33.889,36.449,4.0,42.0,1.113,22,53
6.018,5,335.89,6,24,1,22,2,0.65,30.5,1,26.008,28.068,2.5,45.0,1.122,16,42
6.022,7,508.5,7,38,1,34,3,0.692,50.5,2,39.416,42.21,3.5,40.4,1.107,27,61
6.337,5,452.81,8,31,1,28,4,0.72,40.5,3,31.663,33.784,6.8,36.4,1.109,20,47
6.009,4,307.83,6,22,1,20,2,0.675,28.5,1,22.954,24.546,2.9,41.2,1.119,14,36
6.194,7,480.87,8,33,1,30,4,0.694,42.5,3,34.717,37.307,6.0,40.0,1.112,22,53
6.009,6,349.92,6,25,1,23,2,0.64,31.5,1,27.535,29.83,2.3,46.5,1.123,17,45
4.301,3,288.75,5,21,0,20,1,0.681,29.0,1,22.461,23.347,3.0,39.4,1.117,15,34
5.538,7,315.51,4,24,0,23,0,0.57,29.5,0,29.627,32.37,0.0,55.8,1.137,19,53
4.206,13,439.77,5,34,0,32,0,0.554,39.5,0,42.643,47.256,0.0,58.4,1.14,27,79
4.523,8,318.93,3,23,0,22,1,0.586,28.5,1,28.719,31.768,2.0,55.1,1.129,19,50
4.824,8,333.95,4,24,0,23,1,0.583,29.5,1,29.74,32.773,2.0,54.9,1.134,19,52
4.108,4,275.81,4,21,0,19,1,0.624,26.5,1,23.106,24.966,2.7,48.6,1.129,15,39
4.745,8,364.37,4,23,0,22,1,0.592,28.5,0,28.411,31.506,2.1,54.2,1.132,18,49
7.824,15,632.23,12,49,0,45,1,0.63,64.5,1,52.265,54.898,1.2,45.8,1.131,33,87
7.126,17,726.43,8,59,0,53,1,0.633,76.5,1,63.954,68.546,1.0,47.5,1.119,45,107
7.426,13,544.2,7,43,0,39,1,0.618,54.5,1,47.605,51.285,1.3,49.4,1.126,32,81
7.293,12,418.09,6,31,0,29,1,0.575,36.5,1,37.363,41.069,1.5,55.4,1.14,23,67
8.174,15,474.21,6,35,0,33,1,0.565,40.5,1,43.47,48.114,1.3,57.1,1.139,27,79
7.449,11,511.08,10,39,0,36,1,0.626,50.5,1,41.949,44.154,1.5,46.3,1.134,26,70
7.633,11,416.07,6,32,0,29,1,0.585,37.5,1,36.836,40.307,1.6,54.0,1.138,23,66
5.991,5,335.89,6,24,1,22,2,0.65,30.5,1,26.008,28.068,2.5,45.0,1.122,16,42
6.347,5,466.84,8,32,1,29,4,0.706,41.5,3,33.19,35.546,6.4,38.3,1.11,21,50
6.208,6,446.43,7,32,1,29,3,0.678,41.5,2,33.889,36.449,4.0,42.0,1.113,22,53
6.051,6,349.92,6,25,1,23,2,0.64,31.5,1,27.535,29.83,2.3,46.5,1.123,17,45
6.337,6,494.47,7,37,1,33,3,0.702,49.5,2,37.889,40.449,3.7,38.9,1.105,26,58
6.252,6,432.4,7,31,1,28,3,0.689,40.5,2,32.362,34.688,4.3,40.4,1.112,21,50
6.004,4,321.86,6,23,1,21,2,0.662,29.5,1,24.481,26.307,2.7,43.2,1.121,15,39
4.301,5,341.4,7,26,0,25,0,0.639,36.0,0,28.138,28.926,0.0,43.2,1.129,18,45
4.197,13,428.75,6,33,0,31,0,0.549,38.0,0,41.138,45.501,0.0,58.7,1.145,25,77
7.296,10,517.13,8,41,0,37,1,0.629,53.0,1,44.046,47.006,1.4,47.1,1.128,29,74
4.222,9,333.95,4,24,0,23,1,0.583,29.5,1,29.74,32.773,2.0,54.9,1.134,19,52
6.018,5,321.86,6,23,1,21,2,0.662,29.5,1,24.481,26.307,2.7,43.2,1.121,15,39
4.0,4,375.29,5,24,0,23,1,0.649,32.0,0,27.239,29.125,2.4,45.2,1.119,18,43
4.0,7,356.42,8,27,0,26,0,0.634,37.0,0,29.159,29.932,0.0,43.5,1.134,18,47
4.796,0,178.63,3,13,0,12,1,0.708,18.5,1,13.451,14.154,5.3,36.8,1.115,9,20
4.852,5,307.44,3,24,1,22,1,0.67,33.0,0,26.138,28.199,0.0,43.6,1.101,19,41
4.549,5,357.5,3,29,1,26,1,0.681,40.5,0,30.665,32.961,0.0,42.2,1.097,23,48
4.427,5,364.52,5,28,2,25,2,0.703,39.0,0,28.819,31.091,0.0,39.0,1.096,20,44
4.691,5,321.47,3,25,1,23,1,0.659,34.0,0,27.665,29.961,0.0,45.2,1.104,20,44
4.549,5,321.47,3,25,1,23,1,0.659,34.0,0,27.665,29.961,0.0,45.2,1.104,20,44
4.398,5,321.47,3,25,1,23,1,0.659,34.0,0,27.665,29.961,0.0,45.2,1.104,20,44
4.398,5,341.88,4,25,1,23,2,0.691,34.0,1,26.965,29.057,2.6,41.0,1.1,19,41
4.013,25,681.18,6,53,0,50,0,0.563,64.0,0,66.459,73.638,0.0,57.6,1.134,44,121
4.027,27,709.24,6,55,0,52,0,0.561,66.0,0,69.513,77.16,0.0,58.1,1.135,46,127
4.066,29,737.3,6,57,0,54,0,0.558,68.0,0,72.566,80.683,0.0,58.5,1.135,48,133
4.334,8,319.92,4,23,0,22,1,0.588,28.5,1,28.213,31.012,2.1,54.2,1.134,18,49
