pXC50,nAT,Si,nN,nH,nBM,nHet,Se,O.,nC,Mp,nCsp2,nAB,nCsp3,SCBO,Sv
3.745,20.0,22.917,0,8,2,6,21.498,30.0,6,0.589,3,0,3,14.0,12.396
9.222,72.0,81.102,7,29,27,12,73.069,6.9,31,0.676,23,24,8,63.0,47.519
4.301,55.0,61.438,5,23,24,6,54.789,1.8,26,0.697,20,23,6,49.5,36.563
7.959,69.0,78.185,8,28,25,13,70.287,7.2,28,0.666,19,23,9,59.5,45.013
7.119,64.0,72.351,8,26,25,11,64.749,4.7,27,0.676,20,23,7,56.5,42.057
8.032,63.0,71.063,7,25,25,11,63.974,6.3,27,0.678,20,23,7,56.5,41.75
9.046,69.0,77.604,7,29,25,11,69.491,4.3,29,0.687,20,23,9,58.5,45.276
9.222,70.0,78.524,6,28,26,12,71.043,7.1,30,0.69,22,23,8,61.5,46.684
8.553,70.0,78.524,6,28,26,12,71.043,7.1,30,0.69,22,23,8,61.5,46.684
8.31,70.0,78.813,6,28,26,12,71.294,8.6,30,0.673,22,23,8,61.5,46.212
7.854,65.0,73.351,8,26,26,11,65.749,4.6,28,0.681,21,24,7,58.0,43.057
8.409,66.0,74.561,8,26,26,12,67.076,6.1,28,0.678,21,24,7,59.0,43.772
8.268,77.0,86.597,8,32,31,11,77.4,3.9,34,0.682,26,29,8,67.5,50.637
9.699,74.0,83.182,8,30,31,11,74.516,4.1,33,0.686,26,29,7,66.5,49.11
9.222,80.0,90.139,7,35,26,11,80.392,5.0,34,0.669,23,24,11,65.0,51.384
8.959,78.0,87.806,8,32,31,12,78.727,5.1,34,0.679,26,29,8,68.5,51.352
8.699,73.0,82.182,8,30,30,11,73.516,4.1,32,0.682,24,28,8,65.0,48.11
8.638,73.0,82.182,8,30,30,11,73.516,4.1,32,0.682,24,28,8,65.0,48.11
8.824,73.0,82.182,8,30,30,11,73.516,4.1,32,0.682,24,28,8,65.0,48.11
9.699,69.0,77.188,7,27,30,11,69.607,4.3,31,0.705,24,28,7,64.0,46.749
8.796,71.0,79.684,7,29,27,10,71.414,4.2,32,0.687,23,24,8,63.0,47.089
9.097,74.0,83.308,7,31,27,11,74.625,5.4,32,0.676,24,24,8,63.0,48.331
9.301,77.0,86.723,7,33,27,11,77.509,5.2,33,0.672,24,24,9,64.0,49.857
8.328,80.0,90.139,7,35,27,11,80.392,5.0,34,0.669,24,24,10,65.0,51.384
8.796,72.0,81.102,7,29,27,12,73.069,6.9,31,0.676,23,24,8,63.0,47.519
8.721,75.0,84.518,7,31,27,12,75.952,6.7,32,0.673,23,24,9,64.0,49.045
9.699,75.0,84.225,6,32,27,10,75.407,5.3,33,0.677,24,24,9,63.0,48.836
9.301,75.0,85.244,6,29,27,13,76.945,5.3,33,0.674,24,24,9,66.0,49.986
9.699,75.0,84.225,6,32,27,10,75.407,5.3,33,0.677,24,24,9,63.0,48.836
9.699,76.0,85.434,6,32,27,11,76.734,6.6,33,0.674,24,24,9,64.0,49.551
9.699,75.0,84.225,6,32,27,10,75.407,5.3,33,0.677,24,24,9,63.0,48.836
9.097,69.0,77.395,6,28,27,10,69.64,5.8,31,0.684,24,24,7,61.0,45.782
9.398,72.0,80.81,6,30,27,10,72.523,5.6,32,0.68,24,24,8,62.0,47.309
9.398,69.0,77.395,6,28,27,10,69.64,5.8,31,0.684,24,24,7,61.0,45.782
9.699,72.0,80.81,6,30,27,10,72.523,5.6,32,0.68,24,24,8,62.0,47.309
9.0,71.0,79.893,7,29,27,11,71.741,5.6,31,0.679,23,24,8,62.0,46.804
9.699,69.0,77.395,6,28,27,10,69.64,5.8,31,0.684,24,24,7,61.0,45.782
9.699,72.0,80.81,6,30,27,10,72.523,5.6,32,0.68,24,24,8,62.0,47.309
9.097,71.0,79.893,7,29,27,11,71.741,5.6,31,0.679,23,24,8,62.0,46.804
5.18,55.0,61.77,4,26,18,5,54.454,1.8,24,0.67,16,17,8,42.5,34.595
5.658,67.0,76.45,4,31,18,8,67.527,1.5,28,0.652,16,17,12,49.5,41.852
5.921,49.0,54.859,4,22,17,6,48.763,2.0,21,0.693,14,16,7,40.0,31.729
6.0,49.0,54.859,4,22,17,6,48.763,2.0,21,0.693,14,16,7,40.0,31.729
6.194,52.0,58.355,4,24,18,5,51.571,1.9,23,0.675,16,17,7,41.5,33.068
6.167,61.0,68.6,4,30,18,5,60.221,1.6,26,0.662,16,17,10,44.5,37.649
5.108,60.0,67.683,5,29,18,6,59.44,1.7,25,0.66,15,17,10,44.5,37.143
6.432,57.0,63.853,5,25,23,6,56.672,1.8,26,0.686,19,22,7,49.0,37.09
5.585,51.0,56.856,3,23,19,4,50.469,2.0,24,0.688,18,18,6,42.0,33.047
6.102,56.0,62.355,4,24,24,5,55.571,1.8,27,0.698,21,23,6,49.5,37.068
4.301,56.0,62.936,6,24,23,7,55.891,1.8,25,0.685,18,22,7,49.0,36.584
4.301,52.0,58.232,5,21,23,7,52.232,3.8,24,0.693,18,22,6,48.0,34.751
4.301,55.0,61.438,5,23,24,6,54.789,1.8,26,0.697,20,23,6,49.5,36.563
5.517,55.0,61.438,5,23,24,6,54.789,1.8,26,0.697,20,23,6,49.5,36.563
6.357,60.0,67.272,5,25,24,8,60.327,5.0,27,0.683,20,22,7,53.0,39.519
4.815,45.0,50.362,2,20,14,5,45.138,6.7,20,0.672,14,12,6,36.0,28.928
4.301,56.0,62.647,5,23,24,7,56.116,3.6,26,0.693,20,22,6,51.0,37.278
4.301,51.0,56.78,3,21,21,7,51.316,5.9,23,0.704,18,18,5,46.0,34.137
4.301,59.0,65.77,4,26,24,5,58.454,1.7,28,0.692,21,23,7,50.5,38.595
5.509,63.0,70.185,4,28,24,5,62.338,1.6,30,0.692,21,23,9,53.5,41.122
6.733,59.0,65.77,4,26,24,5,58.454,1.7,28,0.692,21,23,7,50.5,38.595
6.076,63.0,70.185,4,28,24,5,62.338,1.6,30,0.692,21,23,9,53.5,41.122
5.328,57.0,63.564,4,24,24,6,56.898,3.5,27,0.694,21,23,6,50.5,37.783
7.357,58.0,64.77,4,26,23,5,57.454,1.7,27,0.687,20,22,7,49.0,37.595
5.222,51.0,57.438,5,23,18,6,50.789,2.0,22,0.673,15,17,7,41.5,32.563
5.921,54.0,60.853,5,25,18,6,53.672,1.9,23,0.668,15,17,8,42.5,34.09
7.523,59.0,66.351,6,26,23,7,58.774,1.7,26,0.68,19,22,7,50.0,38.111
6.854,58.0,65.185,4,28,18,5,57.338,1.7,25,0.666,16,17,9,43.5,36.122
7.284,63.0,70.394,4,28,24,6,62.665,3.2,29,0.684,22,23,7,52.5,40.837
8.167,62.0,69.185,4,28,24,5,61.338,1.6,29,0.687,22,23,7,51.5,40.122
8.398,64.0,71.102,3,29,25,4,63.12,1.6,31,0.693,24,24,7,53.0,41.627
8.108,63.0,70.185,4,28,25,5,62.338,1.6,30,0.692,23,24,7,53.0,41.122
7.959,63.0,70.185,4,28,25,5,62.338,1.6,30,0.692,23,24,7,53.0,41.122
7.77,64.0,70.944,3,28,25,5,63.349,1.6,31,0.714,24,24,7,54.0,42.653
8.387,65.0,72.185,4,28,26,5,64.338,1.5,32,0.702,24,24,7,57.0,43.122
9.155,67.0,74.521,3,29,26,6,66.774,4.5,32,0.691,25,24,7,57.0,44.057
8.678,63.0,70.185,4,28,25,5,62.338,1.6,30,0.692,23,24,7,53.0,41.122
8.796,63.0,70.185,4,28,25,5,62.338,1.6,30,0.692,23,24,7,53.0,41.122
8.42,59.0,65.896,3,27,20,5,58.563,3.4,27,0.679,19,18,8,47.0,37.815
7.009,60.0,67.102,3,29,19,4,59.12,1.7,27,0.673,18,18,9,45.0,37.627
7.509,63.0,70.521,3,29,20,6,62.774,4.8,28,0.671,19,18,9,49.0,40.057
8.051,58.0,64.979,4,26,20,6,57.781,3.4,26,0.678,19,18,7,47.0,37.31
7.569,61.0,68.398,4,26,21,8,61.436,6.6,27,0.676,20,18,7,51.0,39.74
8.523,67.0,75.185,6,28,26,9,67.312,4.5,30,0.683,23,24,7,58.0,44.068
8.367,68.0,76.102,5,29,26,8,68.094,4.4,31,0.684,24,24,7,58.0,44.573
8.602,67.0,75.185,6,28,26,9,67.312,4.5,30,0.683,23,24,7,58.0,44.068
8.678,66.0,73.976,6,28,26,8,65.985,3.0,30,0.687,23,24,7,57.0,43.353
8.367,68.0,76.102,5,29,26,8,68.094,4.4,31,0.684,24,24,7,58.0,44.573
8.469,67.0,75.185,6,28,26,9,67.312,4.5,30,0.683,23,24,7,58.0,44.068
8.387,67.0,75.185,6,28,26,9,67.312,4.5,30,0.683,23,24,7,58.0,44.068
9.398,73.0,82.019,6,30,27,11,73.851,6.8,32,0.677,24,24,8,63.0,48.024
8.959,70.0,78.604,6,28,27,11,70.967,7.1,31,0.681,24,24,7,62.0,46.497
9.398,73.0,82.019,6,30,27,11,73.851,6.8,32,0.677,24,24,8,63.0,48.024
9.398,73.0,82.019,6,30,27,11,73.851,6.8,32,0.677,24,24,8,63.0,48.024
8.301,73.0,82.019,6,30,27,11,73.851,6.8,32,0.677,24,24,8,63.0,48.024
9.097,73.0,81.963,6,29,27,12,74.174,6.8,32,0.689,24,24,8,64.0,48.851
9.0,73.0,81.963,6,29,27,12,74.174,6.8,32,0.689,24,24,8,64.0,48.851
9.398,73.0,82.359,6,29,27,12,74.363,6.8,32,0.676,24,24,8,64.0,48.407
9.699,76.0,85.434,6,32,27,11,76.734,6.6,33,0.674,24,24,9,64.0,49.551
9.301,76.0,85.434,6,32,27,11,76.734,6.6,33,0.674,24,24,9,64.0,49.551
8.301,73.0,82.431,6,34,20,9,72.963,4.1,30,0.658,17,18,13,55.0,45.648
7.509,65.0,73.478,7,27,21,11,65.858,6.2,27,0.669,18,18,9,55.0,42.277
4.0,23.0,26.701,2,12,2,5,23.604,13.0,6,0.573,2,0,4,12.0,12.821
4.0,27.0,31.324,2,15,2,5,27.429,11.1,7,0.568,2,0,5,13.0,14.611
4.848,20.0,23.286,2,10,2,5,20.72,15.0,5,0.571,2,0,3,11.0,11.294
4.0,17.0,19.87,2,8,2,5,17.836,17.6,4,0.568,2,0,2,10.0,9.768
4.0,26.0,30.116,2,14,2,5,26.487,11.5,7,0.575,2,0,5,13.0,14.348
4.0,24.0,27.618,1,13,2,4,24.385,12.5,7,0.581,2,0,5,12.0,13.327
5.201,22.0,25.412,1,11,2,5,22.829,18.2,6,0.574,2,0,4,12.0,12.515
4.0,32.0,37.318,4,18,2,6,32.247,6.3,8,0.571,2,0,6,15.0,17.203
5.377,35.0,38.907,2,14,18,4,35.16,5.7,17,0.7,16,17,1,32.5,23.633
5.357,34.0,38.377,2,12,18,5,34.858,2.9,17,0.703,16,17,1,33.5,23.685
4.542,34.0,37.618,1,13,18,4,34.385,8.8,17,0.704,16,17,1,32.5,23.327
5.131,43.0,48.156,2,18,18,6,43.582,9.3,19,0.673,16,17,3,36.5,28.116
4.848,35.0,39.199,3,13,18,6,35.705,8.6,16,0.691,15,16,1,34.0,23.843
5.796,39.0,43.697,4,14,19,7,39.807,7.7,18,0.697,15,17,2,38.5,26.864
5.0,35.0,39.199,3,13,18,6,35.705,8.6,16,0.691,15,17,1,33.5,23.843
5.222,32.0,35.491,2,12,18,4,32.276,6.3,16,0.71,16,17,0,31.5,22.106
5.678,41.0,46.03,3,17,18,6,41.473,7.3,18,0.676,15,17,3,35.5,26.896
4.854,35.0,39.539,3,12,18,7,36.218,8.6,16,0.689,15,16,1,35.0,24.226
5.387,31.0,34.575,3,11,18,5,31.494,6.5,15,0.709,15,17,0,31.5,21.601
5.0,38.0,42.325,2,14,19,6,38.814,10.5,18,0.695,17,17,1,36.5,26.063
5.215,33.0,36.575,3,11,19,5,33.494,6.1,17,0.726,16,17,0,35.5,23.601
5.092,39.0,43.824,3,15,18,7,39.916,10.3,17,0.677,15,16,2,36.0,26.084
5.229,39.0,43.907,4,14,19,8,40.134,10.3,17,0.683,16,16,1,38.0,26.579
4.337,34.0,38.116,2,14,14,5,34.487,8.8,15,0.675,13,12,2,29.0,22.348
4.409,32.0,35.784,3,11,15,6,32.822,9.4,15,0.701,13,12,1,32.0,22.316
5.161,42.0,46.946,2,18,18,5,42.254,7.1,19,0.678,16,17,3,35.5,27.402
4.699,31.0,34.519,3,10,18,6,31.818,6.5,15,0.736,15,17,0,32.5,22.429
4.921,21.0,23.744,3,7,12,5,21.727,9.5,9,0.688,9,11,0,21.5,14.547
5.31,31.0,34.519,3,10,18,6,31.818,6.5,15,0.736,15,17,0,32.5,22.429
6.237,38.0,42.558,3,14,18,7,38.913,7.9,17,0.705,15,17,2,35.5,26.197
5.77,38.0,42.558,3,14,18,7,38.913,7.9,17,0.705,15,17,2,35.5,26.197
5.167,35.0,39.143,3,12,18,7,36.029,8.6,16,0.716,15,16,1,35.0,24.67
5.337,39.0,43.531,2,16,18,5,39.371,7.7,18,0.685,16,17,2,34.5,25.875
5.319,35.0,38.851,2,13,18,5,35.484,5.7,17,0.724,16,17,1,33.5,24.461
5.569,38.0,42.614,3,15,18,6,38.589,7.9,17,0.683,15,17,2,34.5,25.369
5.187,31.0,34.519,3,10,18,6,31.818,6.5,15,0.736,15,17,0,32.5,22.429
5.77,47.0,52.86,3,21,18,6,47.24,6.4,20,0.665,15,17,5,37.5,29.95
4.0,21.0,23.87,2,8,8,5,21.836,14.3,8,0.65,7,6,1,18.0,13.768
5.167,40.0,44.82,3,17,18,5,40.145,5.0,18,0.681,15,17,3,34.5,26.181
4.921,35.0,39.143,3,12,18,7,36.029,8.6,16,0.716,15,16,1,35.0,24.67
5.276,38.0,42.266,2,15,18,5,38.367,5.3,18,0.713,16,17,2,34.5,25.988
4.0,31.0,34.645,2,11,14,6,31.927,9.7,14,0.711,13,12,1,29.0,21.649
4.745,28.0,31.079,3,9,17,6,28.687,7.1,13,0.745,13,16,0,30.0,20.261
5.013,35.0,39.926,2,11,18,7,36.698,5.7,17,0.694,16,17,1,35.5,24.783
5.409,33.0,36.575,3,11,19,5,33.494,6.1,17,0.726,16,17,0,35.5,23.601
5.444,41.0,45.614,3,15,23,6,41.589,7.3,20,0.706,19,21,1,41.5,28.369
5.143,38.0,42.322,2,16,18,4,38.043,5.3,18,0.691,16,17,2,33.5,25.16
4.62,35.0,39.539,3,12,18,7,36.218,8.6,16,0.689,15,16,1,35.0,24.226
4.824,29.0,32.741,5,9,18,7,29.931,6.9,13,0.706,13,17,0,31.5,20.59
5.137,35.0,39.199,3,13,18,6,35.705,8.6,16,0.691,15,17,1,33.5,23.843
5.62,42.0,47.239,3,17,18,7,42.8,9.5,18,0.671,15,17,3,36.5,27.611
6.721,49.0,54.528,4,18,25,7,49.574,6.1,24,0.708,21,23,2,48.5,33.918
4.373,21.0,23.914,0,10,3,4,21.727,19.0,7,0.601,3,0,4,13.0,12.493
7.35,44.0,48.999,2,16,17,10,45.505,13.6,18,0.713,15,11,3,41.5,30.393
4.824,31.0,34.645,2,11,14,6,31.927,9.7,14,0.711,13,12,1,29.0,21.649
5.796,42.0,47.239,3,17,18,7,42.8,9.5,18,0.671,15,17,3,36.5,27.611
5.215,17.0,19.166,1,5,8,5,18.178,23.5,7,0.667,7,6,0,17.0,11.934
5.553,46.0,51.864,3,19,18,8,47.011,10.9,19,0.66,15,17,4,38.5,29.853
4.0,21.0,23.372,1,7,12,4,21.735,14.3,10,0.698,10,11,0,21.5,14.746
4.62,39.0,43.851,4,13,19,9,40.458,10.3,17,0.705,16,16,1,39.0,27.406
5.495,40.0,44.741,2,16,18,6,40.698,10.0,18,0.679,16,17,2,35.5,26.59
5.62,38.0,42.558,3,14,18,7,38.913,7.9,17,0.705,15,17,2,35.5,26.197
4.0,31.0,34.645,2,11,14,6,31.927,9.7,14,0.711,13,12,1,29.0,21.649
4.721,39.0,43.824,3,15,18,7,39.916,10.3,17,0.677,15,16,2,36.0,26.084
5.237,44.0,49.152,2,20,18,4,43.811,4.5,20,0.677,16,17,4,35.5,28.214
4.77,38.0,42.614,3,15,18,6,38.589,7.9,17,0.683,15,16,2,35.0,25.369
5.538,41.0,47.049,3,14,18,9,43.011,7.3,18,0.671,15,17,3,38.5,28.046
5.357,26.0,29.159,3,9,13,5,26.611,7.7,12,0.7,10,11,1,26.5,18.074
4.796,41.0,46.03,3,17,18,6,41.473,7.3,18,0.676,15,16,3,36.0,26.896
4.0,38.0,42.614,3,15,18,6,38.589,7.9,17,0.683,15,16,2,35.0,25.369
7.137,28.0,31.439,2,9,13,7,29.371,14.3,12,0.705,11,11,1,27.5,19.837
4.721,35.0,39.199,3,13,18,6,35.705,8.6,16,0.691,15,17,1,33.5,23.843
5.301,28.0,31.495,2,10,13,6,29.047,14.3,12,0.674,11,11,1,26.5,19.009
5.638,33.0,36.75,2,12,10,8,34.084,12.1,13,0.725,11,6,2,29.0,22.91
5.357,33.0,37.04,2,12,10,8,34.335,15.2,13,0.689,11,6,2,29.0,22.438
5.886,38.0,42.584,2,14,12,10,39.622,15.8,14,0.7,11,6,3,34.0,25.867
6.244,27.0,30.867,4,10,12,7,28.04,11.1,10,0.654,8,10,2,25.0,17.81
7.18,34.0,38.226,4,11,18,8,35.247,8.8,15,0.714,14,16,1,35.0,24.165
4.824,28.0,31.369,3,9,17,6,28.938,10.7,13,0.702,13,16,0,30.0,19.789
6.222,28.0,31.754,2,10,6,10,29.855,21.4,8,0.681,5,0,3,24.0,18.813
4.398,40.0,44.79,2,16,15,9,41.178,12.5,15,0.698,11,11,4,34.5,26.679
4.398,41.0,45.999,2,16,12,10,42.505,14.6,15,0.692,11,6,4,35.0,27.393
7.569,41.0,45.584,2,14,17,10,42.622,14.6,17,0.722,15,11,2,40.5,28.867
4.398,41.0,45.999,2,16,12,10,42.505,14.6,15,0.692,11,6,4,35.0,27.393
7.143,35.0,39.113,2,11,12,11,37.062,17.1,13,0.734,11,6,2,34.0,25.167
7.009,35.0,39.113,2,11,12,11,37.062,17.1,13,0.734,11,6,2,34.0,25.167
4.398,35.0,39.245,2,14,10,7,35.891,11.4,14,0.687,11,6,3,29.0,23.25
7.959,38.0,42.584,2,14,12,10,39.622,15.8,14,0.7,11,6,3,34.0,25.867
7.301,38.0,42.584,2,14,12,10,39.622,15.8,14,0.7,11,6,3,34.0,25.867
7.678,47.0,52.83,2,20,12,10,48.273,12.8,17,0.678,11,6,6,37.0,30.447
6.146,31.0,34.854,2,11,13,7,32.255,12.9,13,0.693,11,11,2,28.5,21.364
4.658,31.0,34.854,2,11,13,7,32.255,12.9,13,0.693,11,11,2,28.5,21.364
4.398,24.0,26.79,2,8,12,6,24.913,12.5,10,0.721,9,10,1,24.0,16.955
4.398,33.0,37.365,5,11,18,8,34.142,9.1,14,0.687,13,16,1,34.0,22.832
6.137,35.0,39.199,3,13,18,6,35.705,8.6,16,0.691,15,16,1,34.0,23.843
6.481,34.0,38.124,4,11,18,8,35.153,8.8,15,0.729,14,16,1,35.0,24.362
6.398,37.0,41.697,4,14,18,7,37.807,8.1,16,0.681,14,16,2,35.0,24.864
5.256,37.0,42.717,4,11,18,10,39.345,8.1,16,0.676,14,16,2,38.0,26.014
6.398,38.0,42.584,2,14,12,10,39.622,15.8,14,0.7,11,6,3,34.0,25.867
4.721,12.0,13.668,0,4,3,4,13.076,33.3,4,0.612,4,0,0,10.0,7.913
5.55,24.0,27.452,4,8,12,7,25.156,12.5,9,0.663,8,10,1,24.0,16.284
5.854,28.0,31.216,2,9,13,7,29.116,14.3,12,0.769,11,11,1,27.5,20.326
5.77,34.0,38.329,3,13,10,8,35.109,11.8,13,0.685,11,6,2,29.0,22.745
7.143,35.0,39.169,2,12,12,10,36.738,17.1,13,0.71,11,6,2,33.0,24.34
4.398,34.0,37.96,2,12,15,9,35.411,14.7,13,0.717,11,11,2,32.5,23.625
7.481,35.0,39.113,2,11,12,11,37.062,17.1,13,0.734,11,6,2,34.0,25.167
6.387,38.0,42.584,2,14,12,10,39.622,15.8,14,0.7,11,6,3,34.0,25.867
7.678,45.0,49.999,2,16,18,10,46.505,13.3,19,0.719,17,12,2,43.0,31.393
4.368,16.0,18.582,1,7,2,5,17.062,25.0,4,0.569,2,0,2,10.0,9.461
8.523,50.0,56.245,2,22,12,10,51.156,12.0,18,0.673,11,6,7,38.0,31.974
6.495,37.0,41.697,4,14,18,7,37.807,8.1,16,0.681,14,16,2,35.0,24.864
8.523,44.0,49.113,4,16,24,7,44.691,6.8,21,0.704,20,22,1,44.0,30.391
6.538,34.0,38.282,4,12,18,7,34.924,8.8,15,0.689,14,16,1,34.0,23.337
4.481,37.0,41.685,2,15,13,7,38.022,10.8,15,0.676,11,11,4,30.5,24.417
4.456,37.0,41.685,2,15,13,7,38.022,10.8,15,0.676,11,11,4,30.5,24.417
6.0,38.0,42.169,2,12,17,10,39.738,15.8,16,0.733,15,11,1,39.5,27.34
4.108,21.0,24.206,1,9,3,6,22.273,23.8,6,0.587,3,0,3,14.0,12.703
4.0,14.0,16.083,0,6,2,4,14.96,28.6,4,0.579,2,0,2,9.0,8.44
4.214,276.0,316.868,19,141,28,48,280.326,10.5,87,0.6,28,6,59,161.0,159.271
4.643,309.0,353.329,20,152,38,56,314.635,11.0,101,0.615,38,12,63,192.0,182.874
5.071,15.0,17.163,1,7,2,3,15.407,13.3,5,0.613,3,0,2,10.0,9.031
4.022,18.0,20.791,1,7,3,6,19.389,27.8,5,0.587,3,0,2,13.0,11.176
5.509,15.0,17.376,1,5,3,6,16.506,33.3,4,0.587,3,0,1,12.0,9.649
