pXC50,nCsp,nTB,C.,SCBO,Mi,nBM,nC,nCsp2,Mv,Me,nAB,RBF,Sp,RBN,nDB,nN,O.,Sv,nBO
4.192,0,0,25.0,12.0,1.16,2,5,2,0.585,1.064,0,0.211,11.324,4,2,1,25.0,11.703,10
4.623,0,0,29.4,16.0,1.149,2,10,2,0.548,1.011,0,0.212,19.676,7,2,1,11.8,18.622,14
6.155,0,0,43.2,30.0,1.122,14,16,14,0.645,1.01,12,0.132,24.705,5,2,2,8.1,23.875,22
4.467,0,0,37.5,22.0,1.133,8,12,8,0.612,1.019,6,0.188,20.154,6,2,1,12.5,19.568,17
4.756,0,0,28.6,14.0,1.152,2,8,2,0.556,1.021,0,0.185,16.153,5,2,1,14.3,15.568,12
4.659,0,0,29.0,15.0,1.15,2,9,2,0.551,1.015,0,0.2,17.915,6,2,1,12.9,17.095,13
5.886,0,0,34.6,16.0,1.139,2,9,2,0.589,1.015,0,0.074,15.938,2,2,1,11.5,15.327,14
4.0,1,1,48.8,40.0,1.112,16,21,17,0.679,1.003,12,0.043,30.256,2,3,3,4.7,29.181,29
4.0,1,1,48.9,43.0,1.112,17,22,18,0.687,1.011,12,0.042,31.71,2,4,3,6.7,30.896,31
7.0,0,0,42.5,31.0,1.124,14,17,14,0.635,1.006,12,0.122,26.466,5,2,2,7.5,25.402,23
6.222,0,0,41.9,34.0,1.131,14,18,14,0.654,1.023,12,0.136,29.023,6,2,2,7.0,28.139,26
7.0,0,0,41.9,35.0,1.148,14,18,14,0.653,1.039,12,0.114,28.04,5,2,2,7.0,28.078,27
6.699,0,0,42.5,36.0,1.156,14,17,14,0.694,1.066,12,0.122,27.074,5,2,2,7.5,27.762,28
4.174,0,0,41.9,35.0,1.148,14,18,14,0.653,1.039,12,0.114,28.04,5,2,2,7.0,28.078,27
7.097,0,0,44.7,33.0,1.128,14,17,14,0.665,1.023,12,0.1,25.642,4,2,2,7.9,25.258,25
7.0,0,0,44.7,33.0,1.118,14,17,14,0.676,1.018,12,0.1,26.563,4,2,2,7.9,25.702,25
6.699,0,0,44.7,33.0,1.115,14,17,14,0.682,1.016,12,0.1,27.057,4,2,2,7.9,25.9,25
6.523,0,0,44.7,34.0,1.116,14,17,14,0.698,1.027,12,0.1,27.421,4,2,2,7.9,26.53,26
7.0,0,0,43.9,36.0,1.146,14,18,14,0.672,1.044,12,0.093,27.279,4,2,2,7.3,27.552,28
6.301,0,0,44.4,35.5,1.139,17,16,14,0.69,1.051,15,0.105,24.273,4,2,2,11.1,24.829,26
6.886,0,0,42.1,33.0,1.143,14,16,14,0.667,1.045,12,0.154,25.034,6,2,2,10.5,25.356,25
7.222,0,0,42.5,34.0,1.149,14,17,14,0.664,1.045,12,0.122,26.279,5,2,2,7.5,26.552,26
6.398,0,0,41.9,35.0,1.148,14,18,14,0.653,1.039,12,0.114,28.04,5,2,2,7.0,28.078,27
6.523,0,0,41.9,35.0,1.148,14,18,14,0.653,1.039,12,0.114,28.04,5,2,2,7.0,28.078,27
6.699,0,0,42.5,32.0,1.122,14,17,14,0.656,1.014,12,0.122,27.324,5,2,2,7.5,26.229,24
7.0,0,0,42.5,33.0,1.121,14,17,14,0.676,1.023,12,0.122,28.182,5,2,2,7.5,27.057,25
6.0,0,0,42.5,38.0,1.183,14,17,14,0.702,1.096,12,0.122,26.029,5,2,2,7.5,28.085,30
6.523,0,0,46.5,37.5,1.115,19,20,18,0.661,1.006,17,0.111,29.466,5,2,2,7.0,28.402,27
6.0,0,0,42.5,31.0,1.124,14,17,14,0.635,1.006,12,0.146,26.466,6,2,2,7.5,25.402,23
4.886,0,0,45.9,34.0,1.117,15,17,15,0.677,1.022,12,0.103,25.398,4,3,2,10.8,25.063,25
4.679,0,0,30.4,14.0,1.148,2,7,2,0.588,1.036,0,0.13,13.631,3,2,1,17.4,13.515,12
4.62,1,1,30.8,17.0,1.15,3,8,2,0.598,1.036,0,0.24,15.636,6,2,2,15.4,15.536,13
4.076,0,0,31.3,17.0,1.146,2,10,2,0.565,1.015,0,0.125,18.915,4,2,1,12.5,18.095,15
5.398,0,0,30.0,13.0,1.15,2,6,2,0.599,1.047,0,0.15,11.869,3,2,1,20.0,11.988,11
4.908,0,0,27.3,12.0,1.155,2,6,2,0.569,1.038,0,0.19,12.631,4,2,1,18.2,12.515,10
4.284,0,0,33.3,17.0,1.142,2,9,2,0.594,1.026,0,0.071,16.392,2,2,1,14.8,16.041,15
3.0,0,0,25.0,12.0,1.16,2,5,2,0.585,1.064,0,0.211,11.324,4,2,1,25.0,11.703,10
4.912,0,0,28.0,13.0,1.153,2,7,2,0.562,1.029,0,0.208,14.392,5,2,1,16.0,14.041,11
6.301,0,0,42.5,33.0,1.131,14,17,14,0.665,1.027,12,0.122,27.262,5,2,2,7.5,26.612,25
4.399,0,0,29.0,15.0,1.15,2,9,2,0.551,1.015,0,0.233,17.915,7,2,1,12.9,17.095,13
3.9,0,0,30.4,14.0,1.148,2,7,2,0.588,1.036,0,0.13,13.631,3,2,1,17.4,13.515,12
5.19,0,0,30.4,14.0,1.148,2,7,2,0.588,1.036,0,0.13,13.631,3,2,1,17.4,13.515,12
3.523,0,0,30.4,14.0,1.148,2,7,2,0.588,1.036,0,0.13,13.631,3,2,1,17.4,13.515,12
6.699,0,0,42.5,31.0,1.124,14,17,14,0.635,1.006,12,0.122,26.466,5,2,2,7.5,25.402,23
6.523,0,0,40.9,35.0,1.129,14,18,14,0.639,1.016,12,0.109,28.926,5,2,3,9.1,28.138,27
4.0,1,1,47.9,42.0,1.112,16,23,17,0.665,1.003,12,0.059,33.228,3,3,2,6.3,31.928,31
4.0,1,1,46.2,44.0,1.115,16,24,17,0.657,1.007,12,0.073,35.443,4,3,2,7.7,34.17,33
4.0,1,1,48.8,38.5,1.103,15,20,15,0.691,1.003,11,0.045,29.898,2,3,2,4.9,28.347,28
4.0,1,1,47.8,45.0,1.114,18,22,17,0.687,1.017,12,0.061,32.165,3,5,3,8.7,31.611,32
4.0,1,1,47.9,42.0,1.106,16,23,17,0.675,0.998,12,0.059,34.421,3,3,2,4.2,32.401,31
4.0,1,1,50.0,46.0,1.109,20,24,19,0.681,1.001,16,0.038,34.017,2,3,3,4.2,32.708,33
4.0,1,1,52.0,47.5,1.103,21,26,21,0.684,0.996,17,0.037,35.773,2,3,2,4.0,34.214,34
4.0,1,1,51.9,50.0,1.103,22,28,23,0.68,0.994,18,0.052,38.534,3,3,2,3.7,36.74,36
4.0,1,1,48.9,41.0,1.11,16,23,17,0.664,0.996,12,0.06,32.773,3,3,2,4.3,31.214,30
5.658,0,0,36.7,22.0,1.135,8,11,8,0.625,1.035,6,0.2,18.847,6,2,1,16.7,18.756,17
4.1,0,0,40.0,39.0,1.128,15,22,15,0.617,1.008,12,0.196,35.421,11,3,2,9.1,33.938,30
4.0,1,1,50.0,41.0,1.115,16,22,17,0.683,1.01,12,0.043,30.949,2,3,2,4.5,30.07,30
4.0,1,1,52.0,47.5,1.103,21,26,21,0.684,0.996,17,0.037,35.773,2,3,2,4.0,34.214,34
4.0,1,1,48.4,56.0,1.115,22,30,23,0.684,1.015,18,0.091,43.762,6,3,2,6.5,42.434,42
4.0,1,1,48.8,39.5,1.1,15,20,15,0.716,1.009,11,0.045,31.25,2,3,2,4.9,29.372,29
4.921,0,0,30.0,13.0,1.15,2,6,2,0.599,1.047,0,0.1,11.869,2,2,1,20.0,11.988,11
4.684,0,0,26.3,11.0,1.158,2,5,2,0.578,1.05,0,0.222,10.869,4,2,1,21.1,10.988,9
4.142,0,0,29.4,16.0,1.149,2,10,2,0.548,1.011,0,0.242,19.676,8,2,1,11.8,18.622,14
4.669,0,0,28.6,14.0,1.152,2,8,2,0.556,1.021,0,0.222,16.153,6,2,1,14.3,15.568,12
4.194,0,0,36.7,22.0,1.135,8,11,8,0.625,1.035,6,0.2,18.847,6,2,1,16.7,18.756,17
