pXC50,nS,nHM,N.,nN,nHet,O.,nDB,MW,C.,Mi,Sp
4.815,0,0,0.0,0,3,9.7,2,252.28,51.6,1.101,21.932
4.167,0,0,0.0,0,4,23.5,1,154.13,41.2,1.123,11.102
6.086,0,0,0.0,0,3,13.0,2,178.2,43.5,1.118,15.17
7.051,1,1,2.6,1,5,7.9,2,237.41,26.3,1.148,22.392
5.06,0,0,0.0,0,3,13.6,1,166.19,40.9,1.123,14.17
5.362,0,0,0.0,0,3,10.3,1,228.26,48.3,1.108,19.932
5.14,0,0,0.0,0,2,10.0,0,138.18,40.0,1.125,12.716
5.411,0,0,0.0,0,2,10.0,0,138.18,40.0,1.125,12.716
5.432,0,0,0.0,0,3,12.5,0,168.21,37.5,1.13,14.932
6.523,1,1,9.1,2,5,9.1,2,186.26,31.8,1.136,14.614
8.398,2,2,10.5,2,6,10.5,2,214.29,36.8,1.11,14.739
7.577,2,4,9.1,2,10,18.2,4,305.18,27.3,1.128,17.125
7.035,2,2,4.5,2,10,13.6,4,332.5,22.7,1.151,26.409
7.167,1,1,14.3,3,6,9.5,2,187.25,28.6,1.147,13.858
9.129,2,2,7.7,2,7,11.5,2,258.35,34.6,1.12,18.716
7.22,1,1,5.1,4,9,5.1,3,596.81,43.0,1.119,53.671
7.917,1,1,5.1,4,9,5.1,3,596.81,43.0,1.119,53.671
7.457,1,1,4.9,4,9,4.9,3,610.84,42.7,1.12,55.432
7.038,1,1,4.7,4,9,4.7,3,624.87,42.4,1.12,57.194
7.099,2,2,5.3,2,10,15.8,4,304.44,21.1,1.153,22.886
8.167,1,1,5.3,2,11,7.9,3,406.36,42.1,1.162,26.04
8.0,1,1,6.5,2,6,9.7,3,254.34,35.5,1.13,20.591
8.097,1,1,4.0,1,5,12.0,2,213.28,36.0,1.125,16.824
6.377,0,0,5.6,1,2,5.6,2,145.17,50.0,1.109,12.744
8.432,1,1,5.3,2,10,7.9,3,388.37,42.1,1.153,26.102
8.081,1,2,15.0,6,12,10.0,3,386.86,32.5,1.144,27.165
8.678,2,2,18.2,4,9,13.6,5,236.31,22.7,1.15,15.205
7.076,1,1,5.1,2,8,10.3,2,298.21,30.8,1.129,25.671
8.027,1,2,16.2,6,12,10.8,3,372.83,32.4,1.145,25.403
5.108,0,0,0.0,0,3,12.5,2,190.21,45.8,1.113,16.17
6.161,0,0,0.0,0,3,10.3,2,206.26,41.4,1.122,18.693
5.241,1,1,0.0,0,2,6.7,1,138.2,46.7,1.092,11.386
6.569,0,0,5.3,1,3,10.5,3,139.17,36.8,1.136,11.96
6.076,0,0,5.3,1,3,10.5,2,161.17,47.4,1.114,13.199
5.91,0,0,10.3,3,3,0.0,0,145.29,24.1,1.166,16.108
5.081,0,0,0.0,0,4,20.0,1,168.16,40.0,1.125,12.864
5.044,0,0,0.0,0,5,11.4,4,328.39,43.2,1.118,28.887
8.569,2,2,21.1,4,9,15.8,3,222.28,21.1,1.151,13.443
5.433,0,0,0.0,0,5,10.9,4,330.41,41.3,1.122,29.648
6.572,2,3,7.0,3,9,7.0,3,399.96,37.2,1.122,30.625
6.691,2,3,8.6,3,10,11.4,6,373.87,37.1,1.12,25.795
6.486,2,2,8.6,3,9,11.4,6,339.43,37.1,1.121,24.938
6.549,2,3,6.3,3,10,8.3,6,464.0,41.7,1.113,35.08
6.637,2,2,6.3,3,9,8.3,6,429.56,41.7,1.114,34.222
7.192,2,3,7.3,3,10,9.8,6,401.93,36.6,1.123,29.318
6.728,2,2,7.3,3,9,9.8,6,367.49,36.6,1.124,28.46
7.368,2,3,6.8,3,10,9.1,6,415.96,36.4,1.124,31.08
6.607,2,2,6.8,3,9,9.1,6,381.52,36.4,1.125,30.222
6.854,2,3,7.3,3,12,14.6,7,431.91,36.6,1.123,29.466
6.699,2,2,7.3,3,11,14.6,7,397.47,36.6,1.124,28.608
6.409,2,3,8.1,3,9,8.1,3,371.9,37.8,1.119,27.102
6.736,2,2,8.1,3,8,8.1,3,337.46,37.8,1.12,26.244
6.424,2,3,8.1,3,9,8.1,3,371.9,37.8,1.119,27.102
6.921,2,2,8.1,3,8,8.1,3,337.46,37.8,1.12,26.244
6.31,2,3,7.5,3,9,7.5,3,385.93,37.5,1.12,28.864
7.136,2,2,7.5,3,8,7.5,3,351.49,37.5,1.122,28.006
6.699,2,2,7.0,3,8,7.0,3,365.52,37.2,1.123,29.767
6.165,2,3,9.7,3,9,9.7,3,343.84,38.7,1.115,23.58
7.128,2,2,9.7,3,8,9.7,3,309.4,38.7,1.117,22.722
6.329,2,3,3.0,1,7,9.1,3,341.86,42.4,1.103,25.091
6.854,2,2,3.0,1,6,9.1,3,307.42,42.4,1.105,24.233
5.1,0,2,3.4,1,5,6.9,2,306.15,51.7,1.099,22.438
5.171,0,1,3.0,1,5,9.1,2,301.74,48.5,1.108,23.796
5.047,0,0,0.0,0,3,10.3,1,228.26,48.3,1.108,19.932
8.409,1,1,5.9,2,6,8.8,3,268.37,35.3,1.131,22.352
8.237,1,1,4.4,2,8,11.1,3,364.46,37.8,1.127,29.784
7.135,1,1,4.8,2,7,9.5,3,346.44,40.5,1.121,28.568
8.337,1,1,4.5,2,7,9.1,2,348.46,38.6,1.125,29.33
8.155,2,2,6.1,3,11,12.2,4,427.55,34.7,1.129,32.892
7.21,1,1,4.9,2,7,9.8,3,334.43,39.0,1.124,27.568
8.319,1,1,4.5,2,7,9.1,3,348.46,38.6,1.125,29.33
8.229,1,1,4.3,2,7,8.5,3,362.49,38.3,1.126,31.091
7.857,1,1,5.3,2,7,10.5,3,320.4,39.5,1.123,25.807
7.991,1,1,5.3,2,6,7.9,3,316.41,42.1,1.117,26.352
8.187,1,1,4.9,2,6,7.3,3,330.44,41.5,1.119,28.114
8.097,1,1,4.5,2,6,6.8,3,344.47,40.9,1.12,29.875
7.271,1,1,5.7,2,6,8.6,3,302.38,42.9,1.115,24.591
8.244,1,1,5.0,2,6,7.5,2,318.43,40.0,1.122,27.114
8.237,1,1,4.7,2,6,7.0,2,332.46,39.5,1.123,28.875
8.086,1,1,4.3,2,6,6.5,2,346.49,39.1,1.124,30.637
7.46,1,1,5.4,2,6,8.1,2,304.4,40.5,1.12,25.352
7.631,2,2,6.7,3,10,11.1,4,397.52,35.6,1.127,30.676
7.75,2,2,6.3,3,10,10.4,4,411.55,35.4,1.127,32.438
8.102,2,2,5.9,3,10,9.8,4,425.58,35.3,1.128,34.199
7.294,2,2,7.1,3,10,11.9,4,383.49,35.7,1.126,28.915
8.77,1,1,4.1,2,6,6.1,3,338.52,34.7,1.133,31.159
9.108,1,1,4.5,2,6,6.8,3,322.47,36.4,1.129,28.637
8.347,1,1,5.4,2,6,8.1,3,282.4,35.1,1.132,24.114
8.721,1,1,5.3,2,11,7.9,3,406.36,42.1,1.162,26.04
6.347,0,0,0.0,0,6,17.1,0,290.29,42.9,1.119,23.057
8.086,1,1,4.5,2,6,6.8,3,322.47,36.4,1.129,28.637
6.071,0,0,0.0,0,3,11.5,2,192.23,42.3,1.12,16.932
8.187,1,1,5.0,2,6,7.5,3,296.43,35.0,1.132,25.875
8.721,1,1,3.6,2,6,5.5,3,366.58,34.5,1.134,34.682
7.155,1,1,10.5,2,5,10.5,2,172.23,31.6,1.136,12.852
5.081,0,0,0.0,0,3,12.5,0,121.94,37.5,1.101,11.295
6.04,2,2,10.5,4,8,5.3,2,358.48,42.1,1.114,28.034
6.059,2,2,11.4,4,8,5.7,2,344.45,42.9,1.112,26.273
6.202,2,2,7.7,3,10,5.1,2,411.46,43.6,1.135,28.602
6.22,2,3,8.3,3,8,5.6,2,377.9,44.4,1.105,27.886
6.215,2,2,7.5,3,8,7.5,2,373.49,42.5,1.111,29.244
8.456,3,3,5.7,2,9,11.4,4,324.49,28.6,1.129,24.102
8.553,3,3,6.8,3,11,11.4,4,383.57,27.3,1.137,29.085
9.06,1,1,2.3,1,10,18.6,2,339.41,27.9,1.145,25.903
5.04,0,0,0.0,0,9,20.9,2,354.34,37.2,1.131,26.943
6.387,1,1,6.1,2,5,6.1,2,208.37,24.2,1.154,19.421
6.796,1,1,8.7,2,5,8.7,2,176.27,26.1,1.148,14.375
6.42,1,1,5.7,2,5,5.7,2,276.39,40.0,1.121,23.898
6.77,1,1,5.4,2,7,10.8,3,286.39,32.4,1.137,23.568
6.149,0,0,10.0,4,4,0.0,0,202.4,25.0,1.164,22.398
5.022,0,0,0.0,0,11,17.5,6,492.52,38.1,1.129,39.659
5.201,0,0,0.0,0,11,17.5,6,492.52,38.1,1.129,39.659
5.149,0,0,0.0,0,11,17.5,6,492.52,38.1,1.129,39.659
5.237,0,0,0.0,0,11,17.5,6,492.52,38.1,1.129,39.659
5.31,0,0,0.0,0,7,16.3,2,324.36,37.2,1.131,26.796
5.046,0,0,0.0,0,7,16.3,2,324.36,37.2,1.131,26.796
5.032,0,0,0.0,0,7,16.3,2,324.36,37.2,1.131,26.796
7.387,2,2,5.2,3,12,12.1,3,473.63,32.8,1.134,37.631
7.102,2,2,5.2,3,12,12.1,3,473.63,32.8,1.134,37.631
7.745,2,3,5.2,3,13,12.1,3,508.07,32.8,1.133,38.489
5.143,1,1,6.1,2,6,9.1,3,256.36,33.3,1.135,21.352
8.0,2,2,5.2,3,13,12.1,3,491.62,32.8,1.14,37.568
5.344,0,0,0.0,0,4,18.2,2,192.18,45.5,1.114,14.864
9.0,1,1,4.7,2,9,4.7,2,378.43,37.2,1.159,27.932
7.886,3,3,12.1,4,13,6.1,2,434.45,42.4,1.145,25.909
8.77,2,2,6.7,3,11,4.4,2,479.51,46.7,1.134,33.301
7.77,2,2,3.7,1,5,7.4,2,231.37,33.3,1.12,18.779
7.398,2,2,2.9,1,5,5.9,2,293.44,41.2,1.108,24.54
9.0,1,1,3.6,1,9,10.7,2,321.27,42.9,1.16,19.574
8.886,2,2,3.2,1,9,6.5,2,351.37,41.9,1.149,22.529
6.876,1,1,6.3,2,9,6.3,2,334.32,40.6,1.162,21.887
9.301,1,1,5.6,2,10,8.3,2,364.35,38.9,1.161,24.102
9.081,2,2,2.9,1,9,5.9,2,365.4,41.2,1.148,24.29
8.886,2,2,2.8,1,11,11.1,4,397.4,38.9,1.151,25.199
7.081,1,1,6.7,2,10,10.0,2,314.29,33.3,1.18,19.341
8.602,2,2,2.5,1,9,5.0,2,393.46,40.0,1.146,27.813
7.056,2,2,9.4,3,11,6.3,2,367.38,37.5,1.162,22.779
9.658,3,3,6.7,2,11,6.7,2,394.42,43.3,1.14,23.659
6.917,1,1,5.9,1,8,11.8,2,229.17,35.3,1.202,11.597
7.602,1,1,5.9,1,9,11.8,2,247.16,35.3,1.222,11.534
6.333,1,1,14.3,3,10,9.5,2,259.21,28.6,1.211,13.608
7.367,1,1,9.4,3,10,6.3,3,347.32,40.6,1.165,22.131
7.283,2,2,4.0,1,10,12.0,2,305.3,32.0,1.176,17.222
7.432,2,2,3.7,1,12,18.5,4,337.3,29.6,1.179,18.131
8.959,2,2,3.7,1,9,7.4,2,303.33,33.3,1.171,18.529
8.301,2,2,4.2,1,11,16.7,3,319.28,33.3,1.175,16.915
8.0,2,2,3.7,1,11,14.8,3,333.31,33.3,1.171,18.676
6.081,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
6.076,0,0,0.0,0,4,15.4,1,196.22,38.5,1.128,16.386
6.149,0,0,0.0,0,4,20.0,1,168.16,40.0,1.125,12.864
6.119,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
6.097,0,0,0.0,0,4,15.4,1,196.22,38.5,1.128,16.386
6.041,0,0,0.0,0,4,15.4,1,196.22,38.5,1.128,16.386
6.051,0,0,0.0,0,4,15.4,1,196.22,38.5,1.128,16.386
6.833,1,1,5.4,2,11,10.8,3,358.35,32.4,1.174,23.318
7.921,2,2,3.6,1,9,7.1,2,337.34,42.9,1.15,20.767
9.174,2,2,3.3,1,11,13.3,4,369.34,40.0,1.154,21.676
5.167,1,1,3.3,2,10,11.5,6,542.6,47.5,1.107,43.455
5.06,0,0,2.5,1,1,0.0,0,240.4,42.5,1.121,26.0
5.143,0,0,2.1,1,1,0.0,0,302.47,46.8,1.112,31.762
5.194,0,1,6.7,1,3,6.7,0,143.58,40.0,1.126,10.602
6.143,0,0,3.1,1,2,3.1,0,214.31,43.8,1.119,21.171
6.137,0,1,3.1,1,3,3.1,0,248.75,43.8,1.118,22.029
6.027,0,0,0.0,0,3,12.0,1,180.22,40.0,1.125,15.932
6.268,0,0,0.0,0,4,15.4,1,196.22,38.5,1.128,16.386
6.187,0,0,0.0,0,4,9.1,5,324.4,45.5,1.113,29.432
5.031,0,0,0.0,0,5,13.5,3,288.32,43.2,1.118,24.364
5.255,0,0,0.0,0,5,19.2,2,222.21,42.3,1.12,17.08
4.0,0,0,2.2,1,6,10.9,4,365.41,45.7,1.115,31.131
5.16,0,0,0.0,0,4,12.5,3,246.28,43.8,1.117,21.148
5.067,0,0,0.0,0,8,21.6,2,344.29,45.9,1.113,25.204
4.839,0,0,1.6,1,10,14.1,1,531.55,45.3,1.115,43.233
4.234,0,0,1.5,1,10,13.8,1,543.56,46.2,1.113,44.233
4.106,1,1,1.6,1,13,17.2,3,581.59,43.8,1.114,44.028
6.155,1,1,3.8,1,5,11.5,2,181.29,23.1,1.152,15.347
5.367,1,1,3.1,1,5,9.4,2,209.35,25.0,1.149,18.87
2.845,0,1,5.0,1,8,30.0,3,219.1,30.0,1.136,13.699
7.116,1,1,3.1,1,5,9.4,2,209.35,25.0,1.149,18.87
7.0,0,0,6.6,4,5,1.6,1,370.6,36.1,1.138,37.898
5.33,1,3,0.0,0,8,13.2,3,362.79,36.8,1.115,27.313
5.032,0,0,0.0,0,5,17.2,2,236.24,41.4,1.122,18.841
7.004,0,0,11.5,7,11,1.6,1,529.57,45.9,1.139,42.159
5.047,0,0,0.0,0,5,10.6,4,342.42,42.6,1.119,30.648
7.051,1,1,10.8,4,8,8.1,3,330.4,40.5,1.125,25.841
8.284,2,2,28.6,4,8,14.3,2,180.24,14.3,1.161,10.227
8.252,2,2,8.1,3,9,10.8,4,341.45,35.1,1.126,25.699
6.678,2,3,12.5,3,10,16.7,4,285.76,25.0,1.14,17.273
6.824,1,2,10.5,2,6,10.5,2,298.12,31.6,1.121,15.511
5.229,0,0,6.7,1,2,6.7,0,109.14,40.0,1.13,9.744
5.176,1,1,5.9,1,4,11.8,2,157.21,35.3,1.123,11.847
7.456,1,1,4.5,2,10,15.9,2,338.43,27.3,1.149,26.455
7.638,1,1,2.8,1,7,13.9,4,309.37,38.9,1.121,24.256
5.217,0,0,0.0,0,5,27.8,1,170.13,38.9,1.127,11.557
5.412,0,0,0.0,0,10,22.7,2,370.34,36.4,1.133,27.398
6.357,0,0,8.3,2,2,0.0,0,116.24,25.0,1.163,13.341
4.917,0,0,15.0,3,3,0.0,0,103.2,20.0,1.179,10.824
5.037,0,0,0.0,0,3,10.3,3,228.26,48.3,1.108,19.932
6.108,0,0,0.0,0,3,15.8,1,152.16,42.1,1.12,12.409
5.13,0,0,0.0,0,4,16.7,2,194.2,41.7,1.121,15.625
4.143,0,0,0.0,0,4,23.5,1,154.13,41.2,1.123,11.102
6.29,1,2,6.3,2,9,15.6,3,330.77,37.5,1.124,22.597
7.824,1,1,4.8,2,5,4.8,2,305.46,38.1,1.126,27.801
5.167,1,1,22.2,2,5,22.2,2,96.13,0.0,1.195,5.33
8.77,1,1,6.5,2,6,9.7,3,254.34,35.5,1.13,20.591
8.268,2,3,13.6,3,8,9.1,2,275.76,36.4,1.115,17.602
8.824,1,2,5.3,2,7,7.9,3,350.85,42.1,1.116,27.21
4.903,0,1,0.0,0,4,17.6,1,202.05,35.3,1.115,12.477
8.292,1,1,4.2,1,4,8.3,2,197.28,37.5,1.121,16.369
6.495,1,1,4.8,2,7,9.5,3,280.44,26.2,1.151,24.853
5.104,0,0,0.0,0,4,23.5,1,154.13,41.2,1.123,11.102
8.032,1,1,4.1,2,6,6.1,3,338.52,34.7,1.133,31.159
6.495,1,1,4.9,2,5,4.9,2,260.45,29.3,1.144,24.944
6.328,1,1,6.5,2,7,12.9,2,236.33,25.8,1.15,18.807
7.62,2,2,4.7,3,12,10.9,3,501.69,32.8,1.135,41.154
4.623,0,0,0.0,0,4,18.2,2,192.18,45.5,1.114,14.864
7.638,3,3,5.3,4,17,11.8,5,660.84,34.2,1.134,50.415
7.602,4,4,8.8,6,20,13.2,5,654.82,30.9,1.139,46.028
5.745,1,2,7.5,3,8,7.5,3,365.87,40.0,1.122,28.216
3.213,0,0,5.0,1,5,20.0,3,181.16,40.0,1.129,13.108
7.284,1,1,5.0,1,6,20.0,3,201.22,35.0,1.125,13.756
7.0,2,2,11.1,3,12,14.8,4,319.32,25.9,1.18,17.989
7.125,1,1,9.1,2,5,9.1,2,186.26,31.8,1.136,14.614
4.086,0,0,0.0,0,3,18.8,1,138.13,43.8,1.117,10.648
8.155,3,3,16.1,5,12,12.9,5,337.45,25.8,1.14,22.074
5.389,0,0,0.0,0,3,18.8,1,138.13,43.8,1.117,10.648
6.046,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
8.149,1,1,3.3,1,6,13.3,3,255.32,36.7,1.125,20.04
5.18,0,0,0.0,0,4,23.5,1,154.13,41.2,1.123,11.102
7.135,2,2,15.4,4,8,7.7,2,280.36,38.5,1.119,19.75
8.824,1,1,3.6,2,6,5.5,3,366.58,34.5,1.134,34.682
8.796,1,1,7.7,2,5,7.7,2,212.3,34.6,1.131,17.375
4.163,1,1,3.2,1,8,19.4,3,275.31,32.3,1.134,19.949
6.092,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
7.721,2,2,2.2,1,8,11.1,5,371.52,35.6,1.123,30.188
5.091,0,0,0.0,0,4,12.1,3,258.29,45.5,1.113,22.148
6.071,0,0,0.0,0,4,20.0,1,168.16,40.0,1.125,12.864
6.092,0,0,0.0,0,4,20.0,1,168.16,40.0,1.125,12.864
6.125,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
6.108,0,0,0.0,0,4,20.0,1,168.16,40.0,1.125,12.864
5.492,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
5.62,0,0,0.0,0,3,14.3,2,176.18,47.6,1.109,14.409
5.315,0,0,0.0,0,7,21.9,2,302.25,46.9,1.111,21.989
8.569,1,2,4.8,2,8,9.5,3,380.88,40.5,1.12,29.426
5.203,0,0,0.0,0,4,12.1,3,258.29,45.5,1.113,22.148
5.365,0,0,0.0,0,5,21.7,2,208.18,43.5,1.118,15.318
5.071,0,0,0.0,0,7,16.3,2,324.36,37.2,1.131,26.796
4.554,0,0,0.0,0,5,12.5,2,280.35,37.5,1.13,24.887
5.046,0,0,4.5,1,3,9.1,2,175.2,45.5,1.117,14.96
4.352,0,0,0.0,0,2,6.1,2,250.31,51.5,1.101,23.239
5.495,0,0,0.0,0,5,18.5,3,234.22,44.4,1.116,18.08
4.839,0,0,0.0,0,5,16.7,3,248.25,43.3,1.118,19.841
4.489,0,0,0.0,0,5,20.8,3,220.19,45.8,1.113,16.318
5.013,0,0,0.0,0,5,16.7,3,248.25,43.3,1.118,19.841
4.297,0,0,0.0,0,5,20.8,3,220.19,45.8,1.113,16.318
4.503,0,0,0.0,0,5,20.8,3,220.19,45.8,1.113,16.318
5.149,0,0,0.0,0,3,11.1,2,204.24,44.4,1.116,17.932
5.107,0,0,0.0,0,5,11.9,5,326.37,45.2,1.114,28.125
5.387,0,0,0.0,0,3,10.0,2,218.27,43.3,1.118,19.693
5.432,1,1,0.0,0,4,15.0,3,206.23,50.0,1.09,15.295
4.767,0,0,0.0,0,3,14.3,2,176.18,47.6,1.109,14.409
4.554,0,0,0.0,0,4,10.8,2,262.33,40.5,1.124,23.671
8.208,2,2,6.5,2,7,9.7,3,296.4,38.7,1.114,22.477
8.161,2,3,6.5,2,8,9.7,3,330.84,38.7,1.112,23.335
8.071,1,1,7.7,3,7,7.7,3,319.42,38.5,1.127,26.358
8.26,1,1,5.0,2,6,7.5,3,318.43,40.0,1.122,27.114
7.056,1,1,5.0,1,4,10.0,2,171.24,35.0,1.125,13.608
8.276,1,2,5.9,2,7,8.8,3,369.26,41.2,1.114,24.943
8.102,1,1,9.1,3,7,9.1,3,291.36,39.4,1.125,22.835
8.155,2,2,6.5,2,8,9.7,3,314.39,38.7,1.125,22.415
8.149,2,2,5.9,2,7,8.8,3,310.43,38.2,1.116,24.239
8.161,3,3,15.4,4,10,11.5,3,304.41,30.8,1.124,19.852
7.284,1,1,5.9,2,6,8.8,3,290.37,41.2,1.119,23.591
8.167,1,1,5.4,2,6,8.1,3,304.4,40.5,1.12,25.352
8.268,1,1,5.9,2,7,8.8,3,308.36,41.2,1.129,23.529
7.495,0,0,0.0,0,4,17.4,3,204.19,47.8,1.109,15.864
5.051,0,0,9.8,4,6,4.9,2,299.39,39.0,1.135,26.642
8.215,2,2,13.8,4,9,10.3,3,298.38,34.5,1.128,20.966
8.114,1,1,9.1,3,7,9.1,3,291.36,39.4,1.125,22.835
8.119,2,2,5.4,2,7,8.1,3,324.46,37.8,1.118,26.0
5.352,0,0,5.6,2,5,8.3,2,250.33,36.1,1.137,22.466
8.161,1,2,5.9,2,7,8.8,3,324.81,41.2,1.117,24.449
8.143,2,3,6.5,2,8,9.7,3,375.29,38.7,1.109,23.83
5.154,0,0,0.0,0,5,17.2,2,236.24,41.4,1.122,18.841
4.347,0,0,14.3,4,4,0.0,0,146.28,21.4,1.175,15.353
5.128,0,0,0.0,0,8,28.6,2,302.2,50.0,1.104,19.92
5.481,0,0,0.0,0,2,11.8,2,146.15,52.9,1.098,12.193
8.167,1,1,17.2,5,8,6.9,2,265.33,34.5,1.141,19.869
5.281,0,0,0.0,0,3,15.0,2,164.17,45.0,1.114,13.409
7.347,1,1,10.5,2,5,10.5,2,172.23,31.6,1.136,12.852
7.215,1,2,10.5,2,6,10.5,2,251.12,31.6,1.128,14.205
7.491,1,1,10.0,1,7,20.0,2,149.11,10.0,1.269,5.898
8.367,2,2,23.5,4,8,11.8,4,194.27,17.6,1.157,11.989
7.18,1,1,4.2,1,5,12.5,2,201.27,33.3,1.13,15.824
5.022,1,1,12.5,1,5,37.5,2,97.11,0.0,1.183,4.778
7.125,1,1,10.5,2,6,10.5,2,190.22,31.6,1.154,12.79
7.222,1,1,4.8,1,5,14.3,2,187.24,33.3,1.129,14.062
7.097,1,1,8.0,2,5,8.0,2,200.29,32.0,1.136,16.375
