pXC50,nBO,Sp,nBT,Se,nAT,nN,nC,nH,Sv,MW,nSK,Si,O.,nCsp3,SCBO,nHet,C.,Mi,RBN,Mv,nDB,N.
8.046,43,41.978,65,60.949,60,7,28,22,41.177,507.57,38,67.568,3.3,3,59.0,10,46.7,1.126,4,0.686,2,11.7
8.155,38,38.279,59,55.552,55,7,25,21,37.267,451.53,34,61.813,3.6,4,53.0,9,45.5,1.124,3,0.678,2,12.7
9.0,47,48.012,75,69.374,69,10,29,28,45.857,564.74,41,77.849,1.4,7,63.5,12,42.0,1.128,5,0.665,1,14.5
9.301,44,44.796,70,64.163,64,10,27,26,42.615,522.7,38,72.225,0.0,6,59.5,11,42.2,1.129,4,0.666,0,15.6
7.398,23,24.08,37,35.145,35,6,15,14,23.236,278.35,21,39.651,0.0,3,33.0,6,42.9,1.133,1,0.664,0,17.1
7.678,24,25.29,39,37.254,37,5,16,15,24.456,293.36,22,41.777,2.7,3,34.0,6,43.2,1.129,1,0.661,0,13.5
7.046,35,35.517,54,52.374,51,4,22,19,34.73,454.52,32,57.412,7.8,2,48.5,10,43.1,1.126,7,0.681,2,7.8
7.469,38,39.892,61,57.52,57,5,25,23,38.18,473.6,34,63.777,5.3,6,50.5,9,43.9,1.119,6,0.67,4,8.8
5.0,29,29.091,43,42.898,41,3,17,14,28.677,413.86,27,46.573,7.3,3,40.0,10,41.5,1.136,6,0.699,3,7.3
6.602,22,23.29,37,35.254,35,5,14,15,22.456,269.34,20,39.777,2.9,3,30.0,6,40.0,1.136,2,0.642,0,14.3
4.0,27,29.358,46,42.694,43,5,19,19,27.795,317.43,24,48.398,0.0,4,37.5,5,44.2,1.126,2,0.646,0,11.6
8.398,27,28.267,46,43.349,43,5,17,19,27.224,325.41,24,48.817,4.7,6,35.0,7,39.5,1.135,4,0.633,0,11.6
8.222,26,26.841,42,39.029,39,6,17,16,25.762,304.39,23,44.066,0.0,3,36.5,6,43.6,1.13,2,0.661,0,15.4
6.097,24,24.074,37,34.043,34,5,16,13,23.214,275.34,21,38.152,0.0,1,34.5,5,47.1,1.122,1,0.683,0,14.7
5.0,30,28.972,43,39.44,39,7,18,13,27.917,359.45,26,43.654,0.0,1,43.0,8,46.2,1.119,3,0.716,0,17.9
6.0,24,25.154,39,37.68,37,6,14,15,24.305,318.8,22,42.219,2.7,3,32.0,8,37.8,1.141,3,0.657,0,16.2
5.921,24,25.841,40,38.029,38,6,16,16,24.762,292.38,22,43.066,0.0,4,34.0,6,42.1,1.133,3,0.652,0,15.8
7.244,28,30.029,49,46.232,46,5,18,21,28.751,339.44,25,52.232,4.3,7,36.0,7,39.1,1.135,4,0.625,0,10.9
7.77,29,31.79,52,49.116,49,5,19,23,30.278,353.47,26,55.647,4.1,8,37.0,7,38.8,1.136,5,0.618,0,10.2
6.854,23,21.563,34,31.48,31,7,13,11,21.203,265.31,20,35.319,0.0,1,33.0,7,41.9,1.139,1,0.684,0,22.6
6.18,23,22.318,35,32.262,32,6,14,12,21.709,264.32,20,36.235,0.0,1,33.0,6,43.8,1.132,1,0.678,0,18.8
5.131,22,19.46,31,28.931,28,5,12,9,19.59,255.26,19,31.741,7.1,1,30.0,7,42.9,1.134,1,0.7,0,17.9
5.921,23,22.96,34,31.236,31,5,14,11,21.875,281.37,20,34.657,0.0,1,33.0,6,45.2,1.118,1,0.706,0,16.1
5.0,52,51.193,82,74.531,74,4,35,30,49.508,586.69,44,82.438,6.8,9,69.0,9,47.3,1.114,3,0.669,2,5.4
4.903,18,17.551,27,25.276,25,5,11,9,17.161,211.25,16,28.322,0.0,0,26.0,5,44.0,1.133,1,0.686,0,20.0
5.018,19,19.313,30,28.16,28,5,12,11,18.687,225.28,17,31.737,0.0,1,27.0,5,42.9,1.133,1,0.667,0,17.9
5.244,19,19.313,30,28.16,28,5,12,11,18.687,225.28,17,31.737,0.0,1,27.0,5,42.9,1.133,1,0.667,0,17.9
4.538,19,19.313,30,28.16,28,5,12,11,18.687,225.28,17,31.737,0.0,1,27.0,5,42.9,1.133,1,0.667,0,17.9
4.959,20,21.074,33,31.043,31,5,13,13,20.214,239.31,18,35.152,0.0,2,28.0,5,41.9,1.134,1,0.652,0,16.1
4.745,22,24.597,39,36.811,37,5,15,17,23.268,267.37,20,41.983,0.0,4,30.0,5,40.5,1.135,2,0.629,0,13.5
7.076,22,23.29,37,35.254,35,5,14,15,22.456,269.34,20,39.777,2.9,3,30.0,6,40.0,1.136,2,0.642,0,14.3
5.509,19,18.006,28,26.604,26,5,11,9,17.875,227.25,17,29.531,3.8,0,27.0,6,42.3,1.136,1,0.688,0,19.2
5.538,22,24.046,38,36.036,36,4,15,16,22.961,268.35,20,40.694,2.8,3,30.0,5,41.7,1.13,2,0.638,0,11.1
6.18,20,19.767,31,29.487,29,5,12,11,19.402,241.28,18,32.947,3.4,1,28.0,6,41.4,1.136,1,0.669,0,17.2
6.678,21,21.529,34,32.371,32,5,13,13,20.929,255.31,19,36.362,3.1,2,29.0,6,40.6,1.136,1,0.654,0,15.6
7.638,21,21.12,31,29.716,29,5,12,10,20.427,320.17,19,32.788,3.4,1,29.0,7,41.4,1.131,1,0.704,0,17.2
6.703,21,20.222,32,30.814,30,5,12,11,20.117,257.28,19,34.156,6.7,1,29.0,7,40.0,1.139,2,0.671,0,16.7
7.119,22,21.983,35,33.698,33,5,13,13,21.644,271.31,20,37.571,6.1,2,30.0,7,39.4,1.139,2,0.656,0,15.2
4.0,19,18.006,28,26.604,26,5,11,9,17.875,227.25,17,29.531,3.8,0,27.0,6,42.3,1.136,1,0.688,0,19.2
4.959,19,18.557,29,27.378,27,6,11,10,18.182,226.27,17,30.82,0.0,0,27.0,6,40.7,1.141,1,0.673,0,22.2
4.086,19,18.557,29,27.378,27,6,11,10,18.182,226.27,17,30.82,0.0,0,27.0,6,40.7,1.141,1,0.673,0,22.2
4.0,21,18.705,29,28.149,27,6,11,8,19.085,256.25,19,30.824,7.4,0,31.0,8,40.7,1.142,2,0.707,2,22.2
5.638,21,18.705,29,28.149,27,6,11,8,19.085,256.25,19,30.824,7.4,0,31.0,8,40.7,1.142,2,0.707,2,22.2
5.721,21,22.08,35,33.145,33,6,13,14,21.236,254.33,19,37.651,0.0,3,29.0,6,39.4,1.141,2,0.644,0,18.2
4.0,21,21.324,34,32.363,32,7,12,13,20.73,255.32,19,36.734,0.0,3,29.0,7,37.5,1.148,2,0.648,0,21.9
6.161,22,21.983,35,33.698,33,5,13,13,21.644,271.31,20,37.571,6.1,3,30.5,7,39.4,1.139,3,0.656,1,15.2
4.0,23,23.836,38,34.927,35,5,15,15,22.741,265.35,20,39.568,0.0,4,31.0,5,42.9,1.131,1,0.65,0,14.3
6.092,23,22.313,34,31.16,31,5,15,11,21.687,261.31,20,34.737,0.0,0,33.5,5,48.4,1.121,1,0.7,0,16.1
4.991,31,35.012,57,55.429,55,6,20,26,33.541,398.52,29,62.77,5.5,8,40.0,9,36.4,1.141,6,0.61,1,10.9
5.971,34,31.688,49,46.196,45,6,21,15,31.575,402.42,30,50.824,4.4,1,47.5,9,46.7,1.129,4,0.702,0,13.3
6.551,24,24.989,40,38.651,38,5,15,16,24.366,301.36,22,43.532,2.6,4,32.0,7,39.5,1.146,3,0.641,0,13.2
7.921,23,24.148,37,35.578,35,5,14,14,23.283,303.78,21,39.721,2.9,3,31.0,7,40.0,1.135,2,0.665,0,14.3
6.553,24,26.057,42,40.24,40,6,15,18,25.004,298.39,22,45.69,2.5,4,32.0,7,37.5,1.142,3,0.625,0,15.0
5.921,28,31.796,52,50.218,50,6,18,24,30.299,356.48,26,57.145,4.0,7,36.0,8,36.0,1.143,6,0.606,0,12.0
6.599,26,27.057,44,41.24,41,6,16,18,26.004,310.4,23,46.69,2.4,5,34.0,7,39.0,1.139,2,0.634,0,14.6
5.538,26,26.836,41,37.927,38,5,18,15,25.741,301.38,23,42.568,0.0,1,37.5,5,47.4,1.12,3,0.677,1,13.2
5.921,26,27.597,43,39.811,40,5,18,17,26.268,303.4,23,44.983,0.0,3,36.5,5,45.0,1.125,2,0.657,0,12.5
6.361,25,25.29,40,37.254,37,5,16,15,24.456,293.36,22,41.777,2.7,3,35.0,6,43.2,1.129,2,0.661,0,13.5
6.368,28,28.051,45,41.138,41,5,18,17,26.983,319.4,24,46.192,2.4,5,38.0,6,43.9,1.127,2,0.658,0,12.2
5.432,25,23.779,38,35.691,35,7,14,13,23.445,295.34,22,39.943,2.9,3,35.0,8,40.0,1.141,2,0.67,0,20.0
7.569,23,24.642,37,35.483,35,5,14,14,23.481,348.23,21,39.619,2.9,3,31.0,7,40.0,1.132,2,0.671,0,14.3
5.79,24,25.154,39,37.68,37,6,14,15,24.305,318.8,22,42.219,2.7,3,32.0,8,37.8,1.141,3,0.657,0,16.2
6.824,25,25.148,39,36.578,36,5,15,14,24.283,315.79,22,40.721,2.8,4,33.0,7,41.7,1.131,2,0.675,0,13.9
6.842,27,28.819,47,44.123,44,6,17,20,27.531,324.43,24,50.106,2.3,6,35.0,7,38.6,1.139,3,0.626,0,13.6
6.174,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,3,0.631,0,13.2
6.046,24,25.841,40,38.029,38,6,16,16,24.762,292.38,22,43.066,0.0,4,34.0,6,42.1,1.133,3,0.652,0,15.8
5.174,29,30.358,48,43.694,44,5,20,19,28.795,329.44,25,49.398,0.0,5,39.5,5,45.5,1.123,2,0.654,0,11.4
4.553,31,31.597,48,43.811,44,5,22,17,30.268,351.44,27,48.983,0.0,1,44.5,5,50.0,1.113,3,0.688,0,11.4
5.699,26,25.54,41,38.574,38,7,15,15,24.972,309.37,23,43.358,2.6,3,35.0,8,39.5,1.141,2,0.657,1,18.4
6.192,25,26.051,42,39.138,39,5,16,17,24.983,295.38,22,44.192,2.6,5,33.0,6,41.0,1.133,2,0.641,0,12.8
5.886,26,26.506,43,40.465,40,5,16,17,25.697,311.38,23,45.402,5.0,5,34.0,7,40.0,1.135,2,0.642,0,12.5
7.255,26,26.296,42,39.356,39,6,16,16,25.477,308.38,23,44.275,2.6,3,36.0,7,41.0,1.135,2,0.653,0,15.4
5.638,28,27.847,45,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,5,38.0,7,41.5,1.136,2,0.653,0,17.1
6.987,26,26.909,42,39.462,39,5,16,16,25.81,329.82,23,44.136,2.6,5,34.0,7,41.0,1.132,2,0.662,0,12.8
6.693,26,26.154,41,38.68,38,6,15,15,25.305,330.81,23,43.219,2.6,4,34.0,8,39.5,1.137,2,0.666,0,15.8
7.699,26,25.602,40,37.905,37,5,15,14,24.998,331.79,23,41.93,5.4,4,34.0,8,40.5,1.133,2,0.676,0,13.5
6.194,23,24.08,37,35.145,35,6,15,14,23.236,278.35,21,39.651,0.0,3,33.0,6,42.9,1.133,2,0.664,0,17.1
5.201,24,24.017,37,35.658,35,6,15,13,23.619,296.34,22,39.99,0.0,3,34.0,7,42.9,1.143,2,0.675,0,17.1
7.051,29,29.603,47,42.912,43,6,19,18,28.289,330.43,25,48.481,0.0,5,39.5,6,44.2,1.127,2,0.658,0,14.0
7.252,27,28.603,45,41.912,42,6,18,18,27.289,318.42,24,47.481,0.0,4,37.5,6,42.9,1.131,2,0.65,0,14.3
6.91,27,27.699,42,39.353,39,6,17,15,26.59,338.83,24,44.01,0.0,3,37.5,7,43.6,1.128,2,0.682,0,15.4
5.721,27,27.938,42,39.331,39,5,17,15,26.643,337.44,24,43.697,2.6,3,38.0,7,43.6,1.12,3,0.683,1,12.8
8.262,42,42.04,65,60.436,60,7,28,23,40.794,489.58,37,67.229,3.3,3,58.0,9,46.7,1.12,4,0.68,2,11.7
7.921,26,25.602,40,37.905,37,5,15,14,24.998,331.79,23,41.93,5.4,4,34.0,8,40.5,1.133,2,0.676,0,13.5
5.262,27,27.915,44,41.563,41,6,16,17,26.832,344.84,24,46.634,2.4,5,35.0,8,39.0,1.137,3,0.654,0,14.6
6.684,27,27.915,44,41.563,41,6,16,17,26.832,344.84,24,46.634,2.4,5,35.0,8,39.0,1.137,3,0.654,0,14.6
5.854,24,24.017,37,35.658,35,6,15,13,23.619,296.34,22,39.99,0.0,3,34.0,7,42.9,1.143,2,0.675,0,17.1
5.161,23,23.324,36,34.363,34,7,14,13,22.73,279.34,21,38.734,0.0,3,33.0,7,41.2,1.139,2,0.669,0,20.6
6.387,24,26.051,41,39.138,39,5,16,17,24.983,295.38,22,44.192,2.6,4,33.0,6,41.0,1.133,3,0.641,1,12.8
7.31,26,26.086,41,38.247,38,7,16,15,25.257,305.38,23,43.149,0.0,3,36.5,7,42.1,1.135,2,0.665,0,18.4
6.388,26,25.33,40,37.465,37,8,15,14,24.752,306.37,23,42.232,0.0,3,36.5,8,40.5,1.141,2,0.669,0,21.6
7.18,27,26.54,42,39.574,39,7,16,15,25.972,321.38,24,44.358,2.6,3,37.0,8,41.0,1.137,2,0.666,2,17.9
7.237,29,28.96,46,43.793,43,5,18,17,28.412,351.4,26,48.611,7.0,4,38.0,8,41.9,1.13,4,0.661,3,11.6
5.218,28,29.676,47,44.447,44,6,17,19,28.358,358.87,25,50.05,2.3,6,36.0,8,38.6,1.137,3,0.645,0,13.6
6.701,28,29.676,47,44.447,44,6,17,19,28.358,358.87,25,50.05,2.3,6,36.0,8,38.6,1.137,3,0.645,0,13.6
6.672,24,24.228,38,36.767,36,5,15,14,23.839,299.34,22,41.117,2.8,3,33.0,7,41.7,1.142,3,0.662,1,13.9
5.409,25,24.165,38,37.28,36,5,15,13,24.222,317.33,23,41.456,2.8,3,34.0,8,41.7,1.152,3,0.673,1,13.9
6.31,25,26.154,40,38.68,38,6,15,15,25.305,330.81,23,43.219,2.6,3,34.0,8,39.5,1.137,3,0.666,1,15.8
4.0,27,27.296,43,40.356,40,6,17,16,26.477,320.39,24,45.275,2.5,3,37.0,7,42.5,1.132,2,0.662,2,15.0
4.0,30,30.057,48,44.24,44,6,19,18,29.004,346.43,26,49.69,2.3,5,40.0,7,43.2,1.129,2,0.659,2,13.6
4.0,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,3,0.631,0,13.2
6.807,29,31.438,50,47.331,47,6,18,21,29.885,372.9,26,53.465,2.1,7,37.0,8,38.3,1.138,4,0.636,0,12.8
7.056,24,24.534,38,36.473,36,6,15,14,23.95,294.35,22,40.86,2.8,3,34.0,7,41.7,1.135,2,0.665,0,16.7
6.793,23,23.228,37,35.767,35,5,14,14,22.839,287.33,21,40.117,2.9,3,31.0,7,40.0,1.146,2,0.653,0,14.3
6.097,24,26.051,41,39.138,39,5,16,17,24.983,295.38,22,44.192,2.6,4,33.0,6,41.0,1.133,3,0.641,1,12.8
6.854,23,24.938,38,36.331,36,5,14,15,23.643,301.41,21,40.697,2.8,4,31.5,7,38.9,1.13,3,0.657,1,13.9
6.187,26,28.159,44,42.643,42,6,15,18,26.906,346.46,24,47.82,4.8,4,36.0,9,35.7,1.139,4,0.641,2,14.3
6.426,27,27.847,44,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,3,37.5,7,41.5,1.136,2,0.653,0,17.1
6.0,28,28.853,46,43.232,43,8,17,18,27.805,334.43,25,49.062,0.0,3,38.5,8,39.5,1.141,3,0.647,0,18.6
6.602,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,2,0.631,0,13.2
5.496,28,29.051,45,42.138,42,5,19,17,27.983,331.41,25,47.192,2.4,2,39.0,6,45.2,1.124,4,0.666,0,11.9
6.658,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,2,0.631,0,13.2
7.046,24,23.165,37,36.28,35,5,14,13,23.222,305.32,22,40.456,2.9,3,32.0,8,40.0,1.156,2,0.663,0,14.3
6.137,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,3,0.631,0,13.2
5.854,26,28.159,44,42.643,42,6,15,18,26.906,346.46,24,47.82,4.8,4,36.0,9,35.7,1.139,4,0.641,2,14.3
6.678,25,26.398,41,39.76,39,6,14,16,25.379,332.43,23,44.405,5.1,3,35.0,9,35.9,1.139,3,0.651,2,15.4
6.62,25,26.398,41,39.76,39,6,14,16,25.379,332.43,23,44.405,5.1,3,35.0,9,35.9,1.139,3,0.651,2,15.4
5.824,34,36.801,59,56.32,56,7,22,25,35.321,419.54,31,63.644,3.6,7,45.5,9,39.3,1.136,5,0.631,1,12.5
5.284,27,27.847,44,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,3,37.5,7,41.5,1.136,2,0.653,0,17.1
6.328,24,26.813,43,41.022,41,5,16,19,25.509,297.4,22,46.607,2.4,5,32.0,6,39.0,1.137,3,0.622,0,12.2
6.169,23,23.228,37,35.767,35,5,14,14,22.839,287.33,21,40.117,2.9,3,31.0,7,40.0,1.146,2,0.653,0,14.3
6.604,26,25.989,42,39.651,39,5,16,16,25.366,313.37,23,44.532,2.6,5,34.0,7,41.0,1.142,2,0.65,0,12.8
7.215,24,25.506,41,39.465,39,5,15,17,24.697,299.37,22,44.402,5.1,4,32.0,7,38.5,1.139,3,0.633,0,12.8
7.328,23,23.745,38,36.582,36,5,14,15,23.171,285.34,21,40.986,5.6,3,31.0,7,38.9,1.139,3,0.644,0,13.9
7.131,24,25.506,41,39.465,39,5,15,17,24.697,299.37,22,44.402,5.1,4,32.0,7,38.5,1.139,3,0.633,0,12.8
6.167,30,31.711,49,46.418,46,7,18,19,30.213,381.51,27,52.109,2.2,5,40.0,9,39.1,1.133,4,0.657,2,15.2
4.824,35,35.057,53,49.24,49,6,24,18,34.004,406.48,31,54.69,2.0,0,50.0,7,49.0,1.116,4,0.694,1,12.2
5.409,25,23.222,36,33.814,33,5,15,11,23.117,293.31,22,37.156,6.1,1,35.0,7,45.5,1.126,1,0.701,2,15.2
5.77,27,26.745,42,39.582,39,5,17,15,26.171,321.37,24,43.986,5.1,3,37.0,7,43.6,1.128,2,0.671,2,12.8
6.921,30,29.506,47,43.465,43,5,19,17,28.697,347.41,26,48.402,4.7,5,40.0,7,44.2,1.126,2,0.667,2,11.6
7.337,23,23.228,37,35.767,35,5,14,14,22.839,287.33,21,40.117,2.9,3,31.0,7,40.0,1.146,2,0.653,0,14.3
7.143,26,25.989,42,39.651,39,5,16,16,25.366,313.37,23,44.532,2.6,5,34.0,7,41.0,1.142,2,0.65,0,12.8
5.527,24,26.404,40,38.367,38,5,15,16,25.008,362.26,22,43.034,2.6,4,32.0,7,39.5,1.132,3,0.658,0,13.2
8.0,27,28.267,46,43.349,43,5,17,19,27.224,325.41,24,48.817,4.7,6,35.0,7,39.5,1.135,3,0.633,0,11.6
7.886,28,30.029,49,46.232,46,5,18,21,28.751,339.44,25,52.232,4.3,7,36.0,7,39.1,1.135,3,0.625,0,10.9
6.668,26,25.75,42,39.683,39,6,15,16,25.192,312.37,23,44.485,5.1,4,34.0,8,38.5,1.141,3,0.646,0,15.4
4.638,26,25.529,39,36.371,36,5,17,13,24.929,303.35,23,40.362,2.8,0,37.0,6,47.2,1.121,3,0.692,0,13.9
4.0,26,25.529,39,36.371,36,5,17,13,24.929,303.35,23,40.362,2.8,0,37.0,6,47.2,1.121,3,0.692,0,13.9
4.0,28,29.051,45,42.138,42,5,19,17,27.983,331.41,25,47.192,2.4,2,39.0,6,45.2,1.124,4,0.666,0,11.9
5.469,26,26.841,42,39.029,39,6,17,16,25.762,304.39,23,44.066,0.0,3,36.5,6,43.6,1.13,2,0.661,0,15.4
7.071,26,26.841,42,39.029,39,6,17,16,25.762,304.39,23,44.066,0.0,3,36.5,6,43.6,1.13,2,0.661,0,15.4
6.959,27,28.603,45,41.912,42,6,18,18,27.289,318.42,24,47.481,0.0,4,37.5,6,42.9,1.131,2,0.65,0,14.3
6.886,23,24.642,37,35.483,35,5,14,14,23.481,348.23,21,39.619,2.9,3,31.0,7,40.0,1.132,2,0.671,0,14.3
6.686,26,28.62,44,42.578,42,5,16,18,27.249,392.29,24,47.658,4.8,5,34.0,8,38.1,1.135,5,0.649,0,11.9
7.387,25,25.642,39,36.483,36,5,15,14,24.481,360.24,22,40.619,2.8,4,33.0,7,41.7,1.128,2,0.68,0,13.9
6.167,27,27.512,45,42.567,42,6,16,18,26.719,326.4,24,47.9,4.8,5,35.0,8,38.1,1.14,3,0.636,0,14.3
6.593,28,30.029,49,46.232,46,5,18,21,28.751,339.44,25,52.232,4.3,7,36.0,7,39.1,1.135,4,0.625,0,10.9
7.319,25,27.267,44,42.349,42,5,16,19,26.224,313.4,23,47.817,4.8,5,33.0,7,38.1,1.138,4,0.624,0,11.9
5.201,27,27.29,42,39.254,39,5,18,15,26.456,317.38,24,43.777,2.6,1,38.0,6,46.2,1.122,4,0.678,0,12.8
4.0,29,29.006,42,39.902,39,5,18,13,28.111,386.26,26,43.665,2.6,1,40.0,8,46.2,1.12,4,0.721,0,12.8
7.114,25,25.086,40,37.247,37,7,15,15,24.257,293.37,22,42.149,0.0,3,35.0,7,40.5,1.139,2,0.656,0,18.9
6.762,25,25.841,41,38.029,38,6,16,16,24.762,292.38,22,43.066,0.0,3,35.0,6,42.1,1.133,2,0.652,0,15.8
6.642,28,28.603,46,41.912,42,6,18,18,27.289,318.42,24,47.481,0.0,5,38.0,6,42.9,1.131,2,0.65,0,14.3
6.951,26,27.404,42,39.367,39,5,16,16,26.008,374.27,23,44.034,2.6,5,34.0,7,41.0,1.129,2,0.667,0,12.8
7.187,23,23.228,37,35.767,35,5,14,14,22.839,287.33,21,40.117,2.9,3,31.0,7,40.0,1.146,2,0.653,0,14.3
5.519,24,24.233,39,37.869,37,6,14,15,23.861,302.35,22,42.615,2.7,3,32.0,8,37.8,1.152,3,0.645,0,16.2
6.706,26,29.029,47,45.232,45,5,17,21,27.751,327.43,24,51.232,4.4,6,34.0,7,37.8,1.138,4,0.617,0,11.1
6.921,27,29.483,48,46.56,46,5,17,21,28.466,343.43,25,52.441,6.5,6,35.0,8,37.0,1.14,6,0.619,0,10.9
7.174,27,29.483,48,46.56,46,5,17,21,28.466,343.43,25,52.441,6.5,6,35.0,8,37.0,1.14,6,0.619,0,10.9
4.678,32,33.358,51,46.694,47,5,23,19,31.795,365.47,28,52.398,0.0,2,45.5,5,48.9,1.115,4,0.676,0,10.6
5.523,27,26.534,41,38.473,38,6,17,14,25.95,318.37,24,42.86,2.6,1,38.5,7,44.7,1.128,3,0.683,1,15.8
7.432,26,27.603,44,40.912,41,6,17,18,26.289,306.41,23,46.481,0.0,4,36.0,6,41.5,1.134,2,0.641,0,14.6
6.354,29,30.364,49,44.796,45,6,19,20,28.816,332.45,25,50.896,0.0,6,39.0,6,42.2,1.131,2,0.64,0,13.3
7.0,25,25.086,40,37.247,37,7,15,15,24.257,293.37,22,42.149,0.0,3,35.0,7,40.5,1.139,2,0.656,0,18.9
5.362,24,24.233,39,37.869,37,6,14,15,23.861,302.35,22,42.615,2.7,3,32.0,8,37.8,1.152,3,0.645,0,16.2
5.863,25,24.472,38,36.985,36,6,15,13,24.334,312.34,23,41.2,2.8,3,35.0,8,41.7,1.144,4,0.676,0,16.7
6.145,26,26.233,41,39.869,39,6,16,15,25.861,326.37,24,44.615,2.6,4,36.0,8,41.0,1.144,5,0.663,0,15.4
6.325,23,23.745,38,36.582,36,5,14,15,23.171,285.34,21,40.986,5.6,3,31.0,7,38.9,1.139,4,0.644,0,13.9
7.377,26,29.029,47,45.232,45,5,17,21,27.751,327.43,24,51.232,4.4,6,34.0,7,37.8,1.138,5,0.617,0,11.1
5.745,28,28.597,45,40.811,41,5,19,17,27.268,315.41,24,45.983,0.0,4,38.5,5,46.3,1.122,3,0.665,0,12.2
4.921,28,31.12,49,45.578,46,5,20,21,29.321,331.46,25,51.813,0.0,5,38.5,5,43.5,1.126,4,0.637,0,10.9
6.848,28,27.847,45,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,5,38.0,7,41.5,1.136,2,0.653,0,17.1
7.167,26,26.091,42,39.349,39,8,15,16,25.278,308.39,23,44.647,0.0,3,36.0,8,38.5,1.145,2,0.648,0,20.5
6.921,25,25.086,40,37.247,37,7,15,15,24.257,293.37,22,42.149,0.0,3,35.0,7,40.5,1.139,2,0.656,0,18.9
