pXC50,nN,Mi,nCsp2,H.,Mp,nCL,C.,nAB,Mv,N.,nBM,Sp,nSK,nC,nBO,SCBO,nCsp3,Sv,MW,X.,RBF,nAT
5.0,6,1.145,11,48.9,0.635,0,35.6,11,0.601,13.3,13,28.58,23,16,24,31.5,5,27.058,314.44,0.0,0.217,45
5.0,6,1.145,11,50.0,0.632,0,35.4,11,0.596,12.5,13,30.341,24,17,25,32.5,6,28.584,328.47,0.0,0.224,48
5.0,6,1.14,10,50.0,0.643,0,37.5,11,0.601,12.5,13,30.887,24,18,25,33.5,7,28.87,324.48,0.0,0.224,48
4.59,6,1.135,10,47.8,0.669,0,37.0,11,0.62,13.0,13,30.773,24,17,25,33.5,6,28.53,342.52,0.0,0.234,46
5.444,3,1.13,13,50.0,0.64,0,39.4,16,0.603,4.5,16,42.256,33,26,37,45.0,13,39.825,451.62,0.0,0.114,66
6.035,4,1.131,14,49.3,0.641,0,39.1,16,0.606,5.8,17,44.262,35,27,39,48.0,13,41.847,478.65,0.0,0.123,69
5.862,4,1.136,13,42.9,0.672,1,37.5,16,0.645,7.1,18,37.659,32,21,35,45.0,8,36.137,483.01,3.6,0.119,56
5.301,5,1.131,17,48.1,0.651,0,37.7,21,0.614,6.5,23,50.131,40,29,44,56.5,12,47.297,567.78,0.0,0.136,77
5.0,6,1.14,10,47.6,0.652,0,38.1,11,0.615,14.3,13,27.364,22,16,23,31.5,5,25.816,296.42,0.0,0.209,42
4.416,3,1.13,13,49.3,0.644,0,37.3,16,0.607,4.0,18,48.336,38,28,42,52.0,15,45.496,543.75,0.0,0.127,75
5.0,4,1.135,13,50.0,0.646,0,40.3,16,0.606,6.5,16,40.074,31,25,35,43.0,12,37.559,422.6,1.6,0.091,62
5.0,3,1.121,15,35.0,0.736,2,47.5,16,0.713,7.5,17,29.455,26,19,30,39.0,4,28.505,390.26,7.5,0.0,40
5.0,5,1.136,16,46.4,0.657,0,41.1,21,0.625,8.9,21,36.796,30,23,33,43.5,7,35.0,407.54,1.8,0.153,56
5.6,3,1.138,6,56.1,0.625,0,36.6,6,0.569,7.3,6,25.631,18,15,20,23.0,9,23.332,245.41,0.0,0.07,41
5.7,3,1.135,7,50.0,0.655,1,37.5,6,0.609,7.5,7,26.182,20,15,22,26.0,8,24.348,293.83,2.5,0.071,40
5.0,5,1.133,16,45.6,0.663,0,42.1,21,0.632,8.8,21,37.796,31,24,35,45.5,8,36.0,419.55,1.8,0.098,57
9.301,3,1.13,13,47.8,0.665,0,43.5,16,0.624,6.5,16,30.569,24,20,27,35.0,7,28.716,323.45,2.2,0.061,46
8.076,4,1.13,13,50.0,0.651,0,40.4,16,0.608,7.7,16,33.853,26,21,29,37.0,8,31.595,350.51,0.0,0.091,52
8.319,4,1.141,7,54.2,0.622,0,35.4,10,0.575,8.3,10,29.853,22,17,24,29.0,10,27.595,302.47,0.0,0.12,48
7.921,3,1.125,12,51.1,0.658,0,42.2,12,0.607,6.7,13,29.631,22,19,24,31.0,7,27.332,293.45,0.0,0.106,45
7.201,3,1.125,12,51.1,0.658,0,42.2,12,0.607,6.7,13,29.631,22,19,24,31.0,7,27.332,293.45,0.0,0.106,45
7.456,3,1.125,12,51.1,0.658,0,42.2,12,0.607,6.7,13,29.631,22,19,24,31.0,7,27.332,293.45,0.0,0.106,45
8.658,3,1.127,12,50.0,0.654,0,41.3,12,0.61,6.5,13,30.086,23,19,25,32.0,7,28.047,309.45,0.0,0.125,46
8.509,3,1.128,12,51.0,0.65,0,40.8,12,0.604,6.1,13,31.847,24,20,26,33.0,8,29.574,323.48,0.0,0.118,49
8.569,3,1.129,12,51.9,0.646,0,40.4,12,0.598,5.8,13,33.608,25,21,27,34.0,9,31.101,337.51,0.0,0.111,52
8.886,3,1.13,12,50.9,0.643,0,39.6,12,0.6,5.7,13,34.063,26,21,28,35.0,9,31.815,353.51,0.0,0.127,53
8.114,3,1.125,12,50.0,0.664,0,42.9,12,0.614,7.1,13,27.87,21,18,23,30.0,6,25.805,279.42,0.0,0.114,42
7.824,3,1.125,12,50.0,0.664,0,42.9,12,0.614,7.1,13,27.87,21,18,23,30.0,6,25.805,279.42,0.0,0.114,42
7.921,2,1.115,13,50.0,0.688,0,43.2,16,0.625,4.5,16,30.273,22,19,24,32.0,6,27.498,310.5,0.0,0.109,44
9.155,3,1.135,12,49.0,0.649,0,40.8,12,0.611,6.1,13,31.785,25,20,27,34.0,8,29.957,341.47,2.0,0.118,49
9.523,2,1.126,11,48.8,0.679,0,41.9,11,0.625,4.7,12,29.211,22,18,24,30.5,7,26.881,316.48,2.3,0.111,43
8.658,2,1.119,11,52.2,0.675,0,41.3,11,0.609,4.3,12,31.035,22,19,24,30.5,8,28.025,312.52,0.0,0.104,46
8.301,2,1.119,13,50.0,0.677,0,41.7,16,0.62,4.2,16,32.489,24,20,26,34.0,7,29.74,340.53,0.0,0.12,48
5.215,2,1.114,13,50.0,0.688,0,43.8,16,0.626,4.2,16,33.035,24,21,27,35.0,8,30.025,336.54,0.0,0.098,48
8.409,2,1.113,13,48.9,0.695,0,44.4,16,0.633,4.4,16,31.273,23,20,26,34.0,7,28.498,322.51,0.0,0.104,45
5.0,2,1.115,13,50.0,0.688,0,43.2,16,0.625,4.5,16,30.273,22,19,24,32.0,6,27.498,310.5,0.0,0.109,44
5.456,2,1.115,13,50.0,0.688,0,43.2,16,0.625,4.5,16,30.273,22,19,24,32.0,6,27.498,310.5,0.0,0.109,44
4.102,2,1.115,13,50.0,0.688,0,43.2,16,0.625,4.5,16,30.273,22,19,24,32.0,6,27.498,310.5,0.0,0.109,44
8.337,2,1.112,11,48.8,0.711,0,41.5,15,0.638,4.9,15,29.159,21,17,23,30.5,6,26.158,316.53,0.0,0.116,41
4.638,2,1.115,13,50.0,0.688,0,43.2,16,0.625,4.5,16,30.273,22,19,24,32.0,6,27.498,310.5,0.0,0.109,44
6.409,2,1.117,13,51.1,0.682,0,42.6,16,0.618,4.3,16,32.035,23,20,25,33.0,7,29.025,324.53,0.0,0.102,47
7.229,2,1.119,13,50.0,0.677,0,41.7,16,0.62,4.2,16,32.489,24,20,26,34.0,7,29.74,340.53,0.0,0.12,48
7.42,2,1.123,13,47.7,0.687,0,43.2,16,0.634,4.5,16,30.211,23,19,25,33.0,6,27.881,328.49,2.3,0.109,44
4.523,5,1.135,10,42.1,0.682,1,39.5,15,0.653,13.2,15,25.909,22,15,25,32.5,5,24.81,317.81,2.6,0.049,38
8.284,2,1.112,11,48.8,0.711,0,41.5,15,0.638,4.9,15,29.159,21,17,23,30.5,6,26.158,316.53,0.0,0.116,41
8.032,2,1.117,13,51.1,0.682,0,42.6,16,0.618,4.3,16,32.035,23,20,25,33.0,7,29.025,324.53,0.0,0.102,47
8.051,3,1.127,12,50.0,0.654,0,41.3,12,0.61,6.5,13,30.086,23,19,25,32.0,7,28.047,309.45,0.0,0.125,46
8.854,3,1.123,12,47.6,0.684,1,42.9,12,0.634,7.1,13,28.728,22,18,24,31.0,6,26.633,313.86,2.4,0.114,42
8.569,2,1.123,13,47.7,0.687,0,43.2,16,0.634,4.5,16,30.211,23,19,25,33.0,6,27.881,328.49,2.3,0.109,44
8.097,2,1.114,13,47.7,0.708,1,43.2,16,0.644,4.5,16,31.131,23,19,25,33.0,6,28.325,344.94,2.3,0.109,44
7.886,2,1.123,13,47.7,0.687,0,43.2,16,0.634,4.5,16,30.211,23,19,25,33.0,6,27.881,328.49,2.3,0.109,44
7.161,2,1.117,13,51.1,0.682,0,42.6,16,0.618,4.3,16,32.035,23,20,25,33.0,7,29.025,324.53,0.0,0.102,47
9.0,3,1.128,12,51.0,0.65,0,40.8,12,0.604,6.1,13,31.847,24,20,26,33.0,8,29.574,323.48,0.0,0.118,49
9.097,2,1.118,11,51.2,0.681,0,41.9,11,0.616,4.7,12,29.273,21,18,23,29.5,7,26.498,298.49,0.0,0.111,43
8.509,2,1.119,11,52.2,0.675,0,41.3,11,0.609,4.3,12,31.035,22,19,24,30.5,8,28.025,312.52,0.0,0.104,46
7.924,3,1.125,12,51.1,0.658,0,42.2,12,0.607,6.7,13,29.631,22,19,24,31.0,7,27.332,293.45,0.0,0.106,45
8.854,3,1.133,12,47.6,0.662,0,42.9,12,0.624,7.1,13,27.807,22,18,24,31.0,6,26.189,297.41,2.4,0.114,42
8.824,3,1.126,12,47.8,0.673,1,41.3,12,0.628,6.5,13,30.944,24,19,26,33.0,7,28.875,343.89,2.2,0.125,46
9.097,3,1.135,12,47.8,0.653,0,41.3,12,0.618,6.5,13,30.023,24,19,26,33.0,7,28.43,327.44,2.2,0.125,46
8.678,3,1.123,12,47.6,0.684,1,42.9,12,0.634,7.1,13,28.728,22,18,24,31.0,6,26.633,313.86,2.4,0.114,42
8.77,3,1.133,12,47.6,0.662,0,42.9,12,0.624,7.1,13,27.807,22,18,24,31.0,6,26.189,297.41,2.4,0.114,42
8.377,3,1.126,12,52.1,0.654,0,41.7,12,0.601,6.3,13,31.393,23,20,25,32.0,8,28.859,307.48,0.0,0.1,48
8.77,2,1.123,13,47.7,0.687,0,43.2,16,0.634,4.5,16,30.211,23,19,25,33.0,6,27.881,328.49,2.3,0.109,44
8.538,2,1.114,13,47.7,0.708,1,43.2,16,0.644,4.5,16,31.131,23,19,25,33.0,6,28.325,344.94,2.3,0.109,44
7.456,2,1.112,11,48.8,0.711,0,41.5,15,0.638,4.9,15,29.159,21,17,23,30.5,6,26.158,316.53,0.0,0.116,41
6.921,2,1.119,13,50.0,0.677,0,41.7,16,0.62,4.2,16,32.489,24,20,26,34.0,7,29.74,340.53,0.0,0.12,48
7.77,2,1.117,13,51.1,0.682,0,42.6,16,0.618,4.3,16,32.035,23,20,25,33.0,7,29.025,324.53,0.0,0.102,47
4.495,2,1.113,13,48.8,0.695,0,43.9,16,0.633,4.9,16,28.512,21,18,23,31.0,5,25.971,296.47,0.0,0.116,41
8.357,3,1.123,11,50.0,0.679,0,40.5,15,0.619,7.1,15,28.517,21,17,23,30.5,6,25.993,299.48,0.0,0.114,42
8.538,2,1.119,13,50.0,0.677,0,41.7,16,0.62,4.2,16,32.489,24,20,26,34.0,7,29.74,340.53,0.0,0.12,48
6.914,3,1.123,11,50.0,0.679,0,40.5,15,0.619,7.1,15,28.517,21,17,23,30.5,6,25.993,299.48,0.0,0.114,42
8.602,2,1.121,11,51.1,0.67,0,40.4,11,0.611,4.3,12,31.489,23,19,25,31.5,8,28.74,328.52,0.0,0.122,47
5.0,5,1.143,5,55.4,0.626,0,32.1,5,0.569,8.9,7,35.029,25,18,26,30.5,13,31.857,365.61,0.0,0.158,56
5.0,5,1.143,5,55.4,0.626,0,32.1,5,0.569,8.9,7,35.029,25,18,26,30.5,13,31.857,365.61,0.0,0.158,56
5.0,5,1.143,5,55.4,0.626,0,32.1,5,0.569,8.9,7,35.029,25,18,26,30.5,13,31.857,365.61,0.0,0.158,56
9.097,3,1.125,13,50.0,0.657,0,42.0,16,0.611,6.0,16,32.847,25,21,28,36.0,8,30.574,335.49,0.0,0.094,50
9.046,3,1.13,13,47.8,0.665,0,43.5,16,0.624,6.5,16,30.569,24,20,27,35.0,7,28.716,323.45,2.2,0.061,46
5.0,1,1.116,12,51.5,0.67,0,45.5,12,0.613,3.0,12,22.097,16,15,17,23.0,3,20.236,211.33,0.0,0.118,33
5.21,5,1.14,11,50.0,0.638,0,37.0,11,0.599,10.9,13,29.336,23,17,24,31.5,6,27.563,313.45,0.0,0.191,46
6.08,5,1.14,11,50.0,0.638,0,37.0,11,0.599,10.9,13,29.336,23,17,24,31.5,6,27.563,313.45,0.0,0.191,46
7.05,5,1.148,5,55.8,0.608,0,32.7,5,0.56,9.6,7,31.62,23,17,24,28.5,12,29.143,319.51,0.0,0.17,52
7.18,5,1.148,5,55.8,0.608,0,32.7,5,0.56,9.6,7,31.62,23,17,24,28.5,12,29.143,319.51,0.0,0.17,52
7.0,2,1.115,14,45.7,0.694,1,45.7,12,0.649,4.3,14,31.938,25,21,28,36.0,7,29.853,352.89,2.2,0.0,46
5.0,5,1.135,11,50.0,0.655,0,36.0,11,0.606,10.0,13,32.745,25,18,26,33.5,7,30.277,359.55,0.0,0.176,50
6.0,2,1.122,9,52.6,0.671,0,39.5,11,0.605,5.3,11,25.512,18,15,19,24.5,6,22.971,260.44,0.0,0.128,38
5.0,5,1.135,11,50.0,0.655,0,36.0,11,0.606,10.0,13,32.745,25,18,26,33.5,7,30.277,359.55,0.0,0.176,50
5.0,5,1.135,11,50.0,0.655,0,36.0,11,0.606,10.0,13,32.745,25,18,26,33.5,7,30.277,359.55,0.0,0.176,50
5.345,3,1.128,16,44.0,0.67,0,44.0,12,0.643,6.0,15,33.478,28,22,31,40.0,6,32.145,379.47,2.0,0.113,50
7.482,3,1.12,13,42.1,0.702,1,44.7,12,0.666,7.9,13,26.659,22,17,25,32.0,4,25.294,313.81,2.6,0.024,38
4.801,5,1.14,11,45.9,0.65,0,37.8,11,0.621,13.5,13,24.051,20,14,21,28.5,3,22.983,271.36,0.0,0.184,37
7.658,4,1.124,11,46.2,0.692,0,41.0,11,0.64,10.3,12,27.0,21,16,24,30.5,5,24.96,298.45,0.0,0.024,39
5.74,3,1.134,19,49.3,0.647,0,41.3,18,0.61,4.0,19,48.506,38,31,41,51.0,12,45.743,521.71,2.7,0.141,75
6.305,3,1.119,19,46.6,0.673,0,44.8,18,0.635,5.2,19,39.063,31,26,35,45.0,7,36.815,413.56,0.0,0.081,58
5.1,3,1.122,15,48.8,0.671,0,44.2,17,0.623,7.0,17,28.87,22,19,24,32.5,4,26.805,291.43,0.0,0.133,43
4.0,3,1.12,15,47.5,0.678,0,45.0,17,0.632,7.5,17,27.108,21,18,23,31.5,3,25.279,277.4,0.0,0.119,40
6.343,3,1.13,19,46.5,0.662,0,43.7,18,0.629,4.2,20,46.983,38,31,41,53.0,11,44.689,517.67,2.8,0.149,71
5.78,2,1.134,19,47.0,0.658,0,43.9,18,0.626,3.0,19,43.461,35,29,38,48.0,10,41.336,480.62,4.5,0.13,66
7.85,6,1.137,20,51.5,0.642,0,37.6,17,0.621,5.9,20,64.813,49,38,53,64.5,18,35.203,673.77,2.0,0.162,101
8.469,2,1.114,13,46.3,0.701,1,46.3,12,0.649,4.9,13,28.722,22,19,25,32.0,6,26.612,310.85,2.4,0.0,41
6.0,3,1.156,9,45.0,0.642,0,40.0,11,0.624,7.5,11,25.682,22,16,24,29.5,7,24.955,309.37,7.5,0.071,40
6.0,3,1.133,9,51.2,0.642,0,39.0,11,0.598,7.3,11,26.324,20,16,22,27.5,7,24.52,271.4,0.0,0.093,41
5.714,2,1.13,19,49.3,0.656,0,43.5,18,0.616,2.9,19,45.285,35,30,38,48.0,11,42.48,476.66,2.9,0.139,69
5.6,3,1.123,15,51.8,0.659,0,42.9,17,0.606,5.4,17,36.915,27,24,30,38.5,9,33.913,359.56,0.0,0.136,56
5.0,1,1.114,6,48.7,0.675,0,46.2,6,0.628,2.6,6,26.313,20,18,26,29.0,12,24.477,265.38,0.0,0.044,39
6.496,1,1.121,12,52.5,0.652,0,42.5,12,0.6,2.5,12,26.074,19,17,20,26.0,5,24.004,255.39,0.0,0.146,40
5.0,4,1.13,15,49.1,0.65,0,40.4,16,0.611,7.0,17,37.069,29,23,32,41.0,8,34.837,392.55,0.0,0.1,57
8.498,1,1.119,12,52.1,0.658,0,43.8,12,0.605,2.1,12,31.597,23,21,26,32.0,9,29.058,307.47,0.0,0.078,48
4.997,0,1.135,6,48.4,0.636,0,35.5,0,0.604,0.0,5,39.438,32,22,35,40.0,16,37.454,472.49,1.6,0.062,62
8.201,2,1.123,11,50.0,0.677,1,42.1,12,0.621,5.3,12,25.722,19,16,20,26.0,5,23.612,274.82,2.6,0.128,38
5.0,2,1.106,18,40.0,0.722,0,47.5,17,0.684,5.0,19,28.898,24,19,26,36.5,1,27.347,336.44,0.0,0.119,40
9.2,4,1.129,11,47.4,0.667,0,42.1,11,0.626,10.5,12,25.353,20,16,23,29.5,5,23.773,266.38,0.0,0.024,38
7.3,4,1.131,12,46.8,0.655,0,40.4,11,0.622,8.5,13,30.784,25,19,28,35.5,7,29.256,338.45,0.0,0.08,47
7.6,4,1.132,12,49.1,0.647,0,39.6,11,0.61,7.5,13,34.307,27,21,30,37.5,9,32.31,366.51,0.0,0.071,53
7.3,4,1.132,12,50.0,0.644,0,39.3,11,0.604,7.1,13,36.069,28,22,31,38.5,10,33.837,380.54,0.0,0.068,56
7.7,4,1.132,12,49.1,0.647,0,39.6,11,0.61,7.5,13,34.307,27,21,30,37.5,9,32.31,366.51,0.0,0.071,53
7.5,4,1.128,14,45.8,0.662,0,41.7,11,0.63,8.3,14,31.784,26,20,29,37.5,6,30.256,350.46,0.0,0.078,48
7.75,4,1.129,12,47.1,0.658,0,41.2,11,0.623,7.8,13,33.546,27,21,31,38.5,9,31.783,364.49,0.0,0.055,51
6.9,4,1.13,12,49.1,0.65,0,40.4,11,0.611,7.0,13,37.069,29,23,33,40.5,11,34.837,392.55,0.0,0.049,57
7.4,4,1.132,12,50.8,0.641,0,39.0,11,0.599,6.8,13,37.83,29,23,32,39.5,11,35.364,394.57,0.0,0.065,59
7.3,4,1.132,12,50.0,0.644,0,39.3,11,0.604,7.1,13,36.069,28,22,31,38.5,10,33.837,380.54,0.0,0.068,56
7.1,4,1.131,12,47.2,0.663,1,39.6,11,0.625,7.5,13,35.165,28,21,31,38.5,9,33.138,400.95,1.9,0.071,53
4.699,6,1.135,13,48.0,0.658,0,40.0,17,0.617,12.0,17,32.887,26,20,29,37.5,7,30.87,348.5,0.0,0.094,50
7.4,4,1.131,12,47.2,0.663,1,39.6,11,0.625,7.5,13,35.165,28,21,31,38.5,9,33.138,400.95,1.9,0.071,53
7.4,4,1.138,12,47.2,0.646,0,39.6,11,0.617,7.5,13,34.245,28,21,31,38.5,9,32.693,384.5,1.9,0.071,53
6.9,4,1.133,12,49.1,0.641,0,38.6,11,0.606,7.0,13,36.523,29,22,32,39.5,10,34.552,396.54,0.0,0.083,57
8.0,3,1.131,11,52.5,0.647,0,40.0,12,0.595,7.5,12,25.87,19,16,20,26.0,5,23.805,255.4,0.0,0.146,40
6.108,3,1.127,14,49.2,0.649,0,40.7,12,0.611,5.1,14,38.279,30,24,33,41.0,10,36.057,407.56,0.0,0.113,59
6.215,1,1.131,7,58.5,0.62,0,37.7,6,0.559,1.9,7,32.881,22,20,23,27.0,13,29.638,301.52,0.0,0.148,53
5.0,3,1.118,14,48.9,0.687,0,42.6,17,0.628,6.4,17,32.279,24,20,26,34.5,6,29.519,337.53,0.0,0.122,47
5.0,3,1.118,14,48.9,0.687,0,42.6,17,0.628,6.4,17,32.279,24,20,26,34.5,6,29.519,337.53,0.0,0.122,47
6.268,3,1.141,14,36.8,0.705,0,44.7,17,0.687,7.9,17,26.807,24,17,26,34.5,3,26.089,349.41,7.9,0.125,38
6.553,3,1.15,9,45.5,0.661,0,38.6,11,0.629,6.8,11,29.091,24,17,26,31.5,8,27.669,355.47,6.8,0.109,44
7.319,3,1.15,9,45.5,0.661,0,38.6,11,0.629,6.8,11,29.091,24,17,26,31.5,8,27.669,355.47,6.8,0.109,44
7.194,5,1.136,15,48.4,0.65,0,40.3,16,0.614,8.1,17,40.319,32,25,36,45.0,10,38.053,435.6,1.6,0.091,62
8.444,3,1.122,13,50.0,0.671,0,40.7,12,0.616,5.6,13,36.256,27,22,30,37.0,9,33.288,381.59,0.0,0.053,54
8.602,3,1.122,13,50.0,0.671,0,40.7,12,0.616,5.6,13,36.256,27,22,30,37.0,9,33.288,381.59,0.0,0.053,54
7.194,5,1.135,16,47.8,0.65,0,40.3,16,0.616,7.5,18,43.535,35,27,39,49.0,11,41.295,477.64,1.5,0.099,67
8.347,3,1.124,13,51.7,0.663,0,40.0,12,0.606,5.0,13,39.779,29,24,32,39.0,11,36.341,409.65,0.0,0.063,60
