pXC50,nCsp2,nC,SCBO,nBO,MW,Mv,nSK,nH,RBF,nBT,nBM,Se,nAT,nCsp3,H.,C.,nAB
8.174,6,20,27.0,24,301.52,0.559,22,31,0.091,55,6,51.683,53,14,58.5,37.7,6
5.432,13,20,34.0,27,357.92,0.62,25,24,0.078,51,13,48.676,49,7,49.0,40.8,12
5.0,13,19,35.0,28,379.87,0.644,26,20,0.083,48,13,46.818,46,6,43.5,41.3,12
5.415,16,22,40.0,31,379.47,0.643,28,22,0.113,53,15,50.309,50,6,44.0,44.0,12
5.76,13,17,32.0,25,313.81,0.666,22,16,0.024,41,13,38.142,38,4,42.1,44.7,12
8.53,1,19,24.0,23,309.55,0.533,22,35,0.138,58,1,55.778,57,18,61.4,33.3,0
6.272,9,20,29.0,24,315.5,0.574,23,29,0.17,53,8,51.127,52,11,55.8,38.5,6
6.154,9,19,28.0,23,301.47,0.578,22,27,0.16,50,8,48.243,49,10,55.1,38.8,6
6.47,13,19,32.0,25,310.85,0.649,22,19,0.0,44,13,40.48,41,6,46.3,46.3,12
4.864,9,15,24.0,19,245.35,0.6,18,19,0.105,38,8,36.709,37,6,51.4,40.5,6
6.86,15,23,36.0,28,349.51,0.609,26,27,0.127,55,14,52.243,53,8,50.9,43.4,12
4.374,15,23,37.0,29,365.51,0.611,27,27,0.143,56,14,53.571,54,8,50.0,42.6,12
5.903,9,22,31.0,26,343.56,0.567,25,33,0.186,59,8,56.894,58,13,56.9,37.9,6
4.708,9,23,33.0,28,355.57,0.574,26,33,0.131,61,8,57.894,59,14,55.9,39.0,6
5.849,6,18,29.0,26,265.38,0.628,20,19,0.044,45,6,38.382,39,12,48.7,46.2,6
6.244,12,17,26.0,20,255.39,0.6,19,21,0.146,41,12,39.265,40,5,52.5,42.5,12
5.0,15,23,41.0,32,392.55,0.611,29,28,0.1,60,17,56.665,57,8,49.1,40.4,16
7.602,12,17,29.0,22,284.39,0.615,21,20,0.143,42,13,40.811,41,5,48.8,41.5,12
6.587,9,22,31.0,26,343.56,0.567,25,33,0.186,59,8,56.894,58,13,56.9,37.9,6
9.151,7,18,30.0,26,318.43,0.594,23,24,0.1,50,7,47.072,47,11,51.1,38.3,6
9.801,7,19,29.0,25,318.48,0.574,23,28,0.094,53,7,50.512,51,12,54.9,37.3,6
7.433,7,17,29.0,25,303.39,0.608,22,21,0.109,46,7,43.247,43,10,48.8,39.5,6
4.864,9,15,24.0,19,245.35,0.6,18,19,0.105,38,8,36.709,37,6,51.4,40.5,6
6.86,15,23,36.0,28,349.51,0.609,26,27,0.127,55,14,52.243,53,8,50.9,43.4,12
8.622,12,21,32.0,26,307.47,0.605,23,25,0.078,51,12,47.032,48,9,52.1,43.8,12
4.924,6,22,40.0,35,472.49,0.604,32,30,0.062,65,5,63.243,62,16,48.4,35.5,0
5.372,7,20,29.0,25,315.5,0.574,23,29,0.093,54,7,51.127,52,13,55.8,38.5,6
5.704,11,16,26.0,20,274.82,0.621,19,19,0.128,39,12,37.48,38,5,50.0,42.1,12
5.851,9,17,26.0,21,273.41,0.587,20,23,0.136,44,8,42.476,43,8,53.5,39.5,6
6.871,9,22,32.0,27,341.54,0.578,25,31,0.121,58,8,55.01,56,13,55.4,39.3,6
4.984,9,16,25.0,20,259.38,0.593,19,21,0.122,41,8,39.592,40,7,52.5,40.0,6
6.129,9,18,27.0,22,287.44,0.582,21,25,0.128,47,8,45.36,46,9,54.3,39.1,6
6.078,9,22,32.0,27,341.54,0.578,25,31,0.121,58,8,55.01,56,13,55.4,39.3,6
5.113,21,28,45.0,34,411.58,0.63,31,29,0.127,63,20,59.127,60,7,48.3,46.7,18
5.802,9,23,32.0,27,357.59,0.564,26,35,0.194,62,8,59.778,61,14,57.4,37.7,6
7.215,19,31,55.0,43,566.22,0.629,39,36,0.076,79,21,74.709,75,12,48.0,41.3,18
6.549,9,23,32.0,27,357.59,0.564,26,35,0.194,62,8,59.778,61,14,57.4,37.7,6
5.129,15,24,37.0,29,363.54,0.604,27,29,0.155,58,14,55.127,56,9,51.8,42.9,12
5.653,15,23,37.0,29,365.51,0.611,27,27,0.143,56,14,53.571,54,8,50.0,42.6,12
5.933,9,23,33.0,28,355.57,0.574,26,33,0.131,61,8,57.894,59,14,55.9,39.0,6
5.658,9,21,30.0,25,329.53,0.57,24,31,0.179,56,8,54.01,55,12,56.4,38.2,6
6.846,9,21,31.0,26,327.51,0.582,24,29,0.109,55,8,52.127,53,12,54.7,39.6,6
6.047,9,18,27.0,22,287.44,0.582,21,25,0.128,47,8,45.36,46,9,54.3,39.1,6
5.403,15,18,34.5,26,397.77,0.716,24,15,0.146,41,17,39.32,39,3,38.5,46.2,17
5.421,9,17,26.0,21,273.41,0.587,20,23,0.136,44,8,42.476,43,8,53.5,39.5,6
6.435,9,20,29.0,24,315.5,0.574,23,29,0.17,53,8,51.127,52,11,55.8,38.5,6
6.45,7,18,31.0,27,333.45,0.597,24,24,0.039,51,7,48.192,48,11,50.0,37.5,6
7.9,7,23,36.0,32,403.6,0.576,29,34,0.076,66,7,62.61,63,16,54.0,36.5,6
7.4,7,24,35.0,31,384.62,0.569,28,36,0.075,67,7,62.879,64,17,56.3,37.5,6
7.5,7,23,34.0,30,370.59,0.572,27,34,0.063,64,7,59.996,61,16,55.7,37.7,6
6.8,7,22,33.0,29,356.56,0.575,26,32,0.049,61,7,57.112,58,15,55.2,37.9,6
6.3,7,21,33.0,29,358.53,0.581,26,30,0.051,59,7,55.556,56,14,53.6,37.5,6
6.9,7,21,33.0,29,358.53,0.581,26,30,0.068,59,7,55.556,56,14,53.6,37.5,6
7.0,7,22,35.0,31,390.55,0.584,28,31,0.065,62,7,58.952,59,15,52.5,37.3,6
6.7,7,22,35.0,31,390.55,0.584,28,31,0.065,62,7,58.952,59,15,52.5,37.3,6
6.8,7,22,35.0,31,388.56,0.58,28,32,0.079,63,7,59.767,60,15,53.3,36.7,6
6.1,7,22,37.0,31,383.54,0.597,28,29,0.067,60,8,56.774,57,14,50.9,38.6,6
5.8,7,22,39.0,33,436.63,0.592,30,32,0.077,65,9,62.171,62,15,51.6,35.5,6
5.8,7,23,40.0,34,450.66,0.588,31,34,0.088,68,9,65.054,65,16,52.3,35.4,6
6.3,7,23,40.0,34,450.66,0.588,31,34,0.088,68,9,65.054,65,16,52.3,35.4,6
6.7,7,23,36.0,32,402.59,0.577,29,34,0.091,66,7,62.65,63,16,54.0,36.5,6
6.1,7,23,39.0,33,413.57,0.595,30,31,0.094,64,8,60.985,61,15,50.8,37.7,6
4.374,15,23,37.0,29,365.51,0.611,27,27,0.143,56,14,53.571,54,8,50.0,42.6,12
8.571,7,22,33.0,27,357.54,0.58,26,31,0.138,58,8,56.338,57,13,54.4,38.6,6
5.381,21,28,45.0,34,411.58,0.63,31,29,0.127,63,20,59.127,60,7,48.3,46.7,18
5.0,0,42,84.0,84,1153.14,0.578,78,72,0.122,156,0,157.592,150,42,48.0,28.0,0
9.418,7,20,30.0,26,332.51,0.57,24,30,0.107,56,7,53.396,54,13,55.6,37.0,6
5.755,15,23,36.0,28,349.51,0.609,26,27,0.127,55,14,52.243,53,8,50.9,43.4,12
5.161,14,24,41.0,33,407.56,0.611,30,29,0.113,62,14,58.774,59,10,49.2,40.7,12
5.854,7,20,27.0,23,301.52,0.559,22,31,0.148,54,7,51.683,53,13,58.5,37.7,6
6.523,14,27,47.0,39,501.63,0.61,36,33,0.125,72,14,69.778,69,13,47.8,39.1,12
6.119,7,20,33.0,29,396.96,0.591,27,29,0.138,58,7,56.207,56,13,51.8,35.7,6
5.589,7,18,28.0,24,320.48,0.569,23,28,0.154,52,7,50.672,51,11,54.9,35.3,6
5.0,7,19,32.0,28,366.48,0.587,26,27,0.127,55,7,53.512,53,12,50.9,35.8,6
4.553,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
7.815,12,44,61.0,55,687.18,0.557,50,70,0.136,125,12,117.221,120,32,58.3,36.7,12
6.01,3,10,17.0,13,179.24,0.6,13,13,0.115,26,3,26.058,26,5,50.0,38.5,0
4.863,14,26,48.5,40,532.52,0.631,36,31,0.113,71,17,67.509,67,12,46.3,38.8,17
7.78,14,44,65.0,57,715.14,0.57,52,66,0.122,123,14,116.108,118,30,55.9,37.3,12
6.996,7,16,26.0,22,275.38,0.596,20,21,0.093,43,7,40.92,41,9,51.2,39.0,6
5.0,12,13,24.0,18,228.34,0.674,16,12,0.0,30,12,27.698,28,1,42.9,46.4,12
5.959,1,8,13.0,12,154.24,0.557,11,14,0.077,26,1,24.833,25,7,56.0,32.0,0
5.0,8,13,26.0,20,262.36,0.651,18,14,0.088,34,11,32.236,32,5,43.8,40.6,10
6.0,18,26,44.0,35,434.65,0.645,31,28,0.063,63,18,58.378,59,8,47.5,44.1,18
8.083,19,28,46.0,36,426.6,0.627,32,30,0.106,66,19,61.229,62,9,48.4,45.2,18
4.523,13,14,27.0,20,323.15,0.702,19,11,0.129,31,13,30.84,30,1,36.7,46.7,12
7.046,1,10,18.0,15,193.28,0.584,14,15,0.067,30,2,28.934,29,8,51.7,34.5,0
6.011,1,9,17.0,14,179.25,0.593,13,13,0.074,27,2,26.051,26,7,50.0,34.6,0
7.31,1,10,18.0,15,193.28,0.584,14,15,0.067,30,2,28.934,29,8,51.7,34.5,0
7.7,6,23,41.0,35,495.79,0.586,33,37,0.236,72,11,69.781,70,17,52.9,32.9,10
6.097,1,9,17.0,14,179.25,0.593,13,13,0.074,27,2,26.051,26,7,50.0,34.6,0
8.509,12,22,31.0,25,325.54,0.575,24,31,0.125,56,12,53.683,55,10,56.4,40.0,12
9.0,8,28,48.0,41,593.06,0.596,38,44,0.2,85,12,80.705,82,20,53.7,34.1,10
5.2,1,6,10.0,9,147.23,0.516,10,15,0.167,24,1,25.102,25,5,60.0,24.0,0
4.0,8,24,44.0,37,504.8,0.598,34,36,0.178,73,12,69.672,70,16,51.4,34.3,10
4.0,8,22,42.0,35,476.74,0.606,32,32,0.164,67,12,63.905,64,14,50.0,34.4,10
5.74,10,14,30.0,23,306.37,0.664,21,14,0.081,37,12,35.891,35,4,40.0,40.0,10
4.7,6,10,18.0,15,231.14,0.648,14,12,0.037,27,6,26.153,26,4,46.2,38.5,6
8.854,8,28,48.0,41,560.92,0.585,38,44,0.2,85,12,81.207,82,20,53.7,34.1,10
9.222,8,26,46.0,39,565.0,0.603,36,40,0.19,79,12,74.938,76,18,52.6,34.2,10
8.328,8,27,47.0,40,579.03,0.599,37,42,0.195,82,12,77.821,79,19,53.2,34.2,10
5.959,8,26,46.0,39,532.86,0.591,36,40,0.19,79,12,75.439,76,18,52.6,34.2,10
4.699,8,25,45.0,38,518.83,0.594,35,38,0.184,76,12,72.556,73,17,52.1,34.2,10
8.261,6,20,27.0,24,301.52,0.559,22,31,0.091,55,6,51.683,53,14,58.5,37.7,6
6.53,13,20,31.0,24,292.46,0.605,22,24,0.104,48,13,44.923,46,7,52.2,43.5,12
6.04,12,21,31.0,25,309.49,0.592,23,27,0.115,52,12,48.916,50,9,54.0,42.0,12
4.7,9,14,24.5,19,227.34,0.61,17,17,0.028,36,11,33.491,34,5,50.0,41.2,11
4.523,18,21,46.5,33,443.94,0.691,30,18,0.118,51,24,49.084,48,3,37.5,43.8,21
4.839,4,9,19.5,16,225.37,0.662,14,11,0.0,27,6,24.993,25,5,44.0,36.0,5
6.301,19,22,46.0,34,440.51,0.687,31,18,0.115,52,23,50.232,49,3,36.7,44.9,22
5.0,21,29,53.5,41,497.65,0.634,37,31,0.083,72,24,67.978,68,8,45.6,42.6,23
4.0,6,9,20.0,15,191.28,0.674,13,9,0.0,24,10,22.033,22,3,40.9,40.9,10
5.921,4,9,18.5,15,227.39,0.632,14,13,0.071,28,6,26.876,27,5,48.1,33.3,5
6.0,19,26,47.5,36,428.58,0.631,32,28,0.094,64,22,59.665,60,7,46.7,43.3,21
4.523,8,18,30.0,25,333.48,0.579,24,27,0.135,52,8,50.891,51,10,52.9,35.3,6
7.699,12,21,32.0,26,343.93,0.608,24,26,0.115,52,12,49.24,50,9,52.0,42.0,12
7.377,14,19,30.0,23,279.41,0.619,21,21,0.068,44,13,41.265,42,5,50.0,45.2,12
6.5,15,20,40.0,31,377.5,0.629,28,23,0.056,54,15,51.109,51,5,45.1,39.2,12
10.0,7,18,30.0,26,318.43,0.594,23,24,0.1,50,7,47.072,47,11,51.1,38.3,6
10.097,13,21,35.0,28,337.45,0.624,25,23,0.098,51,13,47.803,48,8,47.9,43.8,12
5.9,12,18,43.0,32,432.58,0.66,29,20,0.115,52,19,49.931,49,6,40.8,36.7,16
5.0,10,25,42.0,35,441.63,0.587,32,35,0.143,70,12,66.752,67,15,52.2,37.3,10
5.0,10,24,41.0,34,427.6,0.591,31,33,0.134,67,12,63.869,64,14,51.6,37.5,10
6.152,6,19,29.0,26,283.42,0.609,21,22,0.083,48,6,42.334,43,13,51.2,44.2,6
5.38,13,21,33.0,26,322.49,0.602,24,26,0.115,52,13,49.134,50,8,52.0,42.0,12
6.48,13,20,32.0,25,326.9,0.623,23,23,0.104,48,13,45.247,46,7,50.0,43.5,12
5.0,9,12,27.5,18,246.25,0.812,17,4,0.0,22,13,22.073,21,0,19.0,57.1,11
4.06,14,20,34.0,26,321.46,0.618,24,23,0.122,49,14,46.469,47,6,48.9,42.6,12
6.34,13,22,33.0,26,320.52,0.594,24,28,0.13,54,13,50.69,52,9,53.8,42.3,12
6.13,13,20,32.0,25,326.9,0.623,23,23,0.104,48,13,45.247,46,7,50.0,43.5,12
5.77,13,21,32.0,25,306.49,0.599,23,26,0.118,51,13,47.807,49,8,53.1,42.9,12
5.62,13,19,30.0,23,278.43,0.612,21,22,0.111,45,13,42.04,43,6,51.2,44.2,12
4.88,14,20,34.0,26,322.44,0.625,24,22,0.146,48,14,45.694,46,6,47.8,43.5,12
5.08,13,19,30.0,23,278.43,0.612,21,22,0.111,45,13,42.04,43,6,51.2,44.2,12
6.21,13,22,33.0,26,320.52,0.594,24,28,0.13,54,13,50.69,52,9,53.8,42.3,12
6.43,14,21,31.0,24,291.47,0.603,22,25,0.102,49,13,45.705,47,7,53.2,44.7,12
6.39,13,24,42.0,34,421.6,0.603,31,31,0.092,65,14,61.65,62,11,50.0,38.7,12
6.89,19,25,40.0,30,354.53,0.63,27,26,0.107,56,19,51.807,53,6,49.1,47.2,18
6.22,13,21,32.0,25,306.49,0.599,23,26,0.098,51,13,47.807,49,8,53.1,42.9,12
6.36,13,21,33.0,26,324.48,0.607,24,25,0.118,51,13,48.32,49,8,51.0,42.9,12
4.83,14,20,34.0,26,322.44,0.625,24,22,0.146,48,14,45.694,46,6,47.8,43.5,12
5.167,10,15,26.0,20,239.35,0.621,18,17,0.054,37,12,34.491,35,5,48.6,42.9,12
7.131,21,40,63.0,51,636.96,0.595,47,52,0.146,103,21,97.596,99,19,52.5,40.4,18
5.0,5,12,18.0,15,190.32,0.571,14,18,0.061,33,6,31.272,32,7,56.3,37.5,6
4.6,13,21,37.0,30,369.48,0.621,27,24,0.111,54,13,51.192,51,8,47.1,41.2,12
5.0,12,22,43.5,34,424.53,0.629,31,25,0.051,59,14,56.614,56,9,44.6,39.3,11
5.749,6,16,23.0,20,227.38,0.587,17,21,0.049,41,6,36.938,38,10,55.3,42.1,6
5.865,6,16,24.0,21,245.37,0.597,18,20,0.049,41,6,37.451,38,10,52.6,42.1,6
5.0,8,16,34.0,27,383.95,0.623,25,22,0.102,49,10,47.516,47,8,46.8,34.0,6
7.208,13,23,36.0,29,368.54,0.593,27,30,0.136,59,13,56.396,57,10,52.6,40.4,12
9.939,19,28,46.0,36,444.62,0.617,33,32,0.132,68,19,64.44,65,9,49.2,43.1,18
4.523,8,21,34.0,29,373.55,0.579,27,31,0.083,60,8,57.658,58,13,53.4,36.2,6
4.523,15,21,44.5,33,425.56,0.645,30,23,0.107,56,20,53.52,53,6,43.4,39.6,17
5.0,13,23,41.0,34,427.58,0.603,31,30,0.063,64,13,61.163,61,10,49.2,37.7,12
5.319,12,21,39.0,31,403.54,0.625,28,25,0.089,56,14,53.418,53,9,47.2,39.6,12
5.0,13,25,42.0,35,438.63,0.593,32,34,0.087,69,13,65.643,66,12,51.5,37.9,12
5.0,13,23,41.0,34,427.58,0.603,31,30,0.063,64,13,61.163,61,10,49.2,37.7,12
5.0,13,24,42.0,35,439.62,0.594,32,33,0.074,68,13,64.861,65,11,50.8,36.9,12
5.0,13,24,44.0,37,477.59,0.61,34,30,0.06,67,13,65.072,64,11,46.9,37.5,12
5.0,19,29,50.0,40,485.69,0.612,36,35,0.067,75,19,70.418,71,10,49.3,40.8,18
5.0,13,24,42.0,35,455.69,0.602,32,33,0.074,68,13,64.61,65,11,50.8,36.9,12
6.208,14,18,35.0,26,341.47,0.649,24,19,0.089,45,17,43.105,43,4,44.2,41.9,16
6.0,16,23,41.0,32,429.96,0.637,30,25,0.088,57,15,55.4,55,7,45.5,41.8,12
4.7,8,12,22.0,17,201.3,0.608,15,15,0.031,32,10,29.607,30,4,50.0,40.0,10
5.538,20,28,56.0,42,477.62,0.653,36,27,0.058,69,27,62.876,63,8,42.9,44.4,26
7.89,14,24,41.0,33,406.58,0.606,30,30,0.063,63,14,59.549,60,10,50.0,40.0,12
7.73,14,24,41.0,33,406.58,0.606,30,30,0.063,63,14,59.549,60,10,50.0,40.0,12
7.91,14,24,41.0,33,406.58,0.606,30,30,0.063,63,14,59.549,60,10,50.0,40.0,12
7.8,14,24,41.0,33,406.58,0.606,30,30,0.063,63,14,59.549,60,10,50.0,40.0,12
5.0,8,19,32.0,27,345.49,0.587,25,27,0.13,54,8,51.891,52,11,51.9,36.5,6
5.0,8,19,33.0,28,379.93,0.603,26,26,0.13,54,8,52.214,52,11,50.0,36.5,6
5.0,7,20,31.0,27,348.51,0.578,25,29,0.125,56,7,53.741,54,13,53.7,37.0,6
5.0,8,23,37.0,32,399.59,0.582,29,33,0.077,65,8,61.541,62,15,53.2,37.1,6
5.509,8,19,32.0,27,345.49,0.587,25,27,0.13,54,8,51.891,52,11,51.9,36.5,6
5.21,0,13,16.0,16,193.37,0.536,14,23,0.051,39,0,35.821,37,13,62.2,35.1,0
5.959,0,15,22.0,22,213.35,0.593,16,19,0.049,41,0,34.054,35,15,54.3,42.9,0
6.382,15,22,42.0,31,378.46,0.643,28,22,0.113,53,19,50.349,50,7,44.0,44.0,16
4.6,0,10,13.0,13,188.33,0.514,13,22,0.086,35,0,34.534,35,10,62.9,28.6,0
4.0,0,10,13.0,13,188.33,0.514,13,22,0.086,35,0,34.534,35,10,62.9,28.6,0
4.91,6,14,21.0,18,236.37,0.564,17,22,0.075,40,6,38.534,39,8,56.4,35.9,6
4.53,6,14,21.0,18,236.37,0.564,17,22,0.075,40,6,38.534,39,8,56.4,35.9,6
8.58,12,20,31.0,25,312.47,0.593,23,26,0.078,51,12,48.301,49,8,53.1,40.8,12
8.83,12,20,31.0,25,312.47,0.593,23,26,0.078,51,12,48.301,49,8,53.1,40.8,12
6.82,12,20,31.0,25,312.47,0.593,23,26,0.078,51,12,48.301,49,8,53.1,40.8,12
4.95,12,21,32.0,26,326.5,0.588,24,28,0.093,54,12,51.185,52,9,53.8,40.4,12
4.77,12,21,32.0,26,326.5,0.588,24,28,0.093,54,12,51.185,52,9,53.8,40.4,12
8.31,12,19,30.0,24,297.43,0.605,22,23,0.085,47,12,44.476,45,7,51.1,42.2,12
8.631,12,19,30.0,24,297.43,0.605,22,23,0.085,47,12,44.476,45,7,51.1,42.2,12
7.15,12,19,30.0,24,297.43,0.605,22,23,0.085,47,12,44.476,45,7,51.1,42.2,12
8.0,4,17,27.0,24,286.47,0.572,21,26,0.08,50,6,46.127,47,13,55.3,36.2,6
5.0,8,13,25.0,19,264.38,0.628,18,16,0.114,35,11,34.12,34,5,47.1,38.2,10
5.87,12,14,30.5,22,288.35,0.688,20,12,0.088,34,16,32.68,32,2,37.5,43.8,15
5.0,8,16,29.0,23,304.45,0.62,21,20,0.07,43,11,40.887,41,8,48.8,39.0,10
5.0,8,12,25.0,19,266.35,0.642,18,14,0.121,33,11,32.564,32,4,43.8,37.5,10
5.0,8,14,27.0,21,276.39,0.638,19,16,0.081,37,11,35.12,35,6,45.7,40.0,10
5.0,8,14,27.0,21,276.39,0.638,19,16,0.081,37,11,35.12,35,6,45.7,40.0,10
5.0,8,15,28.0,22,290.42,0.628,20,18,0.075,40,11,38.003,38,7,47.4,39.5,10
5.0,8,15,29.0,23,306.42,0.63,21,18,0.073,41,11,39.331,39,7,46.2,38.5,10
5.0,8,15,29.0,23,306.42,0.63,21,18,0.073,41,11,39.331,39,7,46.2,38.5,10
5.63,13,15,32.0,23,299.38,0.686,21,13,0.083,36,17,34.454,34,2,38.2,44.1,16
5.89,13,15,32.0,23,299.38,0.686,21,13,0.083,36,17,34.454,34,2,38.2,44.1,16
5.95,12,14,32.0,23,300.37,0.691,21,12,0.086,35,17,33.673,33,2,36.4,42.4,16
5.0,8,13,27.0,21,277.38,0.642,19,15,0.083,36,11,34.338,34,5,44.1,38.2,10
5.0,8,14,28.0,22,291.41,0.632,20,17,0.051,39,11,37.222,37,6,45.9,37.8,10
5.15,8,15,29.0,23,305.44,0.622,21,19,0.071,42,11,40.105,40,7,47.5,37.5,10
5.55,13,14,31.0,22,285.35,0.703,20,11,0.091,33,17,31.571,31,1,35.5,45.2,16
7.251,13,16,34.0,25,346.87,0.684,23,15,0.075,40,17,38.436,38,3,39.5,42.1,16
5.0,15,22,46.5,35,437.57,0.651,31,23,0.069,58,20,54.52,54,7,42.6,40.7,17
5.11,8,13,26.0,20,262.36,0.651,18,14,0.088,34,11,32.236,32,5,43.8,40.6,10
5.0,15,24,49.5,38,463.61,0.65,33,25,0.063,63,20,58.403,58,9,43.1,41.4,17
4.91,16,20,35.0,26,320.42,0.641,24,20,0.13,46,15,43.811,44,4,45.5,45.5,12
4.0,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
4.0,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
4.0,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
4.0,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
4.0,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
4.33,0,10,16.0,15,218.38,0.548,14,20,0.029,35,1,33.727,34,10,58.8,29.4,0
5.434,15,30,54.5,45,565.74,0.604,41,39,0.131,84,18,80.494,80,15,48.8,37.5,17
7.585,7,19,26.0,22,306.52,0.548,22,32,0.185,54,7,52.952,54,12,59.3,35.2,6
7.83,12,25,43.0,34,437.66,0.614,31,31,0.092,65,14,61.407,62,12,50.0,40.3,12
6.837,13,22,34.0,27,337.5,0.602,25,27,0.13,54,13,51.243,52,9,51.9,42.3,12
7.854,21,39,62.0,50,622.93,0.597,46,50,0.14,100,21,94.712,96,18,52.1,40.6,18
7.523,20,40,60.0,49,607.96,0.588,45,53,0.147,102,20,96.05,98,20,54.1,40.8,18
8.638,21,44,69.0,57,689.04,0.597,51,56,0.097,113,21,105.363,107,23,52.3,41.1,18
7.959,21,42,66.0,54,663.0,0.596,49,54,0.12,108,21,101.479,103,21,52.4,40.8,18
7.509,21,40,63.0,51,636.96,0.595,47,52,0.146,103,21,97.596,99,19,52.5,40.4,18
7.367,21,41,65.0,53,648.97,0.599,48,52,0.114,105,21,98.596,100,20,52.0,41.0,18
7.895,12,26,43.0,34,436.67,0.612,31,32,0.091,66,14,62.189,63,13,50.8,41.3,12
7.735,12,25,43.0,34,437.66,0.614,31,31,0.092,65,14,61.407,62,12,50.0,40.3,12
7.747,13,25,41.0,33,425.64,0.611,30,31,0.094,64,14,60.414,61,12,50.8,41.0,12
10.046,14,26,41.0,33,423.67,0.604,30,33,0.091,66,14,61.97,63,12,52.4,41.3,12
7.346,12,26,43.0,34,436.67,0.612,31,32,0.091,66,14,62.189,63,13,50.8,41.3,12
