pXC50,X.,RBF,nX,RBN,nHM,nAB,nBM,Mp,C.,N.,nCL,nN,AMW,Mv,nF,MW,SCBO
8.06,3.0,0.029,1,1,1,6,7,0.679,42.4,3.0,1,1,7.568,0.63,0,249.76,23.0
5.0,0.0,0.143,0,6,1,10,12,0.645,34.1,7.3,0,3,7.206,0.596,0,295.45,28.0
8.432,2.4,0.023,1,1,1,6,9,0.681,43.9,2.4,1,1,7.362,0.63,0,301.84,29.0
7.62,2.9,0.056,1,2,1,6,6,0.646,37.1,2.9,1,1,7.308,0.601,0,255.77,21.0
7.0,2.3,0.065,1,3,0,12,13,0.657,43.2,2.3,0,1,7.486,0.632,1,329.4,33.0
8.699,2.4,0.023,1,1,1,6,7,0.659,40.5,2.4,1,1,6.949,0.604,0,291.85,26.0
7.824,2.3,0.065,1,3,1,12,13,0.678,43.2,2.3,1,1,7.86,0.642,0,345.85,33.0
8.481,2.7,0.053,1,2,1,6,6,0.647,37.8,2.7,1,1,6.859,0.59,0,253.8,21.0
8.678,2.4,0.023,1,1,1,6,7,0.659,40.5,2.4,1,1,6.949,0.604,0,291.85,26.0
7.301,2.3,0.065,1,3,1,12,13,0.689,43.2,2.3,0,1,8.87,0.647,0,390.3,33.0
6.921,2.6,0.049,1,2,1,6,7,0.711,41.0,2.6,0,1,9.468,0.624,0,369.27,25.0
6.198,2.1,0.082,1,4,1,12,12,0.669,42.6,2.1,1,1,7.019,0.615,0,329.9,31.0
8.26,0.0,0.024,0,1,0,12,12,0.661,43.6,2.6,0,1,6.907,0.62,0,269.37,28.0
5.0,1.7,0.117,1,7,1,12,12,0.651,39.7,3.4,1,2,6.673,0.595,0,387.01,35.0
5.0,0.0,0.125,0,8,0,12,12,0.631,38.7,3.2,0,2,6.171,0.579,0,382.6,36.0
7.125,2.0,0.098,1,5,1,12,12,0.662,40.8,4.1,1,2,7.039,0.61,0,344.92,32.0
9.155,5.3,0.025,2,1,2,12,12,0.724,44.7,2.6,1,1,9.65,0.667,0,366.7,29.0
5.947,2.6,0.049,1,2,1,6,7,0.711,41.0,2.6,0,1,9.468,0.624,0,369.27,25.0
6.155,0.0,0.026,0,1,0,6,7,0.657,43.2,2.7,0,1,6.523,0.607,0,241.36,25.0
6.0,0.0,0.13,0,7,0,12,12,0.642,40.4,3.8,0,2,6.241,0.589,0,324.51,32.0
5.451,0.0,0.048,0,3,0,10,12,0.641,39.0,6.8,0,4,6.688,0.599,0,394.57,40.0
6.658,2.6,0.05,1,2,1,6,7,0.718,42.1,2.6,0,1,9.297,0.621,0,353.27,24.0
6.0,0.0,0.091,0,4,0,12,13,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
8.523,0.0,0.091,0,4,0,12,13,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
7.462,0.0,0.029,0,1,0,12,12,0.681,46.9,3.1,0,1,7.041,0.638,0,225.31,25.0
6.485,0.0,0.026,0,1,0,12,12,0.667,44.4,2.8,0,1,7.093,0.63,0,255.34,27.0
6.0,0.0,0.087,0,4,0,12,12,0.655,43.2,2.3,0,1,6.396,0.603,0,281.43,29.0
5.827,1.8,0.105,1,6,1,12,12,0.663,40.0,3.6,0,2,7.59,0.603,0,417.43,34.0
8.804,0.0,0.115,0,6,0,12,12,0.647,42.0,2.0,0,1,6.19,0.592,0,309.49,31.0
5.0,1.7,0.117,1,7,1,12,12,0.659,39.7,3.4,0,2,7.439,0.598,0,431.46,35.0
5.656,0.0,0.039,0,2,0,10,12,0.655,40.4,8.5,0,4,7.201,0.622,0,338.45,36.0
9.432,2.3,0.022,1,1,1,12,12,0.675,43.2,2.3,1,1,7.179,0.622,0,315.87,30.0
9.119,2.0,0.038,1,2,2,11,11,0.687,40.8,4.1,1,2,7.367,0.62,0,360.99,32.5
9.103,3.8,0.036,2,2,0,12,12,0.65,42.3,3.8,0,2,6.856,0.609,2,356.5,35.0
9.133,3.4,0.049,2,3,1,12,12,0.659,41.4,3.4,1,2,6.914,0.606,1,401.01,37.0
7.18,1.7,0.081,1,5,0,12,12,0.641,40.7,3.4,0,2,6.484,0.594,1,382.57,37.0
9.585,5.3,0.025,2,1,2,12,12,0.724,44.7,2.6,1,1,9.65,0.667,0,366.7,29.0
6.137,0.0,0.075,0,4,0,12,12,0.652,42.0,4.0,0,2,6.45,0.602,0,322.49,33.0
7.495,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
9.0,3.6,0.068,2,4,1,12,12,0.659,41.1,3.6,1,2,7.196,0.613,1,402.98,37.0
8.357,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
7.42,2.0,0.038,1,2,0,12,12,0.655,42.9,4.1,0,2,6.622,0.607,1,324.48,33.0
7.796,2.2,0.041,1,2,1,12,12,0.679,43.5,4.3,1,2,7.107,0.623,0,326.9,32.0
7.796,4.0,0.075,2,4,0,12,12,0.65,42.0,4.0,0,2,7.169,0.617,2,358.47,35.0
6.208,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
8.553,7.7,0.036,4,2,0,12,12,0.647,42.3,3.8,0,2,7.548,0.624,4,392.48,37.0
8.819,4.1,0.038,2,2,1,12,12,0.672,42.9,4.1,1,2,7.325,0.624,1,358.92,34.0
6.37,1.8,0.085,1,5,0,16,17,0.664,43.6,5.5,0,3,7.119,0.627,1,391.53,42.0
8.563,1.9,0.036,1,2,0,12,12,0.651,42.3,3.8,0,2,6.51,0.601,1,338.51,34.0
8.745,3.8,0.036,2,2,1,12,12,0.677,42.3,3.8,0,2,8.027,0.621,1,417.4,35.0
7.292,3.3,0.063,2,4,1,12,12,0.661,41.7,3.3,1,2,7.15,0.615,1,429.02,40.0
6.678,1.9,0.088,1,5,0,12,12,0.644,40.7,3.7,0,2,6.861,0.606,1,370.51,36.0
8.018,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
7.432,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
8.959,3.4,0.081,2,5,1,12,12,0.656,40.7,3.4,1,2,7.068,0.608,1,417.01,38.0
5.301,2.9,0.027,1,1,1,12,12,0.712,45.7,2.9,0,1,9.092,0.656,0,318.23,27.0
7.77,8.2,0.038,4,2,0,12,12,0.651,42.9,4.1,0,2,7.723,0.631,4,378.45,36.0
8.42,3.8,0.036,2,2,0,12,12,0.65,42.3,3.8,0,2,6.856,0.609,2,356.5,35.0
5.317,0.0,0.103,0,6,0,12,12,0.635,39.3,3.6,0,2,6.331,0.587,0,354.54,34.0
6.257,1.8,0.136,1,8,1,12,13,0.657,40.4,3.5,1,2,7.035,0.608,0,400.99,37.0
6.493,1.8,0.123,1,7,1,12,12,0.654,40.0,3.6,1,2,6.781,0.599,0,372.98,34.0
5.419,1.7,0.048,1,3,1,16,17,0.669,40.7,8.5,1,5,7.424,0.627,0,438.02,44.0
8.056,3.4,0.066,2,4,1,12,12,0.659,41.4,3.4,1,2,6.914,0.606,1,401.01,37.0
7.292,1.9,0.071,1,4,0,12,12,0.647,41.5,3.8,0,2,6.689,0.604,1,354.51,35.0
8.878,1.9,0.036,1,2,1,12,12,0.669,42.3,3.8,1,2,6.826,0.61,0,354.96,34.0
5.0,0.0,0.086,0,7,0,10,12,0.621,35.9,6.4,0,5,6.176,0.571,0,481.76,45.0
5.123,0.0,0.019,0,1,0,10,10,0.638,40.0,4.0,0,2,5.93,0.578,0,296.5,30.0
5.848,0.0,0.083,0,5,0,16,17,0.662,42.9,5.4,0,3,6.956,0.622,0,389.54,42.0
4.91,0.0,0.091,0,6,1,17,19,0.68,41.9,6.5,0,4,7.688,0.641,0,476.65,48.5
5.363,0.0,0.0,0,0,0,10,10,0.654,42.1,5.3,0,2,6.326,0.6,0,240.38,26.0
7.886,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
7.347,3.8,0.036,2,2,1,12,12,0.667,42.3,3.8,1,2,7.172,0.617,1,372.95,35.0
5.301,2.3,0.043,1,2,2,16,16,0.735,46.5,2.3,0,1,8.986,0.663,0,386.38,34.0
7.469,3.8,0.036,2,2,2,12,12,0.685,42.3,3.8,2,2,7.488,0.626,0,389.4,35.0
6.161,1.8,0.085,1,5,1,12,14,0.658,39.3,3.6,0,2,7.475,0.618,1,418.58,40.0
6.244,2.1,0.039,1,2,1,16,17,0.69,42.6,10.6,1,5,8.126,0.657,0,381.9,40.0
8.229,1.9,0.036,1,2,0,12,12,0.651,42.3,3.8,0,2,6.51,0.601,1,338.51,34.0
8.678,1.8,0.034,1,2,0,12,12,0.647,41.8,3.6,0,2,6.41,0.596,1,352.54,35.0
5.339,0.0,0.047,0,3,1,10,12,0.652,37.7,6.6,0,4,6.765,0.596,0,412.66,39.0
6.071,0.0,0.087,0,6,0,10,12,0.627,36.4,7.6,0,5,6.449,0.582,0,425.64,41.0
5.382,0.0,0.054,0,3,0,16,17,0.67,44.2,5.8,0,3,6.914,0.626,0,359.51,40.0
5.141,1.7,0.048,1,3,1,16,17,0.669,40.7,8.5,1,5,7.424,0.627,0,438.02,44.0
5.0,0.0,0.019,0,1,0,10,10,0.638,40.0,4.0,0,2,5.93,0.578,0,296.5,30.0
5.523,0.0,0.043,0,2,1,16,16,0.704,46.5,2.3,0,1,7.151,0.639,0,307.49,33.0
5.0,0.0,0.047,0,3,1,10,12,0.652,37.7,6.6,0,4,6.765,0.596,0,412.66,39.0
5.91,0.0,0.038,0,2,1,10,12,0.668,38.8,8.2,0,4,7.276,0.617,0,356.54,35.0
6.71,2.1,0.078,1,4,0,11,13,0.66,43.8,2.1,0,1,7.405,0.632,1,355.44,36.5
7.54,2.1,0.058,1,3,0,15,16,0.665,43.8,4.2,0,2,7.676,0.642,1,368.44,39.5
5.0,0.0,0.028,0,1,0,5,7,0.635,35.3,14.7,0,5,6.804,0.596,0,231.34,23.5
5.62,0.0,0.023,0,1,0,12,13,0.67,42.5,10.0,0,4,7.36,0.637,0,294.39,32.0
6.52,2.5,0.023,1,1,1,12,13,0.692,42.5,10.0,1,4,8.221,0.658,0,328.83,33.0
5.04,0.0,0.023,0,1,0,12,13,0.67,42.5,10.0,0,4,7.36,0.637,0,294.39,32.0
5.97,2.5,0.023,1,1,1,12,13,0.692,42.5,10.0,1,4,8.221,0.658,0,328.83,33.0
4.699,0.0,0.0,0,0,1,5,6,0.674,36.7,10.0,0,3,7.379,0.614,0,221.36,20.5
5.0,0.0,0.053,0,2,1,5,6,0.66,36.1,8.3,0,3,6.928,0.596,0,249.42,22.5
4.824,0.0,0.053,0,2,1,5,6,0.66,36.1,8.3,0,3,6.928,0.596,0,249.42,22.5
4.81,0.0,0.023,0,1,1,12,13,0.7,42.5,10.0,0,4,7.761,0.649,0,310.46,32.0
6.622,1.7,0.113,1,7,0,16,18,0.661,43.1,3.4,0,2,7.802,0.643,1,452.52,47.0
6.12,0.0,0.022,0,1,0,12,13,0.664,41.9,9.3,0,4,7.173,0.628,0,308.42,33.0
6.251,2.8,0.0,1,0,1,12,12,0.706,47.2,2.8,1,1,7.939,0.661,0,285.79,29.0
5.13,4.2,0.1,2,5,2,12,12,0.703,41.7,2.1,0,1,9.776,0.642,0,469.24,33.0
6.41,4.8,0.068,2,3,2,12,12,0.72,42.9,2.4,0,1,10.504,0.661,0,441.18,31.0
5.169,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
4.876,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
6.097,0.0,0.109,0,7,2,11,13,0.674,37.7,6.6,0,4,7.52,0.619,0,458.71,41.5
5.37,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
6.087,2.8,0.0,1,0,1,12,12,0.72,47.2,2.8,0,1,9.173,0.666,0,330.24,29.0
5.0,0.0,0.043,0,2,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
5.93,0.0,0.092,0,6,0,11,12,0.635,38.7,4.8,0,3,6.381,0.587,0,395.6,38.5
5.0,0.0,0.043,0,2,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
5.532,0.0,0.0,0,0,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
4.917,0.0,0.024,0,1,0,12,12,0.675,46.2,2.6,0,1,6.805,0.628,0,265.38,29.0
5.81,4.4,0.085,2,4,2,12,12,0.711,42.2,2.2,0,1,10.116,0.651,0,455.21,32.0
5.32,0.0,0.0,0,0,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
4.903,0.0,0.175,0,7,0,6,6,0.607,35.0,2.5,0,1,5.934,0.556,0,237.38,20.0
5.0,0.0,0.048,0,2,0,6,6,0.622,35.0,10.0,0,4,6.16,0.571,0,246.4,23.0
6.742,2.8,0.0,1,0,1,12,12,0.72,47.2,2.8,0,1,9.173,0.666,0,330.24,29.0
6.0,5.6,0.0,2,0,2,12,12,0.757,47.2,2.8,0,1,11.365,0.694,0,409.13,30.0
6.769,2.8,0.0,1,0,1,12,12,0.72,47.2,2.8,0,1,9.173,0.666,0,330.24,29.0
5.12,2.5,0.023,1,1,1,12,12,0.703,45.0,2.5,0,1,9.007,0.655,0,360.27,31.0
6.0,2.8,0.0,1,0,1,12,12,0.72,47.2,2.8,0,1,9.173,0.666,0,330.24,29.0
5.28,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
5.296,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
6.131,0.0,0.021,0,1,0,12,12,0.667,44.2,2.3,0,1,7.567,0.642,0,325.39,34.0
4.93,2.4,0.068,1,3,1,12,12,0.688,42.9,2.4,0,1,8.626,0.637,0,362.29,30.0
6.0,0.0,0.0,0,0,0,10,10,0.664,42.9,7.1,0,2,6.653,0.614,0,186.28,21.0
5.222,0.0,0.086,0,5,0,12,13,0.653,41.8,5.5,0,3,6.319,0.598,0,347.55,36.0
6.62,0.0,0.0,0,0,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
6.347,0.0,0.059,0,3,0,12,12,0.658,43.8,2.1,0,1,6.406,0.605,0,307.47,32.0
5.921,0.0,0.043,0,2,0,12,12,0.668,45.5,2.3,0,1,6.305,0.609,0,277.44,30.0
7.62,2.4,0.068,1,3,0,12,12,0.656,42.9,4.8,0,2,6.772,0.612,1,284.41,29.0
5.77,3.3,0.143,2,9,1,12,13,0.644,37.7,4.9,1,3,7.639,0.615,1,466.0,41.0
8.553,2.5,0.023,1,1,0,12,12,0.67,45.0,5.0,0,2,7.06,0.629,1,282.39,30.0
6.53,0.0,0.08,0,2,1,10,10,0.692,37.5,8.3,0,2,8.762,0.657,0,210.28,20.0
4.301,0.0,0.111,0,6,0,6,7,0.615,35.8,3.8,0,2,6.01,0.563,0,318.51,28.0
7.194,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
6.738,5.3,0.024,2,1,0,12,12,0.677,47.4,2.6,0,1,7.509,0.646,2,285.36,30.0
6.975,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
6.345,0.0,0.061,0,3,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
6.0,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
5.0,0.0,0.047,0,2,0,12,13,0.683,47.5,2.5,0,1,6.935,0.637,0,277.39,31.0
5.0,0.0,0.093,0,5,0,6,7,0.627,37.3,3.9,0,2,6.794,0.593,0,346.47,32.0
7.056,2.2,0.063,1,3,0,12,12,0.655,42.2,4.4,0,2,7.298,0.625,1,328.42,33.0
7.149,0.0,0.022,0,1,1,11,12,0.686,41.9,7.0,0,3,7.244,0.628,0,311.49,31.5
7.959,4.2,0.059,2,3,1,12,12,0.669,41.7,4.2,1,2,7.852,0.635,1,376.89,35.0
6.0,2.5,0.023,1,1,0,16,16,0.674,45.0,5.0,0,2,7.809,0.652,1,312.37,34.0
7.143,2.6,0.024,1,1,0,16,16,0.685,47.4,5.3,0,2,7.378,0.648,1,280.37,32.0
8.036,2.7,0.025,1,1,0,12,12,0.677,45.9,5.4,0,2,7.253,0.639,1,268.36,29.0
8.231,2.3,0.022,1,1,2,11,12,0.706,41.9,7.0,1,3,8.045,0.647,0,345.93,32.5
5.0,0.0,0.071,0,4,0,17,19,0.68,44.2,9.6,0,5,7.414,0.645,0,385.51,43.5
5.0,0.0,0.085,0,5,0,17,19,0.674,43.6,9.1,0,5,7.264,0.638,0,399.54,44.5
5.0,0.0,0.088,0,5,0,17,19,0.675,43.4,9.4,0,5,7.576,0.647,0,401.51,44.5
