pXC50,Sp,nAT,nBT,Sv,Si,Se,nC,H.,AMW,C.,Me,Mi,Mp,Mv,MW,N.,nAB
6.342,42.085,63,66,40.61,71.339,63.963,25,42.9,8.112,39.7,1.015,1.132,0.668,0.645,511.03,9.5,17
4.301,40.494,61,63,39.007,68.595,61.978,25,44.3,7.983,41.0,1.016,1.125,0.664,0.639,486.99,3.3,12
4.301,43.858,68,70,42.443,76.774,68.967,27,45.6,7.494,39.7,1.014,1.129,0.645,0.624,509.61,4.4,12
6.114,71.841,96,103,68.799,105.145,97.622,48,35.4,9.38,50.0,1.017,1.095,0.748,0.717,900.49,1.0,46
4.967,66.728,90,97,63.566,98.468,90.16,48,37.8,8.582,53.3,1.002,1.094,0.741,0.706,772.35,1.1,46
6.854,71.159,98,105,68.049,107.717,98.581,50,38.8,8.494,51.0,1.006,1.099,0.726,0.694,832.41,1.0,46
5.963,70.25,96,103,66.619,105.298,95.927,50,39.6,8.338,52.1,0.999,1.097,0.732,0.694,800.41,1.0,46
7.0,65.87,90,97,62.738,98.524,89.836,48,38.9,8.199,53.3,0.998,1.095,0.732,0.697,737.91,1.1,46
7.409,70.023,92,99,65.94,100.308,92.312,48,37.0,9.092,52.2,1.003,1.09,0.761,0.717,836.49,1.1,46
6.319,68.489,93,100,65.092,101.883,93.043,49,38.7,8.456,52.7,1.0,1.096,0.736,0.7,786.38,1.1,46
4.971,73.091,100,108,70.001,109.647,100.149,53,38.0,8.31,53.0,1.001,1.096,0.731,0.7,831.0,2.0,52
6.658,66.728,90,97,63.566,98.468,90.16,48,37.8,8.582,53.3,1.002,1.094,0.741,0.706,772.35,1.1,46
6.569,70.25,96,103,66.619,105.298,95.927,50,39.6,8.338,52.1,0.999,1.097,0.732,0.694,800.41,1.0,46
5.398,30.591,41,44,29.535,45.036,41.564,21,34.1,9.133,51.2,1.014,1.098,0.746,0.72,374.44,4.9,17
5.009,22.938,33,35,22.327,36.618,33.385,16,39.4,8.1,48.5,1.012,1.11,0.695,0.677,267.3,3.0,17
4.627,21.58,29,31,20.913,31.937,29.498,15,34.5,9.369,51.7,1.017,1.101,0.744,0.721,271.71,3.4,17
6.222,36.125,51,54,34.631,56.863,51.534,23,39.2,8.481,45.1,1.01,1.115,0.708,0.679,432.54,7.8,17
5.215,44.057,62,65,41.399,69.029,62.262,27,41.9,8.366,43.5,1.004,1.113,0.711,0.668,518.71,6.5,17
5.714,50.813,75,78,48.442,83.899,75.6,32,44.0,7.837,42.7,1.008,1.119,0.678,0.646,587.75,4.0,17
5.757,43.767,63,66,42.335,70.239,64.065,28,39.7,8.439,44.4,1.017,1.115,0.695,0.672,531.63,4.8,17
4.602,27.398,39,41,27.063,43.325,39.814,19,35.9,8.573,48.7,1.021,1.111,0.703,0.694,334.35,5.1,12
4.907,35.836,51,53,33.136,56.906,50.949,21,45.1,8.11,41.2,0.999,1.116,0.703,0.65,413.61,5.9,11
4.602,38.603,56,58,35.684,62.819,55.934,22,46.4,7.905,39.3,0.999,1.122,0.689,0.637,442.66,7.1,11
4.602,37.597,54,56,34.663,60.321,53.832,22,46.3,7.919,40.7,0.997,1.117,0.696,0.642,427.64,5.6,11
6.046,43.688,71,73,41.309,80.81,71.29,25,52.1,6.699,35.2,1.004,1.138,0.615,0.582,475.65,4.2,6
5.854,53.966,84,87,50.868,94.557,83.839,34,50.0,6.843,40.5,0.998,1.126,0.642,0.606,574.78,2.4,18
5.959,43.688,71,73,41.309,80.81,71.29,25,52.1,6.699,35.2,1.004,1.138,0.615,0.582,475.65,4.2,6
6.155,54.972,86,89,51.889,97.055,85.941,34,50.0,6.858,39.5,0.999,1.129,0.639,0.603,589.8,3.5,18
5.854,59.091,92,96,56.539,103.6,92.705,37,47.8,7.183,40.2,1.008,1.126,0.642,0.615,660.83,2.2,18
6.051,41.926,68,70,39.782,77.395,68.407,24,51.5,6.789,35.3,1.006,1.138,0.617,0.585,461.62,4.4,6
5.854,59.091,92,96,56.539,103.6,92.705,37,47.8,7.183,40.2,1.008,1.126,0.642,0.615,660.83,2.2,18
4.456,31.398,44,47,30.764,48.788,44.665,23,36.4,8.486,52.3,1.015,1.109,0.714,0.699,373.4,2.3,22
5.066,40.267,59,62,38.014,65.524,58.571,28,45.8,7.213,47.5,0.993,1.111,0.682,0.644,425.56,1.7,22
4.886,33.489,48,51,33.772,54.092,49.902,24,33.3,9.154,50.0,1.04,1.127,0.698,0.704,439.41,2.1,22
5.585,60.881,93,97,58.319,104.474,93.596,39,46.2,7.332,41.9,1.006,1.123,0.655,0.627,681.85,3.2,24
4.301,40.534,60,63,39.879,67.753,61.436,28,40.0,8.259,46.7,1.024,1.129,0.676,0.665,495.53,1.7,22
5.959,57.33,89,93,55.012,100.185,89.821,36,47.2,7.267,40.4,1.009,1.126,0.644,0.618,646.8,2.2,18
4.824,57.853,92,96,55.066,104.016,92.589,35,50.0,6.944,38.0,1.006,1.131,0.629,0.599,638.83,2.2,12
6.149,52.904,82,85,50.55,92.434,82.501,33,47.6,7.192,40.2,1.006,1.127,0.645,0.616,589.75,3.7,18
5.538,41.926,68,70,39.782,77.395,68.407,24,51.5,6.789,35.3,1.006,1.138,0.617,0.585,461.62,4.4,6
5.108,43.773,69,71,40.858,77.893,68.534,27,52.2,6.56,39.1,0.993,1.129,0.634,0.592,452.65,2.9,12
4.824,44.875,70,72,41.759,79.022,69.938,26,51.4,6.982,37.1,0.999,1.129,0.641,0.597,488.71,2.9,12
4.301,33.489,48,51,33.772,54.092,49.902,24,33.3,9.154,50.0,1.04,1.127,0.698,0.704,439.41,2.1,22
6.301,50.796,77,81,51.576,88.516,80.701,33,36.4,8.969,42.9,1.048,1.15,0.66,0.67,690.65,5.2,24
6.046,48.887,74,78,49.147,85.097,77.047,32,37.8,8.738,43.2,1.041,1.15,0.661,0.664,646.64,5.4,24
6.046,51.654,77,81,52.404,88.46,81.025,33,35.1,9.417,42.9,1.052,1.149,0.671,0.681,725.09,5.2,24
5.824,40.603,62,65,41.566,71.851,65.396,26,35.5,9.17,41.9,1.055,1.159,0.655,0.67,568.52,6.5,18
5.77,48.438,75,79,48.154,86.848,77.672,31,41.3,8.329,41.3,1.036,1.158,0.646,0.642,624.66,5.3,18
4.824,42.699,65,68,42.846,74.251,67.512,27,38.5,8.593,41.5,1.039,1.142,0.657,0.659,558.56,6.2,18
6.155,49.591,77,81,50.078,89.35,80.545,31,39.0,8.697,40.3,1.046,1.16,0.644,0.65,669.66,6.5,18
5.102,37.603,59,62,38.566,68.851,62.396,23,37.3,9.025,39.0,1.058,1.167,0.637,0.654,532.49,6.8,12
6.097,48.716,71,75,48.819,81.571,74.359,32,35.2,10.035,45.1,1.047,1.149,0.686,0.688,712.5,4.2,24
6.041,39.364,62,65,40.093,72.267,65.279,24,38.7,8.815,38.7,1.053,1.166,0.635,0.647,546.52,6.5,12
5.071,49.512,74,77,52.735,86.687,80.978,32,27.0,10.873,43.2,1.094,1.171,0.669,0.713,804.61,2.7,24
4.824,41.671,66,69,43.941,77.27,71.025,24,33.3,9.644,36.4,1.076,1.171,0.631,0.666,636.52,9.1,12
4.553,48.614,67,72,46.411,73.737,67.192,34,38.8,8.339,50.7,1.003,1.101,0.726,0.693,558.69,3.0,34
4.638,48.614,67,72,46.411,73.737,67.192,34,38.8,8.339,50.7,1.003,1.101,0.726,0.693,558.69,3.0,34
4.542,48.137,69,73,45.464,76.567,68.96,32,43.5,7.807,46.4,0.999,1.11,0.698,0.659,538.71,2.9,28
5.102,31.205,44,47,31.196,49.246,45.865,19,31.8,9.692,43.2,1.042,1.119,0.709,0.709,426.44,9.1,18
5.097,34.074,48,50,31.609,53.491,48.065,20,43.8,8.325,41.7,1.001,1.114,0.71,0.659,399.58,6.3,11
5.218,69.875,95,103,66.76,104.022,94.938,51,37.9,8.305,53.7,0.999,1.095,0.736,0.703,788.96,2.1,51
5.629,44.921,70,72,42.76,78.896,70.305,28,48.6,7.066,40.0,1.004,1.127,0.642,0.611,494.64,2.9,12
5.585,40.097,63,65,38.916,71.358,64.083,24,46.0,7.485,38.1,1.017,1.133,0.636,0.618,471.56,4.8,12
6.42,40.852,64,66,39.422,72.275,64.865,25,46.9,7.353,39.1,1.014,1.129,0.638,0.616,470.57,3.1,12
4.863,26.33,39,41,28.175,45.569,42.447,18,25.6,10.674,46.2,1.088,1.168,0.675,0.722,416.3,5.1,17
5.066,31.705,44,47,30.875,48.531,44.371,23,36.4,8.373,52.3,1.008,1.103,0.721,0.702,368.41,4.5,18
5.553,39.029,59,62,38.889,67.417,60.974,25,39.0,8.483,42.4,1.033,1.143,0.662,0.659,500.52,6.8,18
5.495,43.773,69,71,40.858,77.893,68.534,27,52.2,6.56,39.1,0.993,1.129,0.634,0.592,452.65,2.9,12
5.854,53.904,84,87,51.251,94.897,84.352,34,48.8,7.057,40.5,1.004,1.13,0.642,0.61,592.77,2.4,18
6.62,65.807,90,97,63.121,98.863,90.349,48,37.8,8.399,53.3,1.004,1.098,0.731,0.701,755.9,1.1,46
4.301,44.398,67,70,42.707,75.066,67.538,29,44.8,7.502,43.3,1.008,1.12,0.663,0.637,502.61,3.0,17
4.893,43.841,66,68,46.779,77.853,72.439,28,27.3,10.948,42.4,1.098,1.18,0.664,0.709,722.55,3.0,18
4.602,39.96,60,62,42.29,70.213,65.461,25,28.3,10.742,41.7,1.091,1.17,0.666,0.705,644.51,3.3,18
6.056,39.364,62,65,40.093,72.267,65.279,24,38.7,8.815,38.7,1.053,1.166,0.635,0.647,546.52,6.5,12
6.229,65.745,90,97,63.505,99.203,90.861,48,36.7,8.599,53.3,1.01,1.102,0.73,0.706,773.89,1.1,46
5.62,65.114,89,96,62.233,97.607,89.054,47,38.2,8.302,52.8,1.001,1.097,0.732,0.699,738.9,2.2,46
5.032,38.199,57,59,40.763,66.798,62.578,24,26.3,11.061,42.1,1.098,1.172,0.67,0.715,630.48,3.5,18
5.606,66.875,92,99,63.759,101.022,91.938,48,39.1,8.184,52.2,0.999,1.098,0.727,0.693,752.93,2.2,46
5.684,65.972,89,96,63.06,97.551,89.378,47,37.1,8.689,52.8,1.004,1.096,0.741,0.709,773.34,2.2,46
4.215,39.506,59,61,41.575,69.003,64.134,25,28.8,10.653,42.4,1.087,1.17,0.67,0.705,628.51,3.4,18
4.367,47.483,70,73,49.344,81.043,75.229,31,30.0,10.294,44.3,1.075,1.158,0.678,0.705,720.61,2.9,24
5.481,41.205,64,66,40.523,71.907,65.643,26,43.8,7.821,40.6,1.026,1.124,0.644,0.633,500.54,0.0,12
5.328,41.205,64,66,40.523,71.907,65.643,26,43.8,7.821,40.6,1.026,1.124,0.644,0.633,500.54,0.0,12
4.678,43.483,66,68,45.344,77.043,71.229,27,31.8,10.19,40.9,1.079,1.167,0.659,0.687,672.57,3.0,18
4.959,42.267,63,65,44.102,73.419,68.018,27,30.2,10.39,42.9,1.08,1.165,0.671,0.7,654.55,3.2,18
6.886,66.728,90,97,63.566,98.468,90.16,48,37.8,8.582,53.3,1.002,1.094,0.741,0.706,772.35,1.1,46
4.876,42.722,64,66,44.817,74.628,69.345,27,29.7,10.477,42.2,1.084,1.166,0.668,0.7,670.55,3.1,18
5.301,41.08,62,64,44.252,73.438,68.556,26,25.8,11.234,41.9,1.106,1.184,0.663,0.714,696.51,3.2,18
5.642,66.665,90,97,63.949,98.807,90.672,48,36.7,8.782,53.3,1.007,1.098,0.741,0.711,790.34,1.1,46
5.536,70.881,97,105,67.781,106.52,97.04,51,38.1,8.288,52.6,1.0,1.098,0.731,0.699,803.98,3.1,51
4.018,31.489,46,48,31.772,52.092,47.902,22,34.8,9.03,47.8,1.041,1.132,0.685,0.691,415.39,2.2,18
4.097,38.386,57,59,39.613,65.778,61.04,24,31.6,10.114,42.1,1.071,1.154,0.673,0.695,576.51,3.5,18
4.638,33.063,49,51,34.448,56.526,52.323,23,30.6,9.865,46.9,1.068,1.154,0.675,0.703,483.39,2.0,18
4.842,34.637,52,54,37.125,60.96,56.745,24,26.9,10.604,46.2,1.091,1.172,0.666,0.714,551.39,1.9,18
4.066,37.744,56,58,40.048,65.588,61.25,24,26.8,10.973,42.9,1.094,1.171,0.674,0.715,614.48,3.6,18
7.0,67.637,92,99,64.995,100.887,92.814,48,37.0,8.743,52.2,1.009,1.097,0.735,0.706,804.35,1.1,46
6.328,53.443,73,78,50.985,80.222,73.509,37,38.4,8.687,50.7,1.007,1.099,0.732,0.698,634.18,1.4,34
4.292,35.188,51,53,32.949,56.986,50.872,22,45.1,7.717,43.1,0.997,1.117,0.69,0.646,393.55,5.9,12
4.226,27.705,40,42,26.875,44.531,40.371,19,40.0,8.009,47.5,1.009,1.113,0.693,0.672,320.37,5.0,12
5.076,44.603,68,70,47.305,80.268,74.323,28,29.4,10.655,41.2,1.093,1.18,0.656,0.696,724.57,2.9,18
4.827,47.006,72,74,48.397,83.874,76.996,29,34.7,9.731,40.3,1.069,1.165,0.653,0.672,700.63,2.8,18
4.812,38.199,57,59,40.763,66.798,62.578,24,26.3,11.061,42.1,1.098,1.172,0.67,0.715,630.48,3.5,18
5.268,48.603,72,75,51.305,84.268,78.323,32,27.8,10.731,44.4,1.088,1.17,0.675,0.713,772.61,2.8,24
5.276,41.205,64,66,40.523,71.907,65.643,26,43.8,7.821,40.6,1.026,1.124,0.644,0.633,500.54,0.0,12
5.347,37.744,56,58,40.048,65.588,61.25,24,26.8,10.973,42.9,1.094,1.171,0.674,0.715,614.48,3.6,18
4.524,36.046,53,55,38.138,61.833,57.854,23,26.4,10.99,43.4,1.092,1.167,0.68,0.72,582.46,3.8,18
4.125,37.028,53,55,38.199,61.098,57.152,23,28.3,10.961,43.4,1.078,1.153,0.699,0.721,580.92,3.8,18
5.456,34.074,48,50,31.609,53.491,48.065,20,43.8,8.325,41.7,1.001,1.114,0.71,0.659,399.58,6.3,11
5.959,35.04,51,54,34.766,56.701,52.345,24,37.3,8.499,47.1,1.026,1.112,0.687,0.682,433.44,2.0,16
6.187,35.131,50,53,34.337,55.282,50.691,25,38.0,8.269,50.0,1.014,1.106,0.703,0.687,413.45,2.0,17
5.921,29.943,41,44,29.348,45.116,41.487,22,34.1,8.643,53.7,1.012,1.1,0.73,0.716,354.38,4.9,16
5.108,31.921,46,49,31.116,51.156,46.582,22,39.1,8.14,47.8,1.013,1.112,0.694,0.676,374.42,4.3,17
6.027,32.222,46,49,30.907,50.863,46.036,23,41.3,7.77,50.0,1.001,1.106,0.7,0.672,357.43,2.2,17
6.547,34.313,52,53,32.909,58.581,53.593,18,44.2,8.568,34.6,1.031,1.127,0.66,0.633,445.56,1.9,12
5.317,33.028,47,49,32.328,52.335,48.942,19,36.2,9.607,40.4,1.041,1.114,0.703,0.688,451.51,2.1,18
5.573,29.028,43,44,28.328,48.335,44.942,15,39.5,9.383,34.9,1.045,1.124,0.675,0.659,403.47,2.3,12
5.031,35.318,54,55,33.93,61.079,55.694,18,44.4,8.529,33.3,1.031,1.131,0.654,0.628,460.58,3.7,12
6.226,33.551,50,52,32.382,56.166,51.709,18,42.0,8.871,36.0,1.034,1.123,0.671,0.648,443.54,2.0,12
5.018,34.676,49,52,33.622,54.073,49.363,25,38.8,8.111,51.0,1.007,1.104,0.708,0.686,397.45,2.0,18
5.824,30.608,43,46,30.283,47.452,43.924,22,34.9,8.683,51.2,1.021,1.104,0.712,0.704,373.38,2.3,16
