pXC50,MW,SCBO,nSK,nBO,nAB,Sp,nBM,Se,nAT,nCsp2,Si,nHet,nO,nC,nBT,nS,O.,Mi,RBF,RBN,N.,Sv,nDB,nH,AMW,C.
5.0,198.29,23.0,15,17,10,19.58,11,28.505,29,9,32.488,2,0,13,31,0,0.0,1.12,0.0,0,6.9,18.204,1,14,6.838,44.8
5.0,237.35,21.0,17,18,6,23.012,6,36.778,37,6,42.199,3,1,14,38,0,2.7,1.141,0.132,5,2.7,21.388,0,20,6.415,37.8
5.0,200.26,23.0,15,17,10,18.273,11,26.949,27,9,30.282,3,1,12,29,0,3.7,1.122,0.0,0,7.4,17.392,1,12,7.417,44.4
5.0,216.31,23.0,16,18,10,20.796,10,31.716,32,8,36.112,3,1,13,34,0,3.1,1.129,0.029,1,6.3,19.445,0,16,6.76,40.6
6.775,332.48,37.0,25,28,16,32.841,17,48.251,49,15,54.773,3,1,22,52,0,2.0,1.118,0.096,5,4.1,30.552,1,24,6.785,44.9
5.751,328.49,38.0,25,28,16,33.387,17,47.923,49,14,54.564,2,0,23,52,0,0.0,1.114,0.058,3,4.1,30.838,0,24,6.704,46.9
4.034,391.5,43.0,28,31,22,33.148,23,46.291,46,20,51.286,6,1,22,49,1,2.2,1.115,0.102,5,6.5,31.564,1,18,8.511,47.8
4.034,326.35,30.5,23,24,11,25.586,12,41.349,40,11,46.171,7,2,16,41,0,5.0,1.154,0.122,5,5.0,25.364,1,17,8.159,40.0
6.602,365.47,40.0,27,30,16,32.995,18,50.123,50,14,56.275,6,3,21,53,0,6.0,1.126,0.113,6,6.0,31.477,2,23,7.309,42.0
4.034,393.57,39.0,29,32,12,38.79,13,59.338,60,14,67.355,4,3,25,63,0,5.0,1.123,0.111,7,1.7,36.068,1,31,6.559,41.7
4.034,452.6,47.5,31,34,17,36.773,22,51.611,51,20,56.783,9,3,22,54,2,5.9,1.113,0.093,5,7.8,34.819,5,20,8.875,43.1
4.034,328.53,31.0,23,24,12,31.285,13,46.32,47,12,53.065,5,0,18,48,1,0.0,1.129,0.104,5,8.5,28.541,1,24,6.99,38.3
4.034,314.5,30.0,22,23,12,29.523,13,43.436,44,12,49.65,5,0,17,45,1,0.0,1.128,0.111,5,9.1,27.014,1,22,7.148,38.6
4.034,345.44,40.0,26,29,16,30.813,18,45.022,45,13,50.607,6,1,20,48,0,2.2,1.125,0.083,4,11.1,29.509,1,19,7.676,44.4
4.034,427.4,42.5,28,31,23,34.853,23,46.04,46,20,50.832,6,0,22,49,1,0.0,1.105,0.102,5,6.5,32.384,0,18,9.291,47.8
4.034,387.52,36.0,28,29,12,35.938,13,57.109,57,13,64.358,6,5,22,58,0,8.8,1.129,0.172,10,1.8,33.971,1,29,6.799,38.6
4.034,235.28,23.0,17,18,0,18.983,5,30.698,30,5,34.571,7,2,10,31,0,6.7,1.152,0.065,2,16.7,18.644,5,13,7.843,33.3
4.034,337.24,27.5,20,21,11,25.364,12,37.156,37,11,41.579,5,2,15,38,0,5.4,1.124,0.132,5,5.4,23.712,1,17,9.115,40.5
4.034,325.49,33.0,23,26,12,30.347,13,43.502,44,13,49.07,4,1,19,47,1,2.3,1.115,0.043,2,4.5,27.949,1,21,7.397,43.2
4.034,497.59,54.5,37,41,23,43.426,25,64.545,64,24,71.524,8,5,29,68,0,7.8,1.118,0.118,8,4.7,41.96,2,27,7.775,45.3
4.034,443.63,52.0,34,40,24,43.915,24,61.792,63,22,69.893,3,0,31,69,0,0.0,1.109,0.072,5,4.8,40.913,0,29,7.042,49.2
5.0,230.34,24.0,17,19,10,22.557,10,34.6,35,8,39.528,3,1,14,37,0,2.9,1.129,0.054,2,5.7,20.972,0,18,6.581,40.0
4.034,403.56,40.5,27,30,15,33.733,18,48.4,48,13,53.328,7,4,20,51,2,8.3,1.111,0.078,4,2.1,31.523,3,21,8.407,41.7
5.482,464.86,45.0,32,34,18,33.148,20,50.32,48,19,54.906,11,3,21,50,0,6.3,1.144,0.1,5,8.3,33.422,2,16,9.685,43.8
5.0,230.34,24.0,17,19,10,22.557,10,34.6,35,8,39.528,3,1,14,37,0,2.9,1.129,0.054,2,5.7,20.972,0,18,6.581,40.0
4.034,393.55,40.5,29,32,17,37.307,17,56.632,57,15,64.442,5,1,24,60,0,1.8,1.131,0.117,7,5.3,35.011,0,28,6.904,42.1
4.034,342.48,33.0,25,26,12,32.512,13,50.789,51,13,57.607,5,3,20,52,0,5.9,1.13,0.173,9,3.9,30.509,1,26,6.715,39.2
4.034,388.58,35.5,27,29,11,35.921,12,54.749,55,10,61.942,6,3,21,57,1,5.5,1.126,0.158,9,3.6,33.223,1,28,7.065,38.2
4.034,301.2,27.0,18,20,12,22.932,13,30.734,31,13,34.329,3,0,15,33,0,0.0,1.107,0.061,2,6.5,21.229,1,13,9.716,48.4
4.034,289.46,26.0,21,22,6,29.813,7,47.243,48,7,54.315,3,2,18,49,0,4.2,1.132,0.082,4,2.1,27.299,1,27,6.03,37.5
4.034,409.6,41.0,29,32,16,37.711,17,55.64,56,14,62.816,6,2,23,59,1,3.6,1.122,0.136,8,5.4,35.002,1,27,7.314,41.1
4.034,383.52,40.0,27,30,16,32.676,18,48.309,48,13,54.152,8,2,19,51,1,4.2,1.128,0.098,5,10.4,30.938,2,21,7.99,39.6
4.034,409.95,41.5,29,32,17,36.159,18,53.003,53,17,59.425,6,2,23,56,0,3.8,1.121,0.071,4,5.7,34.116,1,24,7.735,43.4
4.034,379.47,40.5,28,31,17,33.478,18,50.309,50,17,56.405,6,2,22,53,0,4.0,1.128,0.075,4,6.0,32.145,1,22,7.589,44.0
4.034,544.73,55.5,39,43,11,48.148,16,71.163,71,15,79.564,9,4,30,75,1,5.6,1.121,0.067,5,5.6,45.507,3,32,7.672,42.3
4.034,440.68,42.0,31,34,16,41.035,16,62.501,63,11,71.517,8,1,23,66,1,1.6,1.135,0.136,9,9.5,37.879,0,32,6.995,36.5
4.034,419.94,45.0,30,33,22,36.398,23,52.12,52,20,58.01,6,2,24,55,0,3.8,1.116,0.127,7,5.8,34.589,1,22,8.076,46.2
4.034,345.91,32.0,24,25,12,31.705,13,47.676,48,13,54.216,5,1,19,49,0,2.1,1.129,0.143,7,6.3,29.401,1,24,7.206,39.6
4.034,361.52,38.0,27,29,18,35.813,18,53.243,54,18,60.315,3,2,24,56,0,3.7,1.117,0.179,10,1.9,33.299,0,27,6.695,44.4
4.034,318.5,29.5,21,22,11,27.853,13,38.753,39,12,43.368,5,1,16,40,2,2.6,1.112,0.15,6,5.1,25.346,2,18,8.167,41.0
4.034,451.69,44.0,33,35,16,45.461,17,71.032,72,14,81.306,5,3,28,74,0,4.2,1.129,0.203,15,2.8,41.933,1,39,6.273,38.9
7.796,335.49,36.0,25,29,10,32.847,12,49.352,50,11,56.272,4,1,21,54,0,2.0,1.125,0.019,1,6.0,30.574,2,25,6.71,42.0
4.034,298.44,30.0,21,22,12,27.205,14,38.676,39,14,43.448,4,1,17,40,1,2.6,1.114,0.1,4,5.1,25.159,2,18,7.652,43.6
4.034,390.58,41.0,29,32,16,38.375,17,58.221,59,14,66.6,5,1,24,62,0,1.7,1.129,0.097,6,6.8,35.649,1,30,6.62,40.7
4.034,412.65,38.0,29,31,12,39.989,13,60.189,61,13,68.563,5,2,24,63,1,3.3,1.124,0.159,10,3.3,36.561,1,32,6.765,39.3
4.034,327.54,31.0,23,24,12,32.04,13,47.101,48,13,53.982,4,0,19,49,1,0.0,1.125,0.102,5,6.3,29.046,1,25,6.824,39.6
6.101,389.54,42.0,29,33,16,37.063,17,55.563,56,15,62.896,5,2,24,60,0,3.6,1.123,0.083,5,5.4,34.815,1,27,6.956,42.9
4.034,402.51,44.5,30,33,23,36.029,23,53.083,53,20,59.694,6,1,24,56,0,1.9,1.126,0.125,7,7.5,34.452,0,23,7.595,45.3
4.034,433.6,44.5,32,35,17,41.04,18,62.658,63,16,70.936,6,3,26,66,0,4.8,1.126,0.152,10,4.8,38.584,1,31,6.883,41.3
4.034,424.59,41.0,31,33,12,40.25,14,62.767,63,14,71.062,6,4,25,65,0,6.3,1.128,0.169,11,3.2,37.804,2,32,6.74,39.7
4.034,230.34,24.0,17,19,10,22.557,10,34.6,35,8,39.528,3,1,14,37,0,2.9,1.129,0.0,0,5.7,20.972,0,18,6.581,40.0
4.034,338.26,30.0,22,23,12,27.279,13,39.349,39,12,43.914,6,1,16,40,0,2.6,1.126,0.125,5,7.7,25.648,1,17,8.673,41.0
7.886,335.49,36.0,25,29,10,32.847,12,49.352,50,11,56.272,4,1,21,54,0,2.0,1.125,0.019,1,6.0,30.574,2,25,6.71,42.0
4.034,404.47,39.0,29,31,12,33.87,14,53.0,52,14,59.417,7,2,22,54,0,3.8,1.143,0.093,5,3.8,32.944,2,23,7.778,42.3
4.034,384.53,37.0,28,29,12,35.523,14,55.992,56,14,63.604,7,3,21,57,0,5.4,1.136,0.158,9,7.1,33.552,2,28,6.867,37.5
4.034,439.66,41.5,32,35,11,43.324,12,68.309,69,10,78.182,6,3,26,72,0,4.3,1.133,0.111,8,4.3,40.164,1,37,6.372,37.7
4.034,290.46,26.0,21,22,6,28.853,7,46.454,47,6,53.77,5,1,16,48,0,2.1,1.144,0.104,5,8.5,26.595,1,26,6.18,34.0
4.034,418.51,46.0,30,33,16,34.364,20,48.651,48,17,53.448,8,3,22,51,1,6.3,1.113,0.118,6,8.3,33.105,3,18,8.719,45.8
4.034,387.35,33.0,24,26,12,32.194,13,46.48,47,13,52.615,4,1,20,49,0,2.1,1.119,0.061,3,4.3,29.578,1,23,8.241,42.6
4.034,388.48,43.5,29,32,23,34.267,23,50.2,50,20,56.279,6,1,23,53,0,2.0,1.126,0.132,7,8.0,32.925,0,21,7.77,46.0
4.034,540.74,54.0,37,40,22,45.517,25,66.541,66,20,74.199,10,3,27,69,2,4.5,1.124,0.145,10,6.1,42.836,3,29,8.193,40.9
4.035,398.62,37.0,29,31,12,40.347,12,63.065,64,12,72.604,4,1,25,66,0,1.6,1.134,0.121,8,3.1,37.096,0,35,6.228,39.1
4.034,333.92,30.0,22,23,12,29.375,13,41.658,42,13,47.096,5,0,17,43,1,0.0,1.121,0.116,5,7.1,26.82,1,20,7.95,40.5
4.034,338.47,36.0,25,28,16,31.574,16,47.756,48,12,54.485,5,0,20,51,0,0.0,1.135,0.059,3,8.3,29.737,0,23,7.051,41.7
4.034,393.92,42.0,27,30,22,32.307,23,43.218,43,20,47.475,6,1,21,46,1,2.3,1.104,0.109,5,7.0,30.481,1,16,9.161,48.8
4.034,387.52,42.0,29,32,18,36.302,19,53.68,54,19,60.481,5,2,24,57,0,3.7,1.12,0.123,7,5.6,34.289,1,25,7.176,44.4
4.034,374.57,39.0,28,31,12,38.125,14,56.901,58,15,65.019,3,1,25,61,0,1.7,1.121,0.082,5,3.4,35.133,2,30,6.458,43.1
4.034,311.44,33.0,22,24,16,27.449,17,38.894,39,13,43.531,5,1,17,41,1,2.6,1.116,0.098,4,7.7,25.654,1,17,7.986,43.6
4.034,311.46,32.0,22,25,12,28.586,13,40.618,41,13,45.655,4,1,18,44,1,2.4,1.114,0.045,2,4.9,26.423,1,19,7.597,43.9
4.034,429.98,42.5,28,31,21,33.409,22,44.622,44,17,48.604,8,2,20,47,2,4.5,1.105,0.128,6,6.8,31.383,1,16,9.772,45.5
4.034,331.44,37.0,25,27,18,31.529,19,45.592,46,18,51.069,3,2,22,48,0,4.3,1.11,0.125,6,2.2,29.719,1,21,7.205,47.8
4.034,383.49,38.0,28,31,12,34.211,13,53.334,53,13,59.9,7,4,21,56,0,7.5,1.13,0.107,6,5.7,32.718,1,25,7.236,39.6
4.034,357.38,42.0,27,30,18,30.154,21,42.596,42,21,46.242,5,4,22,45,0,9.5,1.101,0.067,3,2.4,29.568,3,15,8.509,52.4
4.034,564.84,56.0,39,42,22,50.864,25,74.68,75,20,84.105,9,3,30,78,2,4.0,1.121,0.141,11,5.3,47.033,3,36,7.531,40.0
4.034,383.54,43.5,29,32,23,36.642,23,53.345,54,19,60.644,5,0,24,57,0,0.0,1.123,0.123,7,9.3,34.375,0,25,7.103,44.4
4.034,474.71,47.0,35,39,12,46.876,14,72.083,73,14,82.47,6,2,29,77,0,2.7,1.13,0.13,10,5.5,43.471,2,38,6.503,39.7
4.034,406.48,44.5,30,33,17,34.693,20,52.669,52,17,58.568,8,4,22,55,0,7.7,1.126,0.091,5,7.7,33.686,3,22,7.817,42.3
4.034,440.37,40.5,28,31,17,34.892,18,50.025,50,17,55.907,6,2,22,53,0,4.0,1.118,0.075,4,6.0,32.787,1,22,8.807,44.0
4.034,340.89,35.0,24,27,16,30.733,16,44.683,45,13,50.674,5,0,19,48,0,0.0,1.126,0.063,3,8.9,28.654,0,21,7.575,42.2
4.034,389.46,43.0,29,31,18,33.716,21,49.425,49,21,54.99,6,2,23,51,0,4.1,1.122,0.118,6,6.1,32.618,3,20,7.948,46.9
4.034,358.55,33.0,25,26,12,33.705,13,50.538,51,13,57.318,5,2,20,52,1,3.9,1.124,0.154,8,3.9,30.981,1,26,7.03,39.2
4.034,435.5,47.0,32,35,22,36.182,23,54.956,54,19,61.196,9,3,23,57,0,5.6,1.133,0.158,9,9.3,35.376,1,22,8.065,42.6
4.034,401.6,38.0,27,29,16,34.836,17,49.949,50,14,55.906,7,2,20,52,2,4.0,1.118,0.154,8,6.0,32.136,1,23,8.032,40.0
4.034,405.57,38.0,28,29,12,35.62,15,55.294,55,13,62.235,8,4,20,56,1,7.3,1.132,0.143,8,5.5,33.432,3,27,7.374,36.4
4.034,419.55,45.0,31,34,22,37.796,22,57.069,57,18,64.608,7,1,24,60,0,1.8,1.133,0.133,8,8.8,36.0,0,26,7.361,42.1
4.034,303.79,30.0,20,22,12,23.023,14,30.567,30,13,33.229,6,1,14,32,1,3.3,1.108,0.063,2,10.0,21.901,2,10,10.126,46.7
4.034,387.59,35.5,27,29,11,36.677,12,55.531,56,11,62.859,5,3,22,58,1,5.4,1.122,0.155,9,1.8,33.728,1,29,6.921,39.3
4.034,373.44,42.5,28,31,17,32.472,20,47.356,47,20,52.445,6,3,22,50,0,6.4,1.116,0.06,3,6.4,31.423,3,19,7.946,46.8
4.034,343.93,32.0,24,26,12,33.216,12,49.24,50,12,56.049,3,1,21,52,0,2.0,1.121,0.115,6,2.0,30.412,0,26,6.879,42.0
4.034,400.54,38.0,28,29,12,34.853,15,52.309,52,16,58.321,7,4,21,53,1,7.7,1.122,0.151,8,3.8,32.884,3,24,7.703,40.4
4.034,425.57,41.0,31,34,12,39.699,13,61.992,62,13,69.773,6,5,25,65,0,8.1,1.125,0.138,9,1.6,37.497,1,31,6.864,40.3
4.034,361.52,38.0,27,31,12,35.813,13,53.243,54,13,60.315,3,2,24,58,0,3.7,1.117,0.103,6,1.9,33.299,1,27,6.695,44.4
4.034,548.79,56.0,38,42,22,48.341,25,69.912,70,20,78.274,9,3,29,74,2,4.3,1.118,0.108,8,5.7,44.979,3,32,7.84,41.4
4.034,582.76,61.0,43,47,22,53.239,25,81.065,81,23,91.099,9,5,34,85,0,6.2,1.125,0.118,10,4.9,50.615,3,38,7.195,42.0
4.034,389.52,43.0,29,32,22,35.58,22,52.858,53,18,59.983,6,0,23,56,0,0.0,1.132,0.107,6,9.4,33.758,0,24,7.349,43.4
4.034,380.5,39.5,27,29,17,32.875,19,47.214,47,18,52.282,6,3,21,49,1,6.4,1.112,0.122,6,4.3,31.116,2,20,8.096,44.7
4.034,341.49,33.5,25,27,11,33.267,12,51.571,52,11,58.524,4,3,21,54,0,5.8,1.125,0.148,8,1.9,31.014,1,27,6.567,40.4
4.034,516.73,57.0,39,43,24,50.864,26,73.879,75,26,83.474,4,2,35,79,0,2.7,1.113,0.127,10,2.7,47.428,2,36,6.89,46.7
4.034,480.59,49.5,34,37,17,39.557,21,58.956,58,17,65.112,10,5,24,61,1,8.6,1.123,0.148,9,6.9,38.115,4,24,8.286,41.4
4.034,408.45,44.5,30,32,15,33.387,19,51.113,50,15,56.362,9,5,21,52,0,10.0,1.127,0.154,8,8.0,32.874,3,20,8.169,42.0
4.034,380.95,38.0,27,30,12,35.461,14,51.458,52,15,58.132,4,1,23,55,0,1.9,1.118,0.091,5,3.8,32.907,2,25,7.326,44.2
4.034,461.59,49.0,33,37,22,38.892,23,56.52,56,19,62.777,9,3,24,60,1,5.4,1.121,0.1,6,8.9,37.18,1,23,8.243,42.9
4.322,336.47,36.0,25,28,16,32.296,16,48.578,49,14,54.983,4,2,21,52,0,4.1,1.122,0.077,4,4.1,30.267,0,24,6.867,42.9
4.034,371.6,34.5,26,28,11,36.018,12,54.196,55,11,62.022,5,1,21,57,1,1.8,1.128,0.123,7,5.5,32.815,1,29,6.756,38.2
4.034,445.56,47.0,33,36,12,39.972,17,60.218,60,19,67.315,7,4,26,63,0,6.7,1.122,0.079,5,5.0,38.245,5,27,7.426,43.3
4.034,429.59,40.5,31,34,11,39.739,12,63.054,63,10,71.691,7,3,24,66,0,4.8,1.138,0.121,8,4.8,37.494,1,32,6.819,38.1
4.034,445.38,39.5,27,29,17,33.603,19,46.283,46,17,50.833,6,3,21,48,1,6.5,1.105,0.167,8,2.2,31.383,2,19,9.682,45.7
4.034,412.63,37.0,27,30,6,36.023,10,55.152,55,6,62.072,8,4,19,58,2,7.3,1.129,0.086,5,3.6,33.125,4,28,7.502,34.5
4.034,393.55,34.0,28,30,6,36.944,7,60.061,60,7,68.319,6,4,22,62,0,6.7,1.139,0.129,8,1.7,34.693,1,32,6.559,36.7
4.034,344.49,33.5,23,25,11,28.546,14,39.196,39,14,43.162,6,2,17,41,2,5.1,1.107,0.049,2,5.1,26.534,3,16,8.833,43.6
4.034,484.67,51.5,35,39,11,43.716,16,62.741,63,15,70.314,7,2,28,67,1,3.2,1.116,0.045,3,6.3,41.024,3,28,7.693,44.4
4.034,486.67,50.0,36,39,12,45.807,17,69.643,70,19,78.849,7,3,29,73,0,4.3,1.126,0.123,9,5.7,43.132,5,34,6.952,41.4
4.034,459.42,39.0,29,31,12,37.625,14,55.901,56,14,62.864,6,3,23,58,0,5.4,1.123,0.138,8,3.6,35.061,2,27,8.204,41.1
4.034,467.64,47.0,33,35,18,41.381,21,62.178,62,19,69.65,8,4,25,64,1,6.5,1.123,0.156,10,4.8,38.959,3,29,7.543,40.3
4.034,380.49,40.0,28,31,10,34.0,14,52.225,52,13,58.773,7,3,21,55,0,5.8,1.13,0.055,3,7.7,32.498,4,24,7.317,40.4
4.034,532.77,50.0,36,39,16,46.04,19,69.309,69,14,78.029,10,3,26,72,2,4.3,1.131,0.125,9,5.8,42.889,3,33,7.721,37.7
4.034,386.5,45.5,29,33,25,34.58,25,51.007,51,17,57.521,7,1,22,55,0,2.0,1.128,0.091,5,11.8,33.058,0,22,7.578,43.1
4.034,405.65,41.0,30,33,16,41.449,16,63.763,65,13,73.72,5,0,25,68,0,0.0,1.134,0.132,9,7.7,38.009,0,35,6.241,38.5
4.034,385.56,43.0,29,32,22,37.404,22,55.229,56,18,63.059,5,0,24,59,0,0.0,1.126,0.136,8,8.9,34.902,0,27,6.885,42.9
4.034,369.56,35.5,27,29,11,36.586,12,57.33,58,10,65.727,5,2,22,60,0,3.4,1.133,0.15,9,5.2,33.869,1,31,6.372,37.9
4.034,372.55,40.0,28,31,18,37.364,18,55.018,56,18,62.604,3,1,25,59,0,1.8,1.118,0.102,6,3.6,34.606,0,28,6.653,44.6
4.034,398.93,40.0,28,30,16,34.404,18,51.222,51,16,57.508,7,2,21,53,0,3.9,1.128,0.132,7,7.8,32.611,2,23,7.822,41.2
4.034,399.49,47.0,30,34,22,35.029,24,51.232,51,18,57.232,7,2,23,55,0,3.9,1.122,0.055,3,9.8,33.751,2,21,7.833,45.1
7.367,216.08,18.0,13,14,6,15.017,7,20.604,20,7,22.629,5,0,8,21,0,0.0,1.131,0.0,0,15.0,14.3,1,7,10.804,40.0
4.034,371.52,35.5,27,29,11,35.483,12,55.781,56,11,63.149,5,4,22,58,0,7.1,1.128,0.155,9,1.8,33.256,1,29,6.634,39.3
4.034,542.84,51.0,37,40,16,49.625,19,74.563,75,14,84.52,9,3,28,78,2,4.0,1.127,0.128,10,5.3,45.56,3,38,7.238,37.3
4.034,497.43,46.0,32,34,18,39.114,21,57.338,57,19,64.03,8,3,24,59,0,5.3,1.123,0.153,9,7.0,37.05,3,25,8.727,42.1
4.034,311.46,32.0,22,25,12,28.586,13,40.618,41,13,45.655,4,1,18,44,1,2.4,1.114,0.045,2,4.9,26.423,1,19,7.597,43.9
4.034,409.94,39.5,26,29,15,31.068,18,42.956,42,13,46.442,8,4,18,45,2,9.5,1.106,0.089,4,2.4,29.297,3,16,9.76,42.9
4.034,429.58,47.0,32,36,22,39.108,22,58.876,59,16,66.85,8,1,24,63,0,1.7,1.133,0.079,5,11.9,37.133,0,27,7.281,40.7
4.034,375.56,39.5,28,31,17,37.37,17,56.12,57,15,64.102,4,1,24,60,0,1.8,1.125,0.117,7,5.3,34.627,0,29,6.589,42.1
4.034,387.52,42.0,29,32,18,36.302,19,53.68,54,19,60.481,5,2,24,57,0,3.7,1.12,0.123,7,5.6,34.289,1,25,7.176,44.4
4.034,544.68,58.0,39,43,18,46.08,24,67.723,67,23,74.943,10,5,29,71,1,7.5,1.119,0.099,7,6.0,44.168,6,28,8.13,43.3
4.034,433.64,43.0,32,34,18,43.313,18,66.105,67,18,75.185,4,3,28,69,0,4.5,1.122,0.159,11,1.5,40.121,0,35,6.472,41.8
4.034,471.59,51.0,34,38,24,40.125,25,56.385,56,24,62.325,7,2,27,60,1,3.6,1.113,0.1,6,5.4,38.332,1,22,8.421,48.2
4.034,538.8,55.0,40,44,18,53.398,20,80.85,82,20,92.301,6,2,34,86,0,2.4,1.126,0.14,12,4.9,49.524,2,42,6.571,41.5
4.034,377.48,37.0,26,28,16,30.472,17,45.847,45,14,51.331,8,1,18,47,1,2.2,1.141,0.106,5,8.9,29.232,1,19,8.388,40.0
4.034,536.73,50.0,36,39,16,44.216,19,66.938,66,14,74.954,11,3,25,69,2,4.5,1.136,0.116,8,6.1,41.746,3,30,8.132,37.9
4.034,356.54,35.0,25,27,16,32.739,16,48.647,49,12,55.275,6,1,19,51,1,2.0,1.128,0.118,6,8.2,30.256,0,24,7.276,38.8
4.034,337.35,37.0,25,28,12,27.608,15,40.924,40,16,44.452,6,5,19,43,0,12.5,1.111,0.047,2,2.5,27.283,3,15,8.434,47.5
4.034,413.61,40.0,29,32,16,37.955,16,56.709,57,13,64.362,6,1,23,60,1,1.8,1.129,0.1,6,5.3,35.198,0,28,7.256,40.4
4.034,659.69,64.5,47,51,23,51.199,25,80.705,78,23,89.801,14,3,33,82,0,3.8,1.151,0.085,7,6.4,50.98,2,31,8.458,42.3
4.034,432.64,39.0,30,33,10,39.898,11,61.843,62,8,69.982,7,4,23,65,1,6.5,1.129,0.123,8,3.2,36.991,1,32,6.978,37.1
