pXC50,AMW,nHet,N.,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nB
7.721,9.186,7,7.5,47.5,35.0,1.021,1.117,0.727,0.706,367.43,22,40,0
7.131,9.186,7,7.5,47.5,35.0,1.021,1.117,0.727,0.706,367.43,22,40,0
7.222,8.499,5,4.9,48.8,39.0,1.003,1.103,0.729,0.691,348.45,22,41,0
7.018,8.761,5,5.0,50.0,37.5,1.008,1.109,0.735,0.7,350.44,22,40,0
7.569,8.938,6,4.9,48.8,36.6,1.015,1.112,0.728,0.701,366.44,22,41,0
5.883,8.647,6,4.5,47.7,38.6,1.012,1.114,0.718,0.688,380.47,22,44,0
9.0,8.333,9,10.5,43.9,40.4,1.01,1.124,0.696,0.669,474.99,23,57,0
9.0,8.36,10,10.5,43.9,38.6,1.022,1.137,0.678,0.668,476.53,23,57,0
9.427,7.576,8,10.0,43.3,43.3,1.002,1.126,0.676,0.647,454.58,23,60,0
9.339,8.045,9,10.5,43.9,40.4,1.013,1.131,0.68,0.661,458.54,23,57,0
8.398,7.729,8,10.5,43.9,42.1,1.004,1.125,0.681,0.654,440.55,23,57,0
8.222,7.729,8,10.5,43.9,42.1,1.004,1.125,0.681,0.654,440.55,23,57,0
8.189,7.729,8,10.5,43.9,42.1,1.004,1.125,0.681,0.654,440.55,23,57,0
7.344,7.42,7,8.9,42.9,44.6,1.0,1.126,0.671,0.639,415.54,18,56,0
6.664,8.581,7,14.7,38.2,41.2,1.017,1.139,0.681,0.655,291.77,11,34,0
7.056,9.134,10,12.5,40.0,35.0,1.05,1.161,0.658,0.671,365.35,16,40,0
6.0,7.789,9,8.5,42.4,42.4,1.011,1.127,0.669,0.648,459.55,18,59,0
6.0,7.638,9,8.1,41.9,43.5,1.009,1.127,0.665,0.641,473.58,18,62,0
6.0,7.295,8,7.9,41.3,46.0,1.001,1.129,0.659,0.628,459.6,18,63,0
6.553,7.176,8,7.6,40.9,47.0,1.0,1.129,0.656,0.623,473.63,18,66,0
6.155,7.302,9,9.2,40.0,46.2,1.003,1.132,0.654,0.625,474.62,18,65,0
7.0,7.186,9,8.8,39.7,47.1,1.001,1.133,0.651,0.619,488.65,18,68,0
7.398,7.08,9,8.5,39.4,47.9,0.999,1.133,0.649,0.615,502.68,18,71,0
8.0,7.148,9,8.3,40.3,47.2,0.999,1.131,0.654,0.62,514.69,18,72,0
6.222,7.314,10,8.7,39.1,46.4,1.006,1.134,0.649,0.621,504.65,18,69,0
4.614,10.362,11,8.3,39.6,37.5,1.033,1.13,0.706,0.682,497.38,11,48,0
7.538,9.439,10,9.5,40.5,35.7,1.044,1.149,0.684,0.68,396.43,11,42,0
6.572,9.196,9,7.0,41.9,37.2,1.038,1.144,0.686,0.675,395.44,11,43,0
7.229,9.121,10,8.9,40.0,37.8,1.039,1.148,0.677,0.668,410.46,11,45,0
7.796,9.271,11,8.7,39.1,37.0,1.045,1.15,0.673,0.669,426.46,11,46,0
6.122,9.034,8,7.1,42.9,38.1,1.031,1.142,0.691,0.675,379.44,16,42,0
6.74,8.965,9,9.1,40.9,38.6,1.032,1.147,0.682,0.667,394.46,16,44,0
6.79,8.6,10,13.6,38.6,38.6,1.038,1.162,0.651,0.652,378.4,16,44,0
6.423,8.823,10,11.6,39.5,37.2,1.044,1.159,0.653,0.66,379.38,16,43,0
6.496,8.823,10,11.6,39.5,37.2,1.044,1.159,0.653,0.66,379.38,16,43,0
4.973,10.183,6,5.0,45.0,40.0,1.01,1.116,0.737,0.689,407.33,16,40,0
6.59,8.652,9,11.9,40.5,38.1,1.037,1.158,0.658,0.659,363.38,16,42,0
7.328,10.058,8,12.8,41.0,38.5,1.023,1.138,0.701,0.677,392.26,16,39,0
7.77,10.608,9,12.5,40.0,37.5,1.024,1.132,0.725,0.689,424.33,16,40,0
7.319,8.652,9,11.9,40.5,38.1,1.037,1.158,0.658,0.659,363.38,16,42,0
7.409,10.058,8,12.8,41.0,38.5,1.023,1.138,0.701,0.677,392.26,16,39,0
7.276,10.741,11,8.9,40.0,35.6,1.038,1.13,0.714,0.694,483.35,16,45,0
6.775,10.486,11,10.9,39.1,37.0,1.032,1.133,0.71,0.686,482.37,16,46,0
6.119,17.556,8,16.0,40.0,28.0,1.043,1.119,0.833,0.778,438.91,11,25,0
5.2,14.611,13,19.5,41.5,26.8,1.044,1.126,0.788,0.762,599.06,22,41,0
4.0,12.414,14,21.1,39.5,23.7,1.06,1.131,0.782,0.772,471.74,21,38,0
4.423,15.501,14,21.1,39.5,23.7,1.059,1.131,0.789,0.775,589.02,21,38,0
5.972,10.384,12,13.3,37.8,35.6,1.044,1.144,0.682,0.679,467.29,16,45,0
5.004,9.231,12,14.9,38.3,36.2,1.039,1.147,0.676,0.674,433.87,16,47,0
4.812,9.573,12,14.9,38.3,36.2,1.034,1.14,0.701,0.684,449.94,16,47,0
5.0,9.803,13,17.4,37.0,34.8,1.039,1.145,0.7,0.688,450.93,16,46,0
5.611,9.058,12,13.7,37.3,39.2,1.025,1.135,0.691,0.667,461.98,16,51,0
5.377,9.858,12,16.3,37.2,34.9,1.039,1.144,0.702,0.689,423.9,16,43,0
5.039,9.907,12,15.9,38.6,34.1,1.039,1.141,0.709,0.696,435.91,16,44,0
4.293,9.907,12,15.9,38.6,34.1,1.039,1.141,0.709,0.696,435.91,16,44,0
4.0,9.279,12,14.0,38.0,38.0,1.029,1.14,0.694,0.673,463.97,16,50,0
4.0,9.279,12,14.0,38.0,38.0,1.029,1.14,0.694,0.673,463.97,16,50,0
5.954,8.528,9,5.8,44.2,38.5,1.032,1.14,0.669,0.666,443.46,18,52,0
6.26,8.528,9,5.8,44.2,38.5,1.032,1.14,0.669,0.666,443.46,18,52,0
4.699,8.715,10,7.8,43.1,37.3,1.037,1.145,0.668,0.669,444.45,18,51,0
5.0,8.56,8,8.3,43.8,39.6,1.016,1.123,0.694,0.672,410.89,18,48,0
4.739,9.486,8,8.3,43.8,39.6,1.014,1.121,0.705,0.676,455.34,18,48,0
5.294,10.465,8,8.3,43.8,39.6,1.011,1.118,0.732,0.683,502.34,18,48,0
5.083,10.236,10,8.3,43.8,35.4,1.036,1.135,0.702,0.692,491.32,18,48,0
5.22,9.861,9,8.3,43.8,37.5,1.025,1.128,0.703,0.684,473.33,18,48,0
6.893,9.861,9,8.3,43.8,37.5,1.025,1.128,0.703,0.684,473.33,18,48,0
6.108,9.556,9,7.8,43.1,39.2,1.021,1.128,0.697,0.674,487.36,18,51,0
5.026,9.861,9,8.3,43.8,37.5,1.025,1.128,0.703,0.684,473.33,18,48,0
5.173,9.861,9,8.3,43.8,37.5,1.025,1.128,0.703,0.684,473.33,18,48,0
5.618,9.64,8,6.1,44.9,38.8,1.02,1.123,0.705,0.681,472.34,18,49,0
5.35,10.092,10,10.6,42.6,36.2,1.03,1.132,0.702,0.688,474.32,18,47,0
4.398,11.573,12,13.5,37.8,29.7,1.065,1.145,0.693,0.708,428.2,16,37,0
5.111,11.056,12,12.5,37.5,32.5,1.058,1.145,0.685,0.693,442.23,16,40,0
4.398,10.611,12,11.6,37.2,34.9,1.051,1.144,0.678,0.68,456.26,16,43,0
4.0,11.056,12,12.5,37.5,32.5,1.058,1.145,0.685,0.693,442.23,16,40,0
4.222,11.777,13,15.4,35.9,30.8,1.058,1.143,0.714,0.71,459.29,16,39,0
5.412,11.458,12,12.5,37.5,32.5,1.051,1.138,0.715,0.705,458.3,16,40,0
6.014,11.916,15,11.4,36.4,29.5,1.075,1.155,0.697,0.709,524.31,16,44,0
4.688,10.984,12,11.6,37.2,34.9,1.045,1.138,0.706,0.691,472.33,16,43,0
4.301,9.693,12,17.1,36.6,34.1,1.051,1.164,0.677,0.679,397.43,16,41,0
4.9,11.219,11,18.4,36.8,34.2,1.037,1.144,0.723,0.699,426.31,16,38,0
6.044,11.008,13,15.9,36.4,34.1,1.044,1.143,0.708,0.694,484.35,16,44,0
7.432,7.751,10,8.6,37.9,44.8,1.022,1.154,0.636,0.621,449.53,12,58,0
6.585,7.559,9,8.5,37.3,47.5,1.007,1.136,0.651,0.617,446.0,12,59,0
7.0,8.083,11,11.1,37.0,42.6,1.03,1.159,0.636,0.629,436.49,12,54,0
6.959,8.153,10,10.2,40.7,42.4,1.013,1.131,0.676,0.65,481.0,18,59,0
6.959,8.153,10,10.2,40.7,42.4,1.013,1.131,0.676,0.65,481.0,18,59,0
6.26,8.175,9,8.8,42.1,42.1,1.011,1.127,0.682,0.655,465.98,18,57,0
7.409,8.263,9,8.2,38.8,42.9,1.02,1.133,0.664,0.643,404.89,12,49,0
6.678,8.33,8,8.9,40.0,42.2,1.017,1.131,0.674,0.65,374.86,12,45,0
6.469,8.451,8,11.4,40.9,40.9,1.015,1.131,0.685,0.66,371.86,12,44,0
7.523,8.867,8,9.3,39.5,41.9,1.018,1.131,0.692,0.66,381.29,12,43,0
5.201,7.389,8,10.0,38.0,46.0,1.009,1.137,0.645,0.62,369.47,12,50,0
7.237,8.967,9,10.0,38.0,44.0,1.013,1.134,0.672,0.64,448.36,12,50,0
7.42,8.767,10,10.0,38.0,42.0,1.022,1.135,0.679,0.653,438.35,12,50,0
6.252,7.853,8,6.6,42.6,44.3,1.005,1.124,0.678,0.646,479.02,18,61,0
6.854,8.0,9,8.3,41.7,43.3,1.009,1.127,0.677,0.648,480.01,18,60,0
5.137,8.009,10,6.3,42.2,42.2,1.022,1.141,0.658,0.644,512.58,18,64,0
6.0,8.083,10,7.4,38.9,42.6,1.03,1.152,0.64,0.633,436.48,12,54,0
7.013,8.083,10,7.4,38.9,42.6,1.03,1.152,0.64,0.633,436.48,12,54,0
6.959,7.904,10,7.0,38.6,43.9,1.027,1.151,0.637,0.626,450.51,12,57,0
6.328,8.109,10,10.0,38.0,42.0,1.029,1.151,0.642,0.635,405.45,12,50,0
6.367,8.152,11,7.9,41.3,41.3,1.026,1.145,0.656,0.646,513.57,18,63,0
6.456,8.152,11,7.9,41.3,41.3,1.026,1.145,0.656,0.646,513.57,18,63,0
6.108,7.86,10,6.0,41.8,43.3,1.019,1.141,0.655,0.638,526.61,18,67,0
7.0,7.602,9,6.8,39.0,45.8,1.018,1.15,0.638,0.619,448.54,12,59,0
5.194,7.599,10,8.2,37.7,45.9,1.019,1.153,0.634,0.615,463.56,12,61,0
5.62,7.602,9,6.8,39.0,45.8,1.018,1.15,0.638,0.619,448.54,12,59,0
8.0,7.823,10,8.5,39.0,44.1,1.022,1.151,0.642,0.627,461.54,12,59,0
7.0,7.67,10,8.1,38.7,45.2,1.019,1.15,0.639,0.622,475.57,12,62,0
7.553,7.751,10,8.6,37.9,44.8,1.022,1.154,0.636,0.621,449.53,12,58,0
7.62,7.599,10,8.2,37.7,45.9,1.019,1.153,0.634,0.615,463.56,12,61,0
5.959,7.462,10,7.8,37.5,46.9,1.017,1.152,0.631,0.61,477.59,12,64,0
8.523,9.244,11,9.4,43.4,35.8,1.037,1.144,0.688,0.684,489.92,18,53,0
6.903,8.594,10,9.4,43.4,37.7,1.031,1.145,0.672,0.668,455.48,18,53,0
7.387,8.384,10,8.9,42.9,39.3,1.027,1.144,0.667,0.66,469.51,18,56,0
6.903,8.025,10,8.1,41.9,41.9,1.021,1.144,0.659,0.645,497.57,18,62,0
6.18,8.025,10,8.1,41.9,41.9,1.021,1.144,0.659,0.645,497.57,18,62,0
7.638,8.578,11,8.6,43.1,37.9,1.032,1.143,0.669,0.667,497.52,18,58,0
7.155,8.848,12,12.5,42.9,35.7,1.035,1.147,0.676,0.678,495.51,22,56,0
5.648,8.518,12,12.3,40.4,38.6,1.033,1.152,0.66,0.657,485.52,18,57,0
6.488,9.164,12,11.5,40.4,36.5,1.037,1.147,0.683,0.675,476.53,17,52,0
7.167,8.455,11,8.9,41.1,39.3,1.033,1.148,0.657,0.655,473.5,17,56,0
6.907,9.419,14,8.9,41.1,33.9,1.061,1.166,0.654,0.675,527.47,17,56,0
6.924,8.499,13,9.1,34.5,41.8,1.052,1.181,0.613,0.621,467.47,6,55,0
6.538,8.254,11,9.4,37.7,41.5,1.035,1.156,0.638,0.635,437.47,11,53,0
5.231,8.962,13,13.0,37.0,38.9,1.04,1.159,0.657,0.654,483.93,12,54,0
7.208,8.062,11,8.9,37.5,42.9,1.031,1.155,0.635,0.629,451.5,11,56,0
6.717,8.15,9,9.4,39.6,43.4,1.016,1.139,0.667,0.642,431.94,12,53,0
7.921,8.312,11,8.9,39.3,41.1,1.035,1.158,0.644,0.64,465.5,12,56,0
7.745,8.606,11,8.9,39.3,41.1,1.031,1.151,0.66,0.648,481.95,12,56,0
6.996,8.46,9,9.4,39.6,43.4,1.012,1.131,0.684,0.65,448.39,12,53,0
7.18,8.312,11,8.9,39.3,41.1,1.035,1.158,0.644,0.64,465.5,12,56,0
5.0,7.904,10,7.0,38.6,43.9,1.027,1.151,0.637,0.626,450.51,12,57,0
5.0,7.665,10,6.3,39.1,45.3,1.02,1.148,0.638,0.621,490.58,12,64,0
7.292,8.078,9,10.0,38.0,44.0,1.015,1.136,0.662,0.636,403.91,12,50,0
7.62,8.312,11,8.9,39.3,41.1,1.035,1.158,0.644,0.64,465.5,12,56,0
7.409,7.886,9,9.4,37.7,45.3,1.012,1.136,0.658,0.629,417.94,12,53,0
6.53,8.473,7,3.6,50.0,37.5,1.02,1.125,0.698,0.686,474.51,28,56,0
5.936,9.408,8,8.2,49.0,34.7,1.013,1.106,0.75,0.719,460.97,27,49,0
5.866,9.888,8,6.0,50.0,34.0,1.015,1.101,0.768,0.731,494.42,27,50,0
5.631,8.15,6,5.7,47.2,41.5,1.002,1.113,0.706,0.671,431.95,22,53,0
6.504,9.51,10,7.7,48.1,32.7,1.034,1.128,0.721,0.713,494.53,27,52,0
6.358,9.962,10,5.7,49.1,32.1,1.035,1.123,0.738,0.725,527.98,27,53,0
6.747,9.557,10,7.5,49.1,32.1,1.033,1.126,0.726,0.718,506.54,27,53,0
6.804,10.0,10,5.6,50.0,31.5,1.034,1.121,0.743,0.73,539.99,27,54,0
7.456,8.798,11,10.0,38.0,40.0,1.036,1.15,0.66,0.652,439.89,12,50,0
6.0,7.48,8,9.8,39.2,45.1,1.009,1.134,0.652,0.627,381.48,12,51,0
7.0,8.036,10,9.3,37.0,44.4,1.018,1.138,0.654,0.631,433.94,12,54,0
7.292,8.438,10,10.0,38.0,42.0,1.026,1.143,0.661,0.644,421.9,12,50,0
7.004,8.153,10,10.2,40.7,42.4,1.013,1.131,0.676,0.65,481.0,18,59,0
7.046,8.283,10,7.8,39.2,41.2,1.035,1.153,0.643,0.64,422.45,12,51,0
6.409,7.742,10,6.7,38.3,45.0,1.024,1.151,0.635,0.62,464.54,12,60,0
6.237,7.71,7,4.8,43.5,45.2,1.002,1.12,0.68,0.643,478.03,18,62,0
6.921,8.043,11,6.9,37.9,43.1,1.032,1.152,0.634,0.628,466.51,12,58,0
7.027,8.295,9,10.6,38.3,42.6,1.019,1.136,0.667,0.645,389.88,12,47,0
6.924,9.953,8,7.9,44.7,34.2,1.033,1.118,0.728,0.711,378.23,12,38,0
7.102,9.047,7,7.9,44.7,36.8,1.024,1.12,0.705,0.689,343.79,12,38,0
6.714,9.465,8,6.3,47.9,35.4,1.021,1.111,0.733,0.71,454.33,18,48,0
6.658,9.122,8,6.3,47.9,35.4,1.025,1.119,0.714,0.701,437.88,18,48,0
6.959,10.044,10,7.3,43.9,31.7,1.057,1.146,0.692,0.704,411.79,12,41,0
6.102,7.658,6,5.6,46.3,42.6,1.002,1.116,0.685,0.657,413.51,18,54,0
7.167,9.465,8,6.3,47.9,35.4,1.021,1.111,0.733,0.71,454.33,18,48,0
6.0,8.03,6,6.3,47.9,39.6,1.007,1.113,0.697,0.675,385.45,18,48,0
6.0,10.6,9,8.1,45.9,29.7,1.045,1.116,0.739,0.735,392.21,12,37,0
7.31,10.249,9,10.8,43.2,32.4,1.039,1.124,0.727,0.717,379.22,12,37,0
5.939,9.165,9,5.3,47.4,36.8,1.019,1.112,0.722,0.699,522.41,24,57,0
6.745,8.542,12,10.0,41.7,38.3,1.033,1.146,0.664,0.662,512.54,18,60,0
5.777,9.474,13,10.3,39.7,37.9,1.028,1.127,0.708,0.682,549.48,18,58,0
6.678,8.509,12,8.1,41.9,38.7,1.033,1.144,0.662,0.66,527.55,18,62,0
6.921,8.386,11,8.2,42.6,39.3,1.029,1.143,0.665,0.659,511.55,18,61,0
5.602,8.386,11,8.2,42.6,39.3,1.029,1.143,0.665,0.659,511.55,18,61,0
7.018,7.501,8,8.2,42.6,44.3,1.003,1.126,0.668,0.64,457.58,18,61,0
8.066,8.668,9,6.8,44.1,40.7,1.013,1.12,0.703,0.673,511.44,18,59,0
7.481,8.235,10,6.5,43.5,40.3,1.025,1.139,0.667,0.656,510.56,18,62,0
7.0,8.241,9,8.6,43.1,41.4,1.011,1.124,0.687,0.661,477.99,18,58,0
7.328,8.551,10,8.6,43.1,39.7,1.02,1.13,0.686,0.668,495.98,18,58,0
7.328,8.386,11,8.2,42.6,39.3,1.029,1.143,0.665,0.659,511.55,18,61,0
8.509,7.655,8,6.5,43.5,43.5,1.008,1.128,0.669,0.644,474.58,18,62,0
5.523,8.992,11,9.4,45.3,37.5,1.017,1.12,0.714,0.691,575.49,24,64,0
7.886,8.448,10,8.8,43.9,38.6,1.027,1.142,0.673,0.666,481.52,18,57,0
8.495,7.947,9,6.3,43.8,42.2,1.017,1.138,0.666,0.649,508.59,18,64,0
7.886,7.364,7,6.5,43.5,45.2,1.0,1.123,0.67,0.638,456.59,18,62,0
5.398,9.533,12,9.8,44.3,36.1,1.021,1.117,0.731,0.703,581.52,23,61,0
6.854,9.248,11,11.1,42.6,37.0,1.024,1.126,0.707,0.688,499.39,18,54,0
6.886,7.24,7,6.2,43.1,46.2,0.998,1.123,0.666,0.632,470.62,18,65,0
10.301,8.79,11,6.5,43.5,38.7,1.03,1.138,0.681,0.67,545.0,18,62,0
6.387,9.007,11,10.5,42.1,38.6,1.021,1.127,0.701,0.678,513.42,18,57,0
6.602,9.315,11,13.5,42.3,36.5,1.023,1.129,0.711,0.691,484.38,18,52,0
7.444,9.599,11,14.3,42.9,34.7,1.027,1.128,0.719,0.702,470.35,18,49,0
7.824,9.121,10,11.3,43.4,37.7,1.019,1.125,0.712,0.687,483.39,18,53,0
7.886,8.81,10,11.3,43.4,37.7,1.022,1.132,0.695,0.679,466.94,18,53,0
7.092,8.835,10,8.6,43.1,39.7,1.017,1.123,0.702,0.675,512.43,18,58,0
7.469,8.835,10,8.6,43.1,39.7,1.017,1.123,0.702,0.675,512.43,18,58,0
8.018,8.616,11,10.7,42.9,37.5,1.031,1.146,0.672,0.669,482.51,18,56,0
6.959,8.241,9,8.6,43.1,41.4,1.011,1.124,0.687,0.661,477.99,18,58,0
7.678,9.121,10,11.3,43.4,37.7,1.019,1.125,0.712,0.687,483.39,18,53,0
6.602,8.748,7,6.3,47.9,37.5,1.014,1.112,0.715,0.693,419.89,18,48,0
6.745,9.953,8,7.9,44.7,34.2,1.033,1.118,0.728,0.711,378.23,12,38,0
6.921,8.616,11,10.7,42.9,37.5,1.031,1.146,0.672,0.669,482.51,18,56,0
8.553,8.578,11,8.6,43.1,37.9,1.032,1.143,0.669,0.667,497.52,18,58,0
8.187,8.386,11,8.2,42.6,39.3,1.029,1.143,0.665,0.659,511.55,18,61,0
7.292,9.055,14,7.8,42.2,35.9,1.05,1.158,0.659,0.67,579.55,18,64,0
8.252,8.746,12,10.5,42.1,36.8,1.037,1.147,0.668,0.67,498.51,18,57,0
7.398,8.709,9,8.8,43.9,40.4,1.011,1.122,0.706,0.675,496.43,18,57,0
5.337,8.403,10,10.5,42.1,40.4,1.015,1.128,0.686,0.664,478.98,18,57,0
7.796,9.062,10,9.1,43.6,38.2,1.02,1.123,0.708,0.685,498.4,18,55,0
7.796,8.681,12,8.2,42.6,37.7,1.037,1.148,0.664,0.665,529.54,18,61,0
7.036,9.028,12,13.5,42.3,34.6,1.04,1.151,0.675,0.681,469.47,18,52,0
9.222,8.711,11,3.5,40.4,40.4,1.036,1.14,0.665,0.654,496.55,17,57,0
8.699,8.802,10,3.8,41.5,39.6,1.035,1.139,0.673,0.661,466.52,17,53,0
8.523,9.05,10,4.0,42.0,38.0,1.039,1.139,0.678,0.67,452.49,17,50,0
7.921,8.603,11,5.1,40.7,40.7,1.031,1.14,0.668,0.654,507.58,17,59,0
6.054,9.186,11,3.9,41.2,37.3,1.045,1.14,0.674,0.671,468.49,17,51,0
7.886,9.646,9,4.3,42.6,38.3,1.025,1.114,0.724,0.691,453.37,17,47,0
8.097,9.255,11,6.1,40.8,36.7,1.045,1.143,0.676,0.674,453.48,17,49,0
7.886,9.646,9,4.3,42.6,38.3,1.025,1.114,0.724,0.691,453.37,17,47,0
9.611,9.821,13,3.8,41.5,34.0,1.064,1.158,0.669,0.683,520.49,17,53,0
6.936,8.946,9,4.3,42.6,38.3,1.033,1.131,0.685,0.672,420.47,17,47,0
7.77,9.296,9,4.3,42.6,38.3,1.029,1.123,0.705,0.682,436.92,17,47,0
7.959,9.048,11,5.7,41.5,37.7,1.039,1.14,0.678,0.67,479.52,17,53,0
6.082,8.802,10,3.8,41.5,39.6,1.035,1.139,0.673,0.661,466.52,17,53,0
6.636,9.646,9,4.3,42.6,38.3,1.025,1.114,0.724,0.691,453.37,17,47,0
8.097,9.41,11,4.0,42.0,36.0,1.05,1.145,0.677,0.678,470.48,17,50,0
7.469,8.946,9,4.3,42.6,38.3,1.033,1.131,0.685,0.672,420.47,17,47,0
5.359,9.52,11,4.1,42.9,34.7,1.049,1.137,0.686,0.688,466.47,17,49,0
7.714,8.563,8,4.3,42.6,40.4,1.022,1.124,0.687,0.664,402.48,17,47,0
5.914,9.344,8,4.8,45.2,35.7,1.037,1.135,0.702,0.691,392.43,17,42,0
5.0,8.936,11,3.7,40.7,38.9,1.04,1.14,0.669,0.662,482.52,17,54,0
8.523,9.097,8,4.3,45.7,37.0,1.031,1.132,0.701,0.686,418.47,17,46,0
8.0,9.05,10,4.0,42.0,38.0,1.039,1.139,0.678,0.67,452.49,17,50,0
6.194,8.33,8,4.0,42.0,42.0,1.019,1.125,0.681,0.655,416.51,17,50,0
8.222,8.913,8,4.3,42.6,40.4,1.018,1.116,0.706,0.674,418.93,17,47,0
6.0,9.468,11,4.2,41.7,35.4,1.05,1.14,0.679,0.681,454.46,17,48,0
7.229,9.186,11,3.9,41.2,37.3,1.045,1.14,0.674,0.671,468.49,17,51,0
5.665,8.802,10,3.8,41.5,39.6,1.035,1.139,0.673,0.661,466.52,17,53,0
5.0,8.354,11,4.9,39.3,42.6,1.028,1.142,0.659,0.641,509.6,17,61,0
6.039,9.344,8,4.8,45.2,35.7,1.037,1.135,0.702,0.691,392.43,17,42,0
7.824,8.621,10,5.6,40.7,40.7,1.03,1.141,0.671,0.654,465.54,17,54,0
6.839,9.184,9,4.3,43.5,37.0,1.038,1.137,0.689,0.68,422.46,17,46,0
7.495,9.821,13,3.8,41.5,34.0,1.064,1.158,0.669,0.683,520.49,17,53,0
6.839,8.853,9,2.0,43.1,39.2,1.034,1.134,0.68,0.667,451.5,17,51,0
5.0,8.802,10,3.8,41.5,39.6,1.035,1.139,0.673,0.661,466.52,17,53,0
7.495,9.05,10,4.0,42.0,38.0,1.039,1.139,0.678,0.67,452.49,17,50,0
10.398,8.621,10,5.6,40.7,40.7,1.03,1.141,0.671,0.654,465.54,17,54,0
5.853,8.413,11,4.8,40.3,41.9,1.028,1.14,0.664,0.647,521.61,17,62,0
8.398,8.227,10,5.0,40.0,43.3,1.023,1.141,0.662,0.64,493.6,17,60,0
8.046,9.219,8,4.2,47.9,35.4,1.03,1.127,0.713,0.699,442.49,22,48,0
7.796,8.936,11,3.7,40.7,38.9,1.04,1.14,0.669,0.662,482.52,17,54,0
4.886,9.227,8,8.1,40.5,37.8,1.039,1.15,0.683,0.67,341.39,11,37,0
4.167,9.635,10,7.5,40.0,35.0,1.052,1.149,0.679,0.681,385.4,11,40,0
7.409,7.991,10,8.9,39.3,42.9,1.025,1.152,0.645,0.634,447.51,12,56,0
9.301,9.028,9,6.4,40.4,40.4,1.026,1.127,0.689,0.666,424.31,12,47,0
8.215,8.355,10,7.7,40.4,40.4,1.034,1.15,0.65,0.647,434.46,12,52,0
8.569,9.393,13,7.7,40.4,34.6,1.063,1.169,0.647,0.669,488.43,12,52,0
6.0,8.389,10,10.0,40.0,40.0,1.033,1.153,0.652,0.649,419.45,12,50,0
6.559,9.376,10,9.8,39.0,36.6,1.045,1.153,0.676,0.672,384.42,11,41,0
5.398,9.056,10,9.1,38.6,38.6,1.04,1.152,0.67,0.661,398.45,11,44,0
7.167,8.294,11,7.1,39.3,41.1,1.035,1.15,0.643,0.641,464.49,12,56,0
