pXC50,C.,N.,nN,H.,Mv,nCsp2
4.94,43.8,0.0,0,37.5,0.67,13
4.701,45.2,0.0,0,38.7,0.669,13
4.0,45.2,0.0,0,38.7,0.669,13
4.179,45.2,0.0,0,38.7,0.669,13
4.0,43.8,0.0,0,37.5,0.67,13
4.7,43.8,0.0,0,37.5,0.67,13
4.164,43.1,0.0,0,48.3,0.62,17
4.394,46.3,4.9,2,43.9,0.651,17
5.056,45.2,4.8,2,42.9,0.652,17
4.623,44.4,4.4,2,44.4,0.643,17
5.268,43.5,4.3,2,43.5,0.644,17
5.046,38.1,14.3,3,38.1,0.677,8
4.959,38.1,14.3,3,38.1,0.677,8
5.222,33.3,16.7,3,38.9,0.668,6
5.097,31.6,21.1,4,42.1,0.649,6
4.921,44.4,11.1,3,40.7,0.68,12
5.155,37.5,12.5,3,45.8,0.64,8
4.959,33.3,14.3,3,33.3,0.688,7
4.0,38.1,9.5,2,47.6,0.635,7
4.0,45.2,6.5,2,45.2,0.658,13
4.0,46.4,7.1,2,39.3,0.703,13
4.0,38.2,5.9,2,52.9,0.601,7
4.0,45.2,6.5,2,45.2,0.658,13
4.0,36.1,5.6,2,55.6,0.583,7
5.271,40.8,0.0,0,44.9,0.629,12
5.015,48.6,0.0,0,34.3,0.699,16
5.259,44.8,0.0,0,34.5,0.687,12
6.824,43.5,0.0,0,47.8,0.623,14
6.921,41.9,0.0,0,46.5,0.624,12
5.845,42.0,0.0,0,48.0,0.618,14
5.194,53.3,0.0,0,40.0,0.686,16
4.782,51.6,0.0,0,38.7,0.687,16
4.538,42.4,3.0,1,39.4,0.659,13
4.959,42.4,3.0,1,39.4,0.659,13
4.77,41.2,2.9,1,38.2,0.661,13
4.854,52.7,3.6,2,40.0,0.686,28
4.0,52.7,3.6,2,38.2,0.701,28
4.283,52.7,3.6,2,38.2,0.701,28
4.788,52.7,3.6,2,38.2,0.701,28
4.779,52.7,3.6,2,38.2,0.693,28
4.416,52.7,3.6,2,38.2,0.693,28
4.802,52.7,3.6,2,38.2,0.693,28
4.0,52.7,3.6,2,38.2,0.705,28
4.0,51.7,3.4,2,41.4,0.677,28
4.494,51.7,3.4,2,41.4,0.677,28
4.82,51.7,3.4,2,41.4,0.677,28
4.0,49.3,3.0,2,44.8,0.654,28
4.156,51.7,3.4,2,36.2,0.697,28
4.276,51.9,3.8,2,38.5,0.691,26
4.174,51.9,3.8,2,38.5,0.7,26
4.089,52.5,3.4,2,40.7,0.682,30
4.112,50.0,3.8,2,42.3,0.668,22
4.104,50.0,4.2,2,41.7,0.671,22
4.307,51.2,4.7,2,41.9,0.674,21
4.155,42.3,15.4,4,38.5,0.687,11
5.286,43.8,0.0,0,43.8,0.642,12
6.959,35.7,10.7,3,46.4,0.629,8
5.637,31.8,6.8,3,47.7,0.611,5
5.733,39.1,0.0,0,43.5,0.63,7
6.658,37.9,0.0,0,48.3,0.605,7
7.155,37.5,0.0,0,50.0,0.596,7
6.155,36.2,0.0,0,55.3,0.568,7
4.828,37.1,0.0,0,51.4,0.589,7
6.745,36.8,0.0,0,52.6,0.582,7
6.824,35.7,0.0,0,57.1,0.559,7
4.268,43.8,4.2,2,41.7,0.653,17
5.699,44.7,2.6,1,39.5,0.678,15
7.0,44.1,8.8,3,38.2,0.686,14
5.461,39.6,0.0,0,56.6,0.572,5
5.764,37.5,0.0,0,57.1,0.564,3
3.203,38.2,0.0,0,43.6,0.627,13
5.583,41.2,0.0,0,54.9,0.584,3
5.103,42.9,0.0,0,53.1,0.598,5
4.103,45.5,0.0,0,42.4,0.653,13
5.509,44.4,0.0,0,38.9,0.666,15
5.509,45.5,0.0,0,36.4,0.68,15
5.434,33.3,8.3,2,41.7,0.625,6
5.53,50.0,0.0,0,37.5,0.688,16
7.469,51.6,0.0,0,38.7,0.687,16
4.524,32.4,5.4,2,59.5,0.541,1
5.178,42.0,4.0,2,52.0,0.602,11
4.743,32.4,5.4,2,51.4,0.572,1
6.237,34.6,11.5,3,42.3,0.646,8
4.0,45.5,9.1,3,39.4,0.685,15
6.824,33.3,16.7,6,44.4,0.643,10
6.569,37.0,11.1,3,48.1,0.625,8
6.469,37.5,12.5,3,45.8,0.64,8
6.0,36.4,9.1,3,51.5,0.604,8
6.284,37.5,12.5,3,41.7,0.683,8
4.155,32.5,5.0,2,55.0,0.591,7
4.0,39.3,0.0,0,50.0,0.601,7
5.569,36.8,10.5,2,36.8,0.688,7
5.201,42.4,6.1,2,42.4,0.647,13
4.347,35.0,20.0,4,40.0,0.666,7
5.585,33.3,14.3,3,33.3,0.666,7
5.367,36.4,9.1,2,31.8,0.67,7
4.585,42.9,7.1,2,42.9,0.664,11
4.796,36.4,9.1,2,45.5,0.617,7
5.785,38.9,11.1,2,44.4,0.656,7
4.0,44.8,6.9,2,41.4,0.675,13
4.256,42.9,8.6,3,42.9,0.661,14
4.839,44.0,8.0,2,32.0,0.718,11
6.086,34.8,17.4,4,43.5,0.646,7
6.268,35.5,9.7,3,48.4,0.617,8
4.0,46.4,7.1,2,42.9,0.674,13
4.523,37.5,0.0,0,37.5,0.652,5
4.0,50.0,0.0,0,33.3,0.707,15
4.767,46.8,2.1,1,40.4,0.677,21
5.245,48.4,3.2,1,41.9,0.665,15
5.569,40.0,12.0,3,44.0,0.654,10
5.815,38.2,0.0,0,58.2,0.561,3
6.31,50.0,0.0,0,37.5,0.688,16
4.495,38.1,14.3,3,38.1,0.677,8
5.301,46.9,0.0,0,37.5,0.679,15
5.752,42.1,10.5,2,31.6,0.722,8
5.764,37.5,4.2,2,58.3,0.56,6
6.056,31.8,22.7,5,40.9,0.652,6
6.854,33.3,14.3,3,42.9,0.668,6
6.377,35.5,9.7,3,48.4,0.617,8
4.658,33.3,11.1,3,40.7,0.648,8
4.854,44.0,8.0,2,32.0,0.699,11
6.959,35.7,10.7,3,46.4,0.629,8
6.509,36.0,12.0,3,44.0,0.643,8
4.387,35.0,10.0,2,40.0,0.638,7
4.0,47.1,0.0,0,35.3,0.69,15
4.0,43.8,0.0,0,37.5,0.67,7
4.71,36.5,3.8,2,57.7,0.56,6
6.77,37.5,12.5,3,41.7,0.656,8
5.225,40.4,0.0,0,53.8,0.587,3
4.606,46.7,0.0,0,40.0,0.667,14
5.772,42.4,3.0,1,39.4,0.659,13
4.569,30.8,15.4,4,38.5,0.636,8
6.009,37.5,0.0,0,56.3,0.568,6
4.939,29.2,12.5,3,54.2,0.579,4
4.577,36.4,0.0,0,42.4,0.627,8
4.008,37.9,0.0,0,41.4,0.636,8
6.638,21.4,21.4,3,50.0,0.593,2
6.824,38.5,0.0,0,53.8,0.581,6
4.821,30.4,13.0,3,47.8,0.612,3
6.699,23.5,17.6,3,52.9,0.578,2
4.284,42.6,0.0,0,42.6,0.644,13
5.306,33.3,8.3,2,50.0,0.607,2
6.251,41.0,0.0,0,52.5,0.595,16
6.553,25.0,15.0,3,55.0,0.568,2
4.101,35.0,0.0,0,45.0,0.611,8
6.092,42.0,0.0,0,48.0,0.618,14
4.126,38.5,0.0,0,38.5,0.651,8
4.881,40.5,0.0,0,54.1,0.586,18
6.071,31.8,13.6,3,50.0,0.607,5
6.208,25.0,15.0,3,55.0,0.568,2
6.453,42.6,0.0,0,51.1,0.606,14
4.747,40.0,0.0,0,53.3,0.588,16
6.046,42.1,0.0,0,52.6,0.597,6
2.62,52.0,4.0,1,36.0,0.721,13
4.17,34.9,0.0,0,46.5,0.604,8
4.44,40.0,0.0,0,40.0,0.648,8
4.095,39.3,0.0,0,42.9,0.633,8
4.228,36.1,0.0,0,44.4,0.617,8
7.134,41.7,0.0,0,50.0,0.608,7
6.77,28.6,14.3,3,52.4,0.589,2
4.167,46.7,0.0,0,40.0,0.667,26
4.409,46.7,0.0,0,40.0,0.667,26
6.137,36.4,0.0,0,45.5,0.613,12
5.796,38.8,0.0,0,44.9,0.623,12
6.367,38.8,0.0,0,44.9,0.623,12
6.432,43.8,0.0,0,43.8,0.642,12
4.509,46.9,0.0,0,31.3,0.707,15
7.066,23.5,17.6,3,52.9,0.578,2
6.0,27.8,16.7,3,50.0,0.602,4
4.699,47.4,0.0,0,28.9,0.719,36
6.022,29.2,12.5,3,54.2,0.579,2
4.454,42.9,0.0,0,42.9,0.644,6
4.363,44.1,0.0,0,41.2,0.655,13
4.33,41.2,0.0,0,47.1,0.62,6
4.703,43.5,0.0,0,43.5,0.663,9
4.65,40.0,0.0,0,40.0,0.672,7
4.44,43.5,0.0,0,43.5,0.663,9
4.502,39.1,0.0,0,43.5,0.651,7
4.301,37.3,3.0,2,38.8,0.654,15
4.148,44.1,0.0,0,41.2,0.655,13
4.784,46.2,0.0,0,38.5,0.709,12
4.074,44.1,0.0,0,41.2,0.655,13
3.149,38.0,8.0,4,44.0,0.628,14
3.509,41.5,12.2,5,41.5,0.651,13
5.097,43.5,4.3,2,43.5,0.644,17
6.187,34.3,3.0,3,43.4,0.623,15
5.467,34.9,4.8,3,42.9,0.63,12
6.387,34.9,4.8,3,42.9,0.63,12
6.523,37.5,4.2,1,45.8,0.617,7
4.438,45.3,4.0,3,38.7,0.678,29
4.277,46.2,3.3,3,38.5,0.679,36
5.442,32.6,7.0,3,44.2,0.622,8
6.509,34.9,4.8,3,42.9,0.63,12
5.996,35.0,25.0,5,35.0,0.691,7
4.848,41.2,17.6,3,29.4,0.735,7
4.896,40.0,5.0,2,40.0,0.65,13
4.109,39.0,4.9,2,43.9,0.642,11
4.546,40.0,5.7,2,40.0,0.664,11
4.332,33.3,0.0,0,45.5,0.619,7
4.123,40.0,5.7,2,40.0,0.651,11
4.466,38.1,4.8,2,42.9,0.643,11
5.529,32.6,7.0,3,44.2,0.622,8
4.342,38.6,4.5,2,45.5,0.622,11
4.155,40.7,7.4,2,37.0,0.685,9
4.0,44.7,5.3,2,47.4,0.643,13
5.284,48.4,6.5,2,38.7,0.711,14
5.17,48.4,6.5,2,38.7,0.696,14
4.0,44.2,0.0,0,51.2,0.61,13
5.721,30.4,17.4,4,34.8,0.693,4
5.439,46.9,6.3,2,37.5,0.697,14
4.0,44.4,0.0,0,48.9,0.621,15
6.31,29.4,23.5,4,23.5,0.814,4
4.0,41.7,0.0,0,50.0,0.608,13
4.733,42.1,10.5,2,31.6,0.722,8
6.276,35.0,5.0,2,50.0,0.644,8
6.721,42.1,10.5,2,31.6,0.747,8
4.0,42.2,0.0,0,53.3,0.594,12
5.607,41.2,17.6,3,29.4,0.763,7
5.883,44.4,11.1,2,33.3,0.748,8
5.87,46.9,6.3,2,37.5,0.697,14
5.355,29.4,23.5,4,23.5,0.758,4
4.0,46.9,0.0,0,37.5,0.679,13
4.0,42.9,0.0,0,47.6,0.622,7
4.0,45.5,0.0,0,36.4,0.68,13
