pXC50,nC,nSK,MW,Sv,SCBO,Sp,nBO,Se,nO,N.,nAB,O.,nBM,nCsp2,Si,nHet,nAT,nBT,nH,nS,nCL,nDB,RBN,AMW,C.,H.,Me,Mi
6.387,15,21,296.38,23.095,32.5,24.171,23,33.345,1,12.1,17,3.0,18,15,36.783,6,33,35,12,1,0,1,3,8.981,45.5,36.4,1.01,1.115
6.066,17,21,277.35,23.94,32.5,25.04,23,35.934,1,8.3,17,2.8,18,16,40.196,4,36,38,15,0,0,1,4,7.704,47.2,41.7,0.998,1.117
5.0,20,27,370.5,32.025,36.5,33.762,29,53.109,3,7.5,11,5.7,13,11,60.189,7,53,55,26,0,0,2,5,6.991,37.7,49.1,1.002,1.136
8.097,16,21,281.31,22.796,32.5,23.216,23,33.563,1,9.1,17,3.0,18,16,37.12,5,33,35,12,0,0,1,3,8.525,48.5,36.4,1.017,1.125
7.638,16,21,281.31,22.796,32.5,23.216,23,33.563,1,9.1,17,3.0,18,16,37.12,5,33,35,12,0,0,1,3,8.525,48.5,36.4,1.017,1.125
7.854,16,21,281.31,22.796,32.5,23.216,23,33.563,1,9.1,17,3.0,18,16,37.12,5,33,35,12,0,0,1,3,8.525,48.5,36.4,1.017,1.125
7.252,16,21,342.21,23.438,32.5,24.631,23,33.28,1,9.1,17,3.0,18,16,36.622,5,33,35,12,0,0,1,3,10.37,48.5,36.4,1.008,1.11
7.137,16,21,342.21,23.438,32.5,24.631,23,33.28,1,9.1,17,3.0,18,16,36.622,5,33,35,12,0,0,1,3,10.37,48.5,36.4,1.008,1.11
6.79,17,21,277.35,23.94,32.5,25.04,23,35.934,1,8.3,17,2.8,18,16,40.196,4,36,38,15,0,0,1,3,7.704,47.2,41.7,0.998,1.117
7.222,17,21,277.35,23.94,32.5,25.04,23,35.934,1,8.3,17,2.8,18,16,40.196,4,36,38,15,0,0,1,3,7.704,47.2,41.7,0.998,1.117
7.658,15,21,279.33,22.929,32.5,23.529,23,34.371,1,14.7,17,2.9,18,15,38.362,6,34,36,13,0,0,1,3,8.216,44.1,38.2,1.011,1.128
7.276,21,27,355.43,29.983,42.5,31.051,30,44.138,1,11.4,23,2.3,24,21,49.192,6,44,47,17,0,0,1,5,8.078,47.7,38.6,1.003,1.118
6.9,17,22,293.35,24.655,33.5,25.495,24,37.262,2,8.1,17,5.4,18,16,41.405,5,37,39,15,0,0,1,4,7.928,45.9,40.5,1.007,1.119
7.237,17,22,293.35,24.655,33.5,25.495,24,37.262,2,8.1,17,5.4,18,16,41.405,5,37,39,15,0,0,1,4,7.928,45.9,40.5,1.007,1.119
7.638,17,22,293.35,24.655,33.5,25.495,24,37.262,2,8.1,17,5.4,18,16,41.405,5,37,39,15,0,0,1,4,7.928,45.9,40.5,1.007,1.119
7.409,16,23,308.32,24.337,36.5,24.432,25,35.924,3,11.4,17,8.6,20,16,39.282,7,35,37,12,0,0,3,4,8.809,45.7,34.3,1.026,1.122
7.357,16,23,308.32,24.337,36.5,24.432,25,35.924,3,11.4,17,8.6,20,16,39.282,7,35,37,12,0,0,3,4,8.809,45.7,34.3,1.026,1.122
6.932,16,23,308.32,24.337,36.5,24.432,25,35.924,3,11.4,17,8.6,20,16,39.282,7,35,37,12,0,0,3,4,8.809,45.7,34.3,1.026,1.122
6.883,17,22,288.33,23.908,35.5,24.523,24,34.269,1,11.8,17,2.9,19,16,37.863,5,34,36,12,0,0,1,3,8.48,50.0,35.3,1.008,1.114
6.666,17,22,288.33,23.908,35.5,24.523,24,34.269,1,11.8,17,2.9,19,16,37.863,5,34,36,12,0,0,1,3,8.48,50.0,35.3,1.008,1.114
7.046,18,25,332.4,27.477,39.5,28.296,28,41.356,1,14.6,21,2.4,22,17,46.275,7,41,44,16,0,0,1,3,8.107,43.9,39.0,1.009,1.129
7.167,18,25,332.4,27.477,39.5,28.296,28,41.356,1,14.6,21,2.4,22,17,46.275,7,41,44,16,0,0,1,3,8.107,43.9,39.0,1.009,1.129
7.284,15,22,405.22,24.246,33.5,26.188,24,34.44,1,14.7,17,2.9,18,15,38.082,7,34,36,12,0,0,1,3,11.918,44.1,35.3,1.013,1.12
5.941,17,23,305.37,25.456,35.5,26.29,25,38.254,1,13.2,17,2.6,19,17,42.777,6,38,40,15,0,0,2,4,8.036,44.7,39.5,1.007,1.126
7.42,15,22,313.77,23.757,33.5,24.387,24,34.694,1,14.7,17,2.9,18,15,38.306,7,34,36,12,0,1,1,3,9.229,44.1,35.3,1.02,1.127
5.0,16,22,293.36,24.456,33.5,25.29,24,37.254,1,13.5,17,2.7,18,15,41.777,6,37,39,15,0,0,1,3,7.929,43.2,40.5,1.007,1.129
5.0,18,24,321.42,27.509,35.5,28.813,26,43.022,1,11.6,17,2.3,18,15,48.607,6,43,45,19,0,0,1,4,7.475,41.9,44.2,1.001,1.13
5.0,22,28,369.46,31.509,43.5,32.813,31,47.022,1,10.6,23,2.1,24,21,52.607,6,47,50,19,0,0,1,5,7.861,46.8,40.4,1.0,1.119
6.854,16,22,293.36,24.456,33.5,25.29,24,37.254,1,13.5,17,2.7,18,15,41.777,6,37,39,15,0,0,1,3,7.929,43.2,40.5,1.007,1.129
7.398,17,23,307.39,25.983,34.5,27.051,25,40.138,1,12.5,17,2.5,18,15,45.192,6,40,42,17,0,0,1,4,7.685,42.5,42.5,1.003,1.13
7.444,17,26,361.36,27.133,37.5,26.864,28,41.676,1,12.5,17,2.5,18,15,46.211,9,40,42,14,0,0,1,4,9.034,42.5,35.0,1.042,1.155
6.341,17,24,323.39,26.697,35.5,27.506,26,41.465,2,12.2,17,4.9,18,15,46.402,7,41,43,17,0,0,1,5,7.888,41.5,41.5,1.011,1.132
6.276,17,24,322.41,27.004,35.5,28.057,26,42.24,1,14.3,17,2.4,18,15,47.69,7,42,44,18,0,0,1,5,7.676,40.5,42.9,1.006,1.135
6.101,18,25,336.44,28.531,36.5,29.819,27,45.123,1,13.3,17,2.2,18,15,51.106,7,45,47,20,0,0,1,6,7.476,40.0,44.4,1.003,1.136
6.385,14,21,280.32,22.424,32.5,22.773,23,33.589,1,18.2,17,3.0,18,14,37.445,7,33,35,12,0,0,1,3,8.495,42.4,36.4,1.018,1.135
6.488,19,25,329.39,27.456,40.0,28.29,28,40.254,1,12.5,22,2.5,23,19,44.777,6,40,43,15,0,0,1,3,8.235,47.5,37.5,1.006,1.119
6.57,19,25,329.39,27.456,40.0,28.29,28,40.254,1,12.5,22,2.5,23,19,44.777,6,40,43,15,0,0,1,3,8.235,47.5,37.5,1.006,1.119
6.182,17,24,319.35,25.644,38.5,25.983,27,37.698,2,13.5,21,5.4,22,17,41.571,7,37,40,13,0,0,1,3,8.631,45.9,35.1,1.019,1.124
6.943,17,24,335.42,26.116,38.5,27.176,27,37.447,1,13.5,21,2.7,22,17,41.282,7,37,40,13,1,0,1,3,9.065,45.9,35.1,1.012,1.116
7.167,17,24,335.42,26.116,38.5,27.176,27,37.447,1,13.5,21,2.7,22,17,41.282,7,37,40,13,1,0,1,3,9.065,45.9,35.1,1.012,1.116
7.086,17,24,335.42,26.116,38.5,27.176,27,37.447,1,13.5,21,2.7,22,17,41.282,7,37,40,13,1,0,1,3,9.065,45.9,35.1,1.012,1.116
7.745,15,22,297.32,23.312,33.5,23.466,24,34.883,1,14.7,17,2.9,18,15,38.701,7,34,36,12,0,0,1,3,8.745,44.1,35.3,1.026,1.138
6.866,16,21,278.34,23.434,32.5,24.284,23,35.153,1,11.4,17,2.9,18,16,39.279,5,35,37,14,0,0,1,3,7.953,45.7,40.0,1.004,1.122
8.097,16,21,281.31,22.796,32.5,23.216,23,33.563,1,9.1,17,3.0,18,16,37.12,5,33,35,12,0,0,1,3,8.525,48.5,36.4,1.017,1.125
8.301,15,22,313.77,23.757,33.5,24.387,24,34.694,1,14.7,17,2.9,18,15,38.306,7,34,36,12,0,1,1,3,9.229,44.1,35.3,1.02,1.127
8.699,15,22,358.22,23.954,33.5,24.881,24,34.6,1,14.7,17,2.9,18,15,38.203,7,34,36,12,0,0,1,3,10.536,44.1,35.3,1.018,1.124
5.9,21,32,464.86,33.422,45.0,33.148,34,50.32,3,8.3,18,6.3,20,19,54.906,11,48,50,16,0,1,2,5,9.685,43.8,33.3,1.048,1.144
5.6,19,24,315.41,27.268,38.0,28.597,27,40.811,0,12.2,22,0.0,22,17,45.983,5,41,44,17,0,0,0,4,7.693,46.3,41.5,0.995,1.122
5.9,15,22,332.84,24.449,32.5,25.79,24,35.553,1,11.4,17,2.9,17,13,39.143,7,35,37,13,1,1,0,4,9.51,42.9,37.1,1.016,1.118
5.9,22,33,488.07,37.862,45.5,40.068,36,59.603,2,11.9,17,3.4,18,14,66.923,11,59,62,26,1,1,1,7,8.272,37.3,44.1,1.01,1.134
5.9,17,21,275.33,23.413,34.0,24.279,24,34.051,1,8.8,16,2.9,18,16,37.78,4,34,37,13,0,0,2,1,8.098,50.0,38.2,1.001,1.111
5.9,20,29,415.89,31.962,41.5,32.824,32,49.069,2,10.4,17,4.2,18,14,54.516,9,48,51,19,0,1,1,4,8.664,41.7,39.6,1.022,1.136
5.9,20,30,416.39,31.068,43.0,30.529,34,47.112,3,8.9,12,6.7,15,15,51.547,10,45,49,15,0,0,3,3,9.253,44.4,33.3,1.047,1.145
7.2,16,21,275.34,23.214,34.5,24.074,24,34.043,0,14.7,21,0.0,21,15,38.152,5,34,37,13,0,0,0,3,8.098,47.1,38.2,1.001,1.122
7.9,16,22,290.36,24.236,35.5,25.08,25,36.145,0,16.7,21,0.0,21,15,40.651,6,36,39,14,0,0,0,3,8.066,44.4,38.9,1.004,1.129
7.5,17,22,290.35,24.434,35.5,25.284,25,36.153,1,11.1,21,2.8,21,16,40.279,5,36,39,14,0,0,0,3,8.065,47.2,38.9,1.004,1.119
6.4,13,18,235.27,19.161,31.0,19.551,21,27.276,0,18.5,20,0.0,20,13,30.322,5,27,30,9,0,0,0,1,8.714,48.1,33.3,1.01,1.123
5.9,16,21,292.39,23.38,34.5,24.716,24,33.018,0,12.1,21,0.0,21,16,36.574,5,33,36,12,1,0,0,3,8.86,48.5,36.4,1.001,1.108
5.9,17,22,306.42,24.907,35.5,26.478,25,35.902,0,11.1,21,0.0,21,16,39.989,5,36,39,14,1,0,0,4,8.512,47.2,38.9,0.997,1.111
6.3,19,25,332.45,28.816,39.0,30.364,29,44.796,0,13.3,20,0.0,20,13,50.896,6,45,49,20,0,0,0,3,7.388,42.2,44.4,0.995,1.131
6.9,16,22,292.38,24.762,35.0,25.841,25,38.029,0,15.8,20,0.0,20,13,43.066,6,38,41,16,0,0,0,3,7.694,42.1,42.1,1.001,1.133
8.0,17,23,306.41,26.289,36.0,27.603,26,40.912,0,14.6,20,0.0,20,13,46.481,6,41,44,18,0,0,0,5,7.473,41.5,43.9,0.998,1.134
5.9,22,29,391.49,32.946,43.5,34.273,33,51.301,1,9.8,21,2.0,21,16,57.777,7,51,55,22,0,0,0,5,7.676,43.1,43.1,1.006,1.133
5.9,21,26,361.47,29.322,40.5,30.932,29,42.08,0,7.1,23,0.0,23,20,46.661,5,42,45,16,1,0,0,4,8.606,50.0,38.1,1.002,1.111
5.9,21,30,450.38,34.128,41.5,35.75,33,52.832,1,9.6,17,1.9,17,14,59.081,9,52,55,22,0,2,0,5,8.661,40.4,42.3,1.016,1.136
5.9,23,28,371.47,32.235,42.0,33.779,31,48.912,2,6.1,18,4.1,20,20,54.651,5,49,52,21,0,0,2,3,7.581,46.9,42.9,0.998,1.115
5.9,23,28,371.47,32.235,42.0,33.779,31,48.912,2,6.1,18,4.1,20,20,54.651,5,49,52,21,0,0,2,3,7.581,46.9,42.9,0.998,1.115
5.9,22,27,357.44,30.708,41.0,32.017,30,46.029,2,6.5,18,4.3,20,20,51.235,5,46,49,19,0,0,2,3,7.77,47.8,41.3,1.001,1.114
5.0,22,34,475.53,36.997,46.5,37.375,37,59.741,2,12.1,17,3.4,18,15,67.078,12,58,61,24,0,0,1,6,8.199,37.9,41.4,1.03,1.157
5.0,24,36,501.57,39.524,49.5,40.137,40,63.625,2,11.3,17,3.2,18,15,71.493,12,62,66,26,0,0,1,5,8.09,38.7,41.9,1.026,1.153
6.6,16,20,269.38,23.993,28.0,25.563,22,38.702,1,7.7,6,2.6,9,10,44.026,4,39,41,19,0,0,3,3,6.907,41.0,48.7,0.992,1.129
8.6,15,20,270.37,23.488,28.0,24.807,22,37.92,1,10.5,6,2.6,9,9,43.109,5,38,40,18,0,0,3,3,7.115,39.5,47.4,0.998,1.134
9.553,18,23,308.42,27.015,34.0,28.569,26,42.803,1,9.3,10,2.3,13,12,48.524,5,43,46,20,0,0,3,3,7.173,41.9,46.5,0.995,1.128
5.9,20,27,375.49,30.17,42.0,31.699,30,44.214,1,11.4,22,2.3,23,19,49.112,7,44,47,17,1,0,1,3,8.534,45.5,38.6,1.005,1.116
7.3,25,33,432.53,36.332,54.0,37.614,38,53.116,0,15.1,32,0.0,32,23,59.478,8,53,58,20,0,0,0,6,8.161,47.2,37.7,1.002,1.122
8.2,17,23,307.39,25.983,34.5,27.051,25,40.138,1,12.5,17,2.5,18,15,45.192,6,40,42,17,0,0,1,3,7.685,42.5,42.5,1.003,1.13
8.699,15,21,302.79,23.789,31.0,24.904,23,36.36,1,11.1,16,2.8,16,12,40.638,6,36,38,15,0,1,0,5,8.411,41.7,41.7,1.01,1.129
5.9,18,29,411.34,28.568,42.5,27.222,32,42.887,0,12.5,21,0.0,21,15,47.021,11,40,43,11,0,0,0,3,10.283,45.0,27.5,1.072,1.176
5.9,17,25,346.34,26.111,36.5,25.858,27,39.574,1,10.5,17,2.6,18,15,43.713,8,38,40,13,0,0,1,2,9.114,44.7,34.2,1.041,1.15
9.9,18,26,352.38,28.106,38.0,28.409,28,43.018,4,9.5,18,9.5,19,17,47.322,8,42,44,16,0,0,1,6,8.39,42.9,38.1,1.024,1.127
5.9,11,19,278.32,19.998,28.5,20.318,20,30.116,3,13.8,11,10.3,14,10,32.787,8,29,30,10,1,0,3,4,9.597,37.9,34.5,1.038,1.131
6.7,17,23,308.43,26.816,34.0,28.364,26,42.796,0,14.0,16,0.0,16,11,48.896,6,43,46,20,0,0,0,4,7.173,39.5,46.5,0.995,1.137
5.9,23,30,415.56,34.223,46.0,36.222,34,50.982,1,9.8,22,2.0,23,19,56.943,7,51,55,21,1,0,1,2,8.148,45.1,41.2,1.0,1.117
5.9,21,31,426.44,32.681,46.0,32.631,34,49.661,1,12.5,22,2.1,23,19,55.125,10,48,51,17,0,0,1,3,8.884,43.8,35.4,1.035,1.148
5.9,14,20,288.32,21.15,31.0,21.551,22,29.982,2,6.9,16,6.9,17,14,32.336,6,29,31,9,1,0,1,3,9.942,48.3,31.0,1.034,1.115
5.9,17,24,343.44,27.083,36.5,28.358,26,41.549,3,7.3,17,7.3,19,14,45.95,7,41,43,17,1,0,2,6,8.377,41.5,41.5,1.013,1.121
5.9,21,27,362.47,31.256,40.0,32.784,30,49.014,2,8.2,16,4.1,18,16,55.149,6,49,52,22,0,0,2,4,7.397,42.9,44.9,1.0,1.125
6.2,17,24,379.28,26.475,36.0,27.852,26,36.884,2,5.6,16,5.6,18,16,39.715,7,36,38,12,1,2,2,3,10.536,47.2,33.3,1.025,1.103
5.9,22,29,405.54,32.892,45.5,34.705,33,49.167,0,10.2,25,0.0,25,18,55.073,7,49,53,20,1,0,0,4,8.276,44.9,40.8,1.003,1.124
5.9,21,30,418.52,32.906,46.0,34.159,33,48.643,2,12.5,22,4.2,24,20,53.82,9,48,51,18,1,0,2,4,8.719,43.8,37.5,1.013,1.121
5.9,24,32,444.52,34.773,50.5,35.847,36,49.836,2,8.2,27,4.1,28,24,54.578,8,49,53,17,1,0,1,4,9.072,49.0,34.7,1.017,1.114
5.9,21,30,408.45,32.297,45.0,32.694,34,49.149,1,12.5,22,2.1,22,16,54.785,9,48,52,18,0,0,0,5,8.509,43.8,37.5,1.024,1.141
6.6,20,28,375.48,31.552,42.5,32.824,31,49.225,1,14.3,21,2.0,22,16,55.604,8,49,52,21,0,0,1,6,7.663,40.8,42.9,1.005,1.135
9.699,15,23,348.21,24.584,34.5,25.244,25,35.018,1,14.7,17,2.9,18,15,38.25,8,34,36,11,0,2,1,3,10.241,44.1,32.4,1.03,1.125
8.5,19,26,370.93,30.697,37.0,32.745,29,48.887,0,12.2,16,0.0,16,11,55.671,7,49,52,23,0,1,0,4,7.57,38.8,46.9,0.998,1.136
7.7,23,32,442.48,34.933,46.0,35.358,35,54.436,2,7.5,22,3.8,22,18,60.583,9,53,56,21,0,0,0,7,8.349,43.4,39.6,1.027,1.143
5.9,22,28,376.5,32.783,41.0,34.546,31,51.898,2,7.7,16,3.8,18,16,58.564,6,52,55,24,0,0,2,4,7.24,42.3,46.2,0.998,1.126
5.9,24,31,427.57,35.223,48.0,37.222,34,51.982,1,9.6,22,1.9,24,20,57.943,7,52,55,21,1,0,1,3,8.222,46.2,40.4,1.0,1.114
7.9,19,27,369.38,28.418,41.0,28.409,30,42.349,0,12.2,22,0.0,22,17,47.002,8,41,44,14,0,0,0,4,9.009,46.3,34.1,1.033,1.146
9.1,23,31,412.46,33.387,49.5,33.995,35,48.752,1,12.5,27,2.1,28,22,54.03,8,48,52,17,0,0,1,5,8.593,47.9,35.4,1.016,1.126
5.9,24,34,477.59,37.894,51.0,39.347,37,57.847,4,8.8,18,7.0,23,21,63.986,10,57,60,23,1,0,5,8,8.379,42.1,40.4,1.015,1.123
7.3,14,19,256.34,21.961,28.5,23.046,21,35.036,1,11.4,15,2.9,15,10,39.694,5,35,37,16,0,0,0,3,7.324,40.0,45.7,1.001,1.134
5.9,24,32,444.52,34.773,50.5,35.847,36,49.836,2,8.2,27,4.1,28,24,54.578,8,49,53,17,1,0,1,4,9.072,49.0,34.7,1.017,1.114
5.4,16,22,298.38,25.203,31.0,26.262,24,40.247,2,10.0,12,5.0,13,11,45.318,6,40,42,18,0,0,1,4,7.459,40.0,45.0,1.006,1.133
8.3,17,23,308.43,26.816,34.0,28.364,26,42.796,0,14.0,16,0.0,16,11,48.896,6,43,46,20,0,0,0,3,7.173,39.5,46.5,0.995,1.137
5.9,19,24,325.42,27.904,34.5,29.262,27,44.098,1,6.8,11,2.3,13,12,49.781,5,44,47,20,0,0,2,1,7.396,43.2,45.5,1.002,1.131
5.9,21,28,411.94,31.723,41.0,33.523,30,46.429,2,6.5,18,4.3,20,20,51.099,7,46,48,18,1,1,2,5,8.955,45.7,39.1,1.009,1.111
7.9,16,23,323.41,25.116,36.0,26.176,27,36.447,1,13.9,16,2.8,17,12,40.282,7,36,40,13,1,0,1,1,8.984,44.4,36.1,1.012,1.119
5.9,16,25,350.3,24.968,36.5,24.034,27,37.203,1,11.4,17,2.9,18,15,40.637,9,35,37,10,0,0,1,2,10.009,45.7,28.6,1.063,1.161
5.9,19,25,367.88,27.954,39.5,29.546,28,39.334,1,7.7,21,2.6,22,18,43.06,6,39,42,14,1,1,1,4,9.433,48.7,35.9,1.009,1.104
5.9,25,33,454.6,37.245,51.5,39.228,37,55.083,1,10.9,27,1.8,28,23,61.441,8,55,59,22,1,0,1,4,8.265,45.5,40.0,1.002,1.117
5.9,24,30,398.5,34.256,46.0,35.784,34,52.014,2,7.7,22,3.8,23,20,58.149,6,52,56,22,0,0,1,6,7.663,46.2,42.3,1.0,1.118
5.9,19,26,361.46,28.643,41.0,29.938,29,41.331,1,12.2,22,2.4,23,19,45.697,7,41,44,15,1,0,1,3,8.816,46.3,36.6,1.008,1.115
5.9,28,36,497.67,41.518,56.0,43.961,40,62.96,2,7.9,28,3.2,30,24,70.398,8,63,67,27,1,0,2,7,7.9,44.4,42.9,0.999,1.117
5.9,27,38,522.73,45.218,50.0,47.83,42,76.05,3,10.5,12,3.9,14,12,86.843,11,76,80,38,0,0,2,7,6.878,35.5,50.0,1.001,1.143
5.9,14,19,254.32,21.434,29.5,22.284,21,33.153,1,12.1,15,3.0,16,11,37.279,5,33,35,14,0,0,1,3,7.707,42.4,42.4,1.005,1.13
9.2,19,25,358.91,29.896,35.0,31.949,27,47.894,1,8.3,16,2.1,16,12,54.299,6,48,50,23,0,1,0,7,7.477,39.6,47.9,0.998,1.131
7.2,16,24,346.45,27.105,36.0,28.364,26,42.651,3,9.5,16,7.1,18,12,47.448,8,42,44,18,1,0,2,6,8.249,38.1,42.9,1.015,1.13
5.9,27,38,529.65,41.891,57.5,43.387,42,62.909,2,11.3,27,3.2,29,24,69.903,11,62,66,24,1,0,2,6,8.543,43.5,38.7,1.015,1.127
6.0,24,33,451.61,38.569,45.0,40.569,37,63.156,1,11.1,12,1.6,14,13,72.02,9,63,67,30,0,0,2,6,7.168,38.1,47.6,1.002,1.143
7.0,15,20,268.35,22.961,30.0,24.046,22,36.036,1,11.1,16,2.8,16,12,40.694,5,36,38,16,0,0,0,4,7.454,41.7,44.4,1.001,1.13
5.7,17,23,308.43,26.816,34.0,28.364,26,42.796,0,14.0,16,0.0,16,11,48.896,6,43,46,20,0,0,0,4,7.173,39.5,46.5,0.995,1.137
5.9,22,30,408.53,34.494,43.5,36.04,33,55.287,1,10.9,21,1.8,21,15,62.691,8,55,58,25,0,0,0,7,7.428,40.0,45.5,1.005,1.14
7.2,12,19,269.31,19.536,31.0,19.892,22,26.796,1,19.2,16,3.8,17,12,29.036,7,26,29,7,1,0,1,1,10.358,46.2,26.9,1.031,1.117
5.9,28,38,521.74,45.723,50.0,48.586,42,76.832,3,9.1,12,3.9,14,12,87.76,10,77,81,39,0,0,2,7,6.776,36.4,50.6,0.998,1.14
5.9,23,30,415.56,34.223,46.0,36.222,34,50.982,1,9.8,22,2.0,23,19,56.943,7,51,55,21,1,0,1,3,8.148,45.1,41.2,1.0,1.117
8.2,15,20,267.37,23.268,30.0,24.597,22,36.811,0,13.5,16,0.0,16,11,41.983,5,37,39,17,0,0,0,5,7.226,40.5,45.9,0.995,1.135
5.9,19,26,380.53,29.335,41.0,31.341,29,42.189,1,9.5,20,2.4,22,17,46.534,7,42,45,16,2,0,2,3,9.06,45.2,38.1,1.004,1.108
5.9,31,40,535.71,46.428,59.5,48.847,45,72.854,2,9.6,27,2.7,28,22,82.305,9,73,78,33,0,0,1,10,7.338,42.5,45.2,0.998,1.127
