pXC50,nAB,nCsp2,nS,nBM,Mp,AMW,Mi,Sv,nCsp3,Si,nH,Mv,H.,nN,nDB,Sp,nC,nAT,nBT,Se,C.,Me,MW,N.,nB,nBO,nBR,nCL,nCsp,nF
7.409,17,14,0,17,0.653,7.379,1.135,28.751,4,52.232,21,0.625,45.7,5,0,30.029,18,46,48,46.232,39.1,1.005,339.44,10.9,0,27,0,0,0,0
6.77,17,14,0,17,0.657,7.568,1.135,27.224,3,48.817,19,0.633,44.2,5,0,28.267,17,43,45,43.349,39.5,1.008,325.41,11.6,0,26,0,0,0,0
7.081,17,14,0,18,0.718,9.673,1.132,27.132,2,44.163,14,0.696,35.9,6,1,28.012,16,39,41,40.004,41.0,1.026,377.26,15.4,0,27,0,2,0,0
6.721,17,14,0,17,0.649,7.563,1.137,29.466,4,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
6.921,17,14,0,17,0.657,7.568,1.135,27.224,3,48.817,19,0.633,44.2,5,0,28.267,17,43,45,43.349,39.5,1.008,325.41,11.6,0,26,0,0,0,0
6.796,17,14,0,17,0.657,7.568,1.135,27.224,3,48.817,19,0.633,44.2,5,0,28.267,17,43,45,43.349,39.5,1.008,325.41,11.6,0,26,0,0,0,0
7.77,17,14,0,17,0.645,7.389,1.137,30.993,5,56.857,23,0.62,46.0,5,0,32.245,19,50,52,50.443,38.0,1.009,369.47,10.0,0,29,0,0,0,0
5.218,17,14,0,17,0.645,7.389,1.137,30.993,5,56.857,23,0.62,46.0,5,0,32.245,19,50,52,50.443,38.0,1.009,369.47,10.0,0,29,0,0,0,0
7.921,12,10,0,13,0.639,7.099,1.137,34.046,9,63.687,27,0.608,48.2,5,0,35.767,21,56,58,56.211,37.5,1.004,397.53,8.9,0,31,0,0,2,0
7.569,12,10,0,12,0.654,6.87,1.135,26.321,7,48.813,21,0.612,48.8,5,0,28.12,17,43,46,42.578,39.5,0.99,295.43,11.6,0,25,0,0,0,0
6.854,12,10,0,12,0.629,6.745,1.141,31.331,9,60.478,27,0.591,50.9,5,0,33.313,19,53,55,52.883,35.8,0.998,357.51,9.4,0,28,0,0,0,0
6.959,12,10,0,12,0.694,8.674,1.136,25.45,5,44.286,17,0.653,43.6,5,0,27.074,15,39,41,39.342,38.5,1.009,338.27,12.8,0,24,0,2,0,0
7.444,17,14,0,17,0.669,7.099,1.129,28.321,5,50.813,21,0.629,46.7,5,0,30.12,19,45,48,44.578,42.2,0.991,319.45,11.1,0,27,0,0,0,0
7.013,12,10,0,12,0.694,8.674,1.136,25.45,5,44.286,17,0.653,43.6,5,0,27.074,15,39,41,39.342,38.5,1.009,338.27,12.8,0,24,0,2,0,0
7.638,17,14,0,17,0.664,6.947,1.13,29.848,6,54.228,23,0.622,47.9,5,0,31.881,20,48,51,47.461,41.7,0.989,333.48,10.4,0,28,0,0,0,0
7.678,12,10,0,12,0.687,8.388,1.136,26.976,6,47.701,19,0.642,45.2,5,0,28.836,16,42,44,42.225,38.1,1.005,352.3,11.9,0,25,0,2,0,0
7.77,12,10,0,12,0.629,6.745,1.141,31.331,9,60.478,27,0.591,50.9,5,0,33.313,19,53,55,52.883,35.8,0.998,357.51,9.4,0,28,0,0,0,0
7.824,12,10,0,12,0.631,6.87,1.141,29.805,8,57.062,25,0.596,50.0,5,0,31.552,18,50,52,50.0,36.0,1.0,343.48,10.0,0,27,0,0,0,0
7.108,12,10,0,12,0.672,7.791,1.137,24.622,5,44.342,18,0.631,46.2,5,0,26.216,15,39,41,39.018,38.5,1.0,303.83,12.8,0,23,0,1,0,0
4.0,16,12,1,16,0.713,10.258,1.129,26.91,3,45.163,16,0.673,40.0,5,0,28.506,15,40,42,40.771,37.5,1.019,410.33,12.5,0,26,1,0,0,0
6.481,12,10,0,12,0.623,6.799,1.142,33.573,10,65.102,29,0.589,50.9,5,0,35.529,20,57,59,57.094,35.1,1.002,387.54,8.8,0,30,0,0,0,0
6.796,21,16,1,21,0.723,8.459,1.118,25.928,1,42.488,15,0.682,39.5,5,0,27.483,17,38,41,38.003,44.7,1.0,321.44,13.2,0,26,0,0,0,0
7.658,12,10,0,12,0.666,7.568,1.137,26.149,6,47.757,20,0.623,47.6,5,0,27.978,16,42,44,41.902,38.1,0.998,317.86,11.9,0,24,0,1,0,0
8.155,12,10,0,12,0.625,6.917,1.142,32.046,9,61.687,27,0.593,50.0,5,0,33.767,19,54,56,54.211,35.2,1.004,373.51,9.3,0,29,0,0,0,0
7.523,12,10,0,12,0.685,8.93,1.134,24.82,5,44.24,18,0.636,46.2,5,0,26.711,15,39,41,38.923,38.5,0.998,348.28,12.8,0,23,1,0,0,0
5.357,16,17,0,20,0.657,8.292,1.133,34.61,4,60.07,21,0.653,39.6,5,4,34.847,21,53,55,54.542,39.6,1.029,439.47,9.4,0,34,0,0,0,0
5.57,16,12,1,16,0.693,8.372,1.13,23.643,2,40.697,15,0.657,41.7,5,0,24.938,14,36,38,36.331,38.9,1.009,301.41,13.9,0,23,0,0,0,0
5.321,16,12,1,16,0.693,8.372,1.13,23.643,2,40.697,15,0.657,41.7,5,0,24.938,14,36,38,36.331,38.9,1.009,301.41,13.9,0,23,0,0,0,0
4.721,22,21,0,25,0.663,7.696,1.127,43.003,7,75.521,29,0.642,43.3,5,3,44.438,28,67,70,67.749,41.8,1.011,515.62,7.5,0,41,0,0,0,0
7.347,17,13,1,17,0.711,8.806,1.126,23.116,1,38.282,13,0.68,38.2,5,0,24.176,14,34,36,34.447,41.2,1.013,299.39,14.7,0,23,0,0,0,0
8.155,17,14,0,17,0.667,8.295,1.136,30.293,4,53.385,20,0.645,42.6,5,0,31.341,18,47,49,47.883,38.3,1.019,389.88,10.6,0,29,0,1,0,0
7.721,17,13,1,17,0.695,8.669,1.129,25.358,2,42.906,15,0.667,39.5,5,0,26.392,15,38,40,38.658,39.5,1.017,329.42,13.2,0,25,0,0,0,0
7.77,17,14,0,17,0.677,8.369,1.134,28.052,3,48.761,18,0.652,41.9,5,0,29.125,17,43,45,43.673,39.5,1.016,359.85,11.6,0,27,0,1,0,0
6.081,17,13,0,17,0.715,9.25,1.135,21.536,0,35.179,11,0.695,35.5,6,0,22.176,13,31,33,31.585,41.9,1.019,286.75,19.4,0,22,0,1,0,0
7.796,17,14,0,17,0.662,8.078,1.136,31.82,5,56.801,22,0.636,44.0,5,0,33.103,19,50,52,50.767,38.0,1.015,403.91,10.0,0,30,0,1,0,0
5.959,22,17,0,22,0.705,8.172,1.126,25.236,0,41.651,14,0.682,37.8,6,0,26.08,17,37,40,37.145,45.9,1.004,302.37,16.2,0,26,0,0,0,0
5.62,17,13,0,17,0.65,7.963,1.142,27.434,3,49.109,18,0.638,41.9,6,0,27.966,16,43,45,43.894,37.2,1.021,342.4,14.0,0,27,0,0,0,0
6.0,17,14,0,17,0.666,7.917,1.135,31.105,5,55.591,22,0.635,44.9,5,0,32.648,19,49,51,49.44,38.8,1.009,387.91,10.2,0,29,0,1,0,0
6.523,17,13,0,17,0.688,8.139,1.137,20.709,0,35.235,12,0.668,38.7,6,0,21.318,13,31,33,31.262,41.9,1.008,252.31,19.4,0,21,0,0,0,0
7.839,22,17,0,22,0.696,7.91,1.127,26.762,1,45.066,16,0.669,40.0,6,0,27.841,18,40,43,40.029,45.0,1.001,316.4,15.0,0,27,0,0,0,0
8.119,17,13,0,17,0.646,7.748,1.142,28.96,4,52.524,20,0.63,43.5,6,0,29.728,17,46,48,46.778,37.0,1.017,356.43,13.0,0,28,0,0,0,0
4.699,16,12,1,16,0.682,8.524,1.129,25.578,3,44.033,16,0.656,41.0,4,0,26.602,15,39,41,39.767,38.5,1.02,332.42,10.3,0,25,0,0,0,0
6.027,17,13,1,19,0.683,9.036,1.133,26.787,2,45.325,15,0.67,37.5,5,2,27.301,15,40,42,41.313,37.5,1.033,361.42,12.5,0,27,0,0,0,0
6.337,17,13,0,17,0.672,8.067,1.139,22.95,1,39.86,14,0.656,40.0,6,0,23.534,14,35,37,35.473,40.0,1.014,282.34,17.1,0,23,0,0,0,0
8.658,17,13,0,17,0.679,7.834,1.137,22.236,1,38.651,14,0.654,41.2,6,0,23.08,14,34,36,34.145,41.2,1.004,266.34,17.6,0,22,0,0,0,0
8.066,17,13,0,17,0.666,7.799,1.139,24.477,2,43.275,16,0.644,42.1,6,0,25.296,15,38,40,38.356,39.5,1.009,296.37,15.8,0,24,0,0,0,0
5.553,17,13,0,17,0.672,8.067,1.139,22.95,1,39.86,14,0.656,40.0,6,0,23.534,14,35,37,35.473,40.0,1.014,282.34,17.1,0,23,0,0,0,0
6.137,17,13,0,17,0.66,8.009,1.141,25.192,2,44.485,16,0.646,41.0,6,0,25.75,15,39,41,39.683,38.5,1.018,312.37,15.4,0,25,0,0,0,0
5.585,17,14,0,17,0.662,8.078,1.136,31.82,5,56.801,22,0.636,44.0,5,0,33.103,19,50,52,50.767,38.0,1.015,403.91,10.0,0,30,0,1,0,0
4.854,17,14,0,17,0.658,7.886,1.136,33.347,6,60.216,24,0.629,45.3,5,0,34.864,20,53,55,53.651,37.7,1.012,417.94,9.4,0,31,0,1,0,0
6.167,17,13,0,17,0.66,8.009,1.141,25.192,2,44.485,16,0.646,41.0,6,0,25.75,15,39,41,39.683,38.5,1.018,312.37,15.4,0,25,0,0,0,0
7.387,17,13,0,17,0.655,7.771,1.14,26.719,3,47.9,18,0.636,42.9,6,0,27.512,16,42,44,42.567,38.1,1.014,326.4,14.3,0,26,0,0,0,0
5.854,17,15,0,18,0.671,7.888,1.132,26.697,2,46.402,17,0.651,41.5,5,1,27.506,17,41,43,41.465,41.5,1.011,323.39,12.2,0,26,0,0,0,0
6.31,17,13,0,17,0.646,7.748,1.142,28.96,4,52.524,20,0.63,43.5,6,0,29.728,17,46,48,46.778,37.0,1.017,356.43,13.0,0,28,0,0,0,0
6.004,17,14,0,17,0.671,8.128,1.134,29.579,4,52.176,20,0.643,43.5,5,0,30.887,18,46,48,46.556,39.1,1.012,373.88,10.9,0,28,0,1,0,0
7.237,17,13,1,17,0.711,8.806,1.126,23.116,1,38.282,13,0.68,38.2,5,0,24.176,14,34,36,34.447,41.2,1.013,299.39,14.7,0,23,0,0,0,0
5.509,16,12,1,16,0.743,9.897,1.12,21.922,1,34.727,11,0.707,35.5,4,0,23.029,13,31,33,31.669,41.9,1.022,306.8,12.9,0,22,0,1,0,0
6.699,17,13,0,17,0.649,7.563,1.137,29.466,5,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
8.046,17,13,0,17,0.643,7.56,1.142,30.487,5,55.94,22,0.622,44.9,6,0,31.489,18,49,51,49.662,36.7,1.014,370.46,12.2,0,29,0,0,0,0
6.959,23,18,1,23,0.732,8.892,1.121,29.444,1,47.069,15,0.701,35.7,7,0,30.733,19,42,46,42.323,45.2,1.008,373.48,16.7,0,31,0,0,0,0
7.125,22,17,0,22,0.661,7.045,1.134,35.418,6,64.64,27,0.621,47.4,7,0,37.654,23,57,60,56.549,40.4,0.992,401.57,12.3,0,33,0,0,0,0
7.538,23,18,0,23,0.701,8.078,1.126,29.784,2,49.564,17,0.677,38.6,7,0,30.847,20,44,48,44.131,45.5,1.003,355.44,15.9,0,31,0,0,0,0
5.824,17,15,0,18,0.684,7.929,1.129,24.456,1,41.777,15,0.661,40.5,5,1,25.29,16,37,39,37.254,43.2,1.007,293.36,13.5,0,24,0,0,0,0
6.699,17,13,0,17,0.657,7.568,1.135,27.224,4,48.817,19,0.633,44.2,5,0,28.267,17,43,45,43.349,39.5,1.008,325.41,11.6,0,26,0,0,0,0
5.854,17,15,0,18,0.66,7.854,1.134,28.939,3,51.026,19,0.643,42.2,5,1,29.722,18,45,47,45.676,40.0,1.015,353.42,11.1,0,28,0,0,0,0
6.602,17,13,0,17,0.668,7.574,1.133,24.983,3,44.192,17,0.641,43.6,5,0,26.051,16,39,41,39.138,41.0,1.004,295.38,12.8,0,24,0,0,0,0
5.959,12,10,0,12,0.634,7.01,1.141,28.278,7,53.647,23,0.602,48.9,5,0,29.79,17,47,49,47.116,36.2,1.002,329.45,10.6,0,26,0,0,0,0
7.244,17,13,0,17,0.663,7.476,1.136,28.531,5,51.106,20,0.634,44.4,6,0,29.819,18,45,48,45.123,40.0,1.003,336.44,13.3,0,28,0,0,0,0
5.538,17,13,0,17,0.663,7.476,1.136,28.531,5,51.106,20,0.634,44.4,6,0,29.819,18,45,48,45.123,40.0,1.003,336.44,13.3,0,28,0,0,0,0
6.959,17,13,0,17,0.65,7.317,1.137,32.299,7,59.145,24,0.621,46.2,6,0,33.796,20,52,55,52.218,38.5,1.004,380.5,11.5,0,31,0,0,0,0
4.658,17,14,0,18,0.671,7.964,1.134,28.719,4,49.9,18,0.653,40.9,6,1,29.512,18,44,47,44.567,40.9,1.013,350.42,13.6,0,29,0,0,0,0
5.678,17,13,0,17,0.715,9.153,1.131,27.944,4,46.369,16,0.682,39.0,6,0,29.318,17,41,44,41.56,41.5,1.014,375.29,14.6,0,28,0,2,0,0
4.699,17,14,0,17,0.645,7.389,1.137,30.993,5,56.857,23,0.62,46.0,5,0,32.245,19,50,52,50.443,38.0,1.009,369.47,10.0,0,29,0,0,0,0
4.745,17,14,0,18,0.688,8.009,1.123,26.676,2,44.903,16,0.667,40.0,4,0,27.5,18,40,42,40.363,45.0,1.009,320.38,10.0,0,26,0,0,2,0
5.921,17,16,0,18,0.701,7.716,1.12,22.72,0,38.069,14,0.668,41.2,4,1,23.83,16,34,36,33.825,47.1,0.995,262.34,11.8,0,22,0,0,0,0
4.699,17,14,0,17,0.649,7.563,1.137,29.466,4,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
5.398,16,12,0,16,0.64,7.85,1.142,27.654,4,50.236,19,0.628,43.2,5,0,28.176,16,44,46,45.003,36.4,1.023,345.4,11.4,0,27,0,0,0,0
6.149,17,21,0,22,0.678,8.206,1.121,40.642,6,68.402,24,0.666,39.3,4,5,41.364,27,61,65,62.207,44.3,1.02,500.55,6.6,0,41,0,0,0,0
4.678,16,12,0,16,0.649,7.884,1.14,25.412,3,45.611,17,0.635,42.5,5,0,25.96,15,40,42,40.793,37.5,1.02,315.37,12.5,0,25,0,0,0,0
6.678,16,15,0,19,0.647,8.221,1.143,33.411,4,59.442,21,0.643,40.4,7,3,33.642,19,52,54,53.534,36.5,1.03,427.47,13.5,0,33,0,0,0,0
5.409,16,12,0,16,0.753,11.207,1.131,23.412,1,36.194,10,0.732,31.3,5,0,24.102,13,32,34,33.342,40.6,1.042,358.63,15.6,0,24,0,3,0,0
5.854,12,10,0,12,0.633,7.03,1.138,29.498,8,55.773,24,0.602,49.0,4,0,31.0,18,49,51,49.225,36.7,1.005,344.46,8.2,0,27,0,0,0,0
6.824,16,15,0,19,0.641,7.854,1.143,36.465,6,66.272,25,0.629,43.1,7,3,37.165,21,58,60,59.302,36.2,1.022,455.53,12.1,0,35,0,0,0,0
5.77,16,12,0,16,0.647,7.668,1.144,25.719,3,46.9,18,0.627,43.9,6,0,26.512,15,41,43,41.567,36.6,1.014,314.39,14.6,0,25,0,0,0,0
6.155,16,15,0,19,0.649,8.401,1.14,33.105,4,58.153,20,0.649,39.2,6,3,33.091,19,51,53,52.76,37.3,1.035,428.45,11.8,0,33,0,0,0,0
6.77,16,19,1,21,0.693,8.905,1.123,38.797,5,63.99,21,0.681,36.8,5,5,39.494,24,57,61,58.618,42.1,1.028,507.57,8.8,0,40,0,0,0,0
6.854,16,19,1,21,0.687,8.849,1.125,37.797,4,62.99,21,0.675,37.5,5,5,38.494,23,56,59,57.618,41.1,1.029,495.56,8.9,0,38,0,0,0,0
4.936,16,12,1,16,0.764,10.633,1.124,23.056,1,35.96,11,0.721,34.4,5,0,24.438,13,32,34,32.767,40.6,1.024,340.26,15.6,0,23,0,2,0,0
5.585,16,12,1,16,0.679,8.286,1.133,25.885,3,45.322,17,0.647,42.5,5,0,27.154,15,40,42,40.542,37.5,1.014,331.44,12.5,0,25,0,0,0,0
5.47,16,12,0,16,0.643,7.464,1.144,27.246,4,50.315,20,0.619,45.5,6,0,28.273,16,44,46,44.451,36.4,1.01,328.42,13.6,0,26,0,0,0,0
6.092,21,16,1,21,0.723,8.459,1.118,25.928,1,42.488,15,0.682,39.5,5,0,27.483,17,38,41,38.003,44.7,1.0,321.44,13.2,0,26,0,0,0,0
6.854,12,10,0,12,0.63,6.894,1.138,31.025,9,59.189,26,0.597,50.0,4,0,32.762,19,52,54,52.109,36.5,1.002,358.49,7.7,0,28,0,0,0,0
6.022,17,14,0,17,0.645,7.389,1.137,30.993,5,56.857,23,0.62,46.0,5,0,32.245,19,50,52,50.443,38.0,1.009,369.47,10.0,0,29,0,0,0,0
6.222,22,17,0,22,0.655,7.646,1.14,34.815,4,62.727,24,0.633,43.6,8,0,36.046,21,55,58,55.538,38.2,1.01,420.53,14.5,0,34,0,0,0,0
6.481,12,10,0,12,0.62,6.597,1.142,36.627,12,71.933,33,0.581,52.4,5,0,39.052,22,63,65,62.861,34.9,0.998,415.6,7.9,0,32,0,0,0,0
5.854,16,12,0,16,0.721,9.794,1.138,22.891,1,37.539,12,0.694,36.4,6,0,23.796,13,33,35,33.793,39.4,1.024,323.21,18.2,0,23,0,2,0,0
7.167,23,19,0,23,0.671,7.576,1.132,34.079,3,60.019,23,0.643,43.4,7,0,35.586,22,53,56,53.109,41.5,1.002,401.52,13.2,0,33,0,0,0,0
7.108,12,10,0,12,0.672,7.791,1.137,24.622,5,44.342,18,0.631,46.2,5,0,26.216,15,39,41,39.018,38.5,1.0,303.83,12.8,0,23,0,1,0,0
7.004,22,18,0,22,0.697,7.693,1.122,27.268,1,45.983,17,0.665,41.5,5,0,28.597,19,41,44,40.811,46.3,0.995,315.41,12.2,0,27,0,0,0,0
7.481,22,17,0,22,0.666,7.83,1.136,32.267,3,56.813,21,0.645,42.0,7,0,33.279,20,50,53,50.552,40.0,1.011,391.48,14.0,0,32,0,0,0,0
8.201,17,13,0,17,0.665,7.36,1.137,25.289,3,45.481,18,0.632,45.0,6,0,26.603,16,40,42,39.912,40.0,0.998,294.4,15.0,0,24,0,0,0,0
7.125,22,17,0,22,0.655,7.061,1.138,36.439,6,67.138,28,0.618,47.5,8,0,38.66,23,59,62,58.65,39.0,0.994,416.59,13.6,0,34,0,0,0,0
5.812,16,19,1,21,0.689,8.677,1.121,38.303,5,63.906,22,0.672,38.6,4,5,39.25,24,57,60,58.4,42.1,1.025,494.57,7.0,0,38,0,0,0,0
5.589,16,19,1,21,0.694,8.734,1.119,39.303,6,64.906,22,0.678,37.9,4,5,40.25,25,58,62,59.4,43.1,1.024,506.58,6.9,0,40,0,0,0,0
8.387,17,13,0,17,0.736,10.802,1.126,26.299,3,43.913,16,0.674,41.0,5,0,28.711,16,39,41,39.207,41.0,1.005,421.27,12.8,0,25,0,0,0,0
8.237,17,14,0,19,0.665,7.651,1.129,33.993,6,59.857,23,0.641,43.4,5,1,35.245,22,53,55,53.443,41.5,1.008,405.5,9.4,0,32,0,0,2,0
8.699,17,14,0,18,0.642,7.337,1.136,35.761,8,65.896,27,0.617,46.6,5,1,37.222,22,58,60,58.538,37.9,1.009,425.54,8.6,0,33,0,0,0,0
7.678,23,21,0,26,0.696,8.094,1.123,39.794,4,66.229,23,0.674,39.0,7,2,41.04,27,59,63,59.436,45.8,1.007,477.57,11.9,0,40,0,0,2,0
7.114,23,21,0,26,0.701,8.277,1.122,38.267,3,62.813,21,0.683,37.5,7,2,39.279,26,56,60,56.552,46.4,1.01,463.54,12.5,0,39,0,0,2,0
8.469,17,14,0,18,0.642,7.337,1.136,35.761,8,65.896,27,0.617,46.6,5,1,37.222,22,58,60,58.538,37.9,1.009,425.54,8.6,0,33,0,0,0,0
8.721,17,14,0,18,0.648,7.644,1.136,32.707,6,59.066,23,0.629,44.2,5,1,33.699,20,52,54,52.771,38.5,1.015,397.48,9.6,0,31,0,0,0,0
7.959,17,14,0,18,0.639,7.206,1.136,37.288,9,69.312,29,0.611,47.5,5,1,38.983,23,61,63,61.421,37.7,1.007,439.57,8.2,0,34,0,0,0,0
8.237,17,13,0,17,0.736,10.802,1.126,26.299,3,43.913,16,0.674,41.0,5,0,28.711,16,39,41,39.207,41.0,1.005,421.27,12.8,0,25,0,0,0,0
