pXC50,SCBO,nBO,nSK,RBF,Me,MW,nC,Sv,RBN,Sp,nBT,nDB,Se,Si,nAT,C.,AMW
7.377,67.0,52,48,0.141,1.01,679.87,37,55.796,13,58.523,92,3,88.901,99.576,88,42.0,7.726
5.097,33.0,27,25,0.111,0.993,362.95,19,30.95,6,33.472,54,1,51.661,59.129,52,36.5,6.98
4.932,34.0,26,24,0.091,1.013,327.39,18,27.092,4,27.955,44,2,42.542,47.575,42,42.9,7.795
6.553,40.0,32,30,0.118,1.044,425.42,20,32.01,6,31.745,51,2,51.174,56.634,49,40.8,8.682
6.921,43.0,33,30,0.059,1.03,413.43,22,32.385,3,32.591,51,2,49.451,54.67,48,45.8,8.613
6.137,40.0,32,30,0.104,1.061,429.38,19,30.866,5,29.921,48,2,48.803,53.558,46,41.3,9.334
6.071,35.0,27,25,0.068,1.025,345.38,18,27.475,3,27.892,44,2,43.054,47.915,42,42.9,8.223
6.796,44.0,34,31,0.056,1.026,427.46,23,33.912,3,34.353,54,2,52.334,58.085,51,45.1,8.382
6.432,41.0,33,31,0.098,1.055,443.41,20,32.393,5,31.682,51,2,51.687,56.974,49,40.8,9.049
7.301,43.0,33,30,0.056,1.016,409.47,23,33.528,3,34.415,54,2,51.821,57.745,51,45.1,8.029
6.77,42.0,32,30,0.061,1.042,419.41,21,31.768,3,31.529,49,2,48.963,54.009,47,44.7,8.924
6.959,43.0,33,31,0.073,1.023,429.48,23,34.438,4,35.114,55,2,54.218,60.5,53,43.4,8.103
6.398,43.0,33,31,0.077,1.037,433.44,22,33.295,4,33.29,52,2,51.847,57.425,50,44.0,8.669
6.678,39.0,29,27,0.065,1.024,369.4,20,29.475,3,29.892,46,2,45.054,49.915,44,45.5,8.395
6.456,41.0,31,29,0.077,1.016,397.46,22,32.528,4,33.415,52,2,50.821,56.745,50,44.0,7.949
5.606,46.0,35,32,0.078,1.045,444.42,22,33.263,4,32.773,51,2,50.181,55.092,48,45.8,9.259
6.495,43.0,33,31,0.091,1.023,429.48,23,34.438,5,35.114,55,2,54.218,60.5,53,43.4,8.103
6.301,45.0,34,31,0.078,1.035,426.43,22,32.88,4,32.836,51,2,49.669,54.753,48,45.8,8.884
7.398,41.0,31,29,0.058,1.016,397.46,22,32.528,3,33.415,52,2,50.821,56.745,50,44.0,7.949
7.155,42.0,32,29,0.059,1.02,395.44,22,32.002,3,32.654,51,2,48.938,54.33,48,45.8,8.238
5.886,34.0,26,24,0.073,1.03,331.35,17,25.948,3,26.131,41,2,40.171,44.5,39,43.6,8.496
6.921,43.0,32,29,0.078,1.013,390.45,22,32.113,4,32.961,51,2,48.643,54.073,48,45.8,8.134
6.854,41.0,31,29,0.08,1.026,399.43,21,31.716,4,32.108,50,2,49.265,54.539,48,43.8,8.321
5.548,45.0,34,31,0.093,1.02,422.47,23,34.023,5,34.659,54,2,52.04,57.828,51,45.1,8.284
5.572,35.0,27,25,0.073,1.043,349.34,17,26.331,3,26.068,41,2,40.683,44.839,39,43.6,8.957
7.0,42.0,32,30,0.094,1.023,413.46,22,33.243,5,33.87,53,2,52.149,57.955,51,43.1,8.107
6.444,59.0,46,43,0.159,0.999,606.86,33,51.856,14,55.41,88,4,84.909,95.849,85,38.8,7.14
4.55,61.0,46,43,0.156,1.021,612.73,31,48.184,12,49.722,77,3,75.585,83.998,74,41.9,8.28
6.066,39.5,29,26,0.065,1.011,347.42,18,28.499,3,29.301,46,2,43.458,48.774,43,41.9,8.08
5.833,40.5,30,27,0.082,1.007,361.45,19,30.025,4,31.063,49,2,46.342,52.189,46,41.3,7.858
5.625,41.5,31,28,0.082,1.019,379.44,19,30.409,4,31.0,49,2,46.854,52.528,46,41.3,8.249
5.056,44.5,34,31,0.082,1.052,433.41,19,31.559,4,30.813,49,2,48.392,53.548,46,41.3,9.422
5.177,42.5,32,29,0.077,1.015,393.47,20,31.936,4,32.762,52,2,49.738,55.944,49,40.8,8.03
6.886,42.5,32,29,0.091,1.002,389.51,21,33.079,5,34.586,55,2,52.109,59.019,52,40.4,7.491
7.699,43.5,33,30,0.103,1.0,403.54,22,34.606,6,36.347,58,2,54.992,62.434,55,40.0,7.337
7.523,44.5,34,31,0.098,0.998,417.57,23,36.133,6,38.108,61,2,57.876,65.85,58,39.7,7.199
6.824,42.5,32,29,0.109,1.002,389.51,21,33.079,6,34.586,55,2,52.109,59.019,52,40.4,7.491
6.77,44.5,34,30,0.07,1.002,401.52,22,34.079,4,35.586,57,2,53.109,60.019,53,41.5,7.576
7.699,47.5,37,33,0.091,0.996,443.61,25,38.659,6,40.87,66,2,61.76,70.265,62,40.3,7.155
6.347,41.5,31,28,0.08,1.014,378.45,20,30.914,4,31.756,50,2,47.636,53.445,47,42.6,8.052
6.678,41.5,31,28,0.08,1.014,378.45,20,30.914,4,31.756,50,2,47.636,53.445,47,42.6,8.052
5.131,41.5,31,28,0.08,1.014,378.45,20,30.914,4,31.756,50,2,47.636,53.445,47,42.6,8.052
6.06,42.5,32,29,0.08,1.024,396.44,20,31.297,4,31.694,50,2,48.149,53.785,47,42.6,8.435
6.187,42.5,32,29,0.08,1.024,396.44,20,31.297,4,31.694,50,2,48.149,53.785,47,42.6,8.435
6.301,44.5,34,31,0.08,1.046,432.42,20,32.064,4,31.569,50,2,49.174,54.464,47,42.6,9.2
5.506,43.5,33,30,0.075,1.021,410.47,21,32.824,4,33.455,53,2,51.032,57.2,50,42.0,8.209
7.301,43.5,33,30,0.089,1.008,406.51,22,33.968,5,35.279,56,2,53.403,60.276,53,41.5,7.67
7.745,44.5,34,31,0.102,1.005,420.54,23,35.494,6,37.04,59,2,56.287,63.691,56,41.1,7.51
7.699,45.5,35,32,0.097,1.003,434.57,24,37.021,6,38.802,62,2,59.17,67.106,59,40.7,7.366
7.444,45.5,35,32,0.113,1.003,434.57,24,37.021,7,38.802,62,2,59.17,67.106,59,40.7,7.366
7.301,43.5,33,30,0.107,1.008,406.51,22,33.968,6,35.279,56,2,53.403,60.276,53,41.5,7.67
6.921,45.5,35,31,0.069,1.007,418.52,23,34.968,4,36.279,58,2,54.403,61.276,54,42.6,7.75
6.167,38.5,28,25,0.07,1.008,349.45,18,27.643,3,28.938,43,2,40.331,44.697,40,45.0,8.736
6.108,39.5,29,26,0.065,1.005,363.48,19,29.17,3,30.699,46,2,43.214,48.112,43,44.2,8.453
6.215,39.5,29,26,0.065,1.005,363.48,19,29.17,3,30.699,46,2,43.214,48.112,43,44.2,8.453
6.252,40.5,30,27,0.082,1.002,377.51,20,30.697,4,32.461,49,2,46.098,51.527,46,43.5,8.207
6.31,41.5,31,28,0.077,1.0,391.54,21,32.223,4,34.222,52,2,48.982,54.943,49,42.9,7.991
6.208,39.5,29,26,0.07,1.016,383.89,18,28.47,3,29.796,43,2,40.654,44.641,40,45.0,9.597
5.939,40.5,30,27,0.065,1.013,397.92,19,29.997,3,31.557,46,2,43.538,48.056,43,44.2,9.254
7.155,43.5,32,29,0.098,1.009,405.52,21,32.411,5,33.915,51,3,48.425,53.737,48,43.8,8.448
6.721,38.5,28,25,0.068,1.003,348.46,19,28.148,3,29.693,44,2,41.113,45.614,41,46.3,8.499
6.638,39.5,29,26,0.068,1.015,366.45,19,28.532,3,29.631,44,2,41.625,45.954,41,46.3,8.938
6.131,39.5,29,26,0.068,1.015,366.45,19,28.532,3,29.631,44,2,41.625,45.954,41,46.3,8.938
6.387,40.5,30,27,0.068,1.028,384.44,19,28.915,3,29.568,44,2,42.138,46.293,41,46.3,9.377
7.699,40.5,30,27,0.083,1.007,378.49,20,30.39,4,31.909,48,2,45.323,50.238,45,44.4,8.411
6.357,38.5,28,25,0.07,1.008,349.45,18,27.643,3,28.938,43,2,40.331,44.697,40,45.0,8.736
7.155,44.5,33,30,0.096,1.015,422.52,22,33.3,5,34.608,52,3,49.72,54.993,49,44.9,8.623
7.301,44.5,33,30,0.096,1.015,422.52,22,33.3,5,34.608,52,3,49.72,54.993,49,44.9,8.623
5.264,44.5,33,30,0.096,1.015,422.52,22,33.3,5,34.608,52,3,49.72,54.993,49,44.9,8.623
5.679,49.0,35,32,0.102,1.005,448.59,24,36.685,6,38.648,59,3,56.302,62.693,56,42.9,8.011
5.622,51.0,37,34,0.111,1.009,478.62,25,38.927,7,40.864,63,3,60.512,67.318,60,41.7,7.977
5.679,50.0,36,33,0.102,1.015,466.58,24,37.068,6,38.585,59,3,56.814,63.033,56,42.9,8.332
5.755,51.5,37,34,0.111,1.003,474.63,26,39.212,7,41.409,63,3,60.185,67.109,60,43.3,7.91
5.636,53.5,39,36,0.119,1.006,504.66,27,41.453,8,43.625,67,3,64.396,71.733,64,42.2,7.885
5.734,52.5,38,35,0.111,1.012,492.62,26,39.595,7,41.347,63,3,60.698,67.448,60,43.3,8.21
5.253,46.0,33,29,0.071,0.99,381.52,24,33.848,4,35.881,56,0,51.461,58.228,52,46.2,7.337
5.436,47.0,34,30,0.071,1.0,399.51,24,34.232,4,35.819,56,0,51.974,58.568,52,46.2,7.683
5.545,48.0,35,31,0.083,0.994,411.55,25,36.09,5,38.097,60,0,55.672,62.853,56,44.6,7.349
5.429,46.0,33,29,0.071,0.99,381.52,24,33.848,4,35.881,56,0,51.461,58.228,52,46.2,7.337
5.38,47.0,34,30,0.071,1.0,399.51,24,34.232,4,35.819,56,0,51.974,58.568,52,46.2,7.683
5.392,48.0,35,31,0.083,0.994,411.55,25,36.09,5,38.097,60,0,55.672,62.853,56,44.6,7.349
5.417,41.0,28,24,0.048,0.995,310.38,20,26.72,2,27.83,42,0,37.825,42.069,38,52.6,8.168
5.505,42.0,29,25,0.048,1.009,328.37,20,27.103,2,27.767,42,0,38.338,42.409,38,52.6,8.641
5.486,43.0,30,26,0.065,1.001,340.41,21,28.961,3,30.046,46,0,42.036,46.694,42,50.0,8.105
5.442,43.0,30,26,0.048,1.022,346.36,20,27.486,2,27.705,42,0,38.851,42.749,38,52.6,9.115
7.538,47.0,40,35,0.038,0.984,492.16,30,44.089,3,48.035,78,1,71.861,82.122,73,41.1,6.742
7.167,35.0,27,24,0.064,0.996,320.43,19,28.015,3,29.569,47,2,43.803,49.524,44,43.2,7.282
8.108,36.0,28,25,0.082,0.998,335.44,20,29.235,4,30.779,49,2,45.912,51.651,46,43.5,7.292
7.523,38.0,28,25,0.065,0.998,330.42,20,28.488,3,29.807,46,2,42.92,48.109,43,46.5,7.684
6.444,34.0,26,23,0.068,0.998,306.4,18,26.488,3,27.807,44,2,40.92,46.109,41,43.9,7.473
7.959,36.0,28,25,0.083,1.003,336.43,19,28.73,4,30.023,48,2,45.131,50.734,45,42.2,7.476
6.77,38.0,28,25,0.067,1.003,331.41,19,27.983,3,29.051,45,2,42.138,47.192,42,45.2,7.891
6.857,35.0,27,24,0.068,1.011,324.39,18,26.871,3,27.745,44,2,41.432,46.449,41,43.9,7.912
9.0,36.5,27,25,0.045,1.008,372.91,18,28.503,2,30.313,44,2,42.32,46.973,42,42.9,8.879
8.125,55.0,40,36,0.062,0.999,476.59,30,40.978,4,42.79,65,4,60.967,68.11,61,49.2,7.813
8.347,42.0,35,33,0.12,0.986,452.7,28,42.196,9,45.841,75,1,71.974,82.514,73,38.4,6.201
8.409,40.5,34,32,0.125,0.988,458.73,26,40.857,9,44.728,72,1,69.167,79.018,70,37.1,6.553
5.0,40.5,34,32,0.123,0.989,441.68,26,40.691,9,44.086,73,1,70.192,80.597,71,36.6,6.221
6.409,40.5,34,32,0.122,0.986,440.7,26,40.998,9,44.637,74,1,70.967,81.886,72,36.1,6.121
7.056,40.5,34,32,0.122,0.986,440.7,26,40.998,9,44.637,74,1,70.967,81.886,72,36.1,6.121
7.658,39.5,33,31,0.127,0.987,426.67,25,39.471,9,42.876,71,1,68.083,78.47,69,36.2,6.184
5.721,39.5,33,31,0.127,0.987,426.67,25,39.471,9,42.876,71,1,68.083,78.47,69,36.2,6.184
4.301,36.5,26,24,0.114,0.998,318.41,19,27.488,5,28.807,44,2,41.92,47.109,42,45.2,7.581
7.108,48.0,36,32,0.05,0.998,425.54,27,36.957,3,38.784,60,4,55.865,62.611,56,48.2,7.599
6.102,46.0,33,29,0.061,1.007,381.44,23,31.651,3,32.534,49,1,45.323,50.322,45,51.1,8.476
6.432,49.0,36,32,0.058,1.026,431.45,24,33.944,3,34.171,52,1,49.232,54.417,48,50.0,8.989
6.114,50.0,37,33,0.058,1.036,449.44,24,34.328,3,34.108,52,1,49.745,54.757,48,50.0,9.363
5.77,50.0,37,33,0.068,1.005,439.53,26,36.946,4,38.273,59,1,55.301,61.777,55,47.3,7.991
6.131,49.0,36,32,0.054,1.008,425.5,25,35.419,3,36.512,56,4,52.418,58.362,52,48.1,8.183
5.839,62.0,48,46,0.168,0.998,649.94,35,55.931,16,59.938,95,5,92.778,105.178,93,37.6,6.989
6.921,63.0,49,47,0.167,1.001,665.94,35,56.646,16,60.393,96,5,94.105,106.387,94,37.2,7.084
7.959,61.0,49,46,0.14,0.995,653.98,35,56.984,14,61.461,100,4,96.545,110.008,97,36.1,6.742
6.076,43.0,32,29,0.073,0.996,385.51,23,33.563,4,35.336,55,2,51.789,58.438,52,44.2,7.414
6.959,34.0,26,23,0.07,0.998,324.84,18,26.601,3,28.211,43,2,39.916,44.844,40,45.0,8.121
7.523,38.0,28,25,0.063,0.988,328.45,21,29.3,3,31.114,48,2,44.476,50.315,45,46.7,7.299
6.208,56.5,42,39,0.125,1.013,551.7,28,44.385,9,46.33,72,3,69.894,77.986,69,40.6,7.996
6.638,57.0,44,41,0.159,1.002,578.8,31,48.802,13,51.887,82,4,79.141,89.019,79,39.2,7.327
6.678,57.0,44,41,0.165,1.01,582.76,30,47.659,13,50.063,79,4,76.77,85.943,76,39.5,7.668
6.354,54.0,41,39,0.149,1.012,556.72,28,45.132,11,47.301,74,4,72.887,81.528,72,38.9,7.732
6.081,54.0,45,42,0.141,0.993,577.85,33,52.029,13,55.836,92,3,88.374,101.048,89,37.1,6.493
6.469,53.0,44,44,0.175,1.001,639.96,31,54.941,17,59.131,97,6,97.083,110.842,97,32.0,6.598
6.281,61.0,49,48,0.167,1.001,688.0,35,58.941,17,63.131,102,6,101.083,114.842,101,34.7,6.812
4.523,57.0,45,41,0.131,0.999,577.81,32,49.308,11,52.642,84,3,79.923,89.936,80,40.0,7.223
4.678,48.0,35,32,0.127,0.984,420.59,29,38.606,8,41.364,63,1,59.018,66.604,60,48.3,7.01
4.479,45.0,35,33,0.109,1.042,466.46,24,35.379,6,35.228,55,1,55.21,61.227,53,45.3,8.801
4.523,42.0,35,33,0.164,0.992,454.67,27,41.384,12,44.535,73,1,70.418,80.308,71,38.0,6.404
5.025,44.0,36,34,0.113,1.075,494.41,20,34.181,6,32.563,53,2,54.814,60.151,51,39.2,9.694
8.0,38.0,30,28,0.065,1.045,412.83,18,29.707,3,29.693,46,2,45.992,50.697,44,40.9,9.383
7.921,38.0,30,28,0.07,1.059,433.24,17,29.008,3,28.79,43,2,43.433,47.226,41,41.5,10.567
7.638,37.0,29,27,0.071,1.058,399.79,16,27.675,3,27.176,42,2,42.327,46.365,40,40.0,9.995
6.924,38.0,30,28,0.087,1.05,395.38,17,29.089,4,28.534,46,2,46.214,51.045,44,38.6,8.986
6.025,42.0,34,32,0.102,1.077,463.38,18,31.766,5,30.108,49,2,50.636,55.48,47,38.3,9.859
6.757,42.0,32,30,0.104,1.048,419.4,19,31.089,5,30.534,48,2,48.214,53.045,46,41.3,9.117
6.996,43.0,33,31,0.098,1.043,433.43,20,32.616,5,32.296,51,2,51.098,56.46,49,40.8,8.846
6.975,35.5,28,26,0.068,1.045,367.37,16,27.374,3,27.08,44,2,43.887,48.836,42,38.1,8.747
7.509,36.5,29,27,0.068,1.053,401.81,16,28.202,3,27.938,44,2,44.211,48.78,42,38.1,9.567
7.745,37.5,30,28,0.068,1.069,403.35,16,28.141,3,26.955,44,2,44.912,49.515,42,38.1,9.604
7.959,38.5,31,29,0.068,1.077,437.79,16,28.968,3,27.813,44,2,45.236,49.459,42,38.1,10.424
7.284,35.0,27,25,0.07,1.026,362.82,17,27.414,3,28.057,43,2,42.083,46.602,41,41.5,8.849
7.824,37.0,29,27,0.07,1.051,398.8,17,28.18,3,27.932,43,2,43.109,47.282,41,41.5,9.727
8.046,35.0,27,25,0.07,1.02,378.89,17,27.886,3,29.25,43,2,41.833,46.313,41,41.5,9.241
8.0,37.0,29,27,0.07,1.045,414.87,17,28.653,3,29.125,43,2,42.858,46.992,41,41.5,10.119
7.444,36.0,28,26,0.07,1.044,364.36,17,27.353,3,27.074,43,2,42.785,47.338,41,41.5,8.887
7.658,37.0,29,27,0.07,1.056,382.35,17,27.736,3,27.012,43,2,43.298,47.677,41,41.5,9.326
7.62,40.0,30,28,0.068,1.048,389.37,18,28.847,3,28.318,44,2,44.003,48.421,42,42.9,9.271
7.523,37.0,29,27,0.065,1.038,378.39,18,28.88,3,28.836,46,2,45.669,50.753,44,40.9,8.6
7.328,40.0,30,28,0.067,1.042,388.38,19,29.353,3,29.074,45,2,44.785,49.338,43,44.2,9.032
7.347,38.0,30,28,0.085,1.044,394.39,18,29.594,4,29.29,47,2,46.996,51.962,45,40.0,8.764
6.611,41.0,33,31,0.085,1.079,448.36,18,30.744,4,29.103,47,2,48.534,52.981,45,40.0,9.964
6.044,39.0,31,29,0.1,1.039,408.42,19,31.121,5,31.051,50,2,49.88,55.377,48,39.6,8.509
5.126,42.0,34,32,0.1,1.071,462.39,19,32.271,5,30.864,50,2,51.418,56.396,48,39.6,9.633
7.921,81.0,67,67,0.23,1.017,970.15,43,78.841,31,82.597,135,11,137.316,154.433,135,31.9,7.186
5.796,54.0,42,39,0.062,0.995,549.8,31,47.593,5,51.188,81,3,77.596,87.726,78,39.7,7.049
5.742,53.0,44,41,0.146,0.994,563.82,32,50.502,13,54.074,89,3,85.49,97.633,86,37.2,6.556
5.3,47.0,39,36,0.139,0.991,492.73,29,44.712,11,48.091,79,2,75.294,86.095,76,38.2,6.483
5.23,47.0,39,36,0.143,0.993,510.77,28,44.373,11,47.978,77,2,73.487,83.6,74,37.8,6.902
6.301,51.5,37,34,0.119,1.006,516.43,26,38.303,7,40.142,59,3,56.345,62.489,56,46.4,9.222
4.24,48.0,40,37,0.146,0.99,506.76,30,46.239,12,49.853,82,2,78.178,89.51,79,38.0,6.415
5.51,48.0,40,38,0.174,0.987,522.81,31,48.293,15,52.376,86,2,82.945,95.341,84,36.9,6.224
5.23,49.0,41,39,0.169,0.987,536.84,32,49.82,15,54.137,89,2,85.828,98.756,87,36.8,6.171
4.52,48.0,40,38,0.174,0.987,522.81,31,48.293,15,52.376,86,2,82.945,95.341,84,36.9,6.224
4.03,54.0,43,39,0.136,0.992,526.74,32,47.186,11,50.33,81,2,76.41,86.68,77,41.6,6.841
4.161,49.0,41,39,0.172,0.991,538.81,31,49.008,15,52.83,87,2,84.272,96.55,85,36.5,6.339
5.12,53.0,42,39,0.163,0.997,530.73,31,46.9,13,49.785,80,2,76.738,86.889,77,40.3,6.893
4.2,51.0,40,37,0.158,0.994,500.7,30,44.659,12,47.569,76,2,72.527,82.265,73,41.1,6.859
4.67,50.0,39,36,0.151,0.995,486.67,29,43.132,11,45.807,73,2,69.643,78.849,70,41.4,6.952
5.429,54.0,43,39,0.136,0.992,526.74,32,47.186,11,50.33,81,2,76.41,86.68,77,41.6,6.841
5.567,52.5,38,35,0.131,1.009,486.99,27,39.325,8,40.858,61,3,58.549,64.717,58,46.6,8.396
6.752,59.0,47,44,0.145,1.022,636.78,31,50.147,12,51.944,83,3,81.748,91.583,80,38.8,7.96
4.82,52.0,41,38,0.158,0.998,535.14,30,45.486,12,48.427,76,2,72.85,82.209,73,41.1,7.331
5.979,61.0,46,43,0.154,1.013,587.69,34,48.787,12,50.375,78,1,75.963,84.785,75,45.3,7.836
5.991,58.0,46,43,0.146,1.018,619.77,31,49.458,12,51.455,82,3,80.461,89.955,79,39.2,7.845
4.49,54.0,42,39,0.15,0.998,550.79,30,47.087,12,50.432,80,3,76.814,86.809,77,39.0,7.153
5.64,57.0,45,41,0.129,0.996,576.83,32,49.614,11,53.194,85,3,80.698,91.224,81,39.5,7.121
4.48,53.0,42,39,0.165,0.999,531.72,30,46.395,13,49.029,79,2,75.956,85.972,76,39.5,6.996
4.879,54.5,43,40,0.16,1.006,570.78,29,47.517,13,50.341,81,3,78.469,88.228,78,37.2,7.318
4.0,48.0,39,37,0.152,1.0,532.78,27,45.329,12,48.648,79,3,77.025,87.434,77,35.1,6.919
5.608,55.5,44,41,0.157,1.007,586.81,29,48.514,13,51.381,83,3,80.53,91.146,80,36.3,7.335
5.056,56.0,47,43,0.128,0.993,589.86,34,53.029,12,56.836,94,3,89.374,102.048,90,37.8,6.554
