pXC50,Me,nCsp3,C.,nBO,nBT,Sv,O.,nF,X.,MW,nBM,Si,Se,nAT,nSK,nH,nS
9.495,1.0,6,46.9,46,71,43.938,0.0,0,1.6,577.53,32,71.565,63.996,64,39,25,0
8.854,1.018,7,46.3,49,74,45.589,0.0,3,4.5,566.64,32,76.158,68.189,67,42,25,0
8.137,0.995,8,44.4,48,79,46.987,0.0,0,0.0,541.72,32,81.052,71.636,72,41,31,0
8.721,1.004,6,46.9,46,71,43.296,0.0,1,1.6,516.63,32,72.063,64.28,64,39,25,0
8.699,1.018,7,46.3,49,74,45.589,0.0,3,4.5,566.64,32,76.158,68.189,67,42,25,0
9.0,0.995,6,48.6,50,78,47.439,0.0,0,0.0,548.7,37,78.138,69.65,70,42,28,0
9.215,1.012,6,46.9,47,71,43.679,0.0,2,3.1,534.62,32,72.403,64.792,64,40,24,0
9.42,1.012,6,46.9,47,71,43.679,0.0,2,3.1,534.62,32,72.403,64.792,64,40,24,0
9.796,1.012,6,46.9,47,71,43.679,0.0,2,3.1,534.62,32,72.403,64.792,64,40,24,0
8.018,1.012,6,46.9,47,71,43.679,0.0,2,3.1,534.62,32,72.403,64.792,64,40,24,0
9.456,1.028,6,46.9,49,71,44.446,0.0,4,6.3,570.6,32,73.082,65.818,64,42,22,0
8.854,1.001,7,47.7,46,72,43.801,0.0,1,1.5,515.64,32,72.98,65.061,65,39,26,0
9.301,1.004,6,46.9,46,71,43.296,0.0,1,1.6,516.63,32,72.063,64.28,64,39,25,0
9.495,1.002,7,46.3,47,74,44.822,0.0,1,1.5,530.66,32,75.478,67.163,67,40,27,0
10.0,1.012,6,46.9,47,71,43.679,0.0,2,3.1,534.62,32,72.403,64.792,64,40,24,0
9.959,1.02,6,46.9,48,71,44.062,0.0,3,4.7,552.61,32,72.742,65.305,64,41,23,0
9.149,0.995,7,46.3,46,74,44.439,0.0,0,0.0,512.67,32,75.138,66.65,67,39,28,0
9.387,1.002,7,46.3,47,74,44.822,0.0,1,1.5,530.66,32,75.478,67.163,67,40,27,0
8.921,1.008,6,47.6,46,70,42.989,1.6,1,1.6,517.61,32,70.774,63.505,63,39,24,0
9.284,1.008,6,47.6,46,70,42.989,1.6,1,1.6,517.61,32,70.774,63.505,63,39,24,0
8.638,0.996,6,46.9,45,71,42.912,0.0,0,0.0,498.64,32,71.723,63.767,64,38,26,0
9.114,1.011,7,46.3,48,74,45.231,3.0,1,1.5,547.64,32,75.399,67.716,67,41,26,0
9.495,1.01,7,46.3,48,74,45.206,0.0,2,3.0,548.65,32,75.818,67.676,67,41,26,0
9.495,1.008,8,45.7,49,77,46.733,0.0,2,2.9,562.68,32,79.233,70.559,70,42,28,0
9.495,1.006,9,45.2,50,80,48.259,0.0,2,2.7,576.71,32,82.648,73.443,73,43,30,0
9.495,1.008,9,46.5,51,79,47.733,0.0,2,2.8,574.69,32,80.233,71.559,71,43,28,0
7.215,0.996,6,46.9,45,71,42.912,0.0,0,0.0,498.64,32,71.723,63.767,64,38,26,0
8.0,1.0,6,47.6,45,70,42.606,1.6,0,0.0,499.62,32,70.434,62.992,63,38,25,0
8.921,0.996,6,46.9,45,71,42.912,0.0,0,0.0,498.64,32,71.723,63.767,64,38,26,0
5.021,0.999,11,37.0,40,76,44.362,4.1,0,0.0,524.76,20,82.766,72.923,73,37,36,1
4.523,1.008,1,46.9,23,35,21.908,3.1,0,0.0,264.31,20,35.863,32.269,32,20,12,0
5.0,1.0,1,47.8,31,49,31.675,2.2,0,0.0,386.51,24,51.029,45.996,46,28,18,1
7.42,1.048,2,43.8,34,50,33.422,6.3,3,8.3,464.86,20,54.906,50.32,48,32,16,0
5.046,1.021,0,45.2,22,33,22.174,9.7,0,0.0,305.4,18,34.043,31.655,31,20,11,2
6.273,1.01,8,37.3,36,62,37.862,3.4,0,1.7,488.07,18,66.923,59.603,59,33,26,1
4.0,1.058,0,44.8,22,30,21.664,13.8,0,6.9,327.13,15,32.383,30.695,29,21,8,0
5.0,0.996,8,36.5,28,54,31.111,1.9,0,0.0,354.51,16,59.351,51.774,52,26,26,0
5.678,1.008,0,48.8,30,46,29.676,4.7,0,0.0,356.41,24,47.903,43.363,43,27,16,0
5.0,1.039,3,40.5,29,44,29.154,7.1,1,7.1,457.71,17,47.653,43.64,42,27,15,0
5.0,1.031,7,41.3,41,66,41.55,4.8,3,6.3,548.01,23,72.065,64.956,63,38,25,0
5.0,1.002,9,45.9,42,68,40.025,4.9,0,0.0,466.58,25,68.189,61.109,61,35,26,0
6.367,1.023,2,37.1,23,37,22.665,5.7,0,0.0,286.33,16,40.069,35.8,35,21,14,0
8.328,1.019,10,42.6,43,72,43.755,4.4,3,4.4,538.62,20,77.453,69.298,68,39,29,0
8.377,1.019,10,42.6,43,72,43.755,4.4,3,4.4,538.62,20,77.453,69.298,68,39,29,0
5.0,1.014,9,39.0,35,62,36.65,6.8,1,1.7,442.54,14,67.153,59.832,59,32,27,0
7.77,1.007,2,49.0,35,53,34.39,4.1,0,0.0,426.53,25,54.238,49.323,49,31,18,1
6.0,0.993,3,45.5,28,47,28.795,0.0,0,0.0,329.44,22,49.398,43.694,44,25,19,0
7.638,0.995,3,47.6,29,46,28.268,0.0,0,0.0,327.42,22,46.983,41.811,42,25,17,0
6.0,0.995,3,47.6,29,46,28.268,0.0,0,0.0,327.42,22,46.983,41.811,42,25,17,0
7.959,1.004,2,47.4,28,42,26.236,0.0,0,0.0,314.38,22,42.651,38.145,38,24,14,0
7.26,1.004,1,45.9,26,40,25.236,0.0,0,0.0,302.37,22,41.651,37.145,37,23,14,0
6.103,0.993,1,48.7,26,42,26.246,0.0,0,0.0,300.39,22,43.484,38.709,39,23,16,0
7.027,1.004,2,47.2,25,39,24.434,2.8,0,0.0,290.35,18,40.279,36.153,36,22,14,0
6.189,1.001,2,44.7,24,40,24.961,2.6,0,0.0,292.37,18,42.694,38.036,38,22,16,0
6.0,1.015,1,41.7,24,38,24.336,5.6,0,0.0,314.4,19,40.408,36.556,36,22,14,1
6.33,1.001,1,47.1,24,37,23.214,0.0,0,0.0,275.34,21,38.152,34.043,34,21,13,0
6.0,1.001,1,47.1,24,37,23.214,0.0,0,0.0,275.34,21,38.152,34.043,34,21,13,0
6.065,0.995,1,48.6,24,38,23.72,0.0,0,0.0,274.35,21,39.069,34.825,35,21,14,0
6.484,0.995,1,48.6,24,38,23.72,0.0,0,0.0,274.35,21,39.069,34.825,35,21,14,0
8.854,0.998,1,50.0,26,41,25.94,2.6,0,0.0,301.37,22,42.196,37.934,38,23,15,0
7.114,0.998,1,50.0,26,41,25.94,2.6,0,0.0,301.37,22,42.196,37.934,38,23,15,0
6.0,1.003,1,39.1,14,24,14.666,0.0,0,0.0,174.23,11,26.239,23.058,23,13,10,0
6.0,1.013,1,40.9,14,23,14.359,4.5,0,0.0,175.21,11,24.95,22.284,22,13,9,0
6.638,0.994,6,45.1,34,56,33.343,0.0,0,0.0,382.51,22,57.311,50.68,51,29,22,0
6.053,0.992,7,44.4,35,59,34.87,0.0,0,0.0,396.54,22,60.727,53.563,54,30,24,0
6.582,0.992,8,45.5,37,61,35.87,0.0,0,0.0,408.55,22,61.727,54.563,55,31,24,0
5.777,0.994,6,45.1,34,56,33.343,0.0,0,0.0,382.51,22,57.311,50.68,51,29,22,0
5.812,0.992,7,44.4,35,59,34.87,0.0,0,0.0,396.54,22,60.727,53.563,54,30,24,0
6.402,0.992,7,44.4,35,59,34.87,0.0,0,0.0,396.54,22,60.727,53.563,54,30,24,0
5.819,0.992,7,44.4,35,59,34.87,0.0,0,0.0,396.54,22,60.727,53.563,54,30,24,0
5.088,0.996,4,44.7,31,51,30.816,0.0,0,0.0,356.47,22,52.896,46.796,47,27,20,0
6.217,0.996,7,45.3,35,58,34.563,1.9,0,0.0,397.52,22,59.438,52.789,53,30,23,0
5.359,0.996,1,52.2,34,51,32.268,0.0,0,0.0,375.46,28,50.983,45.811,46,29,17,0
5.312,1.0,6,44.2,35,57,34.058,1.9,0,0.0,398.51,22,58.521,52.007,52,30,22,0
6.208,0.998,8,44.6,38,62,36.584,1.8,0,0.0,424.55,22,62.936,55.891,56,32,24,0
6.215,1.004,6,45.1,35,56,33.726,0.0,1,2.0,400.5,22,57.651,51.192,51,30,21,0
6.39,1.004,6,45.1,35,56,33.726,0.0,1,2.0,400.5,22,57.651,51.192,51,30,21,0
5.674,1.004,6,45.1,35,56,33.726,0.0,1,2.0,400.5,22,57.651,51.192,51,30,21,0
6.173,1.004,6,45.1,35,56,33.726,0.0,1,2.0,400.5,22,57.651,51.192,51,30,21,0
7.699,1.018,11,40.0,45,78,47.325,4.0,3,4.0,582.69,20,85.865,76.385,75,42,33,0
5.518,0.998,7,41.5,26,44,26.289,0.0,0,0.0,306.41,16,46.481,40.912,41,23,18,0
6.721,1.019,1,48.4,23,33,23.979,6.5,0,9.7,522.96,13,33.812,31.585,31,21,10,0
8.77,0.996,7,43.1,32,55,32.563,2.0,0,0.0,373.5,18,57.438,50.789,51,28,23,0
9.301,0.998,6,45.9,38,65,39.53,4.9,0,0.0,453.58,24,68.106,60.891,61,34,27,0
5.0,1.008,6,43.5,43,72,45.422,4.3,0,1.4,557.1,26,77.544,69.52,69,40,29,0
6.155,1.022,2,38.9,24,38,23.665,5.6,0,0.0,298.34,17,41.069,36.8,36,22,14,0
4.928,1.013,0,41.7,24,38,23.95,2.8,0,0.0,294.35,18,40.86,36.473,36,22,14,0
4.699,1.013,1,44.4,24,38,24.149,5.6,0,0.0,294.34,18,40.488,36.48,36,22,14,0
4.733,1.012,0,48.6,27,40,26.315,5.4,0,0.0,335.41,19,40.91,37.454,37,24,13,1
4.9,1.004,2,47.2,36,57,35.751,3.8,0,0.0,423.51,28,59.232,53.232,53,32,21,0
4.796,1.001,1,48.6,25,38,24.214,0.0,0,0.0,287.35,22,39.152,35.043,35,22,13,0
6.638,1.002,3,44.2,31,54,33.477,5.8,0,0.0,389.49,20,58.275,52.123,52,29,23,0
5.373,0.994,7,42.4,40,70,42.352,1.5,0,0.0,498.71,24,74.102,65.618,66,36,30,1
5.0,0.995,7,43.3,40,71,42.385,3.0,0,0.0,481.65,24,75.308,66.65,67,36,31,0
5.547,1.017,13,41.5,51,87,52.097,7.3,2,2.4,634.74,21,92.987,83.418,82,46,36,0
5.0,1.019,9,40.9,42,70,42.722,3.0,3,4.5,543.67,22,75.247,67.265,66,38,28,1
5.0,0.996,12,39.4,37,69,40.406,3.0,0,0.0,460.64,15,74.806,65.752,66,34,32,0
5.0,1.016,5,41.4,37,61,38.115,8.6,0,0.0,480.59,23,65.112,58.956,58,34,24,1
5.0,0.996,4,44.4,28,48,29.015,2.2,0,0.0,332.44,18,50.524,44.803,45,25,20,0
5.0,1.057,0,38.5,29,41,27.334,7.7,2,5.1,394.4,20,44.878,41.229,39,27,12,1
5.0,1.009,0,48.4,21,33,21.106,6.5,0,0.0,252.29,17,34.491,31.276,31,19,12,0
5.46,1.023,0,51.6,24,34,22.294,9.7,0,0.0,278.28,18,34.286,31.72,31,21,10,0
6.471,1.022,0,47.6,30,45,29.084,9.5,0,0.0,361.38,20,46.824,42.916,42,27,15,0
5.775,1.014,0,48.8,29,44,28.369,7.3,0,0.0,345.38,20,45.614,41.589,41,26,15,0
5.424,1.016,0,46.5,30,46,29.391,7.0,0,0.0,360.4,20,48.113,43.691,43,27,16,0
6.538,1.023,0,45.5,31,47,30.106,9.1,0,0.0,376.4,20,49.322,45.018,44,28,16,0
6.932,1.029,0,50.0,32,45,31.024,7.1,0,4.8,426.27,21,46.502,43.236,42,29,13,0
7.456,1.027,0,50.0,32,45,31.222,7.1,0,4.8,470.72,21,46.4,43.142,42,29,13,0
8.097,1.023,0,50.0,32,45,31.514,7.1,0,4.8,517.72,21,46.279,42.982,42,29,13,0
8.0,1.052,1,48.9,35,48,32.874,6.7,3,8.9,459.83,21,50.993,47.334,45,32,13,0
8.222,1.058,1,47.8,36,49,33.588,8.7,3,8.7,475.83,21,52.202,48.662,46,33,13,0
6.527,1.026,0,51.2,33,46,31.692,7.0,0,2.3,416.84,22,47.641,44.131,43,30,13,0
6.457,1.014,5,42.6,35,57,35.82,5.6,0,1.9,451.95,20,60.801,54.767,54,32,22,0
7.456,1.03,0,47.7,33,47,32.046,6.8,0,4.5,441.29,21,49.001,45.338,44,30,14,0
7.721,1.028,0,47.7,33,47,32.244,6.8,0,4.5,485.74,21,48.898,45.244,44,30,14,0
8.097,1.025,0,47.7,33,47,32.535,6.8,0,4.5,532.74,21,48.777,45.084,44,30,14,0
7.77,1.052,1,46.8,36,50,33.895,6.4,3,8.5,474.85,21,53.491,49.436,47,33,14,0
7.745,1.058,1,45.8,37,51,34.61,8.3,3,8.3,490.85,21,54.7,50.763,48,34,14,0
6.529,1.027,0,48.9,34,48,32.713,6.7,0,2.2,431.86,22,50.14,46.233,45,31,14,0
6.533,1.016,5,41.1,36,59,36.841,5.4,0,1.8,466.97,20,63.299,56.869,56,33,23,0
5.324,1.026,3,42.1,28,41,27.298,2.6,0,5.3,394.31,17,42.585,38.978,38,25,13,1
4.222,1.038,0,44.8,23,31,22.223,3.4,0,6.9,339.22,17,32.256,30.109,29,21,8,1
4.754,1.039,0,41.9,24,33,23.244,3.2,0,6.5,354.24,17,34.755,32.211,31,22,9,1
5.102,1.034,2,39.5,27,40,27.013,5.3,0,5.3,398.3,17,42.794,39.305,38,25,13,1
5.011,1.028,2,38.5,27,41,27.319,2.6,0,5.1,397.32,17,44.083,40.08,39,25,14,1
5.418,1.029,3,39.0,28,43,28.54,4.9,0,4.9,412.33,17,46.21,42.189,41,26,15,1
5.016,1.024,4,38.6,29,46,30.066,4.5,0,4.5,426.36,17,49.625,45.073,44,27,17,1
5.162,1.035,3,40.0,28,42,28.233,7.5,0,5.0,413.31,17,44.921,41.415,40,26,14,1
4.839,1.023,4,40.5,28,44,29.045,4.8,0,4.8,411.34,17,47.126,42.971,42,26,16,1
6.674,1.017,3,41.0,27,42,26.358,5.1,0,0.0,341.43,17,43.906,39.658,39,24,15,1
4.857,1.017,3,41.0,27,42,26.358,5.1,0,0.0,341.43,17,43.906,39.658,39,24,15,1
4.932,1.013,4,40.5,28,45,27.885,4.8,0,0.0,355.46,17,47.322,42.542,42,25,17,1
7.602,1.025,3,41.0,28,42,27.185,5.1,0,2.6,375.87,17,43.85,39.982,39,25,14,1
6.567,1.025,3,41.0,28,42,27.185,5.1,0,2.6,375.87,17,43.85,39.982,39,25,14,1
6.695,1.013,4,40.5,28,45,27.885,4.8,0,0.0,355.46,17,47.322,42.542,42,25,17,1
6.955,1.03,3,41.0,28,42,26.741,5.1,1,2.6,359.42,17,44.246,40.171,39,25,14,1
6.164,1.019,4,39.0,28,44,27.379,4.9,0,0.0,356.45,17,46.405,41.76,41,25,16,1
4.996,1.012,3,42.6,37,58,36.454,3.7,0,0.0,459.58,24,60.733,54.629,54,33,21,1
5.693,1.009,4,42.1,38,61,37.981,3.5,0,0.0,473.61,24,64.149,57.512,57,34,23,1
