pXC50,nCsp3,Mv,Mp,AMW,H.,nN,C.,nCsp2,nH
5.0,8,0.643,0.678,8.804,44.4,4,40.7,14,24
5.0,4,0.619,0.655,7.093,47.2,5,38.9,10,17
5.0,3,0.685,0.691,8.681,36.1,7,45.9,25,22
5.0,1,0.731,0.735,9.732,30.6,4,51.0,24,15
5.0,4,0.632,0.658,7.479,44.9,4,40.8,16,22
5.347,0,0.701,0.717,8.497,35.9,3,51.3,20,14
5.0,10,0.642,0.677,8.162,44.6,5,40.0,15,29
5.0,10,0.615,0.67,7.767,49.0,4,34.7,7,24
5.0,7,0.66,0.692,7.583,42.6,5,47.1,25,29
5.0,7,0.648,0.671,8.237,42.4,5,40.7,17,25
5.0,5,0.648,0.661,8.053,41.3,4,41.3,14,19
5.0,4,0.644,0.68,7.316,44.9,4,44.9,18,22
5.208,7,0.64,0.651,8.657,41.2,5,35.3,11,21
5.0,2,0.718,0.759,9.853,35.6,4,46.7,19,16
5.0,6,0.66,0.682,8.372,41.7,1,43.8,15,20
5.0,1,0.698,0.71,8.543,35.6,4,48.9,21,16
5.0,5,0.664,0.69,9.102,40.5,5,38.1,11,17
5.0,12,0.652,0.693,8.333,44.2,4,41.6,20,34
7.119,7,0.64,0.658,7.833,42.6,8,39.7,20,29
5.959,6,0.646,0.651,8.255,40.4,6,38.6,16,23
6.824,4,0.648,0.679,8.103,42.6,7,38.9,17,23
5.0,5,0.646,0.674,7.574,43.5,5,43.5,22,27
5.0,9,0.632,0.658,7.509,45.0,4,41.7,16,27
5.0,11,0.613,0.638,7.337,46.6,7,36.2,8,27
7.301,14,0.613,0.657,7.491,48.8,7,36.6,16,40
5.602,16,0.594,0.631,6.776,50.6,7,36.4,12,39
5.367,10,0.644,0.682,8.286,43.5,7,37.1,13,27
5.0,5,0.649,0.67,7.85,42.0,6,42.0,16,21
5.0,4,0.656,0.681,7.777,41.9,4,44.2,15,18
6.638,8,0.611,0.643,7.117,48.2,4,39.3,14,27
5.216,6,0.638,0.662,7.567,44.2,3,42.3,14,23
5.0,5,0.677,0.703,8.805,39.4,4,43.9,24,26
5.0,3,0.705,0.683,9.782,30.2,6,45.3,21,16
6.301,3,0.662,0.682,8.01,40.0,6,42.5,14,16
4.959,4,0.661,0.69,7.746,41.5,6,45.3,20,22
5.664,4,0.651,0.676,7.777,41.9,6,41.9,14,18
5.0,3,0.671,0.696,7.93,40.0,6,46.0,20,20
5.046,9,0.629,0.668,7.617,45.9,8,37.7,14,28
5.0,5,0.638,0.673,7.324,45.1,5,43.1,17,23
5.0,4,0.676,0.689,8.295,38.1,4,45.2,15,16
6.638,9,0.626,0.642,7.789,44.1,7,38.2,17,30
5.0,10,0.639,0.672,7.788,44.4,6,40.3,19,32
5.0,7,0.656,0.688,8.661,42.3,5,40.4,14,22
5.0,5,0.661,0.685,8.357,41.1,5,42.9,18,23
5.0,2,0.695,0.716,8.947,36.6,4,46.3,17,15
7.009,0,0.734,0.75,8.81,32.0,2,56.0,14,8
5.0,8,0.644,0.675,7.438,44.4,4,44.4,20,28
5.0,8,0.641,0.665,8.126,43.6,4,40.0,14,24
5.0,7,0.635,0.671,7.26,45.6,7,42.6,22,31
