pXC50,AMW,C.,H.,Me,Mi,Mp
6.796,7.963,50.0,42.9,0.992,1.097,0.724
4.586,8.351,42.1,39.5,1.033,1.123,0.66
4.445,8.565,45.7,40.0,1.007,1.118,0.711
5.109,10.104,42.4,33.3,1.03,1.11,0.749
5.553,8.537,50.0,36.1,1.02,1.106,0.705
4.028,9.702,31.3,43.8,1.033,1.116,0.705
4.804,9.873,36.1,36.1,1.042,1.124,0.705
4.844,8.215,47.1,38.2,1.011,1.117,0.698
6.796,9.278,44.1,38.2,1.006,1.106,0.752
5.3,7.931,40.0,45.3,1.006,1.121,0.68
4.897,8.279,43.9,41.5,1.005,1.116,0.705
5.521,9.81,40.0,33.3,1.048,1.121,0.699
5.458,10.953,42.9,25.0,1.065,1.129,0.722
6.717,8.034,40.9,43.2,1.002,1.126,0.692
4.339,8.237,41.5,43.4,1.02,1.138,0.67
4.34,7.072,38.1,49.2,1.01,1.13,0.629
6.717,7.783,39.6,47.9,0.992,1.119,0.695
4.461,11.341,48.7,30.8,1.026,1.102,0.774
6.666,7.217,36.6,50.0,1.01,1.129,0.634
4.846,7.61,42.9,45.7,1.002,1.117,0.676
5.804,9.732,45.2,38.1,1.016,1.116,0.741
5.159,7.429,41.9,45.2,1.005,1.126,0.661
5.529,7.755,38.5,46.2,1.0,1.129,0.678
5.0,8.866,43.8,39.6,1.011,1.11,0.724
6.18,9.235,41.9,32.3,1.044,1.131,0.681
4.338,6.38,40.3,53.2,0.987,1.125,0.638
4.463,7.799,46.1,42.1,1.01,1.114,0.679
4.165,7.852,40.9,45.5,1.004,1.13,0.68
6.796,7.173,41.9,46.5,0.995,1.128,0.664
4.192,10.168,45.9,37.8,1.022,1.11,0.716
4.95,8.581,48.6,34.3,1.007,1.121,0.723
5.52,7.938,41.8,43.6,1.005,1.122,0.685
5.569,11.008,42.3,34.6,1.022,1.114,0.786
6.678,8.215,50.0,38.2,1.011,1.106,0.704
5.474,11.107,52.0,24.0,1.052,1.135,0.761
4.793,7.874,47.5,40.7,1.004,1.115,0.695
4.769,7.553,38.6,47.1,1.008,1.133,0.655
5.615,8.083,39.1,44.9,1.011,1.122,0.677
4.383,10.395,45.7,31.4,1.037,1.12,0.748
5.035,10.526,38.2,35.3,1.035,1.117,0.745
4.511,8.963,44.1,38.2,1.024,1.119,0.7
4.025,7.111,40.0,50.0,0.989,1.124,0.67
5.144,9.061,39.7,37.9,1.045,1.142,0.665
6.796,7.438,37.1,45.7,1.01,1.14,0.643
4.669,8.318,48.7,41.0,1.003,1.099,0.721
6.426,8.871,45.5,39.4,1.025,1.112,0.697
4.959,8.51,38.6,40.9,1.022,1.129,0.678
6.796,8.75,45.5,39.4,1.015,1.117,0.707
4.617,8.205,44.8,40.3,1.004,1.119,0.705
4.0,6.817,40.4,50.0,0.996,1.127,0.644
4.585,8.105,50.0,38.1,1.001,1.112,0.715
6.796,8.238,45.5,40.9,1.0,1.114,0.715
4.823,8.57,40.0,40.0,1.024,1.126,0.681
5.002,10.704,44.2,32.6,1.042,1.118,0.713
5.734,9.225,46.2,35.9,1.032,1.113,0.704
4.901,7.959,35.7,50.0,1.011,1.133,0.654
6.796,9.111,41.0,33.3,1.043,1.133,0.676
6.134,9.042,45.5,36.4,1.026,1.118,0.705
4.411,6.987,45.5,47.7,0.991,1.115,0.671
5.458,8.204,46.3,39.0,1.017,1.116,0.687
4.247,9.216,48.3,31.0,1.032,1.116,0.713
4.544,8.032,43.1,45.1,0.993,1.112,0.713
5.64,8.215,47.1,38.2,1.011,1.117,0.698
6.417,11.205,39.3,28.6,1.059,1.123,0.737
4.95,8.597,41.0,48.7,0.993,1.123,0.684
5.594,11.229,41.7,30.6,1.058,1.113,0.741
4.366,8.69,40.9,38.6,1.046,1.15,0.648
4.768,5.636,31.3,62.5,0.972,1.14,0.611
5.434,9.981,43.2,37.8,1.021,1.112,0.746
5.229,7.677,36.7,46.7,1.012,1.132,0.651
6.161,8.025,41.1,46.4,1.006,1.123,0.678
4.171,10.38,40.0,33.3,1.039,1.125,0.74
4.564,9.853,48.1,33.3,1.015,1.104,0.767
5.394,9.019,35.2,42.6,1.025,1.129,0.686
5.372,7.447,46.9,43.8,0.995,1.116,0.689
4.872,7.829,44.0,42.0,1.011,1.121,0.674
5.742,6.962,45.2,47.6,0.988,1.118,0.674
5.339,7.979,48.5,39.4,1.002,1.115,0.705
6.796,7.289,51.2,44.2,0.986,1.103,0.705
5.043,9.475,51.7,37.9,1.001,1.088,0.777
6.796,7.035,42.5,47.5,0.993,1.126,0.664
5.407,9.597,41.4,34.5,1.039,1.118,0.708
4.396,8.055,40.9,40.9,1.02,1.13,0.663
6.539,7.358,39.5,46.5,1.011,1.13,0.644
4.47,7.567,40.4,44.2,1.009,1.132,0.659
5.338,7.929,50.0,40.0,1.003,1.107,0.705
6.796,8.053,47.8,39.1,1.005,1.116,0.701
6.796,10.271,44.1,38.2,1.021,1.116,0.715
4.978,7.952,48.6,40.0,1.005,1.112,0.7
5.555,7.722,42.5,43.8,1.013,1.139,0.66
4.656,8.87,42.2,37.5,1.028,1.141,0.688
4.47,8.149,43.1,41.4,1.005,1.122,0.697
5.099,7.617,41.1,46.4,1.003,1.12,0.672
4.678,9.253,48.8,37.2,1.013,1.1,0.743
4.596,8.687,40.0,42.2,1.012,1.124,0.701
6.102,8.778,47.1,41.2,0.99,1.098,0.761
4.2,6.672,34.7,55.1,0.993,1.138,0.626
5.261,6.435,37.0,53.7,0.996,1.132,0.62
6.042,8.054,43.2,40.9,1.021,1.122,0.668
4.698,9.845,42.9,36.7,1.03,1.123,0.725
4.763,9.861,40.5,35.1,1.033,1.123,0.722
4.443,7.926,41.7,41.7,1.016,1.128,0.665
4.89,7.458,44.7,46.8,0.988,1.112,0.696
6.604,11.136,38.7,32.3,1.043,1.125,0.753
6.126,8.161,38.3,45.0,1.012,1.123,0.679
4.802,7.397,42.9,44.9,1.0,1.125,0.669
4.997,8.5,40.8,40.8,1.024,1.121,0.678
5.071,10.101,50.0,27.3,1.038,1.105,0.75
4.835,7.577,47.7,43.2,1.001,1.111,0.687
6.796,8.331,46.0,40.0,1.004,1.113,0.713
5.612,9.95,42.4,33.3,1.054,1.147,0.695
4.754,12.165,47.8,26.1,1.024,1.092,0.856
5.031,6.75,35.2,51.9,1.006,1.138,0.614
4.734,8.573,34.8,39.1,1.048,1.143,0.63
4.33,7.79,43.6,46.2,1.001,1.118,0.683
4.455,7.704,50.0,41.7,0.998,1.106,0.701
5.041,10.073,41.9,25.8,1.058,1.137,0.697
6.796,7.678,48.5,45.5,0.981,1.101,0.727
6.796,6.703,40.8,51.0,0.993,1.133,0.644
5.062,8.815,45.6,42.1,0.998,1.117,0.71
5.5,8.765,45.3,37.7,1.023,1.112,0.703
6.796,9.154,51.4,34.3,1.01,1.097,0.754
5.235,8.288,51.7,41.4,0.99,1.09,0.747
5.762,7.415,37.5,46.9,1.019,1.133,0.63
5.39,7.972,40.5,45.2,1.011,1.126,0.669
6.796,7.9,44.4,44.4,0.994,1.112,0.707
5.495,8.252,51.5,36.4,0.998,1.111,0.729
5.387,7.459,41.5,48.8,0.998,1.122,0.668
4.718,9.973,41.7,37.5,1.018,1.101,0.761
4.33,9.867,39.5,34.9,1.041,1.133,0.701
6.484,6.555,41.8,50.9,0.982,1.127,0.657
4.299,9.323,45.7,31.4,1.041,1.132,0.696
6.18,6.544,34.9,53.5,1.003,1.137,0.609
4.996,9.156,46.7,40.0,0.997,1.102,0.761
5.646,7.866,40.5,42.9,1.022,1.128,0.652
4.533,7.573,45.5,43.6,1.004,1.116,0.676
4.881,12.166,35.1,32.4,1.065,1.126,0.748
4.533,9.485,38.6,40.9,1.027,1.122,0.706
5.537,9.763,33.3,36.1,1.033,1.139,0.709
5.394,8.105,38.7,41.9,1.034,1.13,0.64
6.796,6.84,40.4,48.9,0.989,1.133,0.657
4.904,7.16,43.4,47.2,1.0,1.119,0.66
4.731,7.034,39.0,48.8,1.003,1.131,0.64
4.5,8.154,40.5,42.9,1.008,1.125,0.688
5.18,9.084,45.0,32.5,1.034,1.125,0.697
4.706,6.121,37.8,55.6,0.986,1.131,0.623
6.796,7.932,45.1,43.1,0.999,1.113,0.702
4.447,9.358,42.4,39.4,1.017,1.114,0.727
4.722,8.423,41.2,41.2,1.007,1.123,0.704
4.315,7.836,44.2,42.3,1.012,1.127,0.672
4.653,9.433,52.5,30.0,1.039,1.109,0.72
5.197,8.878,43.5,34.8,1.036,1.125,0.681
5.257,7.575,45.7,43.5,1.003,1.117,0.679
5.314,8.204,46.3,39.0,1.017,1.116,0.687
5.889,7.638,41.9,43.5,1.009,1.127,0.665
4.718,8.923,48.6,34.3,1.036,1.107,0.694
6.796,8.036,47.4,39.5,1.007,1.116,0.697
4.251,8.177,40.7,42.6,1.016,1.122,0.677
4.775,8.903,40.4,42.1,1.015,1.123,0.704
5.181,9.419,33.3,37.0,1.041,1.14,0.678
4.669,10.509,48.3,31.0,1.027,1.101,0.775
4.376,8.953,50.0,35.3,1.001,1.105,0.756
4.618,9.369,48.0,32.0,1.044,1.142,0.695
4.506,7.848,41.9,41.9,1.012,1.129,0.669
5.018,9.852,39.5,34.2,1.061,1.149,0.674
5.406,11.049,50.0,30.0,1.017,1.078,0.83
4.479,8.027,45.6,40.4,1.014,1.117,0.683
4.394,8.951,46.0,36.0,1.019,1.122,0.717
4.129,10.682,47.1,35.3,1.027,1.12,0.729
4.108,7.576,43.3,43.3,1.002,1.126,0.676
5.262,9.794,37.8,35.1,1.063,1.154,0.665
4.962,9.018,50.0,35.4,1.019,1.106,0.725
4.614,8.051,48.9,40.4,1.014,1.113,0.689
4.159,7.253,43.9,46.3,1.001,1.119,0.664
4.645,10.667,42.9,28.6,1.076,1.142,0.694
4.176,8.208,45.0,40.0,1.026,1.114,0.67
5.508,6.184,36.5,55.6,0.991,1.133,0.615
5.079,8.788,42.2,37.8,1.019,1.123,0.702
5.512,8.736,39.4,36.4,1.038,1.136,0.663
4.206,10.786,40.0,30.0,1.065,1.142,0.713
4.586,8.854,37.3,41.2,1.027,1.124,0.684
4.263,7.852,40.9,45.5,1.004,1.13,0.68
5.152,7.979,51.5,39.4,1.002,1.103,0.712
4.02,9.727,45.7,34.3,1.012,1.106,0.766
4.999,7.585,48.5,42.4,0.995,1.112,0.698
4.959,7.645,36.4,45.5,1.025,1.136,0.627
4.662,7.695,40.0,42.9,1.007,1.136,0.665
5.616,8.141,47.4,39.5,1.016,1.112,0.688
4.555,12.067,47.8,30.4,1.045,1.101,0.795
5.296,8.458,44.1,39.0,1.009,1.126,0.703
4.602,8.066,44.3,42.6,1.009,1.119,0.686
6.796,7.738,40.9,45.5,0.997,1.124,0.687
5.383,8.659,47.5,35.0,1.02,1.117,0.705
6.796,10.316,46.2,33.3,1.017,1.112,0.774
6.796,7.253,43.9,46.3,1.001,1.119,0.664
5.427,8.93,43.8,37.5,1.011,1.128,0.717
4.041,7.71,45.0,42.5,1.003,1.131,0.682
4.668,8.404,50.0,36.8,1.012,1.119,0.71
4.379,7.939,40.5,45.2,1.01,1.119,0.674
4.45,7.576,46.7,43.3,1.002,1.114,0.683
5.314,10.03,51.2,34.9,1.006,1.105,0.753
4.851,8.793,42.9,40.0,1.026,1.12,0.686
5.056,8.244,43.1,39.2,1.022,1.125,0.674
4.143,9.594,41.2,38.2,1.027,1.126,0.712
4.856,8.36,41.3,43.5,0.999,1.117,0.714
6.796,7.952,48.6,40.0,1.005,1.112,0.7
6.368,7.352,42.1,44.7,0.995,1.131,0.674
5.944,8.05,40.0,45.7,1.014,1.125,0.666
4.133,7.885,42.2,43.8,1.006,1.121,0.682
5.805,8.332,47.1,38.2,1.021,1.113,0.688
4.492,8.304,45.1,41.2,1.013,1.11,0.697
5.573,10.008,52.5,27.5,1.059,1.124,0.71
5.366,8.117,47.4,42.1,0.995,1.106,0.722
4.987,7.964,45.5,40.9,1.013,1.117,0.68
6.796,7.035,42.5,47.5,0.993,1.126,0.664
4.663,8.801,38.6,40.4,1.022,1.125,0.692
4.718,7.009,38.3,48.9,1.003,1.134,0.638
4.733,8.027,44.6,41.1,1.02,1.117,0.671
5.709,8.142,44.4,40.0,1.02,1.119,0.675
5.239,9.724,43.8,37.5,1.025,1.119,0.725
4.719,8.086,42.5,42.5,0.997,1.123,0.706
4.5,11.027,40.7,29.6,1.05,1.12,0.747
4.394,7.397,42.9,44.9,1.0,1.125,0.669
4.166,8.757,41.7,45.8,1.007,1.12,0.678
5.302,7.194,40.0,51.4,0.992,1.125,0.662
4.951,11.039,46.9,31.3,1.031,1.103,0.784
4.736,9.415,43.4,35.8,1.029,1.117,0.715
4.337,8.933,39.1,41.3,1.026,1.123,0.688
4.913,10.059,47.4,36.8,1.009,1.114,0.737
4.703,10.733,39.4,36.4,1.038,1.129,0.697
4.953,6.489,37.5,52.1,0.986,1.138,0.638
6.357,7.879,38.9,42.6,1.02,1.135,0.651
4.453,7.414,44.2,44.2,0.996,1.124,0.68
6.796,8.21,44.4,42.2,1.01,1.111,0.696
5.76,9.422,41.2,35.3,1.039,1.119,0.698
5.956,8.221,42.4,39.4,1.021,1.127,0.672
5.562,8.457,42.6,40.4,1.016,1.119,0.693
6.796,7.87,44.2,41.9,1.014,1.12,0.673
5.429,9.389,42.9,40.5,1.01,1.115,0.736
6.796,8.319,46.2,41.0,1.003,1.109,0.715
4.498,8.469,39.0,42.4,1.014,1.124,0.691
5.108,9.37,32.3,45.2,1.013,1.118,0.724
4.55,8.888,39.0,39.0,1.035,1.124,0.676
4.258,7.472,38.5,47.7,1.006,1.127,0.655
5.123,8.865,40.4,40.4,1.021,1.124,0.696
5.556,7.412,40.0,48.6,0.988,1.123,0.686
4.834,12.044,42.9,32.1,1.025,1.115,0.777
5.413,8.558,48.4,35.5,1.016,1.115,0.709
4.08,7.423,43.1,44.8,1.002,1.124,0.668
5.536,7.822,45.7,45.7,0.995,1.114,0.697
4.944,8.31,50.0,36.7,1.006,1.112,0.717
4.984,7.562,39.5,44.7,1.012,1.132,0.65
5.178,12.011,38.1,19.0,1.085,1.131,0.738
5.801,7.671,35.5,46.8,1.013,1.136,0.647
4.363,8.079,44.2,39.5,1.011,1.126,0.686
4.699,6.59,41.9,51.6,0.991,1.121,0.645
6.796,8.39,42.2,44.4,1.006,1.117,0.706
4.008,6.178,33.3,58.3,0.981,1.136,0.625
5.393,9.114,53.8,33.3,1.003,1.095,0.767
4.928,9.221,34.2,36.8,1.04,1.142,0.672
5.375,8.729,40.6,40.6,1.025,1.117,0.689
5.51,10.062,43.2,40.9,1.022,1.123,0.708
5.302,8.259,50.0,37.5,1.009,1.109,0.71
4.492,7.261,37.5,50.0,1.0,1.127,0.654
4.417,7.581,47.6,42.9,0.998,1.113,0.691
4.619,6.695,37.0,51.9,0.999,1.142,0.625
4.057,7.011,39.0,51.2,0.984,1.126,0.671
5.644,6.962,45.2,47.6,0.988,1.118,0.674
4.848,7.471,46.2,43.6,0.995,1.118,0.687
5.327,8.354,48.7,41.0,1.004,1.107,0.714
6.796,8.121,47.5,42.5,0.998,1.112,0.71
4.569,7.909,46.9,42.9,0.993,1.109,0.714
5.448,8.791,39.0,39.0,1.027,1.128,0.684
4.378,8.652,46.2,38.5,1.009,1.111,0.722
5.737,7.343,44.4,44.4,0.992,1.125,0.683
6.542,8.819,30.8,42.3,1.035,1.142,0.657
5.055,7.949,50.0,43.8,0.987,1.095,0.732
4.875,8.096,45.6,40.4,1.02,1.115,0.677
4.438,8.245,50.0,38.2,1.01,1.119,0.705
5.253,9.776,44.7,34.2,1.023,1.106,0.75
5.919,8.083,41.7,45.8,0.997,1.119,0.7
4.976,9.496,45.5,33.3,1.027,1.112,0.73
5.817,7.225,37.3,47.1,1.004,1.14,0.643
5.179,9.819,44.0,34.0,1.038,1.13,0.717
4.065,7.433,42.4,45.5,1.008,1.122,0.658
4.329,7.784,45.0,42.5,1.012,1.116,0.673
4.866,10.301,51.7,27.6,1.031,1.121,0.762
5.385,12.647,36.8,21.1,1.064,1.119,0.801
4.162,11.88,45.0,35.0,1.028,1.102,0.779
5.005,10.844,44.0,32.0,1.042,1.119,0.747
5.431,7.964,43.2,40.9,1.013,1.126,0.675
5.553,8.109,45.0,40.0,1.017,1.119,0.679
6.57,8.254,46.7,37.8,1.01,1.12,0.7
4.443,11.548,42.5,27.5,1.065,1.135,0.748
6.192,9.589,45.5,36.4,1.013,1.101,0.758
5.965,8.973,53.6,32.1,1.022,1.1,0.729
6.796,8.961,40.9,45.5,1.011,1.121,0.677
4.545,7.884,42.5,42.5,1.02,1.122,0.659
5.32,8.846,47.1,38.2,1.014,1.113,0.716
4.797,10.683,51.6,35.5,1.017,1.096,0.751
4.143,8.595,41.7,41.7,1.006,1.116,0.715
5.457,7.809,40.0,42.9,1.017,1.132,0.656
4.041,8.75,45.5,39.4,1.015,1.117,0.707
4.196,8.467,39.1,41.3,1.024,1.126,0.675
4.1,8.058,46.3,41.5,1.017,1.14,0.675
4.817,8.757,41.7,45.8,1.007,1.12,0.678
4.75,9.47,45.7,37.1,1.015,1.099,0.75
5.79,8.888,48.5,33.3,1.025,1.115,0.71
4.915,8.11,39.2,45.1,0.999,1.123,0.699
4.678,11.304,44.1,32.4,1.025,1.103,0.803
4.608,11.48,47.6,28.6,1.039,1.111,0.784
5.972,9.179,44.4,38.9,1.009,1.104,0.744
4.586,8.553,37.0,41.3,1.031,1.13,0.663
4.153,8.898,50.0,33.3,1.026,1.109,0.712
4.237,9.535,39.1,39.1,1.025,1.111,0.724
4.496,12.363,42.9,31.4,1.048,1.107,0.763
5.101,7.981,38.9,41.7,1.021,1.136,0.655
4.583,7.587,51.1,42.2,0.994,1.103,0.706
5.006,8.458,42.1,42.1,1.02,1.124,0.685
5.777,8.186,45.2,42.9,1.009,1.114,0.692
6.796,9.363,38.7,32.3,1.055,1.138,0.664
5.496,10.82,44.4,37.0,1.015,1.119,0.736
4.734,10.13,42.3,34.6,1.017,1.107,0.771
5.124,7.888,42.6,44.4,1.006,1.123,0.678
4.441,8.829,38.6,38.6,1.026,1.14,0.684
4.928,6.927,42.6,49.2,0.998,1.119,0.651
5.368,8.639,39.5,39.5,1.02,1.129,0.689
4.471,8.238,40.9,43.2,1.017,1.128,0.678
4.721,8.279,48.6,37.8,1.013,1.111,0.701
4.187,9.305,44.1,35.3,1.03,1.113,0.714
4.213,9.042,43.5,39.1,1.016,1.115,0.717
4.948,8.564,44.7,39.5,1.009,1.114,0.714
5.322,7.716,50.0,41.2,0.995,1.109,0.707
4.766,8.6,47.4,39.5,1.01,1.112,0.713
4.227,7.227,39.7,47.4,1.008,1.128,0.643
5.277,7.438,41.3,46.0,1.011,1.13,0.649
4.73,6.095,38.3,55.3,0.982,1.132,0.63
4.006,8.99,35.2,46.3,1.014,1.133,0.671
4.184,8.976,54.8,32.3,1.023,1.094,0.73
4.681,9.794,46.8,34.0,1.032,1.121,0.726
4.585,8.41,40.0,42.0,1.025,1.129,0.67
5.092,7.009,41.0,48.7,1.001,1.125,0.647
5.478,10.363,38.6,34.1,1.04,1.13,0.728
4.831,8.708,40.0,40.0,1.03,1.129,0.672
4.675,7.749,46.0,42.0,1.005,1.117,0.685
4.41,7.599,42.9,44.6,1.011,1.135,0.66
4.833,8.738,45.5,39.4,1.013,1.12,0.716
4.894,8.52,41.5,39.6,1.018,1.124,0.69
6.796,7.475,44.2,44.2,1.001,1.122,0.675
4.318,7.41,40.0,47.7,1.001,1.124,0.664
4.767,9.51,42.9,33.3,1.036,1.13,0.709
4.905,16.313,36.8,31.6,1.051,1.123,0.785
6.618,7.532,39.1,47.8,1.002,1.124,0.666
4.519,8.951,47.7,36.4,1.018,1.113,0.717
5.449,11.709,46.9,31.3,1.035,1.099,0.803
4.757,8.958,42.9,40.8,1.026,1.119,0.696
4.688,10.173,50.0,35.7,1.022,1.1,0.731
5.893,9.131,44.9,40.8,1.009,1.11,0.733
4.511,8.631,44.8,34.5,1.013,1.132,0.709
5.428,9.105,51.6,32.3,1.034,1.101,0.712
4.412,8.498,45.9,40.5,1.008,1.118,0.713
4.538,7.26,47.5,45.0,0.99,1.113,0.689
4.936,9.525,40.0,34.3,1.037,1.138,0.702
4.957,8.381,46.5,37.2,1.016,1.119,0.697
6.367,8.181,42.6,42.6,1.012,1.117,0.688
4.876,7.669,46.8,42.6,1.003,1.114,0.686
4.614,8.421,43.6,41.0,1.011,1.114,0.701
5.185,9.408,50.0,30.0,1.04,1.108,0.714
6.796,8.662,48.8,37.2,1.003,1.107,0.737
4.665,8.908,44.4,38.9,1.014,1.115,0.717
5.212,9.126,39.5,37.2,1.041,1.123,0.678
5.229,8.693,36.8,36.8,1.038,1.144,0.655
4.947,7.467,39.6,45.8,1.014,1.129,0.644
5.293,7.748,41.3,43.5,1.017,1.126,0.655
4.408,10.153,47.1,38.2,1.011,1.11,0.731
5.525,8.313,43.5,39.1,1.027,1.121,0.67
4.805,10.737,39.0,34.1,1.052,1.129,0.686
4.0,7.926,44.4,41.7,1.017,1.118,0.671
4.451,12.504,41.7,29.2,1.056,1.139,0.729
4.422,7.454,41.7,44.4,1.001,1.13,0.668
4.687,8.985,48.7,35.9,1.014,1.103,0.733
4.215,10.495,48.6,37.8,1.007,1.097,0.763
4.991,10.433,33.3,29.6,1.058,1.158,0.688
5.183,8.103,43.8,40.6,1.022,1.12,0.669
6.069,10.697,44.0,36.0,1.008,1.085,0.818
4.154,8.254,48.9,37.8,1.011,1.112,0.705
6.161,9.198,40.5,32.4,1.042,1.137,0.679
4.407,7.838,51.4,40.0,0.995,1.106,0.715
5.821,8.643,43.5,41.3,1.004,1.11,0.724
5.18,8.85,48.8,36.6,1.009,1.113,0.729
5.606,8.688,40.4,46.8,1.008,1.122,0.671
5.437,7.668,43.2,43.2,1.008,1.124,0.67
5.439,9.403,42.4,30.3,1.041,1.135,0.695
4.763,7.243,37.9,51.7,0.99,1.127,0.666
5.244,7.952,48.6,40.0,1.005,1.112,0.7
4.032,9.395,41.2,38.2,1.016,1.113,0.736
5.163,8.402,47.8,39.1,1.0,1.109,0.727
6.073,8.922,39.4,42.4,1.009,1.114,0.721
6.796,6.896,45.5,47.7,0.983,1.119,0.679
4.446,7.492,41.4,44.8,1.008,1.128,0.659
5.364,10.277,41.2,32.4,1.038,1.113,0.74
5.563,10.359,42.4,36.4,1.026,1.103,0.76
4.433,6.77,36.6,50.7,0.998,1.139,0.631
5.234,8.268,40.0,42.9,1.01,1.124,0.69
5.107,11.242,44.4,33.3,1.037,1.105,0.776
5.118,10.488,36.0,24.0,1.077,1.153,0.674
4.561,6.733,40.4,51.1,0.998,1.124,0.637
4.719,9.146,45.1,33.3,1.039,1.144,0.688
5.318,7.946,46.8,40.4,1.008,1.116,0.691
6.796,6.76,39.6,50.0,0.991,1.132,0.648
4.332,7.641,43.9,43.9,1.012,1.118,0.664
4.428,7.034,45.0,47.5,0.993,1.116,0.669
4.865,7.703,40.4,46.2,1.006,1.122,0.67
5.135,9.205,40.6,39.1,1.024,1.119,0.707
5.224,9.436,40.7,40.7,1.013,1.117,0.733
5.165,8.753,40.0,40.0,1.025,1.121,0.687
5.83,9.136,40.6,37.5,1.031,1.12,0.696
6.177,8.144,40.5,40.5,1.025,1.13,0.66
4.569,8.933,44.4,38.9,1.014,1.121,0.713
4.408,9.047,44.7,36.8,1.024,1.12,0.705
4.687,8.16,40.7,44.4,1.001,1.119,0.701
5.708,7.692,43.9,43.9,1.013,1.127,0.662
4.381,9.154,51.4,34.3,1.01,1.097,0.754
6.796,7.562,39.5,44.7,1.012,1.132,0.65
5.502,9.147,44.8,34.5,1.044,1.158,0.677
4.273,8.072,40.8,42.9,1.006,1.126,0.687
6.478,9.27,45.2,33.3,1.048,1.144,0.679
5.095,9.617,37.8,37.8,1.036,1.127,0.7
5.35,8.647,45.5,38.2,1.018,1.113,0.705
5.116,8.271,37.5,47.5,1.014,1.121,0.673
4.915,8.199,40.6,43.8,1.007,1.12,0.692
5.366,9.037,41.0,41.0,1.022,1.108,0.709
5.019,9.23,39.5,39.5,1.03,1.122,0.695
4.459,8.459,44.8,39.7,1.014,1.121,0.7
4.486,7.405,41.7,45.8,1.006,1.133,0.656
4.189,8.428,46.5,37.2,1.02,1.117,0.693
4.11,6.663,38.5,51.9,0.997,1.138,0.63
6.541,7.568,41.2,44.1,1.008,1.13,0.662
5.178,12.392,46.2,30.8,1.023,1.104,0.798
6.425,7.454,47.2,44.4,1.001,1.11,0.679
4.938,7.897,40.0,45.7,1.003,1.121,0.683
4.825,8.39,47.6,38.1,1.025,1.109,0.686
5.185,9.469,40.7,37.0,1.043,1.124,0.685
5.375,7.731,44.4,42.6,1.008,1.12,0.675
4.688,7.759,40.9,43.2,1.016,1.129,0.657
