pXC50,X.,nF,O.,nX,N.,nN,nO,Mv,nCsp3,AMW,C.,H.,Me
8.886,1.1,0,11.1,1,0.0,0,10,0.587,24,7.463,35.6,52.2,1.008
7.432,0.0,0,9.7,0,0.0,0,7,0.584,19,6.592,37.5,52.8,1.001
7.602,0.0,0,11.0,0,0.0,0,8,0.585,19,6.721,37.0,52.1,1.006
6.086,0.0,0,10.6,0,0.0,0,7,0.59,17,6.767,37.9,51.5,1.005
5.092,0.0,0,4.1,0,8.2,6,3,0.608,11,7.188,37.0,49.3,0.999
5.0,0.0,0,2.2,0,8.7,4,1,0.689,1,8.402,47.8,39.1,1.0
4.953,0.0,0,14.6,0,0.0,0,6,0.671,0,8.301,46.3,39.0,1.025
5.0,8.3,3,6.3,4,8.3,4,3,0.696,2,9.685,43.8,33.3,1.048
5.0,1.7,0,3.4,1,11.9,7,2,0.642,8,8.272,37.3,44.1,1.01
4.824,0.0,0,14.6,0,2.4,2,12,0.667,7,8.595,42.7,39.0,1.03
4.42,0.0,0,15.5,0,1.4,1,11,0.675,4,8.756,43.7,38.0,1.032
5.0,0.0,0,1.9,0,11.5,6,1,0.598,8,6.817,36.5,50.0,0.996
6.553,0.0,0,16.1,0,0.0,0,9,0.665,4,8.33,44.6,39.3,1.03
4.886,0.0,0,16.1,0,0.0,0,9,0.665,4,8.33,44.6,39.3,1.03
4.301,0.0,0,18.0,0,1.6,1,11,0.67,4,8.944,41.0,37.7,1.041
4.886,0.0,0,18.5,0,1.9,1,10,0.684,2,8.916,44.4,35.2,1.043
4.328,0.0,0,17.4,0,1.4,1,12,0.683,3,9.038,43.5,36.2,1.039
4.301,0.0,0,16.9,0,1.5,1,11,0.69,2,9.132,44.6,35.4,1.038
4.301,0.0,0,16.2,0,1.5,1,11,0.679,3,8.641,45.6,36.8,1.034
5.387,0.0,0,17.0,0,0.0,0,9,0.674,3,8.537,45.3,37.7,1.034
5.638,0.0,0,16.2,0,1.5,1,11,0.682,3,8.936,44.1,36.8,1.035
4.409,0.0,0,14.9,0,1.4,1,11,0.688,3,8.888,45.9,36.5,1.031
5.0,7.1,1,7.1,3,9.5,4,3,0.694,3,10.898,40.5,35.7,1.039
7.833,0.0,0,4.9,0,6.6,4,3,0.656,9,7.649,45.9,42.6,1.002
4.7,0.0,0,5.1,0,10.3,4,2,0.625,5,7.857,35.9,46.2,1.008
6.4,0.0,0,5.9,0,5.9,2,2,0.622,5,7.186,41.2,47.1,1.001
5.0,1.7,1,6.8,1,6.8,4,4,0.621,9,7.501,39.0,45.8,1.014
6.642,0.0,0,5.3,0,1.3,1,4,0.565,20,6.023,36.8,56.6,0.986
6.509,0.0,0,15.4,0,1.5,1,10,0.692,3,8.762,47.7,35.4,1.032
8.0,0.0,0,16.7,0,3.3,2,10,0.674,4,8.708,43.3,36.7,1.039
6.276,0.0,0,0.0,0,14.6,6,0,0.641,7,7.473,41.5,43.9,0.998
7.0,0.0,0,17.7,0,1.6,1,11,0.672,5,8.67,43.5,37.1,1.039
5.0,1.4,0,4.3,1,8.7,6,3,0.658,6,8.074,43.5,42.0,1.008
4.726,0.0,0,8.5,0,4.3,2,4,0.652,2,7.754,44.7,42.6,1.01
6.319,0.0,0,2.9,0,4.3,3,2,0.586,15,6.314,39.1,53.6,0.985
4.928,0.0,0,10.9,0,2.2,1,5,0.659,2,7.944,45.7,41.3,1.015
5.0,0.0,0,5.6,0,8.3,3,2,0.698,0,8.426,50.0,36.1,1.011
5.0,0.0,0,3.5,0,7.0,4,2,0.637,7,7.273,43.9,45.6,0.996
5.0,0.0,0,3.2,0,8.1,5,2,0.627,8,7.155,41.9,46.8,0.996
5.232,0.0,0,3.6,0,7.1,4,2,0.631,6,7.188,42.9,46.4,0.996
5.408,0.0,0,3.4,0,6.8,4,2,0.624,7,7.061,42.4,47.5,0.994
5.0,0.0,0,4.0,0,8.0,4,2,0.645,4,7.49,44.0,44.0,1.0
5.199,0.0,0,6.5,0,6.5,3,3,0.661,3,7.857,45.7,41.3,1.008
5.465,0.0,0,3.3,0,6.7,4,2,0.631,8,7.143,43.3,46.7,0.994
5.0,0.0,0,1.5,0,9.1,6,1,0.642,7,7.556,42.4,45.5,0.994
5.0,0.0,0,3.0,0,7.5,5,2,0.633,7,7.189,43.3,46.3,0.995
5.0,2.4,2,7.3,2,4.9,4,6,0.635,13,7.741,41.5,43.9,1.017
5.0,4.5,3,3.0,3,7.6,5,2,0.647,9,8.237,40.9,42.4,1.019
5.0,0.0,0,3.0,0,9.1,6,2,0.612,12,6.979,39.4,48.5,0.996
5.0,0.0,0,8.6,0,6.9,4,5,0.657,5,8.286,41.4,41.4,1.016
5.0,0.0,0,2.2,0,8.9,4,1,0.645,4,7.388,44.4,44.4,0.996
5.0,5.1,2,7.7,2,15.4,6,3,0.701,0,10.113,38.5,30.8,1.057
4.793,0.0,0,6.8,0,3.4,2,4,0.623,6,7.128,42.4,47.5,1.0
4.631,0.0,0,7.1,0,1.4,1,5,0.608,10,6.824,41.4,50.0,0.997
9.046,0.0,0,3.8,0,11.5,6,2,0.678,4,8.163,46.2,38.5,1.009
7.77,5.7,3,1.9,3,9.4,5,1,0.618,9,7.688,37.7,45.3,1.021
5.0,0.0,0,2.9,0,2.9,2,2,0.551,17,5.716,35.3,58.8,0.98
7.086,2.3,0,2.3,1,16.3,7,1,0.652,6,9.403,37.2,41.9,1.013
5.051,0.0,0,1.9,0,7.4,4,1,0.677,3,7.751,50.0,40.7,0.994
5.081,0.0,0,1.9,0,9.3,5,1,0.659,3,7.584,46.3,42.6,0.996
6.057,0.0,0,0.0,0,11.1,4,0,0.646,2,7.343,44.4,44.4,0.992
6.032,0.0,0,0.0,0,14.3,5,0,0.65,2,7.581,42.9,42.9,0.998
6.0,0.0,0,0.0,0,14.3,5,0,0.65,2,7.581,42.9,42.9,0.998
7.357,0.0,0,0.0,0,11.1,4,0,0.646,2,7.343,44.4,44.4,0.992
7.42,0.0,0,0.0,0,17.6,6,0,0.654,2,7.834,41.2,41.2,1.004
6.921,0.0,0,2.9,0,11.8,4,1,0.66,2,7.833,44.1,41.2,1.004
8.301,0.0,0,0.0,0,13.2,5,0,0.639,3,7.352,42.1,44.7,0.995
7.745,0.0,0,0.0,0,12.2,5,0,0.629,4,7.156,41.5,46.3,0.993
6.395,0.0,0,0.0,0,10.4,5,0,0.653,3,7.406,45.8,43.8,0.991
7.62,0.0,0,0.0,0,13.2,5,0,0.639,3,7.352,42.1,44.7,0.995
7.102,0.0,0,0.0,0,13.2,5,0,0.639,3,7.352,42.1,44.7,0.995
8.155,0.0,0,0.0,0,11.9,5,0,0.638,5,7.272,42.9,45.2,0.993
8.097,0.0,0,0.0,0,11.9,5,0,0.638,5,7.272,42.9,45.2,0.993
7.886,0.0,0,0.0,0,13.2,5,0,0.639,3,7.352,42.1,44.7,0.995
7.092,0.0,0,2.9,0,11.8,4,1,0.66,2,7.833,44.1,41.2,1.004
6.096,0.0,0,2.6,0,13.2,5,1,0.67,3,8.036,44.7,39.5,1.007
6.0,0.0,0,0.0,0,12.2,5,0,0.629,4,7.156,41.5,46.3,0.993
6.833,0.0,0,0.0,0,14.0,6,0,0.624,4,7.173,39.5,46.5,0.995
6.0,0.0,0,0.0,0,11.5,6,0,0.604,7,6.741,38.5,50.0,0.989
7.208,2.4,1,0.0,1,12.2,5,0,0.638,4,7.595,41.5,43.9,1.005
7.328,2.4,0,0.0,1,12.2,5,0,0.649,4,7.996,41.5,43.9,1.0
6.876,0.0,0,0.0,0,11.4,5,0,0.621,5,6.987,40.9,47.7,0.99
9.201,0.0,0,11.1,0,0.0,0,10,0.575,24,6.587,35.6,53.3,1.005
7.77,0.0,0,10.5,0,0.0,0,8,0.582,20,6.641,36.8,52.6,1.004
8.699,0.0,0,10.5,0,0.0,0,8,0.582,20,6.641,36.8,52.6,1.004
6.476,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
6.5,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
8.009,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
7.495,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
7.721,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
9.155,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
7.602,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
7.959,0.0,0,3.1,0,9.4,6,2,0.646,8,7.51,43.8,43.8,1.0
7.137,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
8.42,0.0,0,3.6,0,10.9,6,2,0.669,5,7.973,45.5,40.0,1.006
5.0,1.5,1,4.5,1,10.4,7,3,0.627,8,7.577,38.8,44.8,1.012
4.398,0.0,0,0.0,0,20.0,5,0,0.686,0,8.45,44.0,36.0,1.011
7.143,0.0,0,3.6,0,8.9,5,2,0.666,5,7.813,46.4,41.1,1.002
8.367,0.0,0,3.6,0,8.9,5,2,0.666,5,7.813,46.4,41.1,1.002
8.208,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
8.699,1.8,1,3.6,1,10.9,6,2,0.676,5,8.3,45.5,38.2,1.015
8.409,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
7.796,0.0,0,3.4,0,10.3,6,2,0.66,6,7.803,44.8,41.4,1.004
6.5,0.0,0,3.1,0,9.4,6,2,0.646,8,7.51,43.8,43.8,1.0
6.5,0.0,0,3.0,0,9.0,6,2,0.64,9,7.383,43.3,44.8,0.998
7.815,1.8,1,3.6,1,10.9,6,2,0.676,5,8.3,45.5,38.2,1.015
6.5,1.8,0,3.6,1,10.9,6,2,0.684,5,8.599,45.5,38.2,1.012
6.0,0.0,0,5.9,0,9.8,5,3,0.656,7,7.911,43.1,41.2,1.011
5.0,0.0,0,2.3,0,14.0,6,1,0.617,8,7.266,37.2,46.5,1.003
5.0,2.2,1,2.2,1,10.9,5,1,0.672,1,8.162,45.7,39.1,1.012
5.0,0.0,0,5.0,0,15.0,6,2,0.692,0,8.659,45.0,35.0,1.02
6.796,0.0,0,7.4,0,5.6,3,4,0.679,7,8.139,48.1,38.9,1.011
6.268,0.0,0,5.5,0,5.5,4,4,0.668,9,7.818,47.9,41.1,1.003
4.301,0.0,0,12.9,0,4.3,3,9,0.648,7,8.052,41.4,41.4,1.025
4.0,1.8,0,5.5,1,10.9,6,3,0.625,8,7.872,36.4,45.5,1.014
9.0,3.8,1,1.9,2,11.3,6,1,0.629,9,7.905,37.7,45.3,1.012
4.0,1.9,0,1.9,1,11.5,6,1,0.614,8,7.48,36.5,48.1,1.002
5.0,1.9,1,7.4,1,5.6,3,4,0.662,5,8.436,42.6,40.7,1.019
5.0,3.7,1,3.7,2,7.4,4,2,0.643,8,8.804,40.7,44.4,1.01
5.0,0.0,0,0.0,0,13.9,5,0,0.619,4,7.093,38.9,47.2,0.995
5.0,4.9,3,1.6,3,11.5,7,1,0.685,3,8.681,45.9,36.1,1.025
7.62,0.0,0,9.1,0,2.3,1,4,0.667,4,7.918,47.7,40.9,1.01
5.0,6.1,2,4.1,3,8.2,4,2,0.731,1,9.732,51.0,30.6,1.033
7.096,6.1,3,4.1,3,8.2,4,2,0.631,9,8.05,38.8,42.9,1.029
5.0,0.0,0,6.1,0,8.2,4,3,0.632,4,7.479,40.8,44.9,1.007
6.602,4.5,3,16.7,3,1.5,1,11,0.687,6,9.356,43.9,33.3,1.058
6.013,0.0,0,13.9,0,1.4,1,10,0.66,10,8.161,44.4,40.3,1.024
4.0,0.0,0,0.0,0,11.6,5,0,0.646,4,7.382,44.2,44.2,0.993
8.0,0.0,0,16.7,0,3.3,2,10,0.674,4,8.708,43.3,36.7,1.039
8.348,0.0,0,9.3,0,0.0,0,7,0.581,21,6.516,37.3,53.3,1.0
5.124,0.0,0,5.3,0,7.9,3,2,0.714,0,8.615,52.6,34.2,1.01
7.648,0.0,0,4.3,0,8.7,4,2,0.614,8,7.097,39.1,47.8,1.0
5.386,0.0,0,4.4,0,6.7,3,2,0.595,8,6.698,37.8,51.1,0.995
8.824,0.0,0,10.5,0,0.0,0,8,0.582,21,6.641,36.8,52.6,1.004
5.0,2.6,1,2.6,1,7.7,3,1,0.701,0,8.497,51.3,35.9,1.011
5.255,0.0,0,8.0,0,0.0,0,8,0.565,29,6.169,36.0,56.0,0.994
5.078,0.0,0,2.8,0,2.8,2,2,0.549,18,5.672,35.2,59.2,0.979
9.0,0.0,0,2.9,0,4.3,3,2,0.565,16,5.995,36.2,56.5,0.984
5.62,3.1,0,4.6,2,7.7,5,3,0.642,10,8.162,40.0,44.6,1.01
5.027,0.0,0,3.0,0,6.1,4,2,0.664,6,7.585,48.5,42.4,0.995
4.102,0.0,0,7.1,0,5.4,3,4,0.664,6,7.884,46.4,41.1,1.008
4.301,0.0,0,13.8,0,3.1,2,9,0.658,6,8.224,43.1,40.0,1.027
6.194,0.0,0,12.3,0,6.2,5,10,0.65,10,8.145,40.7,40.7,1.027
5.222,0.0,0,5.6,0,5.6,4,4,0.638,10,7.39,43.7,45.1,1.001
5.699,0.0,0,15.2,0,3.0,2,10,0.662,6,8.646,40.9,39.4,1.033
6.432,0.0,0,14.5,0,1.6,1,9,0.658,6,8.186,43.5,40.3,1.027
6.611,0.0,0,15.0,0,0.0,0,9,0.663,6,8.208,45.0,40.0,1.026
5.0,0.0,0,4.1,0,8.2,4,2,0.615,10,7.767,34.7,49.0,1.001
5.398,3.7,0,3.7,1,14.8,4,1,0.719,0,11.302,44.4,33.3,1.023
5.42,0.0,0,12.1,0,7.6,5,8,0.668,6,8.478,42.4,37.9,1.03
5.699,0.0,0,12.7,0,7.9,5,8,0.676,5,8.66,42.9,36.5,1.033
4.495,0.0,0,13.8,0,3.1,2,9,0.658,6,8.224,43.1,40.0,1.027
6.523,0.0,0,2.9,0,7.4,5,2,0.66,7,7.583,47.1,42.6,0.997
5.745,0.0,0,15.3,0,1.7,1,9,0.665,5,8.364,44.1,39.0,1.03
5.398,0.0,0,2.9,0,5.8,4,2,0.657,7,7.459,47.8,43.5,0.993
5.538,0.0,0,12.3,0,6.2,5,10,0.65,10,8.145,40.7,40.7,1.027
5.252,0.0,0,6.3,0,6.3,4,4,0.622,10,7.789,36.5,47.6,1.006
6.409,0.0,0,3.1,0,6.2,4,2,0.636,9,7.179,44.6,46.2,0.993
4.602,0.0,0,12.7,0,2.5,2,10,0.641,11,7.832,41.8,43.0,1.02
6.553,0.0,0,14.9,0,1.5,1,10,0.657,7,8.203,43.3,40.3,1.028
4.347,0.0,0,17.9,0,1.5,1,12,0.673,6,8.949,41.8,37.3,1.04
7.469,0.0,0,15.4,0,2.6,2,12,0.648,9,8.162,41.0,41.0,1.031
6.553,0.0,0,14.9,0,1.5,1,10,0.657,7,8.203,43.3,40.3,1.028
6.77,0.0,0,15.9,0,3.2,2,10,0.666,5,8.516,42.9,38.1,1.035
5.824,0.0,0,15.4,0,1.5,1,10,0.669,7,8.424,44.6,38.5,1.03
4.347,0.0,0,17.9,0,1.5,1,12,0.673,6,8.949,41.8,37.3,1.04
5.444,0.0,0,13.5,0,1.4,1,10,0.65,10,7.968,43.2,41.9,1.022
4.796,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
6.796,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
7.0,0.0,0,17.7,0,1.6,1,11,0.672,5,8.67,43.5,37.1,1.039
5.886,0.0,0,17.9,0,1.5,1,12,0.673,6,8.949,41.8,37.3,1.04
4.44,0.0,0,14.3,0,2.9,2,10,0.658,8,8.237,42.9,40.0,1.028
4.854,0.0,0,14.3,0,2.9,2,10,0.658,8,8.237,42.9,40.0,1.028
5.886,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
7.523,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
7.31,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
7.523,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
6.824,0.0,0,17.7,0,1.6,1,11,0.672,5,8.67,43.5,37.1,1.039
5.444,0.0,0,13.5,0,1.4,1,10,0.65,10,7.968,43.2,41.9,1.022
7.357,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
5.959,0.0,0,5.0,0,6.7,4,3,0.65,7,7.576,45.0,43.3,1.002
5.444,0.0,0,16.2,0,2.9,2,11,0.665,6,8.508,42.6,38.2,1.035
6.509,4.5,3,15.2,3,3.0,2,10,0.68,6,9.463,40.9,34.8,1.056
4.328,0.0,0,12.7,0,2.8,2,9,0.625,12,7.614,39.4,45.1,1.02
5.301,0.0,0,13.4,0,3.0,2,9,0.647,7,8.009,41.8,41.8,1.024
4.301,0.0,0,13.1,0,4.9,3,8,0.673,5,8.484,44.3,37.7,1.029
5.301,0.0,0,5.9,0,5.9,4,4,0.644,10,7.509,44.1,44.1,1.003
5.301,0.0,0,7.1,0,5.7,4,5,0.674,6,8.296,45.7,40.0,1.01
5.301,0.0,0,13.4,0,3.0,2,9,0.647,7,8.009,41.8,41.8,1.024
5.301,0.0,0,5.3,0,7.0,4,3,0.658,6,7.729,45.6,42.1,1.004
5.0,0.0,0,4.3,0,1.4,1,3,0.553,18,5.767,35.7,58.6,0.982
5.0,3.4,1,5.1,2,8.5,5,3,0.648,7,8.237,40.7,42.4,1.018
5.174,0.0,0,12.9,0,2.9,2,9,0.641,8,7.866,41.4,42.9,1.022
4.244,0.0,0,4.3,0,5.7,4,3,0.658,7,7.581,47.1,42.9,0.998
5.678,0.0,0,14.1,0,3.1,2,9,0.653,6,8.165,42.2,40.6,1.027
5.0,0.0,0,14.3,0,3.2,2,9,0.671,6,8.453,44.4,38.1,1.03
9.346,0.0,0,4.8,0,4.8,6,6,0.571,28,6.268,35.5,54.8,0.992
4.301,0.0,0,14.9,0,1.5,1,10,0.679,3,8.531,46.3,37.3,1.03
6.337,0.0,0,16.2,0,1.5,1,11,0.682,3,8.936,44.1,36.8,1.035
8.0,0.0,0,3.8,0,7.7,4,2,0.694,3,8.858,46.2,38.5,1.005
6.495,0.0,0,16.2,0,1.5,1,11,0.682,3,8.936,44.1,36.8,1.035
5.584,1.9,0,3.8,1,7.5,4,2,0.653,5,7.98,43.4,43.4,1.004
5.461,0.0,0,3.8,0,7.5,4,2,0.637,5,7.33,43.4,45.3,0.998
5.553,0.0,0,3.8,0,9.6,5,2,0.668,3,7.913,46.2,40.4,1.004
5.721,0.0,0,15.4,0,1.5,1,10,0.692,3,8.762,47.7,35.4,1.032
6.319,0.0,0,15.4,0,1.5,1,10,0.692,3,8.762,47.7,35.4,1.032
4.602,0.0,0,15.4,0,1.5,1,10,0.692,3,8.762,47.7,35.4,1.032
6.0,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
6.288,0.0,0,5.3,0,1.3,1,4,0.565,20,6.023,36.8,56.6,0.986
5.462,0.0,0,3.6,0,7.1,4,2,0.631,6,7.188,42.9,46.4,0.996
5.0,2.2,1,6.5,1,8.7,4,3,0.648,5,8.053,41.3,41.3,1.021
5.301,1.9,0,1.9,1,7.7,4,1,0.68,3,8.249,48.1,40.4,1.0
7.959,0.0,0,2.0,0,8.2,4,1,0.644,4,7.316,44.9,44.9,0.994
5.215,0.0,0,1.9,0,7.7,4,1,0.664,3,7.587,48.1,42.3,0.994
5.523,0.0,0,5.4,0,8.1,3,2,0.632,5,7.876,37.8,45.9,1.006
5.0,3.9,2,7.8,2,9.8,5,4,0.64,7,8.657,35.3,41.2,1.037
5.0,4.4,0,2.2,2,8.9,4,1,0.718,2,9.853,46.7,35.6,1.014
9.328,0.0,0,3.2,0,4.8,3,2,0.57,14,6.121,36.5,55.6,0.986
7.538,0.0,0,3.0,0,4.5,3,2,0.567,15,6.055,36.4,56.1,0.985
7.77,0.0,0,0.0,0,9.1,5,0,0.673,4,7.957,47.3,41.8,0.992
4.699,2.1,0,8.5,1,6.4,3,4,0.649,6,8.295,40.4,42.6,1.019
8.0,0.0,0,15.9,0,3.2,2,10,0.666,5,8.516,42.9,38.1,1.035
5.42,0.0,0,4.5,0,6.0,4,3,0.643,10,7.383,44.8,44.8,0.998
5.337,0.0,0,13.8,0,3.1,2,9,0.681,4,8.562,46.2,36.9,1.029
4.523,0.0,0,14.8,0,1.6,1,9,0.652,5,8.123,42.6,41.0,1.027
7.523,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
7.824,0.0,0,16.7,0,3.3,2,10,0.674,4,8.708,43.3,36.7,1.039
7.301,0.0,0,16.4,0,1.6,1,10,0.672,5,8.549,44.3,37.7,1.034
6.37,2.1,0,10.4,1,2.1,1,5,0.66,6,8.372,43.8,41.7,1.019
4.886,0.0,0,14.3,0,1.4,1,10,0.651,8,8.051,42.9,41.4,1.025
6.585,0.0,0,16.9,0,1.5,1,11,0.665,6,8.485,43.1,38.5,1.035
6.222,0.0,0,4.8,0,6.3,4,3,0.644,8,7.438,44.4,44.4,1.0
8.0,0.0,0,15.9,0,3.2,2,10,0.666,5,8.516,42.9,38.1,1.035
7.301,0.0,0,14.5,0,2.9,2,10,0.653,7,8.182,42.0,40.6,1.028
5.456,0.0,0,13.8,0,3.1,2,9,0.658,6,8.224,43.1,40.0,1.027
4.523,0.0,0,13.6,0,1.7,1,8,0.67,5,8.297,45.8,39.0,1.024
6.757,0.0,0,19.0,0,0.0,0,8,0.63,4,8.056,38.1,42.9,1.037
4.523,0.0,0,16.1,0,0.0,0,9,0.665,4,8.33,44.6,39.3,1.03
5.0,0.0,0,6.7,0,8.9,4,3,0.698,1,8.543,48.9,35.6,1.015
6.329,0.0,0,3.0,0,1.5,1,2,0.575,17,5.995,39.4,56.1,0.98
5.432,0.0,0,16.7,0,1.5,1,11,0.67,6,8.539,43.9,37.9,1.035
6.39,0.0,0,4.1,0,8.2,4,2,0.608,9,6.948,38.8,49.0,0.998
4.301,0.0,0,15.4,0,1.5,1,10,0.692,3,8.762,47.7,35.4,1.032
5.0,4.8,0,4.8,2,11.9,5,2,0.664,5,9.102,38.1,40.5,1.024
7.26,0.0,0,10.9,0,0.0,0,13,0.56,33,6.345,33.6,55.5,1.003
5.0,2.6,0,5.2,2,5.2,4,4,0.652,12,8.333,41.6,44.2,1.008
6.31,0.0,0,11.4,0,0.0,0,13,0.567,32,6.483,34.2,54.4,1.006
7.747,0.0,0,11.4,0,0.0,0,13,0.567,32,6.483,34.2,54.4,1.006
5.0,1.5,1,4.4,1,11.8,8,3,0.64,7,7.833,39.7,42.6,1.015
7.268,0.0,0,1.5,0,9.2,6,1,0.633,8,7.179,43.1,46.2,0.993
7.409,0.0,0,1.6,0,9.7,6,1,0.639,7,7.3,43.5,45.2,0.994
5.0,1.8,1,8.8,1,10.5,6,5,0.646,6,8.255,38.6,40.4,1.03
5.0,0.0,0,3.7,0,13.0,7,2,0.648,4,8.103,38.9,42.6,1.009
5.523,0.0,0,1.9,0,9.6,5,1,0.677,5,8.222,46.2,40.4,1.0
4.022,0.0,0,1.7,0,8.5,5,1,0.666,5,7.926,45.8,42.4,0.996
5.0,0.0,0,4.8,0,8.1,5,3,0.646,5,7.574,43.5,43.5,1.003
5.398,0.0,0,14.5,0,1.6,1,9,0.658,6,8.186,43.5,40.3,1.027
7.301,0.0,0,16.4,0,1.6,1,10,0.672,5,8.549,44.3,37.7,1.034
5.347,0.0,0,14.3,0,0.0,0,9,0.655,7,8.04,44.4,41.3,1.023
7.459,0.0,0,9.4,0,0.0,0,6,0.628,10,7.228,43.8,46.9,1.003
6.62,0.0,0,17.2,0,0.0,0,10,0.671,5,8.526,44.8,37.9,1.034
5.0,1.7,1,5.0,1,6.7,4,3,0.632,9,7.509,41.7,45.0,1.008
6.815,0.0,0,9.8,0,0.0,0,6,0.634,9,7.353,44.3,45.9,1.005
5.633,0.0,0,4.3,0,8.7,4,2,0.678,2,8.053,47.8,39.1,1.005
7.42,0.0,0,15.2,0,3.0,2,10,0.659,6,8.342,42.4,39.4,1.032
7.678,0.0,0,5.2,0,12.1,7,3,0.613,11,7.337,36.2,46.6,1.009
5.699,1.2,0,3.7,1,8.5,7,3,0.613,14,7.491,36.6,48.8,1.001
