pXC50,nHet,nN,Me,AMW,C.,H.,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHM,nI,nO,nP
6.93,10,3,1.004,7.16,40.7,47.7,1.126,0.647,0.617,615.79,3.5,12,86,0,17,50,0,91,35,0,0,17,18,5,0,41,0,0,7,0
8.611,13,6,1.012,7.651,37.2,46.2,1.133,0.652,0.622,596.78,7.7,16,78,0,21,44,0,80,29,0,0,19,10,5,0,36,1,0,6,0
5.0,4,1,0.992,6.956,44.6,48.2,1.117,0.665,0.625,389.53,1.8,12,56,0,14,33,0,60,25,0,0,14,11,2,0,27,0,0,3,0
6.72,6,2,0.992,6.841,42.9,49.4,1.121,0.656,0.615,526.73,2.6,12,77,0,15,45,0,83,33,0,0,15,18,3,0,38,0,0,4,0
6.011,7,3,0.995,6.876,41.3,49.3,1.125,0.65,0.612,515.71,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,0,0,4,0
6.77,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
8.585,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
6.07,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
9.097,17,7,1.013,7.456,35.9,47.6,1.136,0.639,0.61,768.0,6.8,16,103,0,23,56,0,105,37,0,0,21,16,7,0,49,1,0,9,0
7.201,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
5.89,8,3,0.993,7.029,44.7,47.6,1.117,0.668,0.629,723.98,2.9,24,103,0,27,62,0,111,46,0,0,27,19,3,0,49,0,0,5,0
7.15,10,3,1.003,7.388,44.2,45.3,1.119,0.668,0.638,701.88,3.2,18,95,0,23,60,0,103,42,0,0,23,19,5,0,43,0,0,7,0
7.98,10,3,1.007,7.998,49.5,39.8,1.108,0.7,0.678,743.86,3.2,35,93,0,40,63,0,100,46,0,0,39,7,5,0,37,0,0,7,0
7.78,8,3,0.995,7.224,45.9,45.9,1.115,0.676,0.64,707.93,3.1,24,98,0,28,61,0,106,45,0,0,28,17,4,0,45,0,0,5,0
8.57,10,3,1.007,7.998,49.5,39.8,1.108,0.7,0.678,743.86,3.2,35,93,0,40,63,0,100,46,0,0,39,7,5,0,37,0,0,7,0
5.08,6,3,0.986,6.851,45.5,48.5,1.116,0.672,0.627,691.98,3.0,24,101,0,27,60,0,109,46,0,0,27,19,3,0,49,0,0,3,0
7.55,10,3,0.998,7.084,43.0,47.7,1.121,0.659,0.623,758.0,2.8,18,107,0,23,64,0,115,46,0,0,23,23,5,0,51,0,0,7,0
8.523,7,3,0.994,6.583,38.7,52.0,1.131,0.634,0.592,493.71,4.0,10,75,0,12,41,0,80,29,0,0,10,19,2,0,39,0,0,4,0
8.456,7,4,0.992,6.703,40.0,50.7,1.129,0.644,0.602,502.72,5.3,10,75,0,13,42,0,80,30,0,1,10,19,2,0,38,0,0,3,0
5.753,10,3,1.01,7.201,38.4,47.9,1.132,0.635,0.61,525.66,4.1,10,73,0,14,42,0,77,28,0,0,12,16,4,0,35,0,0,7,0
6.572,7,3,0.994,6.583,38.7,52.0,1.131,0.634,0.592,493.71,4.0,10,75,0,12,41,0,80,29,0,0,10,19,2,0,39,0,0,4,0
8.602,8,4,0.995,6.607,37.7,51.9,1.134,0.63,0.59,508.73,5.2,10,77,0,12,42,0,82,29,0,0,10,19,2,0,40,0,0,4,0
7.301,6,3,0.989,6.456,39.2,52.7,1.13,0.636,0.59,477.71,4.1,10,74,0,12,40,0,79,29,0,0,10,19,2,0,39,0,0,3,0
9.824,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
8.201,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
7.701,6,3,0.988,6.78,43.7,49.4,1.12,0.662,0.618,589.84,3.4,22,87,0,24,50,0,93,38,0,0,22,16,2,0,43,0,0,3,0
7.081,8,3,0.998,6.776,39.0,50.6,1.13,0.636,0.599,521.72,3.9,10,77,0,13,43,0,82,30,0,0,11,19,3,0,39,0,0,5,0
6.917,7,3,0.992,6.509,38.5,52.6,1.131,0.632,0.589,507.74,3.8,10,78,0,12,42,0,83,30,0,0,10,20,2,0,41,0,0,4,0
7.593,7,3,0.992,6.509,38.5,52.6,1.131,0.632,0.589,507.74,3.8,10,78,0,12,42,0,83,30,0,0,10,20,2,0,41,0,0,4,0
7.342,6,3,0.988,6.386,39.0,53.2,1.13,0.634,0.587,491.74,3.9,10,77,0,12,41,0,82,30,0,0,10,20,2,0,41,0,0,3,0
8.63,11,3,1.004,7.734,44.9,43.9,1.114,0.684,0.651,757.97,3.1,23,98,0,28,63,0,106,44,0,0,27,17,5,0,43,1,0,7,0
6.503,6,3,0.988,6.386,39.0,53.2,1.13,0.634,0.587,491.74,3.9,10,77,0,12,41,0,82,30,0,0,10,20,2,0,41,0,0,3,0
9.004,8,3,0.998,6.776,39.0,50.6,1.13,0.636,0.599,521.72,3.9,10,77,0,13,43,0,82,30,0,0,11,19,3,0,39,0,0,5,0
8.174,11,5,0.999,6.856,38.8,50.0,1.131,0.638,0.602,671.92,5.1,16,98,0,20,54,0,103,38,0,0,18,20,4,0,49,0,0,6,0
8.032,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
5.0,11,4,0.998,7.322,40.9,47.3,1.121,0.678,0.632,680.95,4.3,22,93,0,26,54,0,98,38,0,0,24,14,4,0,44,1,0,6,0
6.879,7,4,0.993,6.638,38.6,51.4,1.132,0.637,0.595,464.67,5.7,10,70,0,12,39,0,75,27,0,0,10,17,2,0,36,0,0,3,0
5.0,10,4,1.008,7.388,40.5,45.9,1.128,0.651,0.625,546.68,5.4,16,74,0,20,44,0,78,30,0,0,18,12,4,0,34,0,0,6,0
7.879,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
8.96,11,4,1.008,7.618,43.7,43.7,1.121,0.668,0.644,662.8,4.6,22,87,0,27,55,0,93,38,0,0,25,13,5,0,38,0,0,7,0
8.42,11,4,1.007,7.52,43.3,44.4,1.121,0.666,0.64,676.83,4.4,22,90,0,27,56,0,96,39,0,0,25,14,5,0,40,0,0,7,0
5.071,9,2,0.999,7.111,38.5,50.0,1.126,0.652,0.606,554.68,2.6,16,78,0,19,42,0,81,30,0,0,17,13,3,0,39,1,0,6,1
6.854,8,3,1.001,7.316,40.0,48.6,1.127,0.655,0.617,512.1,4.3,16,70,0,18,39,0,73,28,1,0,16,12,2,0,34,1,0,4,0
9.222,7,3,0.995,6.735,39.7,50.7,1.129,0.641,0.601,491.69,4.1,16,73,0,18,39,0,76,29,0,0,16,13,2,0,37,0,0,4,0
8.409,10,4,1.003,7.034,39.0,48.8,1.131,0.64,0.608,576.76,4.9,16,82,0,20,45,0,85,32,0,0,18,14,4,0,40,0,0,6,0
8.056,8,3,0.998,7.233,41.0,48.7,1.125,0.659,0.618,564.18,3.8,16,78,0,18,45,0,83,32,1,0,16,16,2,0,38,1,0,4,0
8.187,10,4,1.003,7.094,39.8,48.2,1.129,0.644,0.613,588.77,4.8,16,83,0,21,46,0,86,33,0,0,20,13,5,0,40,0,0,6,0
6.569,8,3,1.0,7.125,42.3,47.4,1.123,0.657,0.623,555.73,3.8,16,78,0,20,46,0,83,33,0,0,19,14,4,0,37,0,0,5,0
6.222,8,3,0.998,7.034,42.0,48.1,1.124,0.654,0.619,569.76,3.7,16,81,0,19,48,0,87,34,0,0,17,17,3,0,39,0,0,5,0
7.268,8,3,1.001,7.223,42.7,46.7,1.122,0.66,0.628,541.7,4.0,16,75,0,20,45,0,80,32,0,0,19,13,4,0,35,0,0,5,0
4.959,14,6,1.028,8.825,35.6,40.7,1.133,0.676,0.653,520.65,10.2,16,59,0,22,37,0,61,21,0,0,16,5,6,0,24,2,0,6,0
4.62,14,6,1.03,9.244,40.0,36.7,1.123,0.702,0.683,554.66,10.0,22,60,0,28,41,0,63,24,0,0,22,2,6,0,22,2,0,6,0
4.337,14,6,1.036,9.294,35.8,37.7,1.132,0.687,0.669,492.59,11.3,16,53,0,22,35,0,55,19,0,0,16,3,6,0,20,2,0,6,0
5.347,14,6,1.03,9.244,40.0,36.7,1.123,0.702,0.683,554.66,10.0,22,60,0,28,41,0,63,24,0,0,22,2,6,0,22,2,0,6,0
5.0,14,6,1.03,9.244,40.0,36.7,1.123,0.702,0.683,554.66,10.0,22,60,0,28,41,0,63,24,0,0,22,2,6,0,22,2,0,6,0
5.444,14,6,1.03,9.244,40.0,36.7,1.123,0.702,0.683,554.66,10.0,22,60,0,28,41,0,63,24,0,0,22,2,6,0,22,2,0,6,0
5.398,14,6,1.02,8.833,42.5,38.4,1.119,0.705,0.679,644.79,8.2,28,73,0,34,49,0,77,31,0,0,28,3,6,0,28,2,0,6,0
5.721,13,5,1.019,8.779,42.0,39.1,1.118,0.702,0.675,605.75,7.2,24,69,0,30,45,0,72,29,0,0,26,3,6,0,27,2,0,6,0
5.222,14,6,1.021,8.649,39.1,40.6,1.125,0.687,0.661,596.75,8.7,22,69,0,28,44,0,72,27,0,0,22,5,6,0,28,2,0,6,0
5.745,14,6,1.024,8.829,39.4,39.4,1.125,0.692,0.668,582.72,9.1,22,66,0,28,43,0,69,26,0,0,22,4,6,0,26,2,0,6,0
6.9,9,4,1.01,7.702,43.1,43.1,1.123,0.668,0.646,500.6,6.2,18,65,0,22,40,0,68,28,0,0,22,6,4,0,28,0,0,5,0
6.674,10,5,1.019,8.164,43.1,39.7,1.125,0.675,0.662,473.53,8.6,18,58,0,23,38,0,61,25,0,0,21,4,5,0,23,0,0,5,0
5.096,8,4,1.004,9.348,44.6,41.1,1.113,0.724,0.678,523.49,7.1,18,56,0,21,36,1,59,25,0,0,21,4,3,0,23,2,0,2,0
6.0,10,4,1.014,8.171,41.9,41.9,1.121,0.683,0.656,506.63,6.5,18,62,0,23,39,0,65,26,0,0,21,5,5,0,26,1,0,5,0
6.161,10,4,1.028,8.416,44.1,39.0,1.139,0.671,0.664,496.53,6.8,18,59,0,21,39,0,62,26,0,0,21,5,3,3,23,0,0,3,0
6.186,8,4,1.006,8.838,44.1,42.4,1.119,0.697,0.662,521.45,6.8,18,59,0,21,37,1,62,26,0,0,21,5,3,0,25,1,0,3,0
6.056,7,4,1.002,7.501,44.1,44.1,1.122,0.674,0.644,442.56,6.8,18,59,0,21,36,0,62,26,0,0,21,5,3,0,26,0,0,3,0
4.745,10,5,1.001,7.17,41.4,47.1,1.127,0.655,0.623,623.82,5.7,22,87,0,26,50,0,91,36,0,0,24,12,4,0,41,0,0,5,0
4.42,10,5,1.002,7.022,38.8,48.8,1.132,0.641,0.608,561.75,6.3,16,80,0,20,44,0,83,31,0,0,18,13,4,0,39,0,0,5,0
6.26,9,3,1.031,9.713,46.9,34.7,1.129,0.727,0.708,475.95,6.1,18,49,0,20,35,0,52,23,1,0,20,3,2,3,17,2,0,1,0
6.796,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
6.77,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
6.268,9,4,0.996,6.978,42.1,48.4,1.124,0.656,0.618,662.9,4.2,22,95,0,25,55,0,101,40,0,0,23,17,3,0,46,0,0,5,0
4.215,12,5,1.005,7.042,38.0,48.9,1.133,0.635,0.605,647.85,5.4,16,92,0,21,50,0,95,35,0,0,19,16,5,0,45,0,0,7,0
6.092,8,4,0.994,7.032,43.2,47.7,1.122,0.663,0.624,618.84,4.5,22,88,0,25,52,0,94,38,0,0,23,15,3,0,42,0,0,4,0
5.0,9,4,0.999,6.794,38.0,50.6,1.133,0.633,0.597,536.74,5.1,12,79,0,16,41,0,81,30,0,0,16,14,4,0,40,0,0,5,0
4.0,9,4,1.006,7.314,40.6,46.4,1.128,0.652,0.624,504.64,5.8,16,69,0,20,40,0,72,28,0,0,18,10,4,0,32,0,0,5,0
5.921,9,4,1.004,7.204,40.3,47.2,1.129,0.649,0.619,518.67,5.6,16,72,0,20,41,0,75,29,0,0,18,11,4,0,34,0,0,5,0
4.409,10,5,0.999,6.858,38.4,50.0,1.133,0.637,0.601,589.81,5.8,16,86,0,20,46,0,89,33,0,0,18,15,4,0,43,0,0,5,0
6.481,13,4,1.007,7.505,40.4,46.5,1.124,0.66,0.627,742.97,4.0,22,99,0,27,59,0,105,40,0,0,23,17,5,0,46,1,0,8,0
5.086,8,4,0.993,6.955,42.9,48.4,1.122,0.66,0.621,632.87,4.4,22,91,0,25,53,0,97,39,0,0,23,16,3,0,44,0,0,4,0
6.745,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
5.131,12,5,1.005,7.042,38.0,48.9,1.133,0.635,0.605,647.85,5.4,16,92,0,21,50,0,95,35,0,0,19,16,5,0,45,0,0,7,0
4.155,12,5,1.005,7.042,38.0,48.9,1.133,0.635,0.605,647.85,5.4,16,92,0,21,50,0,95,35,0,0,19,16,5,0,45,0,0,7,0
5.051,9,4,1.002,7.103,40.0,48.0,1.129,0.646,0.615,532.7,5.3,16,75,0,20,42,0,78,30,0,0,18,12,4,0,36,0,0,5,0
5.027,12,5,1.007,7.122,38.2,48.3,1.133,0.637,0.608,633.82,5.6,16,89,0,21,49,0,92,34,0,0,19,15,5,0,43,0,0,7,0
4.638,10,5,1.004,7.297,41.3,46.3,1.127,0.656,0.626,583.75,6.3,16,80,0,19,50,0,87,33,0,0,17,16,3,0,37,0,0,5,0
7.004,8,3,1.001,7.223,42.7,46.7,1.122,0.66,0.628,541.7,4.0,16,75,0,20,45,0,80,32,0,0,19,13,4,0,35,0,0,5,0
4.097,10,5,0.999,6.798,37.6,50.6,1.134,0.633,0.596,577.8,5.9,10,85,0,13,48,0,91,32,0,0,11,21,3,0,43,0,0,5,0
4.097,6,4,0.993,7.026,42.9,47.6,1.124,0.664,0.625,442.61,6.3,16,63,0,19,37,0,67,27,0,0,18,9,3,0,30,0,0,2,0
6.21,6,3,0.996,7.075,42.6,47.5,1.123,0.66,0.624,431.58,4.9,17,61,0,19,35,0,64,26,0,0,17,9,2,0,29,0,0,3,0
5.42,6,3,0.998,7.115,42.1,47.4,1.125,0.658,0.623,405.54,5.3,17,57,0,19,32,0,59,24,0,0,17,7,2,0,27,0,0,3,0
8.52,6,3,0.99,6.74,42.3,50.0,1.123,0.655,0.611,525.75,3.8,17,78,0,19,44,0,83,33,0,0,17,16,2,0,39,0,0,3,0
7.6,6,3,0.99,6.607,40.3,51.4,1.128,0.643,0.6,475.69,4.2,11,72,0,13,40,0,77,29,0,0,11,18,2,0,37,0,0,3,0
6.11,6,3,0.995,6.883,41.3,49.2,1.126,0.651,0.612,433.6,4.8,11,63,0,13,37,0,68,26,0,0,11,15,2,0,31,0,0,3,0
6.73,6,3,0.993,6.702,40.0,50.8,1.128,0.643,0.602,435.62,4.6,11,65,0,13,36,0,69,26,0,0,11,15,2,0,33,0,0,3,0
7.93,6,3,0.989,6.53,40.0,52.0,1.128,0.641,0.596,489.72,4.0,11,75,0,13,41,0,80,30,0,0,11,19,2,0,39,0,0,3,0
6.92,6,3,0.993,7.01,43.5,47.8,1.121,0.664,0.625,483.66,4.3,17,69,0,19,41,0,74,30,0,0,17,13,2,0,33,0,0,3,0
7.57,6,3,0.991,6.823,42.7,49.3,1.122,0.658,0.616,511.72,4.0,17,75,0,19,43,0,80,32,0,0,17,15,2,0,37,0,0,3,0
5.08,6,3,1.0,7.25,42.6,46.3,1.124,0.662,0.63,391.51,5.6,17,54,0,19,31,0,56,23,0,0,17,6,2,0,25,0,0,3,0
4.0,4,3,0.982,6.575,43.5,50.7,1.121,0.662,0.612,453.68,4.3,17,69,0,18,39,0,74,30,0,0,16,14,1,0,35,0,0,1,0
7.17,6,3,0.992,6.612,39.7,51.5,1.129,0.641,0.598,449.65,4.4,11,68,0,13,37,0,72,27,0,0,11,16,2,0,35,0,0,3,0
5.57,6,3,1.002,7.737,47.3,41.8,1.114,0.691,0.663,425.52,5.5,23,55,0,25,35,0,58,26,0,0,23,3,2,0,23,0,0,3,0
6.09,6,3,0.996,7.306,45.3,45.3,1.118,0.676,0.642,467.61,4.7,22,64,0,24,39,0,68,29,0,0,21,8,2,0,29,0,0,3,0
7.86,7,3,0.997,7.037,42.5,47.9,1.123,0.658,0.621,513.69,4.1,17,73,0,19,43,0,78,31,0,0,17,14,2,0,35,0,0,4,0
8.16,6,3,0.991,6.823,42.7,49.3,1.122,0.658,0.616,511.72,4.0,17,75,0,19,43,0,80,32,0,0,17,15,2,0,37,0,0,3,0
7.33,7,3,1.001,7.27,43.5,46.4,1.126,0.663,0.63,501.65,4.3,17,69,0,19,42,0,74,30,0,0,17,13,2,1,32,0,0,3,0
4.0,6,3,0.992,6.912,43.1,48.6,1.122,0.661,0.62,497.69,4.2,17,72,0,19,42,0,77,31,0,0,17,14,2,0,35,0,0,3,0
7.56,7,3,0.995,6.807,40.5,50.0,1.127,0.646,0.606,503.7,4.1,11,74,0,13,43,0,80,30,0,0,11,19,2,0,37,0,0,4,0
6.49,7,4,0.992,6.841,41.6,49.4,1.126,0.654,0.613,526.74,5.2,17,77,0,19,44,0,82,32,0,0,17,15,2,0,38,0,0,3,0
7.69,6,3,0.989,6.602,40.8,51.3,1.126,0.646,0.601,501.73,3.9,11,76,0,13,43,0,82,31,0,0,11,20,2,0,39,0,0,3,0
6.23,10,4,1.003,7.152,40.5,47.6,1.128,0.648,0.617,600.78,4.8,16,84,0,20,49,0,89,34,0,0,18,16,4,0,40,0,0,6,0
7.21,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
5.905,7,5,1.01,8.254,46.7,37.8,1.12,0.7,0.682,371.43,11.1,18,45,0,21,31,0,48,21,0,0,21,0,3,0,17,0,0,2,0
8.69,10,4,1.0,6.931,39.3,49.4,1.13,0.64,0.606,616.83,4.5,16,89,0,20,49,0,93,35,0,0,18,17,4,0,44,0,0,6,0
8.805,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
10.081,9,3,1.004,7.197,41.3,47.5,1.129,0.649,0.619,575.74,3.8,16,80,0,19,47,0,85,33,0,0,17,16,3,1,38,0,0,5,0
5.367,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,20,50,0,92,35,0,0,18,17,4,0,42,0,0,6,0
5.5,5,2,0.993,6.776,41.7,50.0,1.124,0.651,0.609,406.57,3.3,11,60,0,13,34,0,64,25,0,0,12,13,2,0,30,0,0,3,0
6.6,7,2,1.005,7.429,43.5,45.2,1.12,0.664,0.637,460.57,3.2,17,62,0,20,37,0,65,27,0,0,19,8,3,0,28,0,0,5,0
9.0,11,4,1.008,7.618,43.7,43.7,1.121,0.668,0.644,662.8,4.6,22,87,0,27,55,0,93,38,0,0,25,13,5,0,38,0,0,7,0
6.6,8,3,1.006,7.636,44.8,43.3,1.119,0.674,0.649,511.62,4.5,22,67,0,25,42,0,71,30,0,0,22,8,3,0,29,0,0,5,0
7.6,12,5,1.009,7.616,42.7,43.8,1.124,0.665,0.641,677.82,5.6,22,89,0,27,56,0,95,38,0,0,24,14,5,0,39,0,0,7,0
5.4,6,3,0.993,7.01,43.5,47.8,1.121,0.664,0.625,483.66,4.3,22,69,0,23,40,0,73,30,0,0,20,10,1,0,33,0,0,3,0
6.0,9,4,1.01,7.702,43.1,43.1,1.123,0.668,0.646,500.6,6.2,21,65,0,24,41,0,69,28,0,0,20,8,3,0,28,0,0,5,0
6.6,7,2,1.003,7.442,44.8,44.8,1.117,0.671,0.642,498.62,3.0,17,67,0,20,42,0,72,30,0,0,19,11,3,0,30,0,0,5,0
6.7,7,2,1.003,7.509,45.6,44.1,1.116,0.676,0.647,510.63,2.9,22,68,0,25,42,0,72,31,0,0,23,8,3,0,30,0,0,5,0
6.8,8,3,1.006,7.57,43.9,43.9,1.12,0.67,0.644,499.61,4.5,17,66,0,20,42,0,71,29,0,0,18,11,3,0,29,0,0,5,0
6.3,12,5,1.009,7.616,42.7,43.8,1.124,0.665,0.641,677.82,5.6,22,89,0,27,56,0,95,38,0,0,24,14,5,0,39,0,0,7,0
8.3,12,5,1.011,7.718,43.0,43.0,1.123,0.667,0.646,663.79,5.8,22,86,0,27,55,0,92,37,0,0,24,13,5,0,37,0,0,7,0
6.1,6,3,0.996,7.306,45.3,45.3,1.118,0.676,0.642,467.61,4.7,22,64,0,24,39,0,68,29,0,0,21,8,2,0,29,0,0,3,0
6.7,7,2,1.001,7.324,44.3,45.7,1.118,0.667,0.636,512.65,2.9,17,70,0,20,43,0,75,31,0,0,19,12,3,0,32,0,0,5,0
6.4,10,5,1.003,7.467,43.4,44.6,1.123,0.668,0.64,619.78,6.0,22,83,0,26,52,0,89,36,0,0,23,13,4,0,37,0,0,5,0
7.5,10,3,1.007,7.515,43.4,44.6,1.121,0.664,0.639,623.76,3.6,18,83,0,23,51,0,88,36,0,0,23,13,5,0,37,0,0,7,0
5.6,8,3,1.005,7.444,43.5,44.9,1.121,0.666,0.638,513.64,4.3,17,69,0,20,43,0,74,30,0,0,18,12,3,0,31,0,0,5,0
6.0,8,3,1.009,7.567,42.6,44.3,1.123,0.663,0.639,461.56,4.9,17,61,0,20,37,0,64,26,0,0,18,8,3,0,27,0,0,5,0
7.9,10,3,1.006,7.571,44.9,43.8,1.117,0.673,0.647,673.82,3.4,23,89,0,28,56,0,95,40,0,0,27,13,5,0,39,0,0,7,0
7.8,12,5,1.009,7.616,42.7,43.8,1.124,0.665,0.641,677.82,5.6,22,89,0,27,56,0,95,38,0,0,24,14,5,0,39,0,0,7,0
6.2,10,5,1.001,7.225,42.0,46.6,1.125,0.659,0.627,635.83,5.7,22,88,0,25,53,0,94,37,0,0,22,15,3,0,41,0,0,5,0
8.8,10,3,1.002,7.445,45.5,44.6,1.116,0.675,0.645,751.94,3.0,24,101,0,29,64,0,109,46,0,0,29,17,5,0,45,0,0,7,0
5.9,5,2,0.993,7.179,46.2,46.2,1.114,0.677,0.639,466.62,3.1,22,65,0,24,39,0,69,30,0,0,22,8,2,0,30,0,0,3,0
5.918,7,3,0.995,6.735,39.7,50.7,1.129,0.641,0.601,491.69,4.1,16,73,0,18,39,0,76,29,0,0,16,13,2,0,37,0,0,4,0
6.585,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
9.292,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.367,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
5.582,5,2,0.987,6.503,41.6,51.9,1.124,0.647,0.6,500.74,2.6,16,77,0,17,42,0,82,32,0,0,15,17,1,0,40,0,0,3,0
8.602,12,7,1.001,7.453,39.8,46.6,1.128,0.664,0.627,655.9,8.0,21,88,0,24,53,0,94,35,0,0,19,16,3,0,41,1,0,4,0
7.745,12,7,1.001,7.453,39.8,46.6,1.128,0.664,0.627,655.9,8.0,21,88,0,24,53,0,94,35,0,0,19,16,3,0,41,1,0,4,0
8.367,13,7,1.005,7.549,39.3,46.1,1.129,0.662,0.628,671.9,7.9,16,89,0,21,54,0,95,35,0,0,19,16,5,0,41,1,0,5,0
8.585,11,5,1.004,7.271,40.9,46.6,1.128,0.653,0.624,639.82,5.7,21,88,0,24,53,0,94,36,0,0,20,16,3,0,41,0,0,6,0
8.62,13,8,1.002,7.455,38.9,46.7,1.131,0.661,0.624,670.92,8.9,21,90,0,24,54,0,96,35,0,0,18,17,3,0,42,1,0,4,0
8.77,13,7,1.005,7.549,39.3,46.1,1.129,0.662,0.628,671.9,7.9,21,89,0,25,54,0,95,35,0,0,19,16,4,0,41,1,0,5,0
8.886,12,4,1.006,7.396,38.6,47.7,1.128,0.651,0.617,650.87,4.5,16,88,0,21,51,0,93,34,0,0,17,17,5,0,42,1,0,7,0
6.796,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
9.097,10,4,1.003,7.152,40.5,47.6,1.128,0.648,0.617,600.78,4.8,16,84,0,20,49,0,89,34,0,0,18,16,4,0,40,0,0,6,0
