pXC50,MW,nBO,SCBO,nSK,nHet,Sv,AMW,Sp,Mv,nBM,nN,Se,nAB,nBT,nDB
5.315,296.45,25,30.5,22,3,27.552,6.445,29.841,0.599,11,2,45.251,11,49,0
5.501,301.52,24,27.0,22,2,29.638,5.689,32.881,0.559,6,1,51.683,6,55,0
5.733,371.56,31,40.0,28,2,35.111,6.519,38.12,0.616,18,1,55.8,18,60,0
5.714,349.43,27,33.0,25,5,29.208,7.435,30.41,0.621,12,1,47.57,12,49,0
5.0,282.42,23,29.0,21,3,26.026,6.568,28.08,0.605,8,2,42.367,6,45,1
6.71,379.43,29,36.0,27,6,30.591,7.905,31.347,0.637,13,1,49.083,12,50,1
5.0,282.42,23,29.0,21,3,26.026,6.568,28.08,0.605,12,2,42.367,12,45,0
5.0,339.49,28,34.0,25,3,30.968,6.657,33.296,0.607,12,1,50.429,12,54,0
5.0,246.39,20,23.0,18,3,23.026,6.16,25.08,0.576,6,2,39.367,6,42,0
5.499,245.4,20,23.0,18,2,23.531,5.985,25.836,0.574,6,1,40.149,6,43,0
5.43,301.49,23,28.5,21,3,26.718,6.852,29.483,0.607,11,1,43.225,11,46,0
5.528,295.46,25,30.5,22,2,28.058,6.286,30.597,0.597,11,1,46.032,11,50,0
7.854,359.9,27,34.0,25,4,30.269,7.498,32.392,0.631,13,1,47.869,12,50,1
8.119,434.62,35,46.0,31,8,36.298,7.625,38.75,0.637,21,6,56.851,20,61,1
8.108,410.6,32,41.0,29,8,34.298,7.465,36.75,0.624,17,6,54.851,16,58,1
8.018,415.64,31,39.5,28,8,33.464,7.842,36.392,0.631,16,5,52.825,15,56,1
7.959,415.64,31,39.5,28,8,33.464,7.842,36.392,0.631,16,5,52.825,15,56,1
7.602,395.58,31,40.0,28,7,33.277,7.464,35.745,0.628,17,5,52.749,16,56,1
7.62,410.6,32,41.0,29,8,34.298,7.465,36.75,0.624,17,6,54.851,16,58,1
7.469,435.65,35,44.0,31,7,37.33,7.261,40.267,0.622,17,5,59.516,16,64,1
7.854,433.63,35,46.0,31,7,36.804,7.476,39.506,0.635,21,5,57.632,20,62,1
8.237,465.7,36,47.0,32,8,37.991,7.893,41.154,0.644,21,5,58.709,20,63,1
8.222,415.64,31,39.5,28,8,33.464,7.842,36.392,0.631,16,5,52.825,15,56,1
7.796,410.6,32,41.0,29,8,34.298,7.465,36.75,0.624,17,6,54.851,16,58,1
8.287,359.54,24,30.0,23,8,27.808,7.816,30.12,0.605,9,2,46.443,6,47,3
5.0,321.51,27,34.5,24,3,30.386,6.304,33.154,0.596,15,3,49.909,15,54,0
7.0,429.61,33,43.0,30,7,35.913,7.407,38.409,0.619,18,3,58.036,16,61,2
7.0,423.6,34,43.0,30,6,35.671,7.564,38.194,0.637,17,3,55.825,16,60,1
7.0,456.59,36,47.0,32,9,36.595,8.01,38.347,0.642,19,4,57.698,16,61,3
7.0,420.53,35,45.0,31,7,35.693,7.509,37.245,0.637,18,4,56.294,16,60,2
7.0,391.53,33,42.0,29,5,34.484,7.119,36.546,0.627,17,3,54.749,16,59,1
5.959,325.46,26,33.0,24,3,29.441,6.78,31.535,0.613,13,1,47.545,12,50,1
5.0,321.5,27,33.0,24,2,30.585,6.304,33.358,0.6,12,1,49.916,12,54,0
6.419,263.39,21,24.0,19,3,23.914,6.424,25.773,0.583,6,1,40.661,6,43,0
5.0,312.42,25,32.0,23,4,27.409,7.1,29.017,0.623,13,2,43.88,12,46,1
5.0,355.54,27,35.0,25,4,30.96,7.111,33.699,0.619,14,1,49.436,12,52,2
7.244,343.45,27,34.0,25,4,29.824,7.155,31.472,0.621,13,1,48.058,12,50,1
5.0,337.5,28,34.0,25,3,31.299,6.49,33.813,0.602,12,1,51.243,12,55,0
6.076,323.52,26,32.0,24,2,31.111,6.104,34.12,0.587,12,1,51.8,12,55,0
5.81,311.43,25,32.0,23,3,27.914,6.921,29.773,0.62,13,1,44.661,12,47,1
8.328,410.6,32,41.0,29,8,34.298,7.465,36.75,0.624,17,6,54.851,16,58,1
5.0,371.54,28,37.0,26,5,31.675,7.285,34.154,0.621,15,1,50.763,12,53,3
7.553,433.63,35,46.0,31,7,36.804,7.476,39.506,0.635,21,5,57.632,20,62,1
5.873,329.45,26,32.0,24,4,29.156,6.864,30.989,0.607,12,1,47.872,12,50,0
8.658,434.62,35,46.0,31,8,36.298,7.625,38.75,0.637,21,6,56.851,20,61,1
5.0,285.42,23,28.5,21,3,26.246,6.487,28.29,0.596,11,1,43.476,11,46,0
5.871,309.44,25,32.0,23,3,28.246,6.727,30.29,0.614,13,1,45.476,12,48,1
5.0,245.4,20,23.0,18,2,23.531,5.985,25.836,0.574,6,1,40.149,6,43,0
7.62,395.58,31,40.0,28,7,33.277,7.464,35.745,0.628,17,5,52.749,16,56,1
7.328,395.58,31,40.0,28,7,33.277,7.464,35.745,0.628,17,5,52.749,16,56,1
7.553,449.68,36,45.0,32,7,38.857,7.138,42.029,0.617,17,5,62.4,16,67,1
7.854,445.64,36,47.5,32,7,37.804,7.553,40.506,0.641,22,5,58.632,21,63,1
7.658,463.67,35,42.0,32,10,38.528,7.133,41.154,0.593,10,5,65.265,6,68,4
7.0,433.62,36,45.0,32,5,39.064,6.775,41.83,0.61,17,3,63.399,16,68,1
7.0,456.61,39,50.5,34,6,40.032,7.248,42.313,0.635,22,4,62.734,21,68,1
6.538,326.86,26,33.0,23,5,27.128,7.782,28.972,0.646,13,4,41.8,12,45,1
5.522,369.54,31,41.0,28,2,34.585,6.719,37.358,0.629,19,1,53.916,18,58,1
6.268,287.44,23,27.0,21,3,26.773,6.249,29.052,0.582,7,1,45.36,6,48,1
5.0,309.49,23,27.0,21,4,26.628,6.878,29.182,0.592,7,1,44.621,6,47,1
6.369,277.42,22,25.0,20,3,25.441,6.305,27.535,0.578,6,1,43.545,6,46,0
5.629,284.44,24,29.0,21,3,26.552,6.321,28.841,0.59,10,2,44.251,10,48,0
5.991,331.49,28,36.5,25,2,31.058,6.63,33.597,0.621,17,1,49.032,17,53,0
5.135,288.48,23,26.0,21,3,27.606,5.887,30.364,0.563,6,2,48.018,6,51,0
5.363,349.48,29,37.5,26,3,31.441,6.99,33.535,0.629,17,1,49.545,17,53,0
5.341,311.43,25,32.0,23,3,27.914,6.921,29.773,0.62,13,1,44.661,12,47,1
5.0,270.41,22,27.0,20,3,25.026,6.438,27.08,0.596,7,2,41.367,6,44,0
5.0,209.31,18,24.0,16,1,19.709,6.752,21.336,0.636,12,1,30.287,12,33,0
6.951,287.43,25,33.0,22,1,27.289,6.684,29.62,0.635,14,1,41.938,12,46,2
5.547,281.38,22,25.0,20,4,24.298,6.863,25.711,0.593,6,1,41.174,6,43,0
5.0,325.49,26,32.0,24,3,30.299,6.382,32.813,0.594,12,1,50.243,12,53,0
5.352,247.38,20,23.0,18,4,22.52,6.343,24.324,0.577,6,3,38.585,6,41,0
5.0,279.84,21,24.0,19,3,24.359,6.825,26.694,0.594,6,1,40.472,6,43,0
6.06,299.42,24,30.0,22,3,26.914,6.805,28.773,0.612,12,1,43.661,12,46,0
5.171,365.61,29,35.0,27,2,35.692,5.897,39.404,0.576,12,1,60.45,12,64,0
6.312,347.89,26,32.0,24,4,29.269,7.402,31.392,0.623,12,1,46.869,12,49,0
5.331,246.39,20,23.0,18,3,23.026,6.16,25.08,0.576,6,2,39.367,6,42,0
6.955,314.28,22,25.0,20,4,25.186,7.665,27.551,0.614,6,1,40.796,6,43,0
5.358,326.43,26,34.0,24,5,28.455,7.096,29.989,0.619,14,2,46.022,12,48,2
6.943,313.45,25,31.0,23,3,28.441,6.669,30.535,0.605,12,1,46.545,12,49,0
5.0,335.49,26,29.0,24,5,30.256,6.33,32.483,0.571,6,1,52.781,6,55,0
5.376,315.87,24,30.0,22,3,27.359,7.179,29.694,0.622,12,1,43.472,12,46,0
5.475,319.51,25,28.0,23,3,30.022,6.028,32.819,0.566,6,1,52.196,6,55,0
6.516,363.51,30,38.5,27,3,32.968,6.859,35.296,0.622,17,1,52.429,17,56,0
5.0,300.49,24,28.0,22,3,28.606,6.01,31.364,0.572,7,2,49.018,6,52,1
5.788,275.4,22,26.0,20,3,24.914,6.557,26.773,0.593,7,1,41.661,6,44,1
5.0,363.46,28,34.0,26,5,30.735,7.269,32.171,0.615,12,1,50.454,12,52,0
5.245,335.35,25,28.0,23,7,25.448,8.179,25.523,0.621,6,1,42.712,6,43,0
5.782,314.28,22,25.0,20,4,25.186,7.665,27.551,0.614,6,1,40.796,6,43,0
5.733,351.58,28,34.0,26,2,34.165,5.959,37.643,0.579,12,1,57.567,12,61,0
5.201,332.48,28,36.5,25,3,30.552,6.785,32.841,0.624,17,2,48.251,17,52,0
5.744,287.44,23,27.0,21,3,26.773,6.249,29.052,0.582,7,1,45.36,6,48,1
5.0,325.41,25,29.0,23,5,27.208,7.231,28.41,0.605,7,1,45.57,6,47,1
5.0,295.46,24,30.0,22,2,28.058,6.286,30.597,0.597,12,1,46.032,12,49,0
5.504,329.45,26,32.0,24,4,29.156,6.864,30.989,0.607,12,1,47.872,12,50,0
5.765,333.51,28,35.0,25,2,31.585,6.414,34.358,0.607,13,1,50.916,12,55,1
5.081,295.46,24,30.0,22,2,28.058,6.286,30.597,0.597,12,1,46.032,12,49,0
5.698,291.85,22,26.0,20,3,25.359,6.949,27.694,0.604,7,1,41.472,6,44,1
6.658,289.43,23,27.0,21,3,26.441,6.432,28.535,0.588,7,1,44.545,6,47,1
5.0,287.49,23,26.0,21,2,28.111,5.75,31.12,0.562,6,1,48.8,6,52,0
6.112,419.58,34,43.0,31,4,37.736,6.878,40.273,0.619,18,1,60.523,18,64,0
6.103,313.45,25,31.0,23,3,28.441,6.669,30.535,0.605,12,1,46.545,12,49,0
5.704,291.5,22,25.0,20,3,26.245,6.478,29.245,0.583,6,1,44.109,6,47,0
6.66,363.51,30,38.5,27,3,32.968,6.859,35.296,0.622,17,1,52.429,17,56,0
6.013,353.5,28,35.0,26,4,32.014,6.67,34.267,0.604,13,1,52.571,12,55,1
6.087,389.55,32,41.0,29,3,35.495,6.834,38.057,0.623,18,1,56.312,18,60,0
5.0,341.51,27,33.0,25,3,31.495,6.444,34.057,0.594,12,1,52.312,12,55,0
5.363,337.55,27,33.0,25,2,32.638,6.028,35.881,0.583,12,1,54.683,12,58,0
5.879,293.47,22,25.0,21,3,27.495,5.989,30.057,0.561,6,1,48.312,6,50,0
5.247,313.45,25,31.0,23,3,28.441,6.669,30.535,0.605,12,1,46.545,12,49,0
5.0,288.48,23,26.0,21,3,27.606,5.887,30.364,0.563,6,2,48.018,6,51,0
6.434,347.89,26,32.0,24,4,29.269,7.402,31.392,0.623,12,1,46.869,12,49,0
5.803,313.53,25,29.0,23,2,30.638,5.806,33.881,0.567,7,1,52.683,6,56,1
5.0,275.43,22,25.0,20,3,25.773,6.121,28.052,0.573,6,1,44.36,6,47,0
5.703,371.49,29,36.0,27,5,32.398,7.009,34.205,0.611,13,1,53.083,12,55,1
7.0,415.58,32,42.0,29,7,34.386,7.556,36.648,0.625,18,3,55.152,16,58,2
7.0,449.7,36,45.0,32,6,39.949,7.027,43.887,0.624,17,3,63.178,16,68,1
7.0,434.56,36,46.0,32,7,37.22,7.365,39.006,0.631,18,4,59.178,16,63,2
7.0,455.6,36,47.0,32,8,37.101,7.855,39.103,0.64,19,3,58.48,16,62,3
7.0,427.59,34,44.0,30,7,35.386,7.636,37.648,0.632,18,3,56.152,16,60,2
7.0,442.58,38,49.5,33,6,38.505,7.376,40.552,0.642,22,4,59.85,21,65,1
7.0,485.76,37,47.0,33,8,40.851,7.473,44.989,0.628,18,3,64.581,16,69,2
7.0,455.57,39,51.5,34,6,39.199,7.593,41.0,0.653,23,3,60.076,21,65,2
7.0,478.64,39,51.5,34,8,39.407,7.847,41.654,0.646,23,4,61.254,21,66,2
5.614,348.44,27,33.0,25,7,28.835,7.414,29.966,0.614,12,4,47.596,12,49,0
7.0,492.67,40,52.5,35,8,40.934,7.698,43.415,0.64,23,4,64.138,21,69,2
7.0,417.57,36,45.0,31,5,37.011,7.077,39.307,0.627,17,3,58.632,16,64,1
5.917,287.81,22,28.0,20,3,24.305,7.574,26.171,0.64,12,1,37.705,12,40,0
7.638,410.54,34,42.0,30,7,35.22,7.202,37.006,0.618,13,4,57.178,10,61,3
