pXC50,nDB,MW,AMW,O.,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT
4.0,4,337.26,8.875,21.1,26.3,42.1,1.055,1.153,0.623,0.616,7.9,0,38
5.124,7,833.45,9.922,26.2,26.2,38.1,1.071,1.148,0.65,0.641,3.6,6,84
5.842,7,757.35,10.234,29.7,21.6,37.8,1.083,1.156,0.637,0.632,4.1,0,74
5.785,7,728.3,10.555,31.9,21.7,36.2,1.09,1.154,0.643,0.641,2.9,0,69
5.932,7,726.31,10.376,32.9,21.4,37.1,1.086,1.15,0.641,0.636,2.9,0,70
4.917,7,726.31,10.376,32.9,21.4,37.1,1.086,1.15,0.641,0.636,2.9,0,70
5.31,7,696.28,10.55,33.3,21.2,36.4,1.088,1.15,0.646,0.641,3.0,0,66
5.263,8,767.37,10.097,30.3,22.4,38.2,1.079,1.15,0.64,0.633,3.9,0,76
6.057,6,527.25,10.139,28.8,21.2,38.5,1.076,1.153,0.644,0.631,5.8,0,52
6.638,6,589.32,9.988,25.4,27.1,37.3,1.065,1.142,0.665,0.65,5.1,6,59
5.917,6,603.35,9.731,24.2,27.4,38.7,1.06,1.142,0.662,0.643,4.8,6,62
6.131,6,617.38,9.498,23.1,27.7,40.0,1.056,1.142,0.658,0.637,4.6,6,65
5.433,7,674.69,11.435,30.5,25.4,32.2,1.085,1.139,0.698,0.682,3.4,6,59
5.783,8,740.29,10.729,34.8,21.7,34.8,1.093,1.149,0.646,0.648,2.9,0,69
6.022,7,728.3,10.555,31.9,21.7,36.2,1.09,1.154,0.643,0.641,2.9,0,69
8.097,5,430.04,9.774,27.3,22.7,38.6,1.066,1.141,0.66,0.649,4.5,0,44
5.367,5,430.04,9.774,27.3,22.7,38.6,1.066,1.141,0.66,0.649,4.5,0,44
4.95,6,510.02,10.409,30.6,20.4,36.7,1.077,1.143,0.67,0.649,4.1,0,49
4.697,6,510.02,10.409,30.6,20.4,36.7,1.077,1.143,0.67,0.649,4.1,0,49
7.222,9,766.26,9.699,26.6,25.3,38.0,1.068,1.143,0.65,0.649,5.1,0,79
5.658,9,766.26,9.699,26.6,25.3,38.0,1.068,1.143,0.65,0.649,5.1,0,79
5.0,9,770.44,9.877,28.2,25.6,37.2,1.076,1.149,0.638,0.64,5.1,0,78
6.699,9,766.26,9.699,26.6,25.3,38.0,1.068,1.143,0.65,0.649,5.1,0,79
7.553,5,420.26,10.776,28.2,23.1,35.9,1.077,1.143,0.676,0.657,5.1,0,39
6.638,5,398.23,9.713,24.4,26.8,39.0,1.061,1.143,0.659,0.64,4.9,0,41
4.0,13,1030.3,11.448,35.6,20.0,32.2,1.098,1.149,0.672,0.665,4.4,0,90
4.523,11,870.34,10.879,32.5,22.5,33.8,1.09,1.148,0.661,0.658,5.0,0,80
4.523,12,950.32,11.18,34.1,21.2,32.9,1.094,1.149,0.667,0.662,4.7,0,85
6.638,5,398.23,9.713,24.4,26.8,39.0,1.061,1.143,0.659,0.64,4.9,0,41
6.821,5,483.08,12.387,30.8,23.1,33.3,1.09,1.146,0.68,0.671,5.1,0,39
6.0,4,403.1,11.856,26.5,26.5,35.3,1.078,1.145,0.668,0.664,5.9,0,34
4.0,4,338.24,9.142,24.3,27.0,40.5,1.062,1.149,0.625,0.624,5.4,0,37
7.155,6,522.33,9.673,24.1,31.5,37.0,1.06,1.136,0.665,0.656,3.7,6,54
4.0,5,442.35,9.028,20.4,34.7,38.8,1.049,1.134,0.655,0.65,4.1,6,49
5.481,5,418.22,9.958,28.6,23.8,38.1,1.075,1.149,0.641,0.635,4.8,0,42
6.0,6,498.2,10.6,31.9,21.3,36.2,1.085,1.15,0.654,0.644,4.3,0,47
5.409,5,403.21,10.08,27.5,22.5,37.5,1.076,1.154,0.643,0.637,7.5,0,40
4.0,4,338.24,9.142,24.3,27.0,40.5,1.062,1.149,0.625,0.624,5.4,0,37
6.35,5,420.26,10.776,28.2,23.1,35.9,1.077,1.143,0.676,0.657,5.1,0,39
4.0,7,588.22,10.695,30.9,21.8,36.4,1.08,1.146,0.67,0.649,3.6,0,55
4.0,4,366.3,8.519,20.9,27.9,44.2,1.048,1.147,0.619,0.608,4.7,0,43
6.921,6,629.97,13.695,30.4,21.7,30.4,1.099,1.143,0.725,0.701,4.3,0,46
5.824,6,500.24,11.369,31.8,20.5,34.1,1.088,1.144,0.685,0.664,4.5,0,44
6.331,8,525.19,11.417,32.6,19.6,30.4,1.101,1.159,0.662,0.669,10.9,0,46
6.478,6,499.19,10.852,32.6,19.6,34.8,1.091,1.155,0.652,0.647,6.5,0,46
6.854,6,498.2,10.6,31.9,21.3,36.2,1.085,1.15,0.654,0.644,4.3,0,47
4.699,10,790.36,10.538,30.7,24.0,34.7,1.084,1.148,0.655,0.654,5.3,0,75
5.363,8,774.22,10.905,15.5,40.8,28.2,1.057,1.118,0.735,0.734,9.9,30,71
4.523,8,630.4,9.698,26.2,27.7,36.9,1.071,1.147,0.638,0.644,6.2,0,65
4.824,1,391.58,7.388,1.9,43.4,47.2,0.989,1.117,0.689,0.637,5.7,18,53
4.824,1,445.48,8.25,5.6,42.6,40.7,1.029,1.143,0.659,0.651,5.6,18,54
4.824,1,417.6,6.735,3.2,41.9,50.0,0.989,1.125,0.655,0.611,4.8,18,62
4.824,1,403.57,6.84,3.4,42.4,49.2,0.991,1.124,0.658,0.616,5.1,18,59
4.824,1,431.45,8.46,5.9,43.1,39.2,1.033,1.143,0.663,0.659,5.9,18,51
6.569,9,710.38,10.148,28.6,25.7,35.7,1.078,1.148,0.647,0.65,5.7,0,70
4.699,5,551.68,11.034,28.0,28.0,34.0,1.075,1.134,0.698,0.678,2.0,6,50
4.073,4,394.43,9.391,11.9,47.6,33.3,1.029,1.106,0.726,0.713,4.8,18,42
6.0,8,682.29,10.661,29.7,26.6,34.4,1.077,1.138,0.68,0.666,3.1,6,64
4.569,17,1297.39,10.297,18.3,40.5,31.7,1.053,1.114,0.717,0.711,4.8,46,126
5.0,4,428.87,10.211,11.9,47.6,31.0,1.037,1.105,0.747,0.733,4.8,18,42
4.0,3,553.32,10.849,25.5,21.6,35.3,1.075,1.15,0.681,0.658,9.8,10,51
5.111,6,484.17,11.004,34.1,20.5,34.1,1.093,1.151,0.658,0.653,4.5,0,44
4.0,2,469.75,9.995,17.0,27.7,38.3,1.053,1.146,0.68,0.654,10.6,10,47
5.0,6,499.26,11.095,28.9,20.0,35.6,1.081,1.147,0.682,0.656,6.7,0,45
5.0,5,582.42,9.707,26.7,25.0,40.0,1.068,1.145,0.641,0.631,3.3,0,60
5.796,5,566.35,9.439,28.3,25.0,40.0,1.072,1.15,0.621,0.623,3.3,0,60
5.638,8,630.4,9.698,26.2,27.7,36.9,1.071,1.147,0.638,0.644,6.2,0,65
4.0,4,340.21,9.72,28.6,25.7,37.1,1.079,1.152,0.623,0.636,5.7,0,35
6.317,6,563.06,12.797,34.1,20.5,31.8,1.099,1.147,0.689,0.677,4.5,0,44
4.347,4,443.24,10.308,25.6,23.3,34.9,1.078,1.157,0.65,0.651,11.6,5,43
4.0,4,340.28,10.008,23.5,26.5,38.2,1.064,1.141,0.663,0.648,5.9,0,34
5.627,5,420.26,10.776,28.2,23.1,35.9,1.077,1.143,0.676,0.657,5.1,0,39
4.0,6,483.19,10.738,31.1,20.0,35.6,1.086,1.154,0.656,0.646,6.7,0,45
6.0,7,602.31,10.209,27.1,28.8,35.6,1.069,1.137,0.673,0.662,3.4,6,59
6.0,5,446.28,9.297,25.0,25.0,41.7,1.061,1.148,0.634,0.619,4.2,0,48
6.0,5,418.22,9.958,28.6,23.8,38.1,1.075,1.149,0.641,0.635,4.8,0,42
4.699,5,553.22,11.064,28.0,28.0,32.0,1.089,1.149,0.678,0.677,2.0,6,50
4.699,5,517.24,10.345,28.0,28.0,36.0,1.069,1.135,0.681,0.661,2.0,6,50
4.699,5,535.23,10.705,28.0,28.0,34.0,1.079,1.142,0.679,0.669,2.0,6,50
4.73,10,790.36,10.538,30.7,24.0,34.7,1.084,1.148,0.655,0.654,5.3,0,75
6.0,6,498.2,10.6,31.9,21.3,36.2,1.085,1.15,0.654,0.644,4.3,0,47
4.056,5,403.21,10.08,27.5,22.5,37.5,1.076,1.154,0.643,0.637,7.5,0,40
4.0,6,526.26,9.929,28.3,22.6,39.6,1.071,1.149,0.646,0.629,3.8,0,53
4.699,5,581.33,10.765,25.9,27.8,35.2,1.073,1.138,0.692,0.67,1.9,6,54
4.0,6,500.17,11.115,35.6,20.0,33.3,1.099,1.152,0.654,0.655,4.4,0,45
5.087,7,726.31,10.376,32.9,21.4,37.1,1.086,1.15,0.641,0.636,2.9,0,70
5.407,4,408.46,9.077,11.1,46.7,35.6,1.024,1.108,0.717,0.7,4.4,18,45
5.0,7,696.28,10.55,33.3,21.2,36.4,1.088,1.15,0.646,0.641,3.0,0,66
5.0,7,710.31,10.294,31.9,21.7,37.7,1.082,1.149,0.643,0.635,2.9,0,69
5.0,7,646.31,9.943,27.7,23.1,40.0,1.067,1.146,0.655,0.63,3.1,0,65
4.161,7,510.43,10.86,25.5,31.9,31.9,1.073,1.127,0.697,0.694,4.3,12,47
5.0,6,530.34,11.284,27.7,21.3,36.2,1.074,1.138,0.705,0.664,4.3,0,47
5.166,7,580.22,11.841,34.7,18.4,32.7,1.096,1.145,0.693,0.67,4.1,0,49
5.135,8,660.2,12.226,37.0,16.7,31.5,1.103,1.146,0.699,0.674,3.7,0,54
5.087,7,638.24,10.637,33.3,20.0,36.7,1.088,1.151,0.649,0.639,3.3,0,60
5.12,7,564.15,11.513,36.7,18.4,32.7,1.101,1.151,0.669,0.66,4.1,0,49
5.088,7,562.18,11.023,33.3,19.6,35.3,1.088,1.149,0.668,0.65,3.9,0,51
5.0,7,617.22,11.022,32.1,21.4,33.9,1.088,1.148,0.67,0.659,5.4,0,56
5.288,6,534.25,11.614,28.3,21.7,32.6,1.096,1.157,0.681,0.67,4.3,0,46
5.0,7,526.22,10.739,30.6,20.4,34.7,1.088,1.156,0.653,0.649,8.2,0,49
6.215,5,419.21,10.225,29.3,22.0,36.6,1.082,1.155,0.638,0.638,7.3,0,41
5.276,4,410.43,9.545,14.0,46.5,32.6,1.036,1.108,0.72,0.713,4.7,18,43
5.0,4,557.4,10.929,9.8,45.1,27.5,1.047,1.116,0.754,0.749,11.8,24,51
5.106,7,726.31,10.376,32.9,21.4,37.1,1.086,1.15,0.641,0.636,2.9,0,70
5.593,5,601.41,11.137,13.0,44.4,25.9,1.056,1.117,0.748,0.752,11.1,24,54
5.0,7,724.34,10.06,30.6,22.2,38.9,1.077,1.149,0.641,0.63,2.8,0,72
5.0,10,824.37,10.706,28.6,24.7,33.8,1.09,1.156,0.653,0.658,5.2,0,77
5.26,9,938.41,11.172,23.8,31.0,35.7,1.062,1.135,0.693,0.671,4.8,6,84
5.693,10,822.5,10.967,28.0,24.0,34.7,1.078,1.14,0.687,0.667,5.3,0,75
5.987,7,813.41,10.428,26.9,24.4,34.6,1.078,1.151,0.66,0.656,9.0,10,78
5.721,5,388.19,10.216,28.9,23.7,36.8,1.077,1.149,0.65,0.643,5.3,0,38
6.18,5,402.22,9.81,26.8,24.4,39.0,1.069,1.148,0.646,0.633,4.9,0,41
6.022,10,773.38,10.312,28.0,24.0,36.0,1.077,1.149,0.656,0.649,6.7,0,75
5.0,7,726.31,10.376,32.9,21.4,37.1,1.086,1.15,0.641,0.636,2.9,0,70
5.979,10,789.45,10.526,26.7,24.0,36.0,1.074,1.145,0.672,0.655,6.7,0,75
5.0,6,633.06,10.73,15.3,40.7,28.8,1.057,1.121,0.726,0.728,10.2,24,59
5.057,6,567.15,12.329,28.3,21.7,32.6,1.088,1.14,0.721,0.689,4.3,0,46
5.0,7,578.18,11.119,34.6,19.2,34.6,1.093,1.15,0.664,0.651,3.8,0,52
5.19,7,580.22,11.841,34.7,18.4,32.7,1.096,1.145,0.693,0.67,4.1,0,49
5.328,6,446.24,10.142,27.3,22.7,36.4,1.079,1.156,0.64,0.641,9.1,0,44
6.896,5,564.09,13.758,26.8,24.4,31.7,1.096,1.158,0.707,0.684,4.9,0,41
7.377,5,414.23,9.863,26.2,26.2,38.1,1.067,1.145,0.654,0.642,4.8,0,42
6.854,10,892.5,10.028,25.8,29.2,36.0,1.067,1.139,0.667,0.659,4.5,6,89
7.855,5,530.08,13.592,30.8,23.1,33.3,1.086,1.143,0.713,0.679,5.1,0,39
7.097,5,434.22,10.098,30.2,23.3,37.2,1.081,1.151,0.637,0.637,4.7,0,43
5.0,5,422.18,10.825,30.8,23.1,33.3,1.097,1.159,0.643,0.655,5.1,0,39
6.046,6,514.2,10.713,33.3,20.8,35.4,1.09,1.151,0.65,0.646,4.2,0,48
7.328,5,499.15,12.799,28.2,23.1,33.3,1.083,1.139,0.71,0.683,5.1,0,39
6.638,5,414.23,9.863,26.2,26.2,38.1,1.067,1.145,0.654,0.642,4.8,0,42
4.983,5,434.29,10.34,26.2,23.8,38.1,1.069,1.143,0.669,0.647,4.8,0,42
5.824,7,429.21,10.73,27.5,22.5,32.5,1.087,1.158,0.655,0.661,12.5,0,40
5.701,5,418.29,10.202,24.4,24.4,39.0,1.063,1.141,0.675,0.645,4.9,0,41
5.0,5,472.34,10.05,23.4,27.7,38.3,1.059,1.136,0.678,0.653,4.3,0,47
5.602,5,388.19,10.216,28.9,23.7,36.8,1.077,1.149,0.65,0.643,5.3,0,38
5.097,5,402.22,9.81,26.8,24.4,39.0,1.069,1.148,0.646,0.633,4.9,0,41
5.818,5,456.27,9.708,25.5,27.7,38.3,1.065,1.142,0.653,0.643,4.3,0,47
5.0,5,478.28,9.566,28.0,24.0,40.0,1.071,1.151,0.627,0.623,4.0,0,50
5.559,7,525.29,10.3,27.5,29.4,33.3,1.077,1.141,0.663,0.669,5.9,6,51
5.764,5,388.19,10.216,28.9,23.7,36.8,1.077,1.149,0.65,0.643,5.3,0,38
