pXC50,nH,nN,Se,nBT,nAT,nCsp3,Sp,Sv,MW,Si,X.,nC,nF,nX,Mv,SCBO,nSK
5.39,12,3,34.145,34,33,4,22.398,22.375,291.3,38.005,9.1,15,3,3,0.678,30.0,21
6.005,12,3,34.145,34,33,4,22.398,22.375,291.3,38.005,9.1,15,3,3,0.678,30.0,21
7.469,11,3,34.469,34,33,4,23.256,23.202,325.74,37.949,12.1,15,3,4,0.703,31.0,22
6.0,11,3,34.469,34,33,4,23.256,23.202,325.74,37.949,12.1,15,3,4,0.703,31.0,22
5.0,11,4,36.018,35,34,4,22.551,23.299,324.29,39.507,8.8,14,3,3,0.685,32.0,23
5.0,12,4,31.596,32,31,3,20.977,20.622,256.29,35.073,0.0,13,0,0,0.665,28.0,19
6.74,18,5,47.771,48,46,8,29.841,29.901,393.41,53.251,6.5,18,3,3,0.65,38.0,28
6.092,14,5,41.003,40,39,5,25.318,25.847,353.34,45.421,7.7,15,3,3,0.663,34.0,25
6.951,18,5,49.098,49,47,8,30.296,30.616,409.41,54.46,6.4,18,3,3,0.651,39.0,29
6.959,25,5,48.0,49,48,12,29.552,27.805,319.46,55.062,0.0,16,0,0,0.579,29.0,23
6.34,21,3,42.258,45,43,8,28.87,26.805,291.43,48.232,0.0,19,0,0,0.623,32.0,22
6.83,15,3,36.338,37,36,4,25.142,23.842,301.4,40.325,0.0,15,0,0,0.662,32.0,21
6.741,15,3,32.607,34,33,4,22.586,21.225,237.33,36.986,0.0,15,0,0,0.643,27.0,18
6.533,12,4,30.942,32,31,3,22.068,21.193,248.31,34.654,0.0,15,0,0,0.684,30.0,19
7.018,17,3,35.491,37,36,5,24.347,22.752,251.36,40.401,0.0,16,0,0,0.632,28.0,19
8.77,38,4,78.065,81,78,13,50.239,47.615,546.73,88.099,0.0,31,0,0,0.61,55.0,40
8.319,37,3,74.636,78,75,11,48.779,45.879,515.71,84.391,0.0,31,0,0,0.612,52.0,38
7.77,20,5,50.654,51,49,9,31.603,31.428,407.44,56.666,6.1,19,3,3,0.641,39.0,29
7.0,29,5,54.767,57,55,15,34.074,31.858,359.53,62.893,0.0,19,0,0,0.579,33.0,26
6.301,27,5,53.211,55,53,14,32.767,31.046,361.5,60.687,0.0,18,0,0,0.586,33.0,26
7.42,27,5,54.883,57,55,11,35.313,33.331,381.53,62.478,0.0,21,0,0,0.606,38.0,28
7.77,39,3,78.25,80,78,14,50.097,47.022,557.78,88.145,0.0,29,0,0,0.603,52.0,39
8.42,40,4,78.949,81,79,14,50.0,47.142,536.74,89.514,0.0,30,0,0,0.597,51.0,39
8.398,21,4,48.781,50,48,9,31.449,30.504,374.45,55.164,6.3,20,3,3,0.635,37.0,27
8.398,23,4,50.665,51,50,9,32.211,31.03,376.47,57.58,6.0,20,3,3,0.621,36.0,27
8.0,21,4,47.781,48,47,8,30.449,29.504,362.44,54.164,6.4,19,3,3,0.628,35.0,26
7.0,30,4,52.894,56,54,15,33.921,30.934,326.54,61.391,0.0,20,0,0,0.573,31.0,24
9.0,21,7,41.898,44,42,10,26.37,24.837,287.42,48.395,0.0,14,0,0,0.591,28.0,21
7.462,25,1,45.342,45,45,12,26.415,24.917,287.4,51.528,0.0,14,0,0,0.554,22.0,20
7.076,21,3,38.258,40,39,10,24.87,22.805,243.39,44.232,0.0,15,0,0,0.585,24.0,18
7.82,38,4,76.392,78,76,15,47.694,45.33,526.7,86.308,0.0,28,0,0,0.596,49.5,38
8.37,38,4,76.065,78,76,13,48.239,45.615,522.71,86.099,0.0,29,0,0,0.6,50.0,38
6.167,19,3,35.374,37,36,9,23.108,21.279,229.36,40.817,0.0,14,0,0,0.591,23.0,17
8.602,37,5,75.032,79,75,16,48.677,45.582,539.77,84.892,0.0,28,0,0,0.608,50.5,38
7.49,41,3,81.058,83,81,15,51.211,48.362,551.75,91.64,0.0,31,0,0,0.597,52.0,40
8.55,37,3,77.04,80,77,13,50.881,47.781,563.78,86.52,0.0,31,0,0,0.621,55.0,40
7.19,37,3,73.963,76,74,13,47.233,44.594,507.69,83.6,0.0,29,0,0,0.603,49.0,37
8.08,37,3,75.367,77,75,13,48.336,45.496,543.75,84.73,0.0,28,0,0,0.607,51.0,38
8.52,39,3,76.847,79,77,14,48.995,46.121,521.72,87.016,0.0,30,0,0,0.599,50.0,38
7.54,37,3,75.29,77,75,13,47.688,45.309,523.69,84.81,0.0,29,0,0,0.604,50.0,38
6.638,39,5,80.57,82,80,12,51.347,48.538,585.8,90.726,0.0,29,0,0,0.607,55.0,41
7.57,43,3,82.614,85,83,16,52.518,49.174,549.78,93.846,0.0,32,0,0,0.592,52.0,40
8.18,42,4,81.832,84,82,15,51.762,48.669,550.77,92.929,0.0,31,0,0,0.594,52.0,40
9.08,36,4,74.181,76,74,12,47.478,45.088,520.69,83.683,0.0,29,0,0,0.609,51.5,38
8.801,39,3,79.847,83,80,13,51.995,49.121,557.75,90.016,0.0,33,0,0,0.614,56.5,41
9.19,36,5,76.123,77,75,15,46.875,45.208,545.68,85.731,1.3,27,1,1,0.603,50.5,39
7.68,39,3,74.519,77,75,14,47.54,44.406,493.71,84.806,0.0,29,0,0,0.592,47.0,36
8.05,34,4,70.625,72,70,13,44.171,42.276,498.64,79.478,0.0,26,0,0,0.604,47.5,36
7.85,36,4,73.181,75,73,13,46.478,44.088,508.68,82.683,0.0,28,0,0,0.604,49.0,37
9.38,30,5,70.054,70,68,12,42.773,42.206,537.6,78.37,4.4,25,3,3,0.621,49.5,38
8.745,21,3,53.374,55,52,7,35.892,34.468,463.58,58.328,0.0,20,0,0,0.663,44.5,31
9.301,35,3,77.811,80,77,10,51.029,48.684,593.76,86.524,0.0,31,0,0,0.632,59.0,42
5.788,23,3,53.778,56,53,7,34.904,33.906,409.48,59.694,0.0,22,0,0,0.64,42.0,30
8.854,34,2,75.054,78,75,7,51.114,48.233,570.76,83.607,0.0,33,0,0,0.643,60.0,41
7.149,27,1,52.571,54,53,8,34.267,32.014,353.5,59.524,0.0,22,0,0,0.604,35.0,26
9.301,27,1,48.571,49,49,10,30.267,28.014,305.46,55.524,0.0,18,0,0,0.572,27.0,22
8.745,23,1,42.803,43,43,8,26.745,24.961,277.4,48.694,0.0,16,0,0,0.58,25.0,20
8.119,29,3,61.832,64,61,13,39.29,37.388,463.61,69.069,0.0,22,0,0,0.613,43.0,32
9.886,25,1,45.687,46,46,9,28.506,26.487,291.43,52.109,0.0,17,0,0,0.576,26.0,21
8.824,27,1,48.571,49,49,10,30.267,28.014,305.46,55.524,0.0,18,0,0,0.572,27.0,22
8.187,29,1,51.454,52,52,11,32.029,29.541,319.49,58.939,0.0,19,0,0,0.568,28.0,23
6.569,21,1,39.92,40,40,7,24.983,23.434,263.37,45.279,0.0,15,0,0,0.586,24.0,19
9.155,40,6,82.923,83,82,12,51.159,49.088,584.75,93.514,0.0,29,0,0,0.599,54.0,42
8.301,23,3,53.778,56,53,7,34.904,33.906,409.48,59.694,0.0,22,0,0,0.64,42.0,30
8.959,31,1,50.338,50,51,14,29.79,27.068,285.48,58.355,0.0,16,0,0,0.531,21.0,20
5.602,25,3,59.065,61,58,8,38.767,37.335,471.58,65.239,0.0,23,0,0,0.644,47.0,33
8.222,22,3,56.694,58,55,7,36.943,36.191,475.54,62.163,1.8,22,1,1,0.658,47.0,33
6.337,34,3,70.592,72,70,12,44.409,42.45,499.64,79.525,1.4,27,1,1,0.606,47.0,36
8.569,29,1,48.454,49,49,14,29.029,26.541,283.46,55.939,0.0,16,0,0,0.542,22.0,20
8.62,25,1,46.687,48,47,10,29.506,27.487,303.44,53.109,0.0,18,0,0,0.585,28.0,22
8.678,29,1,51.454,52,52,11,32.029,29.541,319.49,58.939,0.0,19,0,0,0.568,28.0,23
6.268,19,1,37.036,37,37,6,23.222,21.907,249.34,41.863,0.0,14,0,0,0.592,23.0,18
6.046,33,3,73.523,76,73,9,48.165,46.255,543.67,81.979,0.0,31,0,0,0.634,56.0,40
7.921,25,1,45.687,46,46,9,28.506,26.487,291.43,52.109,0.0,17,0,0,0.576,26.0,21
8.699,29,1,52.454,54,53,12,33.029,30.541,331.5,59.939,0.0,20,0,0,0.576,30.0,24
8.337,24,1,46.011,46,46,9,29.364,27.315,325.87,52.053,2.2,17,0,1,0.594,27.0,22
8.268,27,1,49.898,50,50,10,30.722,28.729,321.46,56.734,0.0,18,0,0,0.575,28.0,23
8.328,29,1,47.454,47,48,13,28.029,25.541,271.45,54.939,0.0,15,0,0,0.532,20.0,19
9.456,27,1,49.571,51,50,11,31.267,29.014,317.47,56.524,0.0,19,0,0,0.58,29.0,23
4.824,46,4,91.254,93,91,17,57.194,54.152,622.84,103.178,0.0,34,0,0,0.595,58.0,45
8.602,22,4,55.4,57,54,7,36.25,35.303,458.54,60.906,0.0,21,0,0,0.654,46.0,32
9.252,27,1,44.571,44,45,12,26.267,24.014,257.42,51.524,0.0,14,0,0,0.534,19.0,18
5.086,46,4,90.254,92,90,17,56.194,53.152,610.83,102.178,0.0,33,0,0,0.591,56.0,44
8.585,44,4,88.37,90,88,16,55.432,52.625,608.81,99.763,0.0,33,0,0,0.598,57.0,44
7.523,33,3,73.523,76,73,9,48.165,46.255,543.67,81.979,0.0,31,0,0,0.634,56.0,40
8.456,43,5,85.261,87,85,16,53.222,50.405,581.79,96.637,0.0,31,0,0,0.593,54.0,42
5.0,13,4,43.574,45,42,2,29.858,30.111,394.38,47.713,7.1,21,3,3,0.717,45.0,29
5.0,12,5,37.465,38,36,3,24.648,24.891,331.33,41.587,8.3,16,3,3,0.691,36.0,24
5.0,10,5,36.909,37,35,2,24.341,25.079,345.31,40.381,8.6,16,3,3,0.717,38.0,25
5.78,22,5,55.538,57,54,9,35.364,34.954,445.49,62.081,5.6,22,3,3,0.647,45.0,32
6.35,20,5,50.327,51,49,7,32.148,31.713,403.45,56.457,6.1,20,3,3,0.647,41.0,29
6.29,24,5,58.421,60,57,10,37.125,36.481,459.52,65.497,5.3,23,3,3,0.64,46.0,33
6.569,22,5,53.21,54,52,8,33.91,33.24,417.48,59.872,5.8,21,3,3,0.639,42.0,30
5.9,13,4,39.574,40,38,4,25.858,26.111,346.34,43.713,7.9,17,3,3,0.687,37.0,25
5.5,13,4,39.574,40,38,4,25.858,26.111,346.34,43.713,7.9,17,3,3,0.687,37.0,25
5.97,15,4,42.458,43,41,5,27.62,27.638,360.37,47.128,7.3,18,3,3,0.674,38.0,26
5.64,14,5,45.676,47,44,3,30.864,31.133,409.4,50.211,6.8,21,3,3,0.708,46.0,30
5.0,14,5,45.676,47,44,3,30.864,31.133,409.4,50.211,6.8,21,3,3,0.708,46.0,30
5.0,14,5,45.676,47,44,3,30.864,31.133,409.4,50.211,6.8,21,3,3,0.708,46.0,30
5.69,18,5,51.443,53,50,5,34.387,34.186,437.46,57.042,6.0,23,3,3,0.684,48.0,32
5.6,18,5,50.771,52,49,7,32.841,32.901,429.44,56.251,6.1,21,3,3,0.671,45.0,31
6.05,18,5,48.443,50,47,7,31.387,31.186,401.43,54.042,6.4,20,3,3,0.664,42.0,29
6.62,20,5,51.327,53,50,8,33.148,32.713,415.46,57.457,6.0,21,3,3,0.654,43.0,30
6.75,22,5,54.21,56,53,9,34.91,34.24,429.49,60.872,5.7,22,3,3,0.646,44.0,31
5.23,18,5,47.443,48,46,6,30.387,30.186,389.42,53.042,6.5,19,3,3,0.656,40.0,28
5.93,19,6,52.872,54,51,7,33.847,33.922,444.46,58.749,5.9,21,3,3,0.665,46.0,32
6.11,20,5,50.327,51,49,7,32.148,31.713,403.45,56.457,6.1,20,3,3,0.647,41.0,29
6.06,22,5,54.21,56,53,9,34.91,34.24,429.49,60.872,5.7,22,3,3,0.646,44.0,31
6.33,25,6,59.196,61,58,10,37.677,36.788,458.54,66.786,5.2,23,3,3,0.634,46.0,33
6.48,27,6,62.079,64,61,11,39.438,38.315,472.57,70.201,4.9,24,3,3,0.628,47.0,34
7.886,22,5,52.21,53,51,9,32.91,32.24,405.47,58.872,5.9,20,3,3,0.632,39.0,29
5.78,23,4,52.992,54,52,9,33.665,32.745,404.48,59.789,5.8,21,3,3,0.63,39.0,29
5.0,19,4,51.552,53,50,7,33.597,33.406,428.45,57.168,6.0,22,3,3,0.668,45.0,31
7.222,12,3,30.047,31,30,3,21.682,20.526,257.74,33.515,3.3,14,0,1,0.684,27.0,18
7.357,12,3,29.953,31,30,3,22.176,20.723,302.19,33.413,3.3,14,0,1,0.691,27.0,18
6.5,15,3,34.934,36,35,4,24.04,22.94,265.34,39.196,0.0,16,0,0,0.655,30.0,20
7.149,17,3,35.491,37,36,5,24.347,22.752,251.36,40.401,0.0,16,0,0,0.632,28.0,19
6.78,19,3,38.374,40,39,6,26.108,24.279,265.39,43.817,0.0,17,0,0,0.623,29.0,20
7.252,19,3,38.374,40,39,6,26.108,24.279,265.39,43.817,0.0,17,0,0,0.623,29.0,20
6.4,21,3,41.258,43,42,7,27.87,25.805,279.42,47.232,0.0,18,0,0,0.614,30.0,21
6.18,12,3,35.472,35,34,4,22.853,23.09,307.3,39.215,8.8,15,3,3,0.679,31.0,22
6.71,17,3,36.491,39,37,6,25.347,23.752,263.37,41.401,0.0,17,0,0,0.642,30.0,20
6.839,19,3,39.374,42,40,7,27.108,25.279,277.4,44.817,0.0,18,0,0,0.632,31.0,21
7.357,11,3,38.567,37,36,5,23.972,25.052,359.3,42.44,16.7,16,6,6,0.696,34.0,25
6.0,11,3,34.469,34,33,4,23.256,23.202,325.74,37.949,12.1,15,3,4,0.703,31.0,22
7.495,11,3,34.658,34,33,4,22.336,22.758,309.29,38.345,12.1,15,4,4,0.69,31.0,22
7.77,14,3,37.029,37,36,5,24.159,23.902,305.33,41.42,8.3,16,3,3,0.664,31.0,22
6.821,14,3,38.356,38,37,5,24.614,24.617,321.33,42.63,8.1,16,3,3,0.665,32.0,23
7.398,16,3,41.24,41,40,6,26.375,26.143,335.36,46.045,7.5,17,3,3,0.654,33.0,24
7.187,11,3,39.894,38,37,5,24.426,25.766,375.3,43.649,16.2,16,6,6,0.696,35.0,26
7.041,18,3,44.123,44,43,7,28.137,27.67,349.39,49.46,7.0,18,3,3,0.643,34.0,25
6.328,6,5,28.814,29,27,1,19.364,20.311,289.24,31.341,11.1,13,3,3,0.752,33.0,21
6.201,8,5,33.025,33,31,2,21.58,22.552,319.27,35.966,9.7,14,3,3,0.727,35.0,23
5.97,10,5,35.909,36,34,3,23.341,24.079,333.3,39.381,8.8,15,3,3,0.708,36.0,24
5.64,14,5,41.676,42,40,5,26.864,27.133,361.36,46.211,7.5,17,3,3,0.678,38.0,26
6.55,14,5,43.003,43,41,5,27.318,27.847,377.36,47.421,7.3,17,3,3,0.679,39.0,27
6.932,21,6,52.429,53,51,8,33.154,32.734,418.47,58.955,5.9,20,3,3,0.642,42.0,30
5.0,16,3,44.567,45,43,6,28.83,28.858,375.38,49.254,7.0,19,3,3,0.671,38.0,27
5.0,11,2,33.371,33,32,3,21.847,22.068,292.28,36.716,9.4,15,3,3,0.69,30.0,21
5.7,7,4,29.596,30,28,1,20.12,20.816,288.25,32.258,10.7,14,3,3,0.743,33.0,21
5.07,9,4,33.807,34,32,2,22.335,23.058,318.28,36.883,9.4,15,3,3,0.721,35.0,23
5.08,11,4,36.691,37,35,3,24.097,24.584,332.31,40.298,8.6,16,3,3,0.702,36.0,24
5.55,11,4,38.018,38,36,3,24.551,25.299,348.31,41.507,8.3,16,3,3,0.703,37.0,25
5.11,13,4,39.574,40,38,4,25.858,26.111,346.34,43.713,7.9,17,3,3,0.687,37.0,25
5.57,13,4,40.902,41,39,4,26.313,26.826,362.34,44.922,7.7,17,3,3,0.688,38.0,26
7.301,12,3,36.8,36,35,4,23.307,23.805,323.3,40.424,8.6,15,3,3,0.68,32.0,23
5.0,7,2,26.276,26,25,1,17.87,18.3,248.22,28.677,12.0,13,3,3,0.732,27.0,18
5.051,13,2,37.582,37,36,4,24.063,24.31,322.31,41.341,8.3,16,3,3,0.675,32.0,23
5.51,19,4,49.225,50,48,6,32.142,31.692,400.44,54.959,6.3,21,3,3,0.66,41.5,29
7.292,34,4,63.989,67,65,12,41.898,38.702,418.64,73.431,0.0,26,0,0,0.595,42.0,31
6.848,21,3,43.585,45,44,6,29.324,27.52,307.43,49.441,0.0,19,0,0,0.625,33.0,23
7.208,32,4,62.105,66,63,12,41.137,38.176,416.62,71.015,0.0,26,0,0,0.606,43.0,31
8.046,30,4,58.221,61,59,10,38.375,35.649,390.58,66.6,0.0,24,0,0,0.604,40.0,29
6.536,23,3,48.469,51,49,6,33.086,31.047,345.48,54.856,0.0,22,0,0,0.634,39.0,26
7.284,23,3,48.469,51,49,6,33.086,31.047,345.48,54.856,0.0,22,0,0,0.634,39.0,26
5.985,20,4,42.803,44,43,6,28.569,27.015,308.42,48.524,0.0,18,0,0,0.628,33.0,23
6.312,21,3,43.585,45,44,6,29.324,27.52,307.43,49.441,0.0,19,0,0,0.625,33.0,23
7.06,30,4,58.221,61,59,10,38.375,35.649,390.58,66.6,0.0,24,0,0,0.604,40.0,29
7.292,19,3,39.029,39,39,6,25.017,23.708,273.37,44.235,0.0,15,0,0,0.608,27.0,20
6.035,38,4,73.41,76,74,14,47.33,44.186,490.71,83.68,0.0,29,0,0,0.597,48.0,36
6.102,22,2,44.367,46,45,6,30.08,28.026,306.44,50.358,0.0,20,0,0,0.623,33.0,23
7.252,22,2,44.367,46,45,6,30.08,28.026,306.44,50.358,0.0,20,0,0,0.623,33.0,23
6.666,30,4,58.221,61,59,10,38.375,35.649,390.58,66.6,0.0,24,0,0,0.604,40.0,29
8.222,38,4,71.083,74,72,14,45.876,42.471,462.7,81.47,0.0,28,0,0,0.59,45.0,34
7.244,29,3,57.12,60,58,9,38.37,35.627,387.57,65.102,0.0,25,0,0,0.614,41.0,29
7.745,31,3,59.003,62,60,11,39.131,36.154,389.59,67.517,0.0,25,0,0,0.603,40.0,29
5.911,24,2,50.982,52,51,7,34.398,32.169,384.54,57.112,0.0,21,0,0,0.631,39.0,27
7.699,38,4,69.756,73,71,14,45.421,41.756,446.7,80.261,0.0,28,0,0,0.588,44.0,33
8.0,34,4,66.316,69,67,12,43.353,40.417,446.65,75.64,0.0,27,0,0,0.603,45.0,33
8.097,32,4,61.105,64,62,11,40.137,37.176,404.61,70.015,0.0,25,0,0,0.6,41.0,30
7.921,34,4,65.316,68,66,12,42.353,39.417,434.64,74.64,0.0,26,0,0,0.597,43.0,32
9.0,28,5,64.861,66,64,9,42.194,40.82,495.6,73.118,4.7,27,3,3,0.638,50.0,36
6.095,21,3,43.585,45,44,6,29.324,27.52,307.43,49.441,0.0,19,0,0,0.625,33.0,23
5.588,22,6,50.007,52,50,6,33.58,32.058,374.49,56.521,0.0,21,0,0,0.641,41.5,28
5.0,24,4,49.571,52,50,7,33.091,31.068,348.49,56.355,0.0,21,0,0,0.621,37.0,26
6.195,29,3,57.447,60,58,10,37.824,35.342,391.56,65.311,0.0,24,0,0,0.609,40.0,29
6.824,20,3,51.661,51,50,7,32.807,32.627,419.44,57.294,6.0,21,3,3,0.653,41.0,30
7.013,25,3,53.352,56,54,6,36.847,34.574,383.53,60.272,0.0,25,0,0,0.64,43.0,29
7.187,30,4,59.221,63,60,11,39.375,36.649,402.59,67.6,0.0,25,0,0,0.611,42.0,30
5.699,38,6,80.712,82,80,11,50.944,48.846,578.74,90.889,0.0,30,0,0,0.611,56.0,42
9.0,34,6,74.272,74,73,9,45.875,44.507,542.66,83.268,0.0,26,0,0,0.61,51.0,39
9.097,38,6,80.04,80,79,11,49.398,47.561,570.72,90.099,0.0,28,0,0,0.602,53.0,41
6.921,27,5,59.865,60,59,6,37.676,36.476,441.54,67.106,0.0,22,0,0,0.618,43.0,32
7.523,14,4,43.552,42,41,6,26.739,27.6,388.35,48.353,14.6,17,6,6,0.673,36.0,27
8.0,22,5,50.883,52,50,9,32.455,31.525,389.47,57.663,6.0,20,3,3,0.63,38.0,28
8.046,19,4,47.225,48,46,8,30.142,29.692,376.42,52.959,6.5,19,3,3,0.645,37.0,27
8.0,19,4,46.225,46,45,7,29.142,28.692,364.41,51.959,6.7,18,3,3,0.638,35.0,26
8.046,21,4,50.109,51,49,9,31.904,31.218,390.45,56.374,6.1,20,3,3,0.637,38.0,28
8.523,16,5,45.232,46,44,4,30.171,29.945,383.41,50.417,6.8,20,3,3,0.681,41.0,28
8.046,15,4,42.785,42,41,5,27.074,27.353,364.36,47.338,7.3,17,3,3,0.667,36.0,26
7.959,15,8,44.771,45,43,5,28.665,28.955,388.4,50.082,7.0,17,3,3,0.673,40.5,28
8.097,16,5,43.56,43,42,5,27.625,27.659,363.38,48.626,7.1,17,3,3,0.659,36.0,26
8.523,20,5,49.327,49,48,7,31.148,30.713,391.44,55.457,6.3,19,3,3,0.64,38.0,28
7.921,18,5,47.443,48,46,7,30.387,30.186,389.42,53.042,6.5,19,3,3,0.656,39.0,28
8.398,20,5,50.327,51,49,8,32.148,31.713,403.45,56.457,6.1,20,3,3,0.647,40.0,29
8.301,22,5,54.538,55,53,9,34.364,33.955,433.48,61.081,5.7,21,3,3,0.641,42.0,31
7.886,20,5,51.654,52,50,8,32.603,32.428,419.45,57.666,6.0,20,3,3,0.649,41.0,30
6.37,17,4,44.341,44,43,6,28.381,28.165,362.39,49.543,7.0,18,3,3,0.655,36.0,26
7.921,17,4,44.341,44,43,6,28.381,28.165,362.39,49.543,7.0,18,3,3,0.655,36.0,26
8.398,24,5,55.094,55,54,9,34.671,33.767,419.5,62.287,5.6,21,3,3,0.625,40.0,30
8.046,21,4,54.109,55,53,6,35.904,35.218,438.49,60.374,5.7,24,3,3,0.664,46.0,32
8.097,12,3,35.472,35,34,4,22.853,23.09,307.3,39.215,8.8,15,3,3,0.679,31.0,22
6.78,10,3,34.916,34,33,3,22.546,23.278,321.28,38.009,9.1,15,3,3,0.705,33.0,23
6.41,21,4,50.109,50,49,8,31.904,31.218,390.45,56.374,6.1,20,3,3,0.637,38.0,28
8.222,15,4,39.131,39,38,5,25.165,24.923,320.35,43.919,7.9,16,3,3,0.656,32.0,23
9.046,28,4,71.887,72,70,9,47.444,46.325,600.69,79.713,5.7,30,4,4,0.662,60.0,42
8.523,31,5,76.468,78,75,11,50.108,48.972,605.69,85.497,5.3,33,4,4,0.653,62.0,44
8.699,28,4,73.392,73,71,10,46.978,46.717,602.63,81.678,8.5,31,6,6,0.658,59.0,43
5.0,7,2,24.603,23,23,2,15.324,16.015,228.19,26.886,13.0,10,3,3,0.696,22.0,16
5.0,8,1,25.713,24,24,2,15.534,16.235,231.19,28.012,12.5,10,3,3,0.676,21.0,16
7.495,11,1,31.803,30,30,4,19.915,20.116,293.69,34.787,13.3,12,3,4,0.671,24.0,19
6.97,10,2,33.349,31,31,3,20.614,21.325,322.69,36.079,12.9,12,3,4,0.688,27.0,21
7.29,12,4,40.553,39,38,3,25.625,26.368,388.76,44.076,10.5,15,3,4,0.694,35.5,26
7.58,14,4,43.436,42,41,4,27.387,27.895,402.79,47.491,9.8,16,3,4,0.68,36.5,27
7.48,14,4,43.436,42,41,4,27.387,27.895,402.79,47.491,9.8,16,3,4,0.68,36.5,27
7.932,14,4,43.436,42,41,4,27.387,27.895,402.79,47.491,9.8,16,3,4,0.68,36.5,27
6.71,14,2,40.443,38,38,5,24.591,25.094,366.75,44.119,10.5,14,3,4,0.66,30.0,24
7.04,16,4,47.647,46,45,5,29.602,30.137,432.82,52.116,8.9,17,3,4,0.67,38.5,29
