pXC50,C.,nBM,nCsp2,Sp,nAB,Mp,SCBO,Si,Sv,Se,nCsp3,AMW,H.,Me,Mi,Mv,MW,N.,nAT
5.301,42.9,15,15,28.074,12,0.668,38.0,48.338,28.353,43.785,3,8.961,35.7,1.043,1.151,0.675,376.37,9.5,42
6.66,45.9,15,15,26.29,12,0.711,35.0,41.689,25.865,38.098,2,9.345,35.1,1.03,1.127,0.699,345.78,8.1,37
7.06,45.0,15,15,28.114,12,0.703,35.0,44.764,27.009,40.469,3,8.545,40.0,1.012,1.119,0.675,341.82,7.5,40
6.854,45.0,15,15,28.608,12,0.715,35.0,44.662,27.207,40.374,3,9.657,40.0,1.009,1.117,0.68,386.27,7.5,40
6.368,46.3,16,15,28.5,12,0.695,38.0,45.903,27.676,41.363,3,8.107,39.0,1.009,1.12,0.675,332.39,9.8,41
7.44,43.9,15,15,28.568,12,0.697,36.0,45.974,27.724,41.796,3,8.727,39.0,1.019,1.121,0.676,357.82,7.3,41
5.602,48.7,17,15,27.983,12,0.718,41.0,43.571,27.644,39.698,2,8.804,33.3,1.018,1.117,0.709,343.37,12.8,39
5.301,45.0,15,15,27.926,12,0.698,38.0,45.783,28.159,42.007,3,9.895,32.5,1.05,1.145,0.704,395.79,7.5,40
5.301,45.0,15,15,28.421,12,0.711,38.0,45.681,28.357,41.912,3,11.006,32.5,1.048,1.142,0.709,440.24,7.5,40
5.865,45.9,15,15,26.784,12,0.724,35.0,41.586,26.063,38.003,2,10.547,35.1,1.027,1.124,0.704,390.23,8.1,37
5.301,45.9,15,15,28.199,12,0.762,35.0,41.088,26.705,37.72,2,12.193,35.1,1.019,1.11,0.722,451.13,8.1,37
5.301,45.9,15,15,27.21,12,0.735,35.0,41.293,26.31,37.909,2,9.79,35.1,1.025,1.116,0.711,362.23,8.1,37
5.301,45.9,15,15,27.21,12,0.735,35.0,41.293,26.31,37.909,2,9.79,35.1,1.025,1.116,0.711,362.23,8.1,37
5.301,45.9,15,15,28.068,12,0.759,36.0,41.237,27.137,38.233,2,10.721,32.4,1.033,1.115,0.733,396.67,8.1,37
5.301,45.9,15,15,25.307,12,0.684,36.0,42.424,25.805,38.8,2,9.387,32.4,1.049,1.147,0.697,347.32,8.1,37
6.854,48.8,20,19,30.256,17,0.704,40.5,47.82,29.181,43.145,2,7.986,39.5,1.003,1.112,0.679,343.41,7.0,43
7.307,45.9,15,15,26.165,12,0.707,37.0,42.368,26.632,39.123,2,10.318,29.7,1.057,1.145,0.72,381.76,8.1,37
6.886,45.9,15,15,26.659,12,0.721,37.0,42.266,26.83,39.029,2,11.519,29.7,1.055,1.142,0.725,426.21,8.1,37
7.052,47.5,19,17,27.949,16,0.699,39.0,44.614,27.369,40.589,2,8.334,37.5,1.015,1.115,0.684,333.37,7.5,40
5.301,46.2,19,16,27.193,16,0.697,39.0,43.697,26.864,39.807,2,8.573,35.9,1.021,1.12,0.689,334.36,10.3,39
7.169,46.5,19,17,29.71,16,0.691,40.0,48.03,28.896,43.473,3,8.079,39.5,1.011,1.117,0.672,347.4,7.0,43
6.824,46.0,19,17,34.233,16,0.685,44.0,55.86,32.95,50.24,6,7.749,42.0,1.005,1.117,0.659,387.47,6.0,50
7.523,50.0,24,21,32.71,21,0.711,46.5,51.03,31.896,46.473,2,8.335,37.0,1.01,1.109,0.693,383.43,6.5,46
5.301,50.0,24,21,32.71,21,0.711,46.5,51.03,31.896,46.473,2,8.335,37.0,1.01,1.109,0.693,383.43,6.5,46
5.301,48.9,24,21,33.262,21,0.708,46.5,52.318,32.203,47.247,2,8.137,38.3,1.005,1.113,0.685,382.45,8.5,47
5.301,47.2,24,21,36.784,21,0.694,48.5,59.149,35.256,53.014,4,7.745,41.5,1.0,1.116,0.665,410.51,7.5,53
5.301,48.8,23,19,30.256,22,0.704,41.0,47.82,29.181,43.145,2,7.986,39.5,1.003,1.112,0.679,343.41,7.0,43
8.398,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
7.222,46.3,22,17,31.313,21,0.764,42.5,45.422,30.212,42.313,2,10.593,31.7,1.032,1.108,0.737,434.32,7.3,41
6.421,47.7,23,19,33.284,22,0.756,45.0,48.862,32.379,45.444,2,10.517,31.8,1.033,1.11,0.736,462.73,6.8,44
5.301,46.7,23,19,31.262,22,0.695,42.0,50.318,30.203,45.247,2,7.965,40.0,1.005,1.118,0.671,358.43,8.9,45
5.301,45.7,20,19,33.188,18,0.721,42.0,51.333,32.078,47.004,2,9.355,37.0,1.022,1.116,0.697,430.31,6.5,46
5.301,47.8,23,19,32.017,22,0.696,42.0,51.235,30.708,46.029,3,7.77,41.3,1.001,1.114,0.668,357.44,6.5,46
6.904,48.8,23,19,30.256,22,0.704,41.0,47.82,29.181,43.145,2,7.986,39.5,1.003,1.112,0.679,343.41,7.0,43
5.301,48.8,23,19,30.256,22,0.704,41.0,47.82,29.181,43.145,2,7.986,39.5,1.003,1.112,0.679,343.41,7.0,43
7.603,48.8,23,19,30.256,22,0.704,41.0,47.82,29.181,43.145,2,7.986,39.5,1.003,1.112,0.679,343.41,7.0,43
7.262,48.8,23,19,31.972,22,0.744,43.0,47.708,30.836,43.793,2,9.588,34.9,1.018,1.109,0.717,412.29,7.0,43
8.722,46.7,23,19,32.977,22,0.733,44.0,50.206,31.858,45.894,2,9.496,35.6,1.02,1.116,0.708,427.31,8.9,45
8.959,46.7,23,19,32.977,22,0.733,44.0,50.206,31.858,45.894,2,9.496,35.6,1.02,1.116,0.708,427.31,8.9,45
7.839,49.0,28,23,36.023,27,0.706,49.5,56.734,34.73,51.131,2,8.01,39.2,1.003,1.112,0.681,408.49,7.8,51
8.689,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
7.284,46.8,23,19,33.142,22,0.705,47.0,53.408,33.4,49.218,3,9.827,31.9,1.047,1.136,0.711,461.85,6.4,47
8.43,45.7,25,19,32.722,22,0.711,48.0,51.475,32.648,47.669,2,9.54,32.6,1.036,1.119,0.71,438.85,8.7,46
7.262,44.2,23,19,35.142,22,0.676,46.0,58.279,34.379,52.894,4,8.067,40.4,1.017,1.121,0.661,419.47,5.8,52
5.301,48.9,23,20,33.182,22,0.737,44.0,49.834,32.057,45.902,2,9.496,35.6,1.02,1.107,0.712,427.3,4.4,45
6.523,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
6.388,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
8.746,46.3,22,17,31.313,21,0.764,42.5,45.422,30.212,42.313,2,10.593,31.7,1.032,1.108,0.737,434.32,7.3,41
8.484,48.9,27,21,34.358,26,0.731,48.0,51.95,33.083,47.549,2,8.84,36.2,1.012,1.105,0.704,415.5,6.4,47
7.354,48.9,27,21,35.216,26,0.749,49.0,51.894,33.911,47.873,2,9.573,34.0,1.019,1.104,0.722,449.94,6.4,47
7.647,46.3,22,17,31.313,21,0.764,42.5,45.422,30.212,42.313,2,10.593,31.7,1.032,1.108,0.737,434.32,7.3,41
7.443,49.0,27,22,34.472,26,0.704,48.0,54.445,33.423,49.356,2,8.111,38.8,1.007,1.111,0.682,397.46,6.1,49
5.301,49.0,28,22,34.716,27,0.708,49.5,54.528,33.918,49.574,2,8.377,36.7,1.012,1.113,0.692,410.46,8.2,49
5.301,46.5,26,18,31.392,26,0.73,45.0,47.906,30.358,43.658,2,9.057,34.9,1.015,1.114,0.706,389.47,11.6,43
5.301,48.0,27,21,36.12,26,0.722,49.0,55.365,34.61,50.433,3,8.591,38.0,1.009,1.107,0.692,429.53,6.0,50
7.511,47.7,23,19,31.568,22,0.717,43.0,48.974,30.724,44.796,2,8.951,36.4,1.018,1.113,0.698,393.85,6.8,44
6.954,47.7,23,19,31.568,22,0.717,43.0,48.974,30.724,44.796,2,8.951,36.4,1.018,1.113,0.698,393.85,6.8,44
7.35,47.7,23,19,30.71,22,0.698,42.0,49.03,29.896,44.473,2,8.168,38.6,1.011,1.114,0.679,359.41,6.8,44
7.511,45.8,23,19,32.926,22,0.686,44.0,53.654,32.138,48.683,3,8.113,39.6,1.014,1.118,0.67,389.44,6.3,48
7.597,47.7,23,19,31.568,22,0.717,43.0,48.974,30.724,44.796,2,8.951,36.4,1.018,1.113,0.698,393.85,6.8,44
7.959,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
5.301,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
7.854,50.0,28,23,35.472,27,0.709,49.5,55.445,34.423,50.356,2,8.189,38.0,1.007,1.109,0.688,409.47,6.0,50
7.423,50.0,28,23,36.33,27,0.727,50.5,55.389,35.25,50.68,2,8.878,36.0,1.014,1.108,0.705,443.91,6.0,50
5.301,48.8,23,19,30.665,22,0.748,43.0,45.502,30.024,42.236,1,10.104,31.7,1.03,1.11,0.732,414.26,7.3,41
7.432,48.2,28,23,38.995,27,0.696,51.5,62.275,37.477,56.123,4,7.813,41.1,1.002,1.112,0.669,437.53,5.4,56
6.409,50.0,28,23,35.472,27,0.709,49.5,55.445,34.423,50.356,2,8.189,38.0,1.007,1.109,0.688,409.47,6.0,50
8.156,50.0,28,23,35.472,27,0.709,49.5,55.445,34.423,50.356,2,8.189,38.0,1.007,1.109,0.688,409.47,6.0,50
6.81,47.4,22,17,28.79,21,0.758,39.5,42.143,27.449,38.553,1,9.707,34.2,1.015,1.109,0.722,368.87,10.5,38
6.886,45.9,15,15,26.847,12,0.726,34.0,41.247,25.68,37.491,2,10.061,37.8,1.013,1.115,0.694,372.24,8.1,37
5.638,48.8,23,17,30.148,22,0.735,43.0,45.721,29.283,41.578,2,9.167,34.1,1.014,1.115,0.714,375.84,12.2,41
7.523,47.5,22,17,28.904,22,0.723,39.0,44.638,27.789,40.36,2,8.771,37.5,1.009,1.116,0.695,350.83,10.0,40
7.594,46.3,23,17,29.358,22,0.716,41.0,45.847,28.504,41.687,2,8.947,36.6,1.017,1.118,0.695,366.83,9.8,41
6.338,48.6,22,17,27.142,22,0.734,38.0,41.223,26.262,37.476,1,9.103,35.1,1.013,1.114,0.71,336.8,10.8,37
6.187,47.5,22,17,29.762,22,0.744,40.0,44.582,28.616,40.684,2,9.632,35.0,1.017,1.115,0.715,385.27,10.0,40
7.452,46.3,23,17,29.358,22,0.716,41.0,45.847,28.504,41.687,2,8.947,36.6,1.017,1.118,0.695,366.83,9.8,41
5.301,48.8,22,18,29.659,22,0.723,39.0,45.555,28.294,41.142,2,8.533,39.0,1.003,1.111,0.69,349.84,7.3,41
6.115,46.7,18,17,31.387,17,0.697,36.5,50.013,29.547,44.916,4,7.864,44.4,0.998,1.111,0.657,353.87,2.2,45
5.301,46.8,22,18,33.182,22,0.706,41.0,52.385,31.348,46.909,4,8.04,42.6,0.998,1.115,0.667,377.9,6.4,47
5.959,48.8,23,17,30.148,22,0.735,43.0,45.721,29.283,41.578,2,9.167,34.1,1.014,1.115,0.714,375.84,12.2,41
7.42,46.3,23,17,29.358,22,0.716,41.0,45.847,28.504,41.687,2,8.947,36.6,1.017,1.118,0.695,366.83,9.8,41
6.497,48.8,22,18,29.659,22,0.723,39.0,45.555,28.294,41.142,2,8.533,39.0,1.003,1.111,0.69,349.84,7.3,41
5.409,48.8,22,18,30.517,22,0.744,40.0,45.499,29.122,41.465,2,9.373,36.6,1.011,1.11,0.71,384.28,7.3,41
5.88,48.7,18,17,27.864,17,0.714,34.5,43.183,26.493,39.149,2,8.354,41.0,1.004,1.107,0.679,325.81,2.6,39
5.481,45.5,13,13,23.102,12,0.7,27.0,36.768,21.966,33.265,2,8.356,42.4,1.008,1.114,0.666,275.75,3.0,33
6.155,47.5,22,17,29.762,22,0.744,40.0,44.582,28.616,40.684,2,9.632,35.0,1.017,1.115,0.715,385.27,10.0,40
6.662,48.8,23,17,29.29,22,0.714,42.0,45.777,28.456,41.254,2,8.327,36.6,1.006,1.117,0.694,341.4,12.2,41
6.471,47.5,22,17,29.762,22,0.744,40.0,44.582,28.616,40.684,2,9.632,35.0,1.017,1.115,0.715,385.27,10.0,40
