pXC50,nBO,C.,nCsp2,Sp,nC,Sv
5.0,79,37.9,35,89.62,53,86.322
6.93,47,39.2,18,51.182,31,49.319
6.041,70,36.9,28,82.154,48,78.564
5.0,34,44.4,19,35.46,20,33.618
6.076,95,38.8,36,105.756,64,101.826
6.21,43,39.5,16,49.029,30,46.395
5.0,31,41.3,14,34.12,19,31.822
5.41,44,39.2,17,50.694,31,48.33
5.0,41,43.8,22,43.222,28,41.761
7.435,59,39.0,25,67.762,41,64.523
5.0,31,41.3,14,34.12,19,31.822
5.0,32,40.8,14,35.881,20,33.349
5.0,31,40.0,13,32.869,18,31.119
5.0,79,38.6,35,89.825,54,86.521
5.0,32,38.8,13,34.483,19,32.678
6.0,94,39.4,43,104.336,63,101.094
5.0,86,37.9,36,97.472,58,94.245
5.0,86,37.4,36,98.575,58,94.859
7.3,43,43.8,22,43.097,28,42.528
5.0,37,38.6,13,40.159,22,37.721
5.7,31,41.7,15,34.233,20,32.162
4.944,68,41.6,26,73.404,47,71.199
5.967,74,38.9,34,84.393,51,81.037
8.5,59,38.0,19,68.489,41,64.775
6.41,46,38.5,17,51.716,30,48.878
6.18,47,41.0,20,51.176,32,49.298
5.0,31,40.0,13,32.869,18,31.119
6.252,95,38.8,36,105.756,64,101.826
5.6,46,40.5,19,51.483,32,49.11
5.0,36,42.3,17,37.227,22,35.533
9.921,53,42.4,27,57.586,36,55.012
9.524,50,42.7,26,54.824,35,52.196
9.237,50,42.0,25,54.921,34,52.077
9.854,46,46.5,27,48.739,33,46.793
5.87,47,46.5,26,48.404,33,47.04
9.712,50,43.4,26,55.58,36,52.702
9.523,50,42.0,25,54.921,34,52.077
10.398,51,43.8,27,53.966,35,52.078
9.602,49,43.8,26,53.819,35,51.175
10.087,54,42.4,27,57.523,36,55.395
9.854,49,46.6,27,50.193,34,48.508
9.242,44,45.7,25,47.836,32,45.385
8.886,46,46.5,27,48.739,33,46.793
10.236,50,43.8,26,53.722,35,51.583
8.539,45,47.1,26,46.705,32,45.13
8.959,45,47.1,26,46.705,32,45.13
8.721,45,46.5,26,48.529,33,46.274
9.412,44,46.3,25,46.012,31,44.241
9.753,45,45.7,25,47.773,32,45.768
6.76,33,46.9,21,36.682,23,34.046
9.753,46,47.0,25,45.705,31,44.429
7.602,40,45.2,22,43.784,28,41.492
7.372,42,47.7,26,45.069,31,42.837
6.591,46,47.1,26,48.284,33,46.078
8.3,43,47.1,26,46.83,32,44.364
8.63,44,47.1,26,46.767,32,44.747
8.256,44,47.1,26,47.688,32,45.191
6.757,45,45.9,26,50.353,34,47.417
7.582,43,46.3,25,46.074,31,43.858
7.277,43,47.1,26,48.137,33,45.176
5.27,43,47.1,26,46.83,32,44.364
7.77,42,44.6,23,44.319,29,42.353
7.4,45,45.9,26,50.353,34,47.417
9.191,46,47.1,26,48.284,33,46.078
7.493,39,45.2,22,42.926,28,40.664
8.049,43,46.3,25,46.074,31,43.858
6.407,45,45.9,26,50.353,34,47.417
8.31,43,47.1,26,46.83,32,44.364
6.511,39,45.2,22,42.926,28,40.664
8.923,43,46.3,25,46.074,31,43.858
10.208,47,46.5,27,48.676,33,47.176
10.428,54,44.0,28,56.324,37,54.901
9.611,49,44.3,26,53.267,35,50.868
10.248,52,44.0,28,56.483,37,54.11
9.959,53,43.7,28,58.245,38,55.637
9.409,49,43.8,26,53.819,35,51.175
5.501,46,47.1,26,46.642,32,45.513
10.149,54,43.7,28,58.182,38,56.02
10.359,53,44.0,28,56.421,37,54.493
9.221,49,44.3,26,53.267,35,50.868
10.252,48,45.9,27,50.438,34,48.703
10.278,49,47.1,27,48.37,33,47.364
9.737,50,43.4,26,55.58,36,52.702
9.921,47,45.9,27,50.5,34,48.32
9.886,53,43.0,28,57.489,37,55.131
10.072,54,43.0,28,57.427,37,55.514
10.211,50,43.8,26,53.722,35,51.583
9.854,53,44.0,28,56.387,37,54.518
10.536,53,43.7,28,58.245,38,55.637
10.319,50,46.6,27,50.131,34,48.891
10.216,48,46.5,27,48.614,33,47.56
6.848,43,46.3,25,46.074,31,43.858
9.81,46,46.4,25,47.529,32,45.573
6.979,44,47.1,26,46.767,32,44.747
8.399,43,46.3,25,46.074,31,43.858
8.429,33,46.9,21,36.682,23,34.046
8.409,44,46.5,26,48.591,33,45.89
9.26,44,46.3,25,46.012,31,44.241
7.699,43,47.1,26,46.83,32,44.364
8.461,44,47.1,26,46.767,32,44.747
5.77,48,40.2,20,53.489,33,51.131
5.0,46,39.7,18,50.728,31,48.604
5.07,43,39.0,17,49.483,30,47.11
5.092,27,43.2,14,25.921,16,26.017
6.6,39,43.1,20,39.068,22,37.957
6.8,40,43.1,20,39.926,22,38.785
6.4,34,43.8,19,36.364,21,34.317
7.3,37,42.6,19,40.25,23,38.0
6.7,42,43.9,22,42.801,25,41.651
7.1,39,43.1,20,39.494,22,38.204
7.0,36,43.1,19,38.489,22,36.474
5.4,37,43.1,20,37.778,22,36.549
6.8,41,44.4,22,41.04,24,40.125
7.2,35,43.1,19,38.125,22,35.844
5.0,46,45.9,26,47.017,28,45.257
6.4,40,44.4,22,40.182,24,39.297
6.7,39,43.1,20,39.989,22,38.402
6.8,34,43.8,19,35.869,21,34.119
6.5,38,43.1,20,38.636,22,37.376
6.7,40,42.6,20,41.256,23,39.731
7.1,35,43.1,19,38.125,22,35.844
6.3,40,42.6,20,41.256,23,39.731
5.5,37,43.1,20,37.778,22,36.549
6.9,39,43.1,20,40.483,22,38.599
7.1,36,43.8,19,37.585,21,35.774
5.4,40,42.1,20,42.159,24,40.43
7.6,37,42.3,19,39.438,22,37.386
6.0,35,43.8,19,36.727,21,34.947
6.5,40,44.4,22,40.676,24,39.495
5.4,35,43.1,19,37.631,22,35.646
5.7,35,43.1,19,37.631,22,35.646
6.8,39,43.1,20,40.869,22,38.447
7.5,43,46.6,25,45.108,27,42.828
6.7,39,43.1,20,41.295,22,38.693
7.9,37,43.1,19,39.347,22,37.301
7.1,35,43.1,19,38.125,22,35.844
5.7,38,43.1,20,38.636,22,37.376
7.0,40,44.4,22,41.597,24,39.939
6.6,39,43.1,20,39.563,22,38.155
6.6,39,43.1,20,39.494,22,38.204
5.0,49,36.7,20,56.927,33,54.636
6.721,37,40.0,16,46.586,28,43.104
6.76,33,46.2,21,35.784,24,34.256
9.556,35,49.0,23,36.023,25,34.73
7.1,43,39.7,16,47.205,29,45.251
5.522,47,42.7,19,53.75,35,50.626
8.276,72,37.0,30,81.637,47,78.821
