pXC50,Sp,Sv,C.,nBT,nSK,N.,nN,MW,nHM,nBO,nAB,nO,nBM,Si,nH,RBN,nAT,Se,nX,X.,nS,O.,nF,nCsp2,RBF,Mp,nDB,SCBO,nC,Mi
7.678,27.375,25.361,38.9,38,23,5.6,2,368.4,3,25,16,4,17,39.889,13,4,36,36.942,0,0.0,2,11.1,0,13,0.105,0.76,1,34.0,14,1.108
7.244,19.778,19.797,32.1,29,20,7.1,2,328.23,2,21,10,4,11,32.573,8,3,28,30.52,3,10.7,1,14.3,3,7,0.103,0.706,1,27.0,9,1.163
7.921,25.25,23.227,32.4,38,20,5.4,2,316.35,2,21,10,4,11,41.8,17,4,37,37.633,0,0.0,1,10.8,0,7,0.105,0.682,1,27.0,12,1.13
7.721,22.727,21.174,34.4,34,19,6.3,2,300.3,2,21,10,4,11,35.969,13,3,32,32.865,0,0.0,1,12.5,0,7,0.088,0.71,1,27.0,11,1.124
7.678,24.489,22.7,34.3,37,20,5.7,2,314.33,2,22,10,4,11,39.384,15,3,35,35.749,0,0.0,1,11.4,0,7,0.081,0.7,1,28.0,12,1.125
8.0,26.25,24.227,34.2,40,21,5.3,2,328.36,2,23,10,4,11,42.8,17,3,38,38.633,0,0.0,1,10.5,0,7,0.075,0.691,1,29.0,13,1.126
7.699,22.727,21.174,34.4,34,19,6.3,2,300.3,2,21,10,4,11,35.969,13,4,32,32.865,0,0.0,1,12.5,0,7,0.118,0.71,1,27.0,11,1.124
7.745,26.25,24.227,34.2,40,21,5.3,2,328.36,2,23,10,4,11,42.8,17,4,38,38.633,0,0.0,1,10.5,0,7,0.1,0.691,1,29.0,13,1.126
7.229,28.012,25.754,34.1,43,22,4.9,2,342.39,2,24,10,4,11,46.215,19,4,41,41.516,0,0.0,1,9.8,0,7,0.093,0.683,1,30.0,14,1.127
6.824,25.727,24.174,40.0,37,22,5.7,2,336.33,2,24,16,4,17,38.969,13,4,35,35.865,0,0.0,1,11.4,0,13,0.108,0.735,1,33.0,14,1.113
6.252,25.949,24.437,31.6,40,22,7.9,3,345.35,2,24,10,5,11,43.092,16,4,38,39.178,0,0.0,1,13.2,0,7,0.1,0.683,1,30.0,12,1.134
7.155,17.301,16.421,31.8,23,16,9.1,2,280.64,3,17,10,4,11,24.668,6,2,22,23.538,1,4.5,1,18.2,0,7,0.087,0.786,1,23.0,7,1.121
7.301,17.795,16.618,31.8,23,16,9.1,2,325.09,3,17,10,4,11,24.565,6,2,22,23.444,1,4.5,1,18.2,0,7,0.087,0.809,1,23.0,7,1.117
7.0,19.102,16.91,31.8,23,16,9.1,2,372.09,3,17,10,4,11,24.444,6,2,22,23.284,1,4.5,1,18.2,0,7,0.087,0.868,1,23.0,7,1.111
7.481,21.614,19.834,31.0,30,18,6.9,2,306.33,3,19,10,4,11,32.474,11,4,29,30.058,0,0.0,2,13.8,0,7,0.133,0.745,1,25.0,9,1.12
7.62,23.375,21.361,31.3,33,19,6.3,2,320.36,3,20,10,4,11,35.889,13,4,32,32.942,0,0.0,2,12.5,0,7,0.121,0.73,1,26.0,10,1.122
7.62,25.136,22.888,31.4,36,20,5.7,2,334.39,3,21,10,4,11,39.304,15,4,35,35.825,0,0.0,2,11.4,0,7,0.111,0.718,1,27.0,11,1.123
6.523,25.614,23.834,39.4,35,22,6.1,2,354.37,3,24,16,4,17,36.474,11,4,33,34.058,0,0.0,2,12.1,0,13,0.114,0.776,1,33.0,13,1.105
5.77,22.426,21.383,31.3,33,20,9.4,3,317.29,2,21,10,5,12,36.262,12,3,32,33.411,0,0.0,1,15.6,0,8,0.091,0.701,2,28.0,10,1.133
7.824,27.636,26.603,39.5,40,25,5.3,2,380.34,2,27,16,6,18,42.388,13,6,38,39.52,0,0.0,1,15.8,0,14,0.15,0.727,2,37.0,15,1.115
6.067,23.83,22.076,30.3,34,20,6.1,2,336.36,3,21,10,5,12,37.099,13,5,33,34.269,0,0.0,2,15.2,0,7,0.147,0.722,2,28.0,10,1.124
7.367,26.182,24.888,38.9,38,23,5.6,2,352.33,2,25,16,5,17,40.179,13,4,36,37.193,0,0.0,1,13.9,0,13,0.105,0.727,1,34.0,14,1.116
7.678,26.182,24.888,38.9,38,23,5.6,2,352.33,2,25,16,5,17,40.179,13,4,36,37.193,0,0.0,1,13.9,0,13,0.105,0.727,1,34.0,14,1.116
7.056,31.012,28.754,38.6,46,25,4.5,2,378.42,2,27,16,4,17,49.215,19,4,44,44.516,0,0.0,1,9.1,0,13,0.087,0.705,1,36.0,17,1.119
7.854,27.636,26.603,39.5,40,25,5.3,2,380.34,2,27,16,6,18,42.388,13,5,38,39.52,0,0.0,1,15.8,0,14,0.125,0.727,2,37.0,15,1.115
7.796,23.903,23.03,40.6,34,22,6.3,2,340.29,2,24,16,4,17,35.894,10,3,32,33.495,1,3.1,1,12.5,1,13,0.088,0.747,1,33.0,13,1.122
7.886,24.824,23.474,40.6,34,22,6.3,2,356.74,3,24,16,4,17,35.498,10,3,32,33.306,1,3.1,1,12.5,0,13,0.088,0.776,1,33.0,13,1.109
7.495,27.182,25.888,40.5,39,24,5.4,2,364.34,2,26,16,5,18,41.179,13,4,37,38.193,0,0.0,1,13.5,0,14,0.103,0.735,2,36.0,15,1.113
7.387,28.284,26.79,36.8,40,25,5.3,2,400.4,3,27,16,6,19,42.308,13,4,38,39.596,0,0.0,2,15.8,0,13,0.1,0.744,3,38.0,14,1.113
7.469,31.489,29.7,45.2,45,27,4.8,2,398.4,2,30,22,4,23,46.384,15,4,42,42.749,0,0.0,1,9.5,0,19,0.089,0.75,1,42.0,19,1.104
7.921,28.727,27.174,44.7,41,25,5.3,2,372.36,2,28,21,4,22,41.969,13,3,38,38.865,0,0.0,1,10.5,0,17,0.073,0.756,1,39.5,17,1.104
7.398,21.659,20.835,37.9,31,20,6.9,2,312.26,2,22,15,5,16,32.348,9,3,29,30.426,0,0.0,1,17.2,0,11,0.097,0.747,1,30.5,11,1.115
7.357,22.852,21.307,37.9,31,20,6.9,2,328.33,3,22,15,4,16,32.059,9,3,29,30.175,0,0.0,2,13.8,0,11,0.097,0.788,1,30.5,11,1.105
5.0,22.921,20.646,32.3,32,18,6.5,2,304.36,3,19,10,3,11,34.68,13,4,31,31.615,0,0.0,2,9.7,0,7,0.125,0.739,1,25.0,10,1.119
5.0,24.517,22.953,39.4,35,21,9.1,3,321.32,2,23,16,3,17,36.843,12,3,33,33.756,0,0.0,1,9.1,0,13,0.086,0.743,1,32.0,13,1.116
5.0,24.972,23.668,38.2,36,22,8.8,3,337.32,2,24,16,4,17,38.052,12,3,34,35.084,0,0.0,1,11.8,0,12,0.083,0.734,1,33.0,13,1.119
7.301,20.182,18.888,26.7,30,17,6.7,2,280.27,2,17,5,5,7,34.179,13,6,30,31.193,0,0.0,1,16.7,0,4,0.2,0.673,2,21.5,8,1.139
6.022,21.858,20.329,31.0,30,19,10.3,3,319.33,3,20,10,4,12,32.557,10,4,29,30.276,0,0.0,2,13.8,0,8,0.133,0.754,2,27.0,9,1.123
5.699,17.994,16.9,33.3,25,16,12.5,3,257.23,2,17,11,3,12,27.012,8,2,24,24.989,0,0.0,1,12.5,0,8,0.08,0.75,1,23.5,8,1.126
5.886,18.75,17.405,36.0,26,16,8.0,2,256.24,2,17,11,3,12,27.929,9,2,25,25.771,0,0.0,1,12.0,0,9,0.077,0.75,1,23.5,9,1.117
6.602,24.034,21.986,35.3,35,19,5.9,2,298.33,2,20,11,3,12,38.175,15,4,34,34.422,0,0.0,1,8.8,0,9,0.114,0.707,1,26.5,12,1.123
6.87,25.796,23.512,35.1,38,20,5.4,2,312.36,2,21,11,3,12,41.59,17,4,37,37.305,0,0.0,1,8.1,0,9,0.105,0.697,1,27.5,13,1.124
6.678,26.25,24.227,34.2,39,21,5.3,2,328.36,2,22,11,4,12,42.8,17,4,38,38.633,0,0.0,1,10.5,0,9,0.103,0.691,1,28.5,13,1.126
7.097,26.21,24.842,42.9,37,23,5.7,2,350.33,2,25,17,3,18,39.099,12,3,35,36.051,1,2.9,1,8.6,1,15,0.081,0.749,1,34.5,15,1.117
6.658,34.904,33.511,32.1,54,30,9.4,5,457.59,2,31,11,6,15,60.325,23,8,53,54.578,0,0.0,2,11.3,0,11,0.148,0.659,4,40.5,17,1.138
6.194,24.403,23.491,41.9,32,22,6.5,2,379.66,4,23,12,3,15,34.453,9,3,31,32.651,3,9.7,1,9.7,0,13,0.094,0.787,3,32.0,13,1.111
6.456,27.046,25.882,42.9,37,24,8.6,3,428.71,3,26,16,3,19,38.905,11,3,35,36.335,2,5.7,1,8.6,0,15,0.081,0.773,3,37.0,15,1.112
6.481,26.29,25.377,41.2,36,24,11.8,4,429.7,3,26,16,3,19,37.988,10,3,34,35.553,2,5.9,1,8.8,0,14,0.083,0.773,3,37.0,14,1.117
6.538,27.193,26.076,40.5,39,24,10.8,4,409.29,2,26,16,3,19,41.459,13,3,37,38.113,1,2.7,1,8.1,0,14,0.077,0.735,3,37.0,15,1.121
6.854,31.818,30.032,36.4,46,27,9.1,4,473.41,3,29,15,4,18,49.419,17,6,44,45.284,1,2.3,2,9.1,0,12,0.13,0.723,3,39.5,16,1.123
6.086,31.818,30.032,36.4,46,27,9.1,4,473.41,3,29,15,4,18,49.419,17,6,44,45.284,1,2.3,2,9.1,0,12,0.13,0.723,3,39.5,16,1.123
7.097,34.04,32.295,32.7,50,29,10.2,5,506.45,3,30,11,5,15,55.542,20,7,49,50.596,1,2.0,2,10.2,0,11,0.14,0.695,4,39.5,16,1.134
6.77,36.097,33.984,32.1,54,30,9.4,5,473.66,3,31,11,5,15,60.035,23,8,53,54.327,0,0.0,3,9.4,0,11,0.148,0.681,4,40.5,17,1.133
6.886,29.818,28.032,33.3,43,25,9.5,4,449.39,3,26,11,4,14,47.419,17,6,42,43.284,1,2.4,2,9.5,0,10,0.14,0.71,3,34.5,14,1.129
6.699,33.154,32.235,33.3,49,30,8.3,4,531.42,3,31,11,4,14,55.268,18,8,48,50.589,4,8.3,2,8.3,3,10,0.163,0.691,3,39.5,16,1.151
5.745,31.875,29.721,32.6,47,26,8.7,4,416.6,3,27,11,4,14,51.912,20,7,46,47.014,0,0.0,3,8.7,0,10,0.149,0.693,3,35.5,15,1.129
6.398,30.682,29.248,32.6,47,26,8.7,4,400.53,2,27,11,5,14,52.202,20,7,46,47.265,0,0.0,2,10.9,0,10,0.149,0.667,3,35.5,15,1.135
6.119,30.04,29.683,33.3,46,28,8.9,4,438.5,2,29,11,4,14,52.012,17,6,45,47.476,3,6.7,2,8.9,3,10,0.13,0.668,3,37.5,15,1.156
6.222,29.977,30.067,33.3,46,29,8.9,4,456.49,2,30,11,4,14,52.351,16,6,45,47.989,4,8.9,2,8.9,4,10,0.13,0.666,3,38.5,15,1.163
6.377,28.216,28.54,33.3,43,28,9.5,4,442.46,2,29,11,4,14,48.936,14,5,42,45.105,4,9.5,2,9.5,4,10,0.116,0.672,3,37.5,14,1.165
6.174,31.432,31.781,34.0,48,31,8.5,4,484.5,2,32,11,5,15,54.561,16,7,47,50.316,4,8.5,2,10.6,4,11,0.146,0.669,4,41.5,16,1.161
6.276,30.796,30.189,34.8,47,28,6.5,3,437.51,2,29,11,4,14,52.928,18,6,46,48.258,3,6.5,2,8.7,3,10,0.128,0.669,3,37.5,16,1.151
6.456,29.034,28.662,34.9,44,27,7.0,3,423.48,2,28,11,4,14,49.513,16,5,43,45.374,3,7.0,2,9.3,3,10,0.114,0.675,3,36.5,15,1.151
6.284,32.25,31.904,35.4,49,30,6.3,3,465.52,2,31,11,5,15,55.138,18,7,48,50.585,3,6.3,2,10.4,3,11,0.143,0.672,4,40.5,17,1.149
5.77,29.034,28.662,34.9,44,27,7.0,3,423.48,2,28,11,4,14,49.513,16,6,43,45.374,3,7.0,2,9.3,3,10,0.136,0.675,3,36.5,15,1.151
5.721,24.136,23.162,44.8,31,22,6.9,2,422.09,4,24,16,3,18,31.935,7,3,29,30.673,3,10.3,1,10.3,0,13,0.097,0.832,2,34.0,13,1.101
5.42,29.449,28.363,48.7,42,26,5.1,2,384.86,2,29,22,3,24,42.98,13,4,39,39.887,1,2.6,1,7.7,0,19,0.095,0.755,2,42.0,19,1.102
5.398,29.449,28.363,48.7,42,26,5.1,2,384.86,2,29,22,3,24,42.98,13,4,39,39.887,1,2.6,1,7.7,0,19,0.095,0.755,2,42.0,19,1.102
5.009,29.449,28.363,48.7,42,26,5.1,2,384.86,2,29,22,3,24,42.98,13,4,39,39.887,1,2.6,1,7.7,0,19,0.095,0.755,2,42.0,19,1.102
4.301,25.443,23.453,44.8,31,22,6.9,2,469.09,4,24,16,3,18,31.814,7,3,29,30.513,3,10.3,1,10.3,0,13,0.097,0.877,2,34.0,13,1.097
5.208,23.688,22.836,43.8,34,21,6.3,2,322.79,2,23,16,3,18,35.565,11,3,32,33.004,1,3.1,1,9.4,0,13,0.088,0.74,2,33.0,14,1.111
4.26,24.545,23.663,43.8,34,22,6.3,2,357.23,3,24,16,3,18,35.509,10,3,32,33.327,2,6.3,1,9.4,0,13,0.088,0.767,2,34.0,14,1.11
4.301,30.313,29.212,45.0,43,27,7.5,3,422.31,3,30,16,3,20,44.422,13,4,40,41.313,2,5.0,1,7.5,0,17,0.093,0.758,4,42.0,18,1.111
5.77,32.977,32.147,45.5,47,30,4.5,2,465.33,3,33,22,5,24,48.758,14,5,44,45.749,2,4.5,1,11.4,0,19,0.106,0.749,2,46.0,20,1.108
5.108,23.955,24.701,42.4,35,25,6.1,2,392.76,2,27,16,4,18,37.793,8,4,33,35.869,4,12.1,1,12.1,3,13,0.114,0.726,2,37.0,14,1.145
5.194,24.545,23.663,43.8,34,22,6.3,2,357.23,3,24,16,3,18,35.509,10,3,32,33.327,2,6.3,1,9.4,0,13,0.088,0.767,2,34.0,14,1.11
5.092,23.642,22.964,44.8,31,22,6.9,2,377.64,4,24,16,3,18,32.038,7,3,29,30.767,3,10.3,1,10.3,0,13,0.097,0.815,2,34.0,13,1.105
4.301,21.449,20.363,35.5,32,18,6.5,2,288.78,2,19,10,3,12,34.98,13,5,31,31.887,1,3.2,1,9.7,0,7,0.156,0.692,2,26.0,11,1.128
4.301,16.165,15.782,36.4,23,15,9.1,2,246.69,2,16,10,3,12,24.734,7,2,22,23.236,1,4.5,1,13.6,0,7,0.087,0.735,2,23.0,8,1.124
4.921,29.671,28.626,40.5,44,26,7.1,3,393.88,2,28,16,4,19,47.103,16,6,42,43.2,1,2.4,1,9.5,0,14,0.136,0.706,3,39.0,17,1.121
5.0,24.545,23.663,43.8,34,22,6.3,2,357.23,3,24,16,3,18,35.509,10,3,32,33.327,2,6.3,1,9.4,0,13,0.088,0.767,2,34.0,14,1.11
5.886,33.528,32.453,44.4,48,30,6.7,3,464.35,3,33,22,4,24,50.047,15,5,45,46.524,2,4.4,1,8.9,0,19,0.104,0.745,2,46.0,20,1.112
6.244,33.528,32.453,44.4,48,30,6.7,3,464.35,3,33,22,4,24,50.047,15,5,45,46.524,2,4.4,1,8.9,0,19,0.104,0.745,2,46.0,20,1.112
5.469,31.449,30.363,51.2,45,28,4.9,2,408.88,2,32,26,3,28,44.98,13,3,41,41.887,1,2.4,1,7.3,0,21,0.067,0.767,2,47.0,21,1.097
5.097,25.0,24.378,42.4,35,23,6.1,2,373.23,3,25,16,4,18,36.718,10,4,33,34.655,2,6.1,1,12.1,0,13,0.114,0.758,2,35.0,14,1.113
5.469,23.642,22.964,44.8,31,22,6.9,2,377.64,4,24,16,3,18,32.038,7,3,29,30.767,3,10.3,1,10.3,0,13,0.097,0.815,2,34.0,13,1.105
5.114,21.926,21.309,44.8,31,20,6.9,2,308.76,2,22,16,3,18,32.15,9,3,29,30.12,1,3.4,1,10.3,0,13,0.097,0.756,2,32.0,13,1.109
4.638,26.938,26.352,44.4,39,25,11.1,4,374.83,2,28,21,3,23,40.146,11,4,36,37.324,1,2.8,1,8.3,0,16,0.103,0.748,2,40.5,16,1.115
5.745,23.079,23.233,41.9,33,23,9.7,3,353.76,2,25,16,5,20,34.652,8,4,31,32.993,1,3.2,1,16.1,0,13,0.121,0.744,4,37.0,13,1.118
8.0,42.5,39.387,31.8,67,33,6.1,4,500.62,2,34,10,6,13,75.121,33,14,66,66.676,0,0.0,1,9.1,0,9,0.209,0.644,3,42.0,21,1.138
6.0,25.847,24.68,44.4,38,22,8.3,3,360.23,1,24,17,2,17,40.247,14,4,36,36.491,1,2.8,0,5.6,0,14,0.105,0.718,0,32.5,16,1.118
5.036,27.955,27.092,42.9,44,24,7.1,3,327.39,0,26,17,2,17,47.575,18,6,42,42.542,1,2.4,0,4.8,1,14,0.136,0.666,0,34.5,18,1.133
5.347,27.608,26.207,43.6,41,23,7.7,3,374.26,1,25,17,2,17,43.662,16,4,39,39.374,1,2.6,0,5.1,0,14,0.098,0.708,0,33.5,17,1.12
6.538,25.29,24.865,44.4,38,23,8.3,3,333.77,1,25,17,2,17,40.689,13,4,36,37.098,2,5.6,0,5.6,1,14,0.105,0.702,0,33.5,16,1.13
5.0,30.637,29.063,42.2,47,25,6.7,3,357.87,1,27,17,2,17,50.595,20,6,45,45.236,1,2.2,0,4.4,0,14,0.128,0.681,0,35.5,19,1.124
5.0,23.324,22.626,48.4,33,21,9.7,3,344.18,1,23,17,2,18,34.416,10,3,31,31.724,1,3.2,0,6.5,0,15,0.091,0.752,1,32.5,15,1.11
5.0,27.154,25.492,44.7,40,22,7.9,3,358.26,1,24,17,1,17,42.452,16,4,38,38.047,1,2.6,0,2.6,0,14,0.1,0.715,0,32.5,17,1.117
6.046,26.495,25.655,47.4,40,23,7.9,3,305.36,0,25,17,2,18,42.405,15,4,38,38.262,0,0.0,0,5.3,0,14,0.1,0.697,0,35.5,18,1.116
5.0,39.182,36.389,39.0,61,30,6.8,4,473.46,1,32,17,2,17,66.651,29,10,59,58.778,1,1.7,0,3.4,0,14,0.164,0.664,0,40.5,23,1.13
5.0,38.875,36.577,39.7,61,31,6.9,4,487.44,1,34,17,3,17,65.445,27,8,58,58.221,1,1.7,0,5.2,0,14,0.131,0.67,0,42.5,23,1.128
5.77,29.37,27.733,42.9,44,24,7.1,3,388.29,1,26,17,2,17,47.077,18,6,42,42.258,1,2.4,0,4.8,0,14,0.136,0.699,0,34.5,18,1.121
5.398,28.0,27.378,47.2,39,26,5.6,2,409.26,3,29,21,4,23,39.718,10,4,36,37.655,2,5.6,1,11.1,0,17,0.103,0.778,2,41.5,17,1.103
5.886,22.784,22.137,44.8,31,21,6.9,2,343.2,3,23,16,3,18,32.094,8,3,29,30.444,2,6.9,1,10.3,0,13,0.097,0.786,2,33.0,13,1.107
5.745,32.977,32.147,45.5,47,30,4.5,2,465.33,3,33,22,5,24,48.758,14,5,44,45.749,2,4.5,1,11.4,0,19,0.106,0.749,2,46.0,20,1.108
4.886,20.812,19.969,42.3,28,19,7.7,2,314.79,3,21,15,3,17,28.654,7,3,26,27.313,1,3.8,2,11.5,0,11,0.107,0.8,2,30.5,11,1.102
4.301,23.642,22.964,44.8,31,22,6.9,2,377.64,4,24,16,3,18,32.038,7,3,29,30.767,3,10.3,1,10.3,0,13,0.097,0.815,2,34.0,13,1.105
5.174,27.142,26.551,47.2,39,25,5.6,2,374.82,2,28,21,4,23,39.774,11,4,36,37.331,1,2.8,1,11.1,0,17,0.103,0.754,2,40.5,17,1.105
5.187,23.278,22.334,44.8,31,21,6.9,2,387.65,3,23,16,3,18,31.991,8,3,29,30.349,2,6.9,1,10.3,0,13,0.097,0.803,2,33.0,13,1.103
5.456,33.983,33.168,43.5,49,31,6.5,3,480.35,3,34,22,5,24,51.256,15,6,46,47.851,2,4.3,1,10.9,0,18,0.122,0.739,2,47.0,20,1.114
5.553,21.864,21.692,44.8,31,21,6.9,2,326.75,2,23,16,3,18,32.489,8,3,29,30.633,2,6.9,1,10.3,1,13,0.097,0.754,2,33.0,13,1.12
5.602,26.688,25.836,48.6,38,24,5.7,2,358.82,2,27,21,3,23,38.565,11,3,35,36.004,1,2.9,1,8.6,0,17,0.079,0.763,2,39.5,17,1.102
4.495,29.83,28.244,41.5,43,25,4.9,2,399.32,3,27,16,3,18,45.754,16,4,41,41.978,2,4.9,1,7.3,0,13,0.093,0.728,2,37.0,17,1.116
5.027,21.176,20.825,37.9,31,20,13.8,4,312.76,2,22,15,3,17,32.731,9,3,29,30.44,1,3.4,1,10.3,0,10,0.097,0.73,2,31.5,11,1.129
5.222,23.17,22.804,46.7,32,22,10.0,3,333.77,2,24,16,3,19,33.233,8,3,30,31.338,1,3.3,1,10.0,0,13,0.094,0.772,2,36.0,14,1.108
5.585,35.29,33.98,43.8,51,31,6.3,3,478.38,3,34,22,4,24,53.462,17,6,48,49.407,2,4.2,1,8.3,0,19,0.118,0.735,2,47.0,21,1.114
4.301,38.71,36.711,43.6,58,32,3.6,2,471.01,2,35,22,4,24,61.265,23,7,55,55.633,1,1.8,1,7.3,0,19,0.121,0.704,2,48.0,24,1.114
4.62,28.972,27.416,41.5,43,24,4.9,2,364.88,2,26,16,3,18,45.81,17,4,41,41.654,1,2.4,1,7.3,0,13,0.093,0.707,2,36.0,17,1.117
4.301,24.545,23.663,43.8,34,22,6.3,2,357.23,3,24,16,3,18,35.509,10,3,32,33.327,2,6.3,1,9.4,0,13,0.088,0.767,2,34.0,14,1.11
5.0,33.898,31.808,40.0,52,27,8.0,4,431.37,1,29,17,2,17,56.406,23,7,50,50.127,1,2.0,0,4.0,0,14,0.135,0.678,0,37.5,20,1.128
5.796,29.62,28.104,33.3,47,25,11.1,5,365.37,1,27,15,4,16,51.374,20,5,45,45.862,0,0.0,0,8.9,0,9,0.106,0.658,1,35.5,15,1.142
